,Concept_ID,cy,kl
0,Auge::N,llygad,isi
1,Ohr::N,clust,siut
2,Nase::N,trwyn,
3,Mund::N,ceg,paaq
4,Mund::N,ceg,qaneq
5,Zahn::N,dant,kigut
6,Zunge::N,tafod,oqaq
7,Lippe::N,gwefus,qarloq
8,Wange::N,boch,ersaq
9,Gesicht::N,wyneb,kiinaq
10,Stirn::N,talcen,qaaq
11,Haar::N,blew,meqqoq
12,Schnurrbart::N,mwstas,
13,Bart::N,barf,umik
14,Kinn::N,gên,talloq
15,Kiefer[Anatomie]::N,gên,alleroq
16,Kehle::N,gwddf,malaq
17,Hals::N,gwddf,qungaseq
18,Genick::N,gwar,pukusuk
19,Genick::N,gwegil,pukusuk
20,Kopf::N,pen,niaqoq
21,Rücken::N,cefn,qimerlut
22,Bauch::N,bol,naaq
23,Nabel::N,bogail,qalaseq
24,Busen::N,bron,iviangeq
25,Brust::N,brest,iviangeq
26,Schulter::N,ysgwydd,ersik
27,Schulter::N,ysgwydd,assaqqoq
28,Arm::N,braich,taleq
29,Ellenbogen::N,penelin,ikusik
30,Hand::N,llaw,assak
31,Handfläche::N,palf,itumak
32,Finger::N,bys,inuak
33,Fingernagel::N,ewin,kikiak
34,Nagel[Anatomie]::N,ewin,kukik
35,Zeh::N,bys troed,isigak
36,Fuß::N,troed,
37,Ferse::N,sawdl,kimmik
38,Knie::N,glin,seeqqoq
39,Oberschenkel::N,clun,uppat
40,Oberschenkel::N,clun,quttoraq
41,Bein::N,coes,isigak
42,Körper::N,corff,timi
43,Haut::N,croen,mattak
44,Blut::N,gwaed,aak
45,Ader::N,gwythïen,taqaq
46,Sehne::N,gewyn,ujalu
47,Sehne::N,gewyn,ujaloq
48,Knochen::N,asgwrn,saanikut
49,Gehirn::N,ymennydd,qarasaq
50,Herz::N,calon,uummat
51,Magen::N,cylla,aqajaroq
52,Magen::N,stumog,aqajaroq
53,Leber::N,iau,tinguk
54,Atem::N,anadl,anerneq
55,Hunger::N,newyn,kaanneq
56,Träne::N,deigryn,qia
57,Träne::N,deigryn,qiak
58,Geschmack::N,cyflas,qilanaartuut
59,Geruch::N,aroglau,tipi
60,Geruch::N,aroglau,tipik
61,Schlaf::N,cwsg,
62,Traum::N,breuddwyd,sinnattoq
63,Traum::N,breuddwyd,sinnattugaq
64,Himmel::N,awyr,qilak
65,Sonne::N,haul,seqineq
66,Mond::N,lleuad,qaammat
67,Stern::N,seren,ulloriaq
68,Luft::N,awyr,silaannaq
69,Wind::N,gwynt,anori
70,Wind::N,gwynt,anorsarik
71,Welle::N,ton,aalappaa
72,Wasser::N,dŵr,imeq
73,Stein::N,carreg,ujarak
74,Boden::N,llawr,nateq
75,Erde::N,pridd,issoq
76,Staub::N,llwch,pujualanerit
77,Staub::N,llwch,pujoralanerit
78,Rauch::N,mwg,iseq
79,Rauch::N,mwg,pujoq
80,Funke::N,gwreichioni,illoorneq
81,Feuer::N,tân,inneq
82,Licht::N,golau,qaamaneq
83,Schatten::N,cysgod,tarraq
84,Wetter::N,tywydd,sila
85,Nebel::N,niwl,pujoq
86,Wolke::N,cwmwl,nuia
87,Regen::N,glaw,sialuk
88,Schnee::N,ôd,aput
89,Schnee::N,eira,aput
90,Eis::N,iâ,siku
91,Frost::N,rhew,issi
92,Frost::N,rhew,issik
93,Kälte::N,oerni,issi
94,Kälte::N,annwyd,issi
95,Hitze::N,gwres,kianneq
96,Hitze::N,gwres,kiassuseq
97,Raureif::N,barrug,kaneq
98,Regenbogen::N,enfys,neriusaaq
99,Donner::N,tyrfau,kalleq
100,Strömung::N,cerrynt,
101,Tropfen::N,dafn,kuseriarneq
102,Tropfen::N,diferyn,kuseriarneq
103,Schaum::N,ewyn,qapuk
104,Schmutz::N,baw,minguk
105,Schmutz::N,budreddi,minguk
106,See::N,llyn,taseq
107,Sumpf::N,cors,maqulluk
108,Moor::N,rhos,
109,Wiese::N,dôl,masarsuk
110,Wald::N,coedwig,
111,Hügel::N,bryn,qattuneq
112,Hügel::N,bryn,majuariaq
113,Hügel::N,bryn,majorajaaq
114,Hügel::N,bryn,qaqqannguaq
115,Anhöhe::N,bryn,
116,Berg::N,mynydd,qaqqaq
117,Gipfel::N,copa,
118,Höhle::N,ogof,qaarusuk
119,Abhang::N,llethr,ippik
120,Abhang::N,llethr,sivinganeq
121,Abhang::N,llethr,sivingajaaq
122,Abhang::N,llethr,kussangajaaq
123,Quelle::N,tarddiad,
124,Quelle::N,ffynhonnell,
125,Bach::N,nant,kuunnguaq
126,Bach::N,afonig,kuunnguaq
127,Bach::N,cornant,kuunnguaq
128,Fluss::N,afon,kuuk
129,Ufer::N,glan,sissap sinaa
130,Küste::N,traeth,sineriak
131,Küste::N,arfordir,sineriak
132,Festland::N,tir,
133,Meer::N,môr,imaq
134,Bucht::N,bae,ikeq
135,Bucht::N,bae,kangerluk
136,Bucht::N,bae,kangerliumaneq
137,Insel::N,ynys,qeqertaq
138,Blume::N,blodyn,naasoq
139,Gras::N,glaswellt,ivigaq
140,Wurzel::N,gwreiddyn,niulutaq
141,Baum::N,coeden,orpik
142,Stamm::N,colfen,kanaartaq
143,Stamm::N,boncyff,kanaartaq
144,Rinde::N,rhisgl,ameraq
145,Ast::N,cangen,avalequt
146,Zweig::N,cainc,avalequt
147,Zweig::N,cangen,avalequt
148,Blatt::N,deilen,pilutaq
149,Birke::N,bedwen,patitsit
150,Kiefer[Baum]::N,pinwydden,
151,Weide[Baum]::N,helygen,palleq
152,Tanne::N,ffynidwydden,orsuerneq
153,Horn::N,corn,nassuk
154,Feder::N,plufyn,suluk
155,Fell::N,ffwr,ameq
156,Flügel::N,adain,suluk
157,Flügel::N,adain,isaroq
158,Klaue::N,crafanc,kukik
