,Concept_ID,is,ba
0,Auge::N,auga,күҙ
1,Ohr::N,eyra,ҡолаҡ
2,Nase::N,nef,танау
3,Mund::N,munnur,ауыҙ
4,Zahn::N,tönn,теш
5,Zunge::N,tunga,тел
6,Lippe::N,vör,ирен
7,Wange::N,kinn,яцаҡтар
8,Wange::N,vangi,яцаҡтар
9,Gesicht::N,andlit,бит
10,Stirn::N,enni,маңлай
11,Haar::N,hár,сәс
12,Schnurrbart::N,yfirskegg,мылтыҡ
13,Bart::N,skegg,һаҡал
14,Kinn::N,haka,эйэк
15,Kiefer[Anatomie]::N,kjálki,яңаҡ һөйәге
16,Kiefer[Anatomie]::N,skoltur,яңаҡ һөйәге
17,Kehle::N,kverk,тамаҡ
18,Hals::N,háls,муйын
19,Genick::N,hnakki,соңҡа
20,Kopf::N,höfuð,баш
21,Rücken::N,hryggur,арҡа
22,Bauch::N,kviður,ҡорһаҡ
23,Nabel::N,nafli,кендек
24,Busen::N,barmur,күкрәк
25,Brust::N,brjóst,түш
26,Schulter::N,öxl,яурын
27,Arm::N,armur,ҡул
28,Ellenbogen::N,olnbogi,терһәк
29,Hand::N,hönd,ҡул
30,Hand::N,hönd,ҡул суғы
31,Handfläche::N,lófi,ус төбө
32,Finger::N,fingur,бармаҡ
33,Fingernagel::N,fingurnögl,тырнаҡ
34,Nagel[Anatomie]::N,nögl,тырнаҡ
35,Zeh::N,tá,бармаҡ
36,Fuß::N,fótur,табан
37,Ferse::N,hæll,үксә
38,Knie::N,kné,тубыҡ
39,Oberschenkel::N,læri,сандыр
40,Bein::N,fótleggur,аяҡ
41,Körper::N,búkur,тән
42,Körper::N,líkami,тән
43,Haut::N,húð,тире
44,Haut::N,skinn,тире
45,Blut::N,blóð,ҡан
46,Ader::N,æð,тамыр
47,Sehne::N,sin,һеңер
48,Sehne::N,sin,тарамыш
49,Knochen::N,bein,һойәк
50,Gehirn::N,heili,мейе
51,Herz::N,hjarta,йорәк
52,Magen::N,magi,ашҡаҙан
53,Leber::N,lifur,бауыр
54,Atem::N,andi,һулыш
55,Atem::N,andardráttur,һулыш
56,Hunger::N,hungur,аслыҡ
57,Träne::N,tár,күҙ иәше
58,Geschmack::N,smekkur,тәм
59,Geruch::N,lykt,еҫ
60,Schlaf::N,svefn,йоҡлау
61,Traum::N,draumur,төш
62,Himmel::N,himinn,күк
