,Concept_ID,te,tt
0,Auge::N,కన్ను,күз
1,Ohr::N,చెవి,колак
2,Nase::N,ముక్కు,борын
3,Mund::N,నోరు,авыз
4,Mund::N,నోరు,тамак
5,Zahn::N,పల్లు,теш
6,Zunge::N,నాలుక,тел
7,Lippe::N,పెదవి,ирен
8,Wange::N,చెంప,яңак
9,Gesicht::N,ముఖము,йөз
10,Stirn::N,నుదురు,маңгай
11,Haar::N,వెండ్రుక,чәч
12,Schnurrbart::N,మీసము,мыек
13,Bart::N,గడ్డము,сакал
14,Kinn::N,గడ్డము,ияк
15,Kiefer[Anatomie]::N,దౌడ,казналык
16,Kehle::N,గొంతు,тамак
17,Hals::N,మెడ,бугаз
18,Genick::N,మూపు,җилкә
19,Kopf::N,తల,баш
20,Rücken::N,వెన్ను,сырт
21,Bauch::N,కడుపు,корсак
22,Nabel::N,బొడ్డు,кендек
23,Busen::N,స్తనము,түш
24,Brust::N,ఱొమ్ము,имчәк
25,Brust::N,ఱొమ్ము,күкрәк
26,Schulter::N,భుజము,иңбаш
27,Schulter::N,భుజము,кулбаш
28,Arm::N,చేయి,кул
29,Ellenbogen::N,మోచేయి,терсәк
30,Hand::N,చేయి,кул
31,Handfläche::N,అరచేయు,уч
32,Finger::N,చేతిప్రేలు,бармак
33,Fingernagel::N,గోరు,тырнак
34,Nagel[Anatomie]::N,గోరు,тырнак
35,Zeh::N,కాలిప్రేలు,бармак
36,Fuß::N,అడుగు,табан
37,Ferse::N,మడమ,үкчә
38,Knie::N,మోకాలు,тез
39,Oberschenkel::N,తొడ,бот
40,Bein::N,కాలు,аяк
41,Körper::N,కాయము,тән
42,Körper::N,కాయము,җисем
43,Haut::N,చర్మము,тире
44,Blut::N,రక్తము,кан
45,Ader::N,సిర,тамыр
46,Sehne::N,స్నాయువు,сеңер
47,Knochen::N,ఎముక,сөяк
48,Gehirn::N,మెదడు,ми
49,Herz::N,హృదయము,йөрәк
50,Magen::N,కడుపు,ашказаны
51,Leber::N,కాలేయము,бавыр
52,Atem::N,ఉపిరి,сулыш
53,Hunger::N,ఆకలి,ачлык
54,Träne::N,కన్నీటిచుక్క,яшь
55,Geschmack::N,రుచి,тәм
56,Geschmack::N,రుచి,зәвык
57,Geruch::N,వాసన,ис
58,Schlaf::N,నిద్ర,йокы
59,Traum::N,కల,төш
60,Himmel::N,ఆకాశము,күк
61,Sonne::N,సూర్యుడు,кояш
62,Mond::N,చంద్రుడు,ай
63,Stern::N,నక్షత్రము,йолдыз
64,Luft::N,గాలి,һава
65,Wind::N,వీచుచున్నగాలి,җил
66,Welle::N,అల,дулкын
67,Wasser::N,నీరు,су
68,Stein::N,ఱాయి,таш
69,Boden::N,నేల,туфрак
70,Erde::N,మన్ను,җир
71,Staub::N,దుమ్ము,тузан
72,Rauch::N,పొగ,төтен
73,Funke::N,అగ్నికణము,очкын
74,Feuer::N,అగ్ని,ут
75,Licht::N,కాంతి,якты
76,Schatten::N,నీడ,күләгә
77,Wetter::N,వాతావరణ స్థితి,һава
78,Nebel::N,పొగమంచు,томан
79,Wolke::N,మేఘము,болыт
80,Regen::N,వాన,яңгыр
81,Schnee::N,హిమము,кар
82,Eis::N,మంచుగడ్డ,боз
83,Frost::N,పేరిన మంచు,суык
84,Frost::N,పేరిన మంచు,салкын
85,Kälte::N,చలి,суык
86,Kälte::N,చలి,салкын
87,Hitze::N,వేడిమి,эсселек
88,Raureif::N,మంచు,бәс
89,Raureif::N,మంచు,сыкы
90,Regenbogen::N,ఇంద్రధనుస్సు,салават күпере
91,Donner::N,ఉరుము,күкрәү
92,Strömung::N,ప్రవాహము,агыш'агым
93,Tropfen::N,చుక్క,тамчы
94,Schaum::N,నురుగు,күбек
95,Schmutz::N,మైల,пычрак
96,See::N,సరస్సు,күл
97,Sumpf::N,చిత్తడినేల,саз
98,Moor::N,చిత్తడినేల,торфлык
99,Wiese::N,పచ్చిక బయలు,болын
100,Wald::N,అడవి,урман
101,Hügel::N,చివ్నకొండ,калку
102,Anhöhe::N,కొండ,үр
103,Berg::N,పర్వతము,тау
104,Gipfel::N,శిఖరము,оч
105,Höhle::N,గుహ,мәгарә
106,Abhang::N,ఏటవాలు,кабырга
107,Quelle::N,మూలము,чишмә
108,Bach::N,కాలువ,елга
109,Fluss::N,నది,дәрья
110,Ufer::N,తీరము,су кырые
111,Küste::N,తీరము,яр буе
112,Festland::N,భూమి,коры җир
113,Meer::N,సముద్రము,диңгез
114,Bucht::N,మరుగు,бухта
115,Bucht::N,మరుగు,култык
116,Insel::N,దీవి,атау
117,Insel::N,దీవి,утрау
118,Blume::N,పుష్పము,чәчкә
119,Gras::N,పచ్చగడ్డి,үлән
120,Wurzel::N,వేరు,тамыр
121,Baum::N,చెట్టు,агач
122,Stamm::N,చెట్టుబోదె,кәүсә
