,Concept_ID,ml,is
0,Auge::N,കണ്ണ്,auga
1,Ohr::N,ചെവി,eyra
2,Nase::N,മൂക്ക്,nef
3,Mund::N,വായ,munnur
4,Zahn::N,പല്ല്,tönn
5,Zunge::N,നാക്ക്,tunga
6,Lippe::N,ചുണ്ട്,vör
7,Wange::N,കവിൾത്തടം,kinn
8,Wange::N,കവിൾത്തടം,vangi
9,Gesicht::N,മുഖം,andlit
10,Stirn::N,നെറ്റി,enni
11,Haar::N,തലമുടി,hár
12,Schnurrbart::N,മീശ,yfirskegg
13,Bart::N,താടിരോമം,skegg
14,Kinn::N,താടി,haka
15,Kiefer[Anatomie]::N,താടിയെല്ല്,kjálki
16,Kiefer[Anatomie]::N,താടിയെല്ല്,skoltur
17,Kehle::N,കണ്ഠനാളം,kverk
18,Hals::N,കഴുത്ത്,háls
19,Genick::N,പിടലി,hnakki
20,Kopf::N,തല,höfuð
21,Rücken::N,മുതുക്,hryggur
22,Bauch::N,നയറ്,kviður
23,Nabel::N,നാഭി,nafli
24,Busen::N,സ്തനം,barmur
25,Brust::N,സ്തനം,brjóst
26,Schulter::N,തോൾ,öxl
27,Arm::N,കൈ,armur
28,Ellenbogen::N,കൈമുട്ട്,olnbogi
29,Hand::N,കൈ,hönd
30,Handfläche::N,ഉള്ളം കൈ,lófi
31,Finger::N,വിരൽ,fingur
32,Fingernagel::N,നഖം,fingurnögl
33,Nagel[Anatomie]::N,നഖം,nögl
34,Zeh::N,കാൽവിരൽ,tá
35,Fuß::N,കാൽപ്പാദം,fótur
36,Ferse::N,ഉപ്പൂറ്റി,hæll
37,Knie::N,കാൽമുട്ട്,kné
38,Oberschenkel::N,തുട,læri
39,Bein::N,കാൽ,fótleggur
40,Körper::N,ശരീരം,búkur
41,Körper::N,ശരീരം,líkami
42,Haut::N,ചർമ്മം,húð
43,Haut::N,ചർമ്മം,skinn
44,Blut::N,രക്തം,blóð
45,Ader::N,ഞരമ്പ്,æð
46,Sehne::N,സ്നായു,sin
47,Knochen::N,അസ്ഥി,bein
48,Gehirn::N,തലച്ചോറ്,heili
49,Herz::N,ഹൃദയം,hjarta
50,Magen::N,വയർ,magi
51,Leber::N,കരൾ,lifur
52,Atem::N,ശ്വാസം,andi
53,Atem::N,ശ്വാസം,andardráttur
54,Hunger::N,വിശപ്പ്,hungur
55,Träne::N,കണ്ണീർ,tár
56,Geschmack::N,രുചി,smekkur
57,Geruch::N,ഗന്ധം,lykt
58,Schlaf::N,ഉറകും,svefn
59,Traum::N,സ്വപ്നം,draumur
60,Himmel::N,ആകാശം,himinn
61,Sonne::N,സൂര്യൻ,sól
62,Mond::N,ചന്ദ്രൻ,tungl
63,Stern::N,നക്ഷത്രം,stjarna
64,Luft::N,കാറ്റ്,loft
65,Wind::N,കാറ്റ്,vindur
66,Welle::N,തിരമാല,alda
67,Welle::N,തിരമാല,bylgja
68,Wasser::N,വെള്ളം,vatn
69,Stein::N,ശില,steinn
70,Stein::N,കല്ല്,steinn
71,Boden::N,തറ,botn
72,Boden::N,നിലം,botn
73,Erde::N,മണ്ണ്,jörð
74,Staub::N,പൊടി,ryk
75,Staub::N,പൊടി,duft
76,Rauch::N,പുക,reykur
77,Funke::N,തീപ്പൊരി,neisti
78,Feuer::N,തീ,eldur
79,Licht::N,വിളക്ക്,ljós
80,Licht::N,സൂര്യപ്രകാശം,ljós
81,Schatten::N,തണൽ,skuggi
82,Wetter::N,കാലാവസ്ഥ,veður
83,Nebel::N,മൂടൽമഞ്ഞ്,þoka
84,Wolke::N,മേഘം,ský
85,Regen::N,മഴ,regn
86,Schnee::N,മഞ്ഞ്,snjór
87,Eis::N,ഐസ്,ís
88,Frost::N,മൂടൽമഞ്ഞ്,frost
89,Kälte::N,തണുപ്പ്,kuldi
90,Hitze::N,ചൂട്,hiti
91,Raureif::N,കോടമഞ്ഞ്,hrím
92,Regenbogen::N,മഴവില്ല്,regnbogi
93,Donner::N,ഇടി,þruma
94,Strömung::N,പ്രവാഹം,straumur
95,Tropfen::N,തുള്ളി,dropi
96,Schaum::N,നുര,froða
97,Schmutz::N,അഴുക്ക്,óhreinindi
98,See::N,തടാകം,stöðuvatn
99,Sumpf::N,ചതുപ്പുനിലം,fen
100,Moor::N,പാഴ്നിലം,mýri
101,Wiese::N,പുൽത്തകിടി,engi
102,Wald::N,വനം,skógur
103,Wald::N,കാട്,skógur
104,Hügel::N,കുന്ന്,hæð
105,Hügel::N,കുന്ന്,hóll
106,Anhöhe::N,ഉയർന്ന ഭൂമി,hæð
107,Anhöhe::N,ഉയർന്ന ഭൂമി,hóll
108,Berg::N,പർവ്വതം,fell
109,Berg::N,പർവ്വതം,fjall
110,Gipfel::N,ഉച്ചകോടി,tindur
111,Höhle::N,ഗുഹ,hellir
112,Abhang::N,ചരിവ്,hlíð
113,Abhang::N,ചരിവ്,brekka
114,Quelle::N,ഉറവിടം,lind
115,Quelle::N,ഉറവിടം,uppspretta
116,Bach::N,അരുവി,lækur
117,Fluss::N,നദി,á
118,Fluss::N,നദി,fljót
119,Ufer::N,തീരം,árbakki
120,Ufer::N,തീരം,sjávarbakki
121,Küste::N,കടൽത്തീരം,strönd
122,Festland::N,കര,meginland
123,Meer::N,കടൽ,haf
124,Meer::N,കടൽ,sjór
125,Bucht::N,ഉൾക്കടല്,vík
126,Insel::N,ദ്വീപ്,eyja
127,Blume::N,പൂവ്,blóm
128,Gras::N,പുല്ല്,gras
129,Wurzel::N,വേര്,rót
130,Baum::N,മരം,tré
131,Stamm::N,തായ്ത്തടി,stofn
132,Rinde::N,പട്ട,börkur
133,Ast::N,ശാഖ,grein
134,Zweig::N,ശാഖ,angi
135,Zweig::N,ശാഖ,kvistur
136,Blatt::N,ഇല,blað
137,Birke::N,പൂവരശ്,birki
138,Kiefer[Baum]::N,പൈൻമരം,fura
139,Weide[Baum]::N,വില്ലോ,víðir
140,Tanne::N,ദേവദാരു,greni
141,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,horn
142,Feder::N,തൂവൽ,fjöður
143,Fell::N,മൃദുരോമം,skinn
144,Flügel::N,ചിറക്,vængur
145,Klaue::N,നഖം,kló
146,Kralle::N,നഖം,kló
147,Schwanz::N,വാൽ,rófa
148,Schwanz::N,വാൽ,skott
149,Ei::N,മുട്ട,egg
150,Nest::N,കൂട്,hreiður
151,Bau::N,മാളം,greni
152,Bau::N,മാളം,bæli
153,Tier::N,മൃഗം,dýr
154,Herde::N,കൂട്ടം,hjörð
155,Kuh::N,പശു,kýr
156,Bulle::N,കാള,boli
157,Pferd::N,കുതിര,hestur
158,Schaf::N,ആട്,kind
159,Schwein::N,പന്നി,svín
160,Hund::N,നായ്,hundur
161,Katze::N,പൂച്ച,köttur
162,Bär::N,കരടി,björn
163,Eichhörnchen::N,അണ്ണാൻ,íkorni
164,Elch::N,കടമാന്,elgur
165,Fuchs::N,കുറുക്കൻ,refur
166,Hase::N,മുയൽ,héri
167,Maus::N,ചുണ്ടലി,mús
168,Wolf::N,ചെന്നായ,úlfur
169,Vogel::N,പക്ഷി,fugl
170,Schwarm::N,കൂട്ടം,sægur
171,Huhn::N,കോഴി,hæna
172,Hahn::N,പൂവൻകോഴി,hani
173,Gans::N,അരയന്നം,gæs
