,Concept_ID,kk,ml
0,Auge::N,көз,കണ്ണ്
1,Ohr::N,құлақ,ചെവി
2,Nase::N,мұрын,മൂക്ക്
3,Mund::N,ауыз,വായ
4,Zahn::N,тіс,പല്ല്
5,Zunge::N,тіл,നാക്ക്
6,Lippe::N,ерін,ചുണ്ട്
7,Wange::N,ұрт,കവിൾത്തടം
8,Gesicht::N,бет-аузы,മുഖം
9,Stirn::N,маңдай,നെറ്റി
10,Haar::N,қыл,തലമുടി
11,Schnurrbart::N,мұрт,മീശ
12,Bart::N,сақал,താടിരോമം
13,Kinn::N,иек,താടി
14,Kiefer[Anatomie]::N,жақ,താടിയെല്ല്
15,Kehle::N,алқым,കണ്ഠനാളം
16,Hals::N,мойын,കഴുത്ത്
17,Genick::N,желке,പിടലി
18,Kopf::N,кәллә,തല
19,Rücken::N,арқа,മുതുക്
20,Bauch::N,қарын,നയറ്
21,Nabel::N,кіндік,നാഭി
22,Busen::N,омырау,സ്തനം
23,Brust::N,кеуде,സ്തനം
24,Schulter::N,иық,തോൾ
25,Arm::N,қол,കൈ
26,Ellenbogen::N,шынтақ,കൈമുട്ട്
27,Hand::N,қол,കൈ
28,Handfläche::N,алақан,ഉള്ളം കൈ
29,Finger::N,саусақ,വിരൽ
30,Fingernagel::N,тырнақ,നഖം
31,Nagel[Anatomie]::N,тырнақ,നഖം
32,Zeh::N,тырнақ,കാൽവിരൽ
33,Zeh::N,тұяқ,കാൽവിരൽ
34,Fuß::N,аяқ-басы,കാൽപ്പാദം
35,Ferse::N,өкше,ഉപ്പൂറ്റി
36,Ferse::N,өкшелік,ഉപ്പൂറ്റി
37,Knie::N,тізе,കാൽമുട്ട്
38,Oberschenkel::N,жамбас,തുട
39,Bein::N,аяқ,കാൽ
40,Körper::N,дене,ശരീരം
41,Haut::N,тері,ചർമ്മം
42,Blut::N,қан,രക്തം
43,Ader::N,көктамыр,ഞരമ്പ്
44,Ader::N,күретамыр,ഞരമ്പ്
45,Sehne::N,сіңір,സ്നായു
46,Knochen::N,жілік,അസ്ഥി
47,Gehirn::N,ми,തലച്ചോറ്
48,Herz::N,жүрек,ഹൃദയം
49,Magen::N,асқазан,വയർ
50,Leber::N,бауыр,കരൾ
51,Atem::N,леп,ശ്വാസം
52,Hunger::N,ашаршылық,വിശപ്പ്
53,Träne::N,жас,കണ്ണീർ
54,Geschmack::N,дәм,രുചി
55,Geschmack::N,татым,രുചി
56,Geschmack::N,талғам,രുചി
57,Geruch::N,иіс,ഗന്ധം
58,Schlaf::N,ұйқы,ഉറകും
59,Schlaf::N,ұйықтау,ഉറകും
60,Traum::N,түс,സ്വപ്നം
61,Himmel::N,аспан,ആകാശം
62,Himmel::N,көқ,ആകാശം
63,Himmel::N,таңдай,ആകാശം
64,Sonne::N,күн,സൂര്യൻ
65,Mond::N,ай,ചന്ദ്രൻ
66,Stern::N,жұлдыз,നക്ഷത്രം
67,Luft::N,әуе,കാറ്റ്
68,Wind::N,жел,കാറ്റ്
69,Welle::N,толқын,തിരമാല
70,Wasser::N,су,വെള്ളം
71,Stein::N,тас,ശില
72,Stein::N,тас,കല്ല്
73,Boden::N,қыртыс,തറ
74,Boden::N,қыртыс,നിലം
75,Erde::N,топырақ,മണ്ണ്
76,Staub::N,шаң,പൊടി
77,Rauch::N,түтін,പുക
78,Funke::N,ұшқын,തീപ്പൊരി
79,Feuer::N,алау,തീ
80,Licht::N,шұғыла,വിളക്ക്
81,Licht::N,шұғыла,സൂര്യപ്രകാശം
82,Schatten::N,көлеңке,തണൽ
