,Concept_ID,it,en
0,Auge::N,occhio,eye
1,Ohr::N,orecchio,ear
2,Nase::N,naso,nose
3,Mund::N,bocca,mouth
4,Zahn::N,dente,tooth
5,Zunge::N,lingua,tongue
6,Lippe::N,labbro,lip
7,Wange::N,guancia,cheek
8,Gesicht::N,viso,face
9,Gesicht::N,faccia,face
10,Stirn::N,fronte,forehead
11,Haar::N,capello,hair
12,Schnurrbart::N,baffi,moustache
13,Schnurrbart::N,mustacchi,moustache
14,Bart::N,barba,beard
15,Kinn::N,mento,chin
16,Kiefer[Anatomie]::N,mascella,jaw
17,Kehle::N,gola,throat
18,Hals::N,collo,neck
19,Genick::N,nuca,nape
20,Kopf::N,capo,head
21,Kopf::N,testa,head
22,Rücken::N,dorso,back
23,Rücken::N,dorso,spine
24,Rücken::N,schiena,back
25,Rücken::N,schiena,spine
26,Bauch::N,ventre,belly
27,Nabel::N,ombelico,navel
28,Busen::N,seno,bosom
29,Brust::N,petto,chest
30,Brust::N,petto,breast
31,Schulter::N,spalla,shoulder
32,Arm::N,braccio,arm
33,Ellenbogen::N,gomito,elbow
34,Hand::N,mano,hand
35,Handfläche::N,palma,palm
36,Finger::N,dito,finger
37,Fingernagel::N,unghia,fingernail
38,Nagel[Anatomie]::N,unghia,nail
39,Zeh::N,dito del piede,toe
40,Fuß::N,piede,foot
41,Ferse::N,tallone,heel
42,Ferse::N,calcagno,heel
43,Knie::N,ginocchio,knee
44,Oberschenkel::N,fèmore,thigh
45,Bein::N,gamba,leg
46,Körper::N,corpo,body
47,Haut::N,pelle,skin
48,Blut::N,sangue,blood
49,Ader::N,vena,vein
50,Sehne::N,tèndine,sinew
51,Knochen::N,osso,bone
52,Gehirn::N,cervello,brain
53,Herz::N,cuore,heart
54,Magen::N,stòmaco,stomach
55,Leber::N,fegato,liver
56,Atem::N,fiato,breath
57,Atem::N,respiro,breath
58,Hunger::N,fame,hunger
59,Träne::N,làcrima,tear
60,Geschmack::N,gusto,flavour
61,Geschmack::N,gusto,flavor
62,Geschmack::N,sapore,flavour
