,Concept_ID,bg,pl
0,Auge::N,око,oko
1,Ohr::N,ухо,ucho
2,Nase::N,нос,nos
3,Mund::N,уста,usta
4,Zahn::N,зъб,ząb
5,Zunge::N,език,język
6,Lippe::N,устна,warga
7,Wange::N,буза,policzek
8,Gesicht::N,лице,twarz
9,Gesicht::N,образ,twarz
10,Stirn::N,чело,czoło
11,Haar::N,коса,włos
12,Haar::N,коса,włosy
13,Haar::N,косъм,włos
14,Haar::N,косъм,włosy
15,Schnurrbart::N,мустаци,wąsy
16,Bart::N,брада,broda
17,Kinn::N,брада,podbródek
18,Kinn::N,брадичка,podbródek
19,Kiefer[Anatomie]::N,челюст,czeluść
20,Kehle::N,гърло,gardło
21,Hals::N,врат,szyja
22,Genick::N,тил,kark
23,Kopf::N,глава,głowa
24,Rücken::N,гръб,plecy
25,Rücken::N,гръб,grzbiet
26,Bauch::N,корем,brzuch
27,Nabel::N,пъп,pępek
28,Busen::N,бозка,biust
29,Brust::N,гръд,pierś
30,Schulter::N,рамо,bark
31,Schulter::N,рамо,ramię
32,Schulter::N,плещи,bark
33,Schulter::N,плещи,ramię
34,Arm::N,ръка,ręka
35,Arm::N,ръка,ramię
36,Ellenbogen::N,лакът,łokieć
37,Hand::N,ръка,dłoń
38,Hand::N,китка,dłoń
39,Handfläche::N,длан,dłoń
40,Finger::N,пръст,palec
41,Fingernagel::N,нокът,paznokieć
42,Nagel[Anatomie]::N,нокът,paznokieć
43,Zeh::N,пръст на крак,palec
44,Fuß::N,крак,stopa
45,Fuß::N,нога,stopa
46,Ferse::N,пета,pięta
47,Knie::N,коляно,kolano
48,Oberschenkel::N,бедро,udo
49,Bein::N,крак,noga
50,Bein::N,нога,noga
51,Körper::N,тяло,ciało
52,Haut::N,кожа,skóra
53,Blut::N,кръв,krew
54,Ader::N,вена,żyła
55,Ader::N,артерия,żyła
56,Sehne::N,жила,ścięgno
57,Sehne::N,сухожилие,ścięgno
58,Knochen::N,кост,kość
59,Gehirn::N,мозък,mózg
60,Herz::N,сърце,serce
61,Magen::N,стомах,żołądek
62,Leber::N,черен дроб,wątroba
63,Atem::N,дишане,dech
64,Atem::N,дишане,oddech
65,Hunger::N,глад,głód
66,Träne::N,сълза,łza
67,Geschmack::N,вкус,smak
68,Geruch::N,миризма,woń
69,Geruch::N,миризма,zapach
70,Schlaf::N,сън,sen
71,Traum::N,сън,sen
72,Himmel::N,небе,niebo
73,Sonne::N,слънце,słońce
74,Mond::N,луна,księżyc
75,Mond::N,месец,księżyc
76,Stern::N,звезда,gwiazda
77,Luft::N,въздух,powietrze
78,Wind::N,вятър,wiatr
79,Welle::N,вълна,fala
80,Wasser::N,вода,woda
81,Stein::N,камък,kamień
82,Boden::N,земя,grunt
83,Boden::N,почва,grunt
84,Erde::N,земя,ziemia
85,Erde::N,почва,ziemia
86,Staub::N,прах,pył
87,Staub::N,прах,kurz
88,Rauch::N,дим,dym
89,Rauch::N,пушек,dym
90,Funke::N,искра,iskra
91,Feuer::N,огън,ogień
92,Licht::N,светлина,światło
93,Schatten::N,сянка,cień
94,Wetter::N,време,pogoda
95,Nebel::N,мъгла,mgła
96,Wolke::N,облак,obłok
97,Wolke::N,облак,chmura
98,Regen::N,дъжд,deszcz
99,Schnee::N,сняг,śnieg
100,Eis::N,лед,lód
101,Frost::N,мраз,mróz
102,Kälte::N,студ,chłód
103,Hitze::N,жега,gorąco
104,Hitze::N,горещина,gorąco
105,Raureif::N,скреж,szron
106,Raureif::N,слана,szron
107,Regenbogen::N,дъга,tęcza
108,Donner::N,гръм,grzmot
109,Strömung::N,течение,nurt
110,Tropfen::N,капка,kropla
111,Schaum::N,пяна,piana
112,Schmutz::N,кал,brud
113,Schmutz::N,мръсотия,brud
114,See::N,езеро,jezioro
115,Sumpf::N,блато,bagno
116,Moor::N,мочурище,bagno
117,Wiese::N,ливада,łąka
118,Wald::N,гора,las
119,Hügel::N,рид,pagórek
120,Hügel::N,хълм,pagórek
121,Anhöhe::N,могила,wzgórze
122,Anhöhe::N,възвишение,wzgórze
123,Berg::N,планина,góra
124,Gipfel::N,връх,szczyt
125,Gipfel::N,връх,wierzchołek
126,Höhle::N,пещера,pieczara
127,Abhang::N,склон,stok
128,Abhang::N,склон,zbocze
129,Abhang::N,стръмнина,stok
130,Abhang::N,стръмнина,zbocze
131,Quelle::N,извор,zdrój
132,Quelle::N,извор,źródło
133,Bach::N,поток,potok
134,Bach::N,поток,strumień
135,Fluss::N,река,rzeka
136,Ufer::N,бряг,brzeg
137,Küste::N,бряг,wybrzeże
138,Küste::N,крайбрежие,wybrzeże
139,Festland::N,суша,ląd
140,Meer::N,море,morze
141,Bucht::N,залив,zatoka
142,Insel::N,остров,wyspa
143,Blume::N,цвете,kwiat
144,Gras::N,трева,trawa
145,Wurzel::N,корен,korzeń
146,Baum::N,дърво,drzewo
147,Stamm::N,стъбло,pień
148,Rinde::N,кора,kora
149,Ast::N,клон,gałąź
150,Zweig::N,клон,gałąź
151,Blatt::N,лист,liść
152,Birke::N,бреза,brzoza
153,Kiefer[Baum]::N,бор,sosna
154,Weide[Baum]::N,върба,wierzba
155,Tanne::N,ела,jodła
156,Horn::N,рог,róg
157,Feder::N,перо,pióro
158,Fell::N,кожа,futro
159,Flügel::N,крило,skrzydło
160,Klaue::N,нокът,szpon
161,Kralle::N,нокът,pazur
162,Schwanz::N,опашка,ogon
163,Ei::N,яйце,jajko
164,Nest::N,гнездо,gniazdo
165,Bau::N,дупка,nora
166,Tier::N,животно,zwierzę
167,Herde::N,стадо,stado
168,Herde::N,стадо,trzoda
169,Kuh::N,крава,krowa
170,Bulle::N,бик,byk
171,Pferd::N,кон,koń
172,Schaf::N,овца,owca
173,Schwein::N,свиня,świnia
174,Hund::N,куче,pies
175,Katze::N,котка,kot
176,Katze::N,котка,kotka
177,Bär::N,мечка,niedźwiedż
178,Eichhörnchen::N,катерица,wiewiórka
179,Elch::N,лос,łóś
180,Fuchs::N,лисица,lis
181,Hase::N,заек,zając
182,Maus::N,мишка,mysz
183,Wolf::N,вълк,wilk
184,Vogel::N,птица,ptak
185,Schwarm::N,рой,stado
186,Schwarm::N,рояк,stado
187,Huhn::N,кокошка,kura
188,Hahn::N,петел,kogut
189,Gans::N,гъска,gęś
190,Adler::N,орел,orzeł
191,Ente::N,патица,kaczka
192,Eule::N,сова,sowa
193,Kranich::N,жерав,żuraw
194,Krähe::N,врана,wrona
195,Kuckuck::N,кукувица,kukułka
196,Schwan::N,лебед,łabędż
197,Fisch::N,риба,ryba
198,Barsch::N,костур,okoń
199,Hecht::N,щука,szczupak
200,Schlange[Tier]::N,змия,wąż
201,Schlange[Tier]::N,змия,żmija
202,Wurm::N,червей,robak
203,Spinne::N,паяк,pająk
204,Ameise::N,мравка,mrówka
205,Laus::N,въшка,wesz
206,Mücke::N,комар,komar
207,Fliege::N,муха,mucha
208,Schmetterling::N,пеперуда,motyl
209,Beere::N,плод,jagoda
