,Concept_ID,cs,fa
0,Auge::N,oko,چشم
1,Ohr::N,ucho,گوش
2,Nase::N,nos,بینی
3,Mund::N,pusa,دهان
4,Zahn::N,zub,دندان
5,Zunge::N,jazyk,زبان
6,Lippe::N,ret,لب
7,Wange::N,tvář,لپ
8,Gesicht::N,obličej,رو
9,Gesicht::N,obličej,چهره
10,Stirn::N,čelo,پیشانی
11,Haar::N,vlas,مو
12,Haar::N,vlasy,مو
13,Schnurrbart::N,kníry,سبیل
14,Bart::N,vousy,ریش
15,Kinn::N,brada,چانه
16,Kiefer[Anatomie]::N,čelist,فک
17,Kiefer[Anatomie]::N,čelist,آرواره
18,Kehle::N,hrdlo,حلق
19,Hals::N,krk,گردن
20,Genick::N,týl,پشت گردن
21,Kopf::N,hlava,سر
22,Kopf::N,hlava,کله
23,Rücken::N,záda,پشت
24,Rücken::N,hřbet,پشت
25,Bauch::N,břicho,شکم
26,Nabel::N,pupek,ناف
27,Busen::N,ňadra,پستان
28,Brust::N,prsa,سینه
29,Schulter::N,plece,دوش
30,Schulter::N,plece,شانه
31,Schulter::N,rameno,دوش
32,Schulter::N,rameno,شانه
33,Arm::N,ruka,بازو
34,Ellenbogen::N,loket,آرنج
35,Hand::N,ruka,دست
36,Handfläche::N,dlaň,کف دست
37,Finger::N,prst,انگشت
38,Fingernagel::N,nehet,ناخن دست
39,Nagel[Anatomie]::N,nehet,ناخن
40,Zeh::N,prst u nohy,انگشت پا
41,Fuß::N,noha,پا
42,Ferse::N,pata,پاشنه
43,Knie::N,koleno,زانو
44,Oberschenkel::N,stehno,ران
45,Bein::N,noha,پا
46,Bein::N,noha,لنگ
47,Körper::N,tělo,تن
48,Körper::N,tělo,بدن
49,Haut::N,kůže,پوست
50,Blut::N,krev,خون
51,Ader::N,céva,رگ
52,Sehne::N,šlacha,زردپی
53,Knochen::N,kost,استخوان
54,Gehirn::N,mozek,مخ
55,Gehirn::N,mozek,مغز
56,Herz::N,srdce,دل
57,Herz::N,srdce,قلب
58,Magen::N,žaludek,معده
59,Leber::N,játra,کبد
60,Atem::N,dech,نفس
61,Hunger::N,hlad,گرسنگی
62,Träne::N,slza,اشک
63,Geschmack::N,vkus,مزه
64,Geruch::N,vůně,بو
65,Geruch::N,zápach,بو
66,Schlaf::N,spánek,خواب
67,Traum::N,sen,رؤیا
68,Himmel::N,nebe,فلک
69,Himmel::N,nebe,آسمان
70,Sonne::N,slunce,آفتاب
71,Sonne::N,slunce,خورشید
72,Mond::N,měsíc,ماه
73,Stern::N,hvězda,ستاره
74,Luft::N,vzduch,هوا
75,Wind::N,vítr,باد
76,Welle::N,vlna,موج
77,Wasser::N,voda,آب
78,Stein::N,kámen,سنگ
79,Boden::N,půda,زمین
80,Erde::N,země,خاک
81,Erde::N,země,زمین
82,Staub::N,prach,گرد
83,Staub::N,prach,غبار
84,Rauch::N,dým,دود
85,Rauch::N,kouř,دود
86,Funke::N,jiskra,جرقه
87,Feuer::N,oheň,آتش
88,Licht::N,světlo,نور
89,Licht::N,světlo,روشنی
90,Schatten::N,stín,سایه
91,Wetter::N,počasí,هوا
92,Nebel::N,mlha,مه
93,Wolke::N,mrak,ابر
94,Wolke::N,oblak,ابر
95,Regen::N,déšť,باران
96,Schnee::N,sníh,برف
97,Eis::N,led,یخ
98,Frost::N,mráz,یخبندان
99,Kälte::N,chlad,سرما
100,Hitze::N,horko,گرما
101,Hitze::N,horko,حرارت
102,Raureif::N,jinovatka,برف ریزه
103,Regenbogen::N,duha,رنگین‌کمان
104,Donner::N,hrom,رعد
105,Strömung::N,proudění,جریان
106,Tropfen::N,kapka,قطره
107,Schaum::N,pěna,کف
108,Schmutz::N,špína,گل
109,Schmutz::N,špína,کثافت
110,See::N,jezero,دریاچه
111,Sumpf::N,močál,مرداب
112,Sumpf::N,močál,باتلاق
113,Sumpf::N,bažina,مرداب
114,Sumpf::N,bažina,باتلاق
115,Moor::N,bažina,باتلاق
116,Moor::N,slatina,باتلاق
117,Wiese::N,louka,چمن
118,Wald::N,les,جنگل
119,Hügel::N,kopec,تل
120,Hügel::N,kopec,تپه
121,Anhöhe::N,pahorek,بلندی
122,Berg::N,hora,کوه
123,Gipfel::N,vrchol,قله
124,Höhle::N,jeskyně,غار
125,Abhang::N,svah,سرازیری
126,Abhang::N,stráň,سرازیری
127,Quelle::N,pramen,چشمه
128,Bach::N,potok,نهر
129,Fluss::N,řeka,رود
130,Ufer::N,břeh,ساحل
131,Ufer::N,břeh,کرانه
132,Küste::N,pobřeží,ساحل
133,Festland::N,souš,خشکی
134,Festland::N,pevnina,خشکی
135,Meer::N,moře,دریا
136,Bucht::N,záliv,خلیج
137,Bucht::N,zátoka,خلیج
138,Insel::N,ostrov,جزیره
139,Blume::N,květina,گل
140,Gras::N,tráva,علف
141,Wurzel::N,kořen,ریشه
142,Baum::N,strom,درخت
143,Stamm::N,kmen,تنه
144,Rinde::N,kůra,توژ
145,Rinde::N,kůra,پوست
146,Ast::N,větev,شاخه
147,Zweig::N,větev,شاخه
148,Blatt::N,lupen,برگ
149,Birke::N,bříza,غان
150,Kiefer[Baum]::N,sosna,کاج
151,Kiefer[Baum]::N,borovice,کاج
152,Weide[Baum]::N,vrba,بید
153,Tanne::N,jedle,صنوبر
154,Horn::N,roh,شاخ
155,Feder::N,pero,پر
156,Fell::N,srst,خز
157,Flügel::N,křídlo,پر
158,Flügel::N,křídlo,بال
159,Klaue::N,dráp,چنگ
160,Klaue::N,dráp,پنجه
161,Klaue::N,pazneht,چنگ
162,Klaue::N,pazneht,پنجه
163,Kralle::N,dráp,پنجه
164,Schwanz::N,ocas,دم
165,Ei::N,vejce,تخم
166,Nest::N,hnízdo,لانه
167,Bau::N,nora,بنا
168,Bau::N,nora,ساختمان
169,Tier::N,zvíře,هیوان
170,Herde::N,stádo,رمه
171,Kuh::N,kráva,گاو
172,Bulle::N,býk,گاو نر
173,Pferd::N,kůň,اسب
174,Schaf::N,ovce,گوسفند
175,Schwein::N,vepř,خوک
176,Schwein::N,prase,خوک
177,Hund::N,pes,سگ
178,Katze::N,kočka,گربه
179,Bär::N,medvěd,خرس
180,Eichhörnchen::N,veverka,سنجاب
181,Elch::N,los,گوزن شمالی
182,Fuchs::N,liška,روباه
183,Hase::N,zajíc,خرگوش
184,Maus::N,myš,موش
185,Wolf::N,vlk,گرگ
186,Vogel::N,pták,پرنده
187,Schwarm::N,roj,دسته
188,Schwarm::N,hejno,دسته
189,Huhn::N,kuře,مرغ
190,Huhn::N,slepice,مرغ
191,Hahn::N,kohout,خروس
192,Gans::N,husa,غاز
193,Adler::N,orel,عقاب
194,Ente::N,kachna,اردک
195,Ente::N,kachna,مرغابی
196,Eule::N,sova,جغد
197,Kranich::N,jeřáb,درنا
198,Krähe::N,vrána,زاغ
199,Krähe::N,vrána,کلاغ
200,Kuckuck::N,kukačka,فاخته
201,Schwan::N,labuť,قو
202,Fisch::N,ryba,ماهی
203,Barsch::N,okoun,ماهی خاردار
204,Hecht::N,štika,اردک ماهی
205,Schlange[Tier]::N,had,مار
