,Concept_ID,sq,ps
0,Auge::N,sy,سترګه
1,Ohr::N,vesh,غوږ
2,Nase::N,hundë,پوزه
3,Mund::N,gojë,خوله
4,Zahn::N,dhëmb,غاښ
5,Zunge::N,gjuhë,جبه
6,Lippe::N,buzë,شونډه
7,Wange::N,faqe,باړخو
8,Wange::N,mollëz,باړخو
9,Gesicht::N,fytyrë,مخ
10,Stirn::N,ballë,تندی
11,Stirn::N,ballë,وچولی
12,Haar::N,flokë,وېښته
13,Schnurrbart::N,mustaqe,برېت
14,Bart::N,mjekër,ږیره
15,Kinn::N,mjekër,زنه
16,Kiefer[Anatomie]::N,nofull,جامه
17,Kehle::N,fyt,غاړه
18,Kehle::N,grykë,غاړه
19,Hals::N,qafë,غاړه
20,Genick::N,arrëz,ورمېږ
21,Kopf::N,kokë,سر
22,Rücken::N,kurriz,شا
23,Bauch::N,bark,نس
24,Bauch::N,bark,ګېډه
25,Nabel::N,kërthizë,نوم
26,Busen::N,gji,تی
27,Brust::N,gjoks,سینه
28,Brust::N,kraharor,سینه
29,Schulter::N,sup,اوږه
30,Schulter::N,krah,اوږه
31,Arm::N,krah,لاس
32,Ellenbogen::N,bërryl,څنګل
33,Hand::N,dorë,لاس
34,Handfläche::N,pëllëmbë,ورغوی
35,Finger::N,gisht,ګوته
36,Fingernagel::N,thua,نوک
37,Nagel[Anatomie]::N,thua,نوک
38,Zeh::N,gisht i këmbës,ګوته
39,Fuß::N,këmbë,پښه
40,Ferse::N,thembër,پونده
41,Knie::N,gju,زنګون
42,Oberschenkel::N,kofshë,پتون
43,Bein::N,këmbë,پښه
44,Körper::N,trup,ځان
45,Haut::N,lëkurë,پوټکی
46,Blut::N,gjak,وینه
47,Ader::N,venë,رګ
48,Sehne::N,dell,پله
49,Knochen::N,asht,هډوکی
50,Knochen::N,kockë,هډوکی
51,Gehirn::N,tru,ماغزه
52,Herz::N,zemër,زړه
53,Magen::N,stomak,معده
54,Leber::N,mëlçi,ينه
55,Leber::N,mëlçi,ځیګر
56,Atem::N,frymë,نفس
57,Hunger::N,uri,ولږه
58,Träne::N,lot,اوښکه
59,Geschmack::N,shije,مزه
60,Geschmack::N,shije,خوند
61,Geruch::N,erë,بوی
62,Schlaf::N,gjumë,خوب
63,Traum::N,ëndërr,خوب
64,Himmel::N,qiell,اسمان
65,Sonne::N,diell,لمر
66,Mond::N,hënë,سپوږمۍ
67,Stern::N,yll,ستوری
68,Luft::N,ajër,هوا
69,Wind::N,erë,ورښ
70,Welle::N,valë,موج
71,Welle::N,dallgë,موج
72,Wasser::N,ujë,اوبه
73,Stein::N,gur,ډبره
74,Boden::N,tokë,مځکه
75,Boden::N,truall,مځکه
76,Erde::N,dhe,خاوره
77,Erde::N,baltë,خاوره
78,Staub::N,pluhur,ګرد
79,Staub::N,pluhur,خاوره
80,Rauch::N,tym,دود
81,Rauch::N,tym,لوګی
82,Funke::N,xixë,سپرغۍ
83,Funke::N,shkëndijë,سپرغۍ
84,Feuer::N,zjarr,اور
85,Licht::N,dritë,رڼا
86,Schatten::N,hije,سیوری
87,Wetter::N,mot,هوا
88,Nebel::N,mjegull,لړه
89,Wolke::N,re,ورېځ
90,Regen::N,shi,وریا
91,Regen::N,shi,باران
92,Schnee::N,borë,واوره
93,Eis::N,akull,یخ
94,Eis::N,akull,کنګل
95,Frost::N,ngricë,یخ
96,Kälte::N,të ftohtë,ساړه
97,Hitze::N,vapë,تودوخي
98,Hitze::N,nxehtësi,تودوخي
99,Raureif::N,cikmë,سپینه پرخه
100,Regenbogen::N,ylber,بوډۍ ټال
101,Regenbogen::N,ylber,سره زرغونه
102,Donner::N,gjëmim,تالنده
103,Donner::N,bubullimë,تالنده
104,Strömung::N,rrymë,بهېدنه
105,Tropfen::N,pikë,قطره
106,Tropfen::N,pikë,څاڅکی
107,Schaum::N,shkumë,ځګ
108,Schmutz::N,baltë,ناپاکي
109,See::N,liqen,جهیل
110,Sumpf::N,batak,جبه
111,Moor::N,kënetë,جبه
112,Wiese::N,livadh,چمن
113,Wiese::N,livadh,شنېلی
114,Wald::N,pyll,ځنګل
115,Hügel::N,kodër,تپه
116,Anhöhe::N,bregore,غونډۍ
117,Berg::N,mal,غ‍‍‍‍‍ر
118,Gipfel::N,kulm,څوکه
119,Höhle::N,shpellë,کاز
120,Höhle::N,zgafelle,کاز
121,Abhang::N,shpat,لمن
122,Abhang::N,tatëpjetë,لمن
123,Quelle::N,krua,چینه
124,Quelle::N,burim,چینه
125,Bach::N,virua,واله
126,Fluss::N,lumë,سیند
127,Ufer::N,breg,غاړه
128,Küste::N,anëdet,ساحل
129,Küste::N,bregdet,ساحل
130,Festland::N,kontinent,وچه
131,Meer::N,det,بحر
132,Meer::N,det,سمندر
133,Bucht::N,gji deti,کارۍ
134,Insel::N,ishull,ټاپو
135,Insel::N,ishull,جزيره
136,Insel::N,ujdhesë,ټاپو
137,Insel::N,ujdhesë,جزيره
138,Blume::N,lule,ګل
139,Gras::N,bar,واښه
140,Wurzel::N,rrënjë,ریښه
141,Baum::N,pemë,ونه
142,Stamm::N,trung,ډډ
143,Rinde::N,lëvore,پوستکی
144,Ast::N,degë,ښاخ
145,Zweig::N,bisk,څانګه
146,Blatt::N,fletë,پاڼه
147,Blatt::N,gjethe,پاڼه
148,Birke::N,mështekën,توس
149,Kiefer[Baum]::N,pishë,نښتر
150,Weide[Baum]::N,shelg,وله
151,Tanne::N,bredh,ناجو
152,Horn::N,bri,ښکر
153,Feder::N,pupël,بڼکه
154,Fell::N,lëkurë,پوستکی
155,Flügel::N,krah,وزر
156,Flügel::N,fletë,وزر
157,Klaue::N,kthetër,پنجه
158,Klaue::N,kthetër,منګول
159,Kralle::N,thua,پنجه
160,Kralle::N,thua,منګول
161,Kralle::N,kthetër,پنجه
162,Kralle::N,kthetër,منګول
163,Schwanz::N,bisht,لکۍ
164,Ei::N,vezë,وۍ
165,Ei::N,vezë,هګۍ
166,Nest::N,fole,جاله
167,Bau::N,strofkë,کاز
168,Tier::N,kafshë,ژوی
169,Tier::N,kafshë,حیوان
170,Herde::N,kope,رمه
171,Herde::N,kope,غېله
172,Herde::N,grigjë,رمه
173,Herde::N,grigjë,غېله
174,Kuh::N,lopë,غوا
175,Bulle::N,dem,غوئی
176,Pferd::N,kalë,آس
177,Schaf::N,dele,پسه
178,Schwein::N,derr,سرکوزی
179,Hund::N,qen,سپی
180,Katze::N,mace,پشه
181,Bär::N,ari,خرس
182,Eichhörnchen::N,ketër,خړ لمی
183,Elch::N,dre brilopatë,ګوزن
184,Fuchs::N,dhelpër,سپلم
185,Hase::N,lepur,سوی
186,Maus::N,mi,مږک
187,Wolf::N,ujk,لېوه
188,Vogel::N,zog,مرغه
189,Vogel::N,shpend,مرغه
