,Concept_ID,lbe,lv
0,Auge::N,я,син
1,Auge::N,я,acs
2,Ohr::N,вичӏи,пель
3,Ohr::N,вичӏи,auss
4,Nase::N,май,ныр
5,Nase::N,май,deguns
6,Mund::N,кьацӏ,вом
7,Mund::N,кьацӏ,mute
8,Zahn::N,ккарччи,пинь
9,Zahn::N,ккарччи,zobs
10,Zunge::N,маз,кыв
11,Zunge::N,маз,mēle
12,Lippe::N,мурччи,вом дор
13,Lippe::N,мурччи,lūpa
14,Wange::N,чӏав,бан
15,Wange::N,чӏав,vaigs
16,Gesicht::N,лажин,чужӧм
17,Gesicht::N,лажин,seja
18,Gesicht::N,лажин,ģīmis
19,Stirn::N,ненттабакӏ,плеш
20,Stirn::N,ненттабакӏ,кымӧс
21,Stirn::N,ненттабакӏ,piere
22,Haar::N,чӏара,си
23,Haar::N,чӏара,юрси
24,Haar::N,чӏара,mats
25,Schnurrbart::N,ссирссилтту,ус
26,Schnurrbart::N,ссирссилтту,пыртсим
27,Schnurrbart::N,ссирссилтту,ūsas
28,Bart::N,чӏири,тош
29,Bart::N,чӏири,bārda
30,Kinn::N,лунттубакӏ,тшӧка
31,Kinn::N,лунттубакӏ,zods
32,Kinn::N,лунттубакӏ,smakrs
33,Kiefer[Anatomie]::N,ххинчулул,черлы
34,Kiefer[Anatomie]::N,ххинчулул,алака лы
35,Kiefer[Anatomie]::N,ххинчулул,вомкӧтш лы
36,Kiefer[Anatomie]::N,ххинчулул,žoklis
37,Kehle::N,кьакьари,голя
38,Kehle::N,кьакьари,rīkle
39,Hals::N,ссурссу,сьылі
40,Hals::N,ссурссу,kakls
41,Genick::N,махъабакӏ,юрбӧр
42,Genick::N,махъабакӏ,балябӧж
43,Genick::N,махъабакӏ,sprands
44,Kopf::N,бакӏ,юр
45,Kopf::N,бакӏ,galva
46,Rücken::N,ттиликӏ,мыш
47,Rücken::N,ттиликӏ,mugura
48,Bauch::N,лякьа,рушку
49,Bauch::N,лякьа,vēders
50,Nabel::N,цӏумуккутӏ,гӧг
51,Nabel::N,цӏумуккутӏ,naba
52,Busen::N,ккукку,морӧс
53,Busen::N,ккукку,krūts
54,Brust::N,хъазам,морӧс
55,Brust::N,хъазам,krūts
56,Schulter::N,хъачӏ,пельпом
57,Schulter::N,хъачӏ,plecs
58,Arm::N,ка,ки
59,Arm::N,ка,roka
60,Arm::N,ка,delms
61,Ellenbogen::N,ссюрхъ,гырддза
62,Ellenbogen::N,ссюрхъ,elkonis
63,Hand::N,бартка,ки
64,Hand::N,бартка,roka
65,Hand::N,бартка,plauksta
66,Handfläche::N,хъат,ки пыдӧс
67,Handfläche::N,хъат,delna
68,Handfläche::N,хъат,plauksta
69,Handfläche::N,битӏянхъ,ки пыдӧс
70,Handfläche::N,битӏянхъ,delna
71,Handfläche::N,битӏянхъ,plauksta
72,Finger::N,кӏисса,чунь
73,Finger::N,кӏисса,pirksts
74,Fingernagel::N,михь,гыж
75,Fingernagel::N,михь,nags
76,Nagel[Anatomie]::N,михь,гыж
77,Nagel[Anatomie]::N,михь,nags
78,Zeh::N,кӏисса,кок чунь
79,Zeh::N,кӏисса,pirksts
80,Fuß::N,чӏанччан,кок
81,Fuß::N,чӏанччан,kāja
82,Ferse::N,никъа,кокбӧр
83,Ferse::N,никъа,papēdis
84,Knie::N,ник,пидзӧс
85,Knie::N,ник,celis
86,Oberschenkel::N,жира,лядьвей
87,Oberschenkel::N,жира,бек
88,Oberschenkel::N,жира,ciska
89,Oberschenkel::N,жира,augšstilbs
90,Bein::N,ччан,кок
91,Bein::N,ччан,kāja
92,Körper::N,чурх,туша
93,Körper::N,чурх,вывтыр
94,Körper::N,чурх,miesa
95,Körper::N,чурх,ķermenis
96,Haut::N,бурчу,ку
97,Haut::N,бурчу,āda
98,Blut::N,оь,вир
99,Blut::N,оь,asins
100,Ader::N,тунну,сӧн
101,Ader::N,тунну,asinsvads
102,Sehne::N,хьхьа,вез
103,Sehne::N,хьхьа,dzīsla
104,Knochen::N,ттаркӏ,лы
105,Knochen::N,ттаркӏ,kauls
106,Gehirn::N,ня,вем
107,Gehirn::N,ня,smadzenes
108,Herz::N,дакӏ,сьӧлӧм
109,Herz::N,дакӏ,sirds
110,Herz::N,къюкӏ,сьӧлӧм
111,Herz::N,къюкӏ,sirds
112,Magen::N,лякьа,кынӧм
113,Magen::N,лякьа,kuņģis
114,Atem::N,ссихӏ ласаву,лов
115,Atem::N,ссихӏ ласаву,elpa
116,Atem::N,ссихӏ бигьаву,лов
117,Atem::N,ссихӏ бигьаву,elpa
118,Hunger::N,ккаши,тшыг
119,Hunger::N,ккаши,bads
120,Hunger::N,ккаши,izsalkums
121,Träne::N,макь,синва
122,Träne::N,макь,asara
123,Geschmack::N,тӏин,кӧр
124,Geschmack::N,тӏин,чӧсмӧс
125,Geschmack::N,тӏин,garša
126,Geschmack::N,тӏааьн,кӧр
127,Geschmack::N,тӏааьн,чӧсмӧс
128,Geschmack::N,тӏааьн,garša
129,Geruch::N,кьанкь,зын
130,Geruch::N,кьанкь,дук
131,Geruch::N,кьанкь,smaka
132,Schlaf::N,шану,узьӧм
133,Schlaf::N,шану,miegs
134,Traum::N,макӏру,вӧт
135,Traum::N,макӏру,вӧтасьӧм
136,Traum::N,макӏру,sapnis
137,Himmel::N,ссав,енэж
138,Himmel::N,ссав,debess
139,Sonne::N,баргъ,шонді
140,Sonne::N,баргъ,saule
141,Mond::N,барз,тӧлысь
142,Mond::N,барз,mēness
143,Stern::N,цӏуку,кодзув
144,Stern::N,цӏуку,zvaigzne
145,Luft::N,гьава,сынӧд
146,Luft::N,гьава,gaiss
147,Wind::N,марч,тӧв
148,Wind::N,марч,vējš
149,Welle::N,щатӏи,гы
150,Welle::N,щатӏи,vilnis
151,Wasser::N,щин,ва
152,Wasser::N,щин,ūdens
153,Stein::N,чару,из
154,Stein::N,чару,akmens
155,Boden::N,аьрщи,му
156,Boden::N,аьрщи,augsne
157,Erde::N,аьрщи,му
158,Erde::N,аьрщи,му-ва
159,Erde::N,аьрщи,zeme
160,Staub::N,ххит,бус
161,Staub::N,ххит,putekļi
162,Rauch::N,пуркӏу,тшын
163,Rauch::N,пуркӏу,dūmi
164,Funke::N,пиягь,кинь
165,Funke::N,пиягь,би кинь
166,Funke::N,пиягь,dzirkstele
167,Feuer::N,цӏу,би
168,Feuer::N,цӏу,uguns
169,Licht::N,чани,югӧр
170,Licht::N,чани,gaisma
171,Schatten::N,ххют,вуджӧр
172,Schatten::N,ххют,ēna
173,Wetter::N,гьава,поводдя
174,Wetter::N,гьава,laiks
175,Nebel::N,шархь ттурлу,ру
176,Nebel::N,шархь ттурлу,онь
177,Nebel::N,шархь ттурлу,migla
178,Wolke::N,ттурлу,кымӧр
179,Wolke::N,ттурлу,mākonis
180,Regen::N,гъарал,зэр
181,Regen::N,гъарал,lietus
182,Schnee::N,марххала,лым
183,Schnee::N,марххала,sniegs
184,Eis::N,микӏ,йи
185,Eis::N,микӏ,ledus
186,Frost::N,дяркъу,кӧдзыд
187,Frost::N,дяркъу,sals
188,Frost::N,замгьар,кӧдзыд
189,Frost::N,замгьар,sals
190,Kälte::N,дяркъу,кӧдзыд
191,Kälte::N,дяркъу,saltums
192,Kälte::N,дяркъу,aukstums
193,Hitze::N,кӏиришиву,пӧсь
194,Hitze::N,кӏиришиву,гожӧд
195,Hitze::N,кӏиришиву,karstums
196,Raureif::N,сил,пуж
197,Raureif::N,сил,гыӧр
198,Raureif::N,сил,sarma
199,Raureif::N,бурса,пуж
200,Raureif::N,бурса,гыӧр
201,Raureif::N,бурса,sarma
202,Regenbogen::N,ссурул ккуртта,ӧшкамӧшка
203,Regenbogen::N,ссурул ккуртта,varavīksne
204,Donner::N,къув,гым
205,Donner::N,къув,pērkons
206,Strömung::N,экьинанаву,ва ныр
207,Strömung::N,экьинанаву,визувтӧм
208,Strömung::N,экьинанаву,straume
209,Strömung::N,экьинанаву,strāvojums
210,Tropfen::N,кӏунтӏ,войт
211,Tropfen::N,кӏунтӏ,lāse
212,Schaum::N,хьама,быг
213,Schaum::N,хьама,быгзьӧм
214,Schaum::N,хьама,putas
215,Schmutz::N,кьяркьи,няйт
216,Schmutz::N,кьяркьи,dubļi
217,See::N,бяр,ты
218,See::N,бяр,ezers
219,Sumpf::N,кунцӏа,гыбад
220,Sumpf::N,кунцӏа,кад
221,Sumpf::N,кунцӏа,dumbrājs
222,Sumpf::N,кунцӏа,staignājs
223,Wiese::N,кьан,видз
224,Wiese::N,кьан,pļava
225,Wald::N,вацӏа,вӧр
226,Wald::N,вацӏа,mežs
227,Hügel::N,бакӏу,дзиб
228,Hügel::N,бакӏу,мыльк
229,Hügel::N,бакӏу,нӧрыс
230,Hügel::N,бакӏу,paugurs
231,Berg::N,зунтту,чой
