,Concept_ID,ta,ce
0,Auge::N,கண்,бӏаьрг
1,Ohr::N,காது,лерг
2,Nase::N,மூக்கு,мара
3,Mund::N,வாய்,бага
4,Zahn::N,பல்,церг
5,Zunge::N,நாக்கு,мотт
6,Lippe::N,உதடு,балда
7,Wange::N,கன்னம்,бесни
8,Gesicht::N,முகம்,юьхь
9,Stirn::N,முன்னெற்றி,хьаж
10,Haar::N,முடி,мас
11,Schnurrbart::N,மீசை,мекх
12,Bart::N,தாடி,маж
13,Kinn::N,கீழதாடை,чӏениг
14,Kiefer[Anatomie]::N,தாடை,мочхал
15,Kehle::N,தொண்டை,къамкъарг
16,Hals::N,கழுத்து,ворта
17,Genick::N,கழுத்து,кӏесаркӏаг
18,Kopf::N,தலை,корта
19,Rücken::N,முதுகு,букъ
20,Bauch::N,வயிறு,кийра
21,Nabel::N,தொப்புள்,цӏонга
22,Busen::N,மார்பகம்,зударийн накха
23,Brust::N, மார்பு,накха
24,Schulter::N,தோள்பட்டை,белш
25,Arm::N,கரம்,пхьарс
26,Ellenbogen::N,முழங்கை,пхьаьрсан гола
27,Hand::N,கை,куьг
28,Handfläche::N,உள்ளங்கை,кераюкъ
29,Finger::N,விரல்,пӏелг
30,Fingernagel::N,விரல் நகம்,мӏара
31,Nagel[Anatomie]::N,நகம்,мӏара
32,Zeh::N,கால்விரல்,кога пӏелг
33,Fuß::N,கால்,ког
34,Ferse::N,குதிகால்,кӏажа
35,Knie::N,முழங்கால்,гола
36,Oberschenkel::N,தொடை,варе
37,Bein::N,கால்,ког
38,Körper::N,உடல்,хӏума
39,Haut::N,சருமம்,чкъор
40,Blut::N,இரத்தம்,цӏий
41,Ader::N,நாளம்,пха
42,Sehne::N,தசைநார்,хьорзам
43,Knochen::N,எலுமபு,даьӏахк
44,Gehirn::N,மூனை,хье
45,Herz::N,இதயம,дог
46,Magen::N,வயிறு,зорх
47,Leber::N,கல்லீரல்,доӏах
48,Atem::N,மூச்சு,садеӏар
49,Hunger::N,பசி,мацалла
50,Träne::N,கண்ணீர்,бӏаьрхи
51,Geschmack::N,நறுமணம்,чам
52,Geruch::N,துர்நாற்றம்,хьожа
53,Schlaf::N,தூக்கம்,наб
54,Traum::N,கனவு,гӏан
55,Himmel::N,வானம்,стигал
56,Sonne::N,சூரியன்,малх
57,Mond::N,சந்திரன்,бутт
58,Stern::N,நட்சத்திரம்,седа
59,Luft::N,காறறு,xӏаваъ
60,Wind::N,காற்று,мох
61,Welle::N,அலை,тулгӏе
62,Wasser::N,நீர்,хи
63,Stein::N,கல்,тӏулг
64,Boden::N,தரை,цӏенкъа
65,Erde::N,மண்,латта
66,Staub::N,தூசி,чан
67,Rauch::N,புகை,кӏур
68,Funke::N,தீப்பொறி,суй
69,Feuer::N,தீ,цӏе
70,Licht::N,வெளிச்சம்,серло
71,Schatten::N,நிழல்,ӏиндагӏ
72,Wetter::N,வானிலை,хенан хӏоттам
73,Nebel::N,பனிமூட்டம்,дохк
74,Wolke::N,மேகம்,марха
75,Regen::N,மழை,догӏа
76,Schnee::N,உறைபனி,ло
77,Eis::N,பனிக்கட்டி,ша
78,Frost::N,உறைபனி,шело
79,Kälte::N,குளிர்ந்த,шело
80,Hitze::N,சூடு,йовхо
81,Raureif::N,உறைபனி வெண்திரை,йис
82,Regenbogen::N,வானவில்,стелаӏад
83,Donner::N,இடி,ткъес
84,Strömung::N,நீரோட்டம்,дӏаэхар
85,Strömung::N,நீரோட்டம்,дӏасалелар
86,Tropfen::N,துளி,тӏадам
87,Schaum::N,நுரை,чопа
88,Schmutz::N,அழுக்கு,хатт
89,See::N,ஏரி,ӏам
90,Sumpf::N,சதுப்பு நிலம்,уьшал
91,Moor::N,முட்புதற்காடு,уьшал
92,Wiese::N,பசும் புல்தரை,бай
93,Wald::N,காடு,хьун
94,Hügel::N,குன்று,гу
95,Hügel::N,குன்று,шу
96,Hügel::N,குன்று,барз
97,Anhöhe::N,பதுக்கை,акъари
98,Berg::N,மலை,лам
99,Gipfel::N,உச்சி மாநாடு,бохь
100,Höhle::N,குகை,хьех
101,Abhang::N,சரிவு,басе
