,Concept_ID,,ce
0,Auge::N,,бӏаьрг
1,Ohr::N,,лерг
2,Nase::N,,мара
3,Mund::N,,бага
4,Zahn::N,,церг
5,Zunge::N,,мотт
6,Lippe::N,,балда
7,Wange::N,,бесни
8,Gesicht::N,,юьхь
9,Stirn::N,,хьаж
10,Haar::N,,мас
11,Schnurrbart::N,,мекх
12,Bart::N,,маж
13,Kinn::N,,чӏениг
14,Kiefer[Anatomie]::N,,мочхал
15,Kehle::N,,къамкъарг
16,Hals::N,,ворта
17,Genick::N,,кӏесаркӏаг
18,Kopf::N,,корта
19,Rücken::N,,букъ
20,Bauch::N,,кийра
21,Nabel::N,,цӏонга
22,Busen::N,,зударийн накха
23,Brust::N,,накха
24,Schulter::N,,белш
25,Arm::N,,пхьарс
26,Ellenbogen::N,,пхьаьрсан гола
27,Hand::N,,куьг
28,Handfläche::N,,кераюкъ
29,Finger::N,,пӏелг
30,Fingernagel::N,,мӏара
31,Nagel[Anatomie]::N,,мӏара
32,Zeh::N,,кога пӏелг
33,Fuß::N,,ког
34,Ferse::N,,кӏажа
35,Knie::N,,гола
36,Oberschenkel::N,,варе
37,Bein::N,,ког
38,Körper::N,,хӏума
39,Haut::N,,чкъор
40,Blut::N,,цӏий
41,Ader::N,,пха
42,Sehne::N,,хьорзам
43,Knochen::N,,даьӏахк
44,Gehirn::N,,хье
45,Herz::N,,дог
46,Magen::N,,зорх
47,Leber::N,,доӏах
48,Atem::N,,садеӏар
49,Hunger::N,,мацалла
50,Träne::N,,бӏаьрхи
51,Geschmack::N,,чам
52,Geruch::N,,хьожа
53,Schlaf::N,,наб
54,Traum::N,,гӏан
55,Himmel::N,,стигал
56,Sonne::N,,малх
57,Mond::N,,бутт
58,Stern::N,,седа
59,Luft::N,,xӏаваъ
60,Wind::N,,мох
61,Welle::N,,тулгӏе
62,Wasser::N,,хи
63,Stein::N,,тӏулг
64,Boden::N,,цӏенкъа
65,Erde::N,,латта
66,Staub::N,,чан
67,Rauch::N,,кӏур
68,Funke::N,,суй
69,Feuer::N,,цӏе
70,Licht::N,,серло
71,Schatten::N,,ӏиндагӏ
72,Wetter::N,,хенан хӏоттам
73,Nebel::N,,дохк
74,Wolke::N,,марха
75,Regen::N,,догӏа
76,Schnee::N,,ло
77,Eis::N,,ша
78,Frost::N,,шело
79,Kälte::N,,шело
80,Hitze::N,,йовхо
81,Raureif::N,,йис
82,Regenbogen::N,,стелаӏад
83,Donner::N,,ткъес
84,Strömung::N,,дӏаэхар
85,Strömung::N,,дӏасалелар
86,Tropfen::N,,тӏадам
87,Schaum::N,,чопа
88,Schmutz::N,,хатт
89,See::N,,ӏам
90,Sumpf::N,,уьшал
91,Moor::N,,уьшал
92,Wiese::N,,бай
93,Wald::N,,хьун
94,Hügel::N,,гу
95,Hügel::N,,шу
96,Hügel::N,,барз
97,Anhöhe::N,,акъари
98,Berg::N,,лам
99,Gipfel::N,,бохь
100,Höhle::N,,хьех
101,Abhang::N,,басе
102,Quelle::N,,шовда
103,Bach::N,,татол
104,Fluss::N,,хи
105,Ufer::N,,хийист
106,Küste::N,,йист
107,Festland::N,,латта
108,Meer::N,,xӏорд
109,Bucht::N,,чож
110,Insel::N,,гӏайре
111,Blume::N,,зезаг
112,Gras::N,,буц
113,Wurzel::N,,орам
114,Baum::N,,дитт
115,Stamm::N,,гӏад
116,Stamm::N,,тайпа
117,Rinde::N,,кевстиг
118,Ast::N,,га
119,Zweig::N,,га
120,Blatt::N,,гӏа
121,Birke::N,,дакх
122,Kiefer[Baum]::N,,бага
123,Weide[Baum]::N,,дак
124,Tanne::N,,база
125,Horn::N,,маӏа
126,Feder::N,,пелаг
127,Fell::N,,цӏока
128,Flügel::N,,тӏам
129,Klaue::N,,мӏара
130,Kralle::N,,тlод
131,Schwanz::N,,цӏога
132,Ei::N,,xӏoa
133,Nest::N,,бен
134,Bau::N,,lуьрг
135,Tier::N,,дийнат
136,Herde::N,,жа
137,Kuh::N,,етт
138,Bulle::N,,сту
139,Pferd::N,,говр
140,Schaf::N,,жий
141,Schaf::N,,уьстагӏ
142,Schwein::N,,хьакха
143,Hund::N,,жӏаьла
144,Katze::N,,цициг
145,Bär::N,,ча
146,Eichhörnchen::N,,тарсал
147,Elch::N,,сай
148,Fuchs::N,,цхьогал
149,Hase::N,,пхьагал
150,Maus::N,,дахка
151,Wolf::N,,борз
152,Vogel::N,,олхазар
153,Huhn::N,,котам
154,Hahn::N,,нӏаьна
155,Hahn::N,,боргӏал
156,Gans::N,,гӏаз
157,Adler::N,,aьрзу
158,Ente::N,,бад
159,Eule::N,,бухӏа
160,Kranich::N,,гӏаргӏули
161,Krähe::N,,къиг
162,Kuckuck::N,,aттйокх
163,Schwan::N,,гӏургӏаз
164,Fisch::N,,чӏара
165,Barsch::N,,окунь
166,Hecht::N,,гӏазкхийн чӏара
167,Schlange[Tier]::N,,лаьхьа
168,Wurm::N,,нӏаьна
169,Spinne::N,,гезг
170,Ameise::N,,зингат
171,Laus::N,,меза
172,Laus::N,,гӏениг
173,Mücke::N,,чуьрк
174,Fliege::N,,моза
175,Schmetterling::N,,полла
176,Beere::N,,цӏазам
177,Apfel::N,,ӏаж
178,Pilz::N,,жӏаьлин нускал
179,Zwiebel::N,,xох
180,Saat::N,,чlу
181,Korn::N,,буьртиг
182,Heu::N,,йол
183,Schale::N,,пардо
184,Grube::N,,ор
185,Falle::N,,кӏело
186,Spur::N,,лар
187,Asche::N,,чим
188,Dreck::N,,мода
189,Eisen::N,,эчиг
190,Gold::N,,деши
191,Silber::N,,дети
192,Kohle::N,,кӏора
193,Glas::N,,aнгали
194,Lehm::N,,поппар
195,Sand::N,,гӏум
196,Mensch::N,,адам
197,Mann::N,,майра
198,Frau::N,,зуда
199,Kind::N,,бер
200,Junge::N,,жимха
201,Mädchen::N,,жима йоӏ
202,Familie::N,,доьзал
203,Großvater::N,,ненада
204,Großmutter::N,,денана
205,Eltern::N,,да-нана
206,Vater::N,,да
207,Mutter::N,,нана
208,Sohn::N,,кӏант
209,Tochter::N,,йоӏ
210,Bruder::N,,ваша
211,Schwester::N,,йиша
212,Onkel::N,,деваша
213,Tante::N,,дейиша
214,Ehemann::N,,майра
215,Ehefrau::N,,зуда
216,Freude::N,,самукъа
217,Freude::N,,хазахетар
218,Gelächter::N,,белам
219,Glück::N,,ирс
220,Kummer::N,,бала
221,Wunsch::N,,лаам
222,Lust::N,,лаам
223,Geist::N,,са
224,Gedanke::N,,ойла
225,Gedächtnis::N,,диццадалар
226,Verstand::N,,хьекъал
227,Sinn::N,,маьӏна
228,Grund::N,,бахьана
229,Wahrheit::N,,бакъдерг
230,Gespräch::N,,къамел
231,Märchen::N,,туьйра
232,Erzählung::N,,дийцар
233,Nachricht::N,,хаам
234,Neuigkeit::N,,керланиг
235,Name::N,,цӏе
236,Rätsel::N,,хӏетал-метал
237,Rede::N,,къамел
238,Sprache::N,,мотт
239,Stimme::N,,aз
240,Wort::N,,дош
241,Zeichen::N,,билгало
242,Ruf::N,,кхайкхар
243,Lärm::N,,гӏовгӏа
244,Laut::N,,аз
245,Ton::N,,aз
246,Lied::N,,илли
247,Ruhe::N,,тийналла
248,Leute::N,,нах
249,Volk::N,,халкъ
250,Arbeit::N,,болх
251,Gast::N,,хьаша
252,Geschenk::N,,совгӏат
253,Spiel::N,,ловзар
254,Gesellschaft::N,,юкъаралла
255,Hilfe::N,,гӏо
256,Freund::N,,доттагl
257,Kamerad::N,,накъост
258,Angelegenheit::N,,гӏуллакх
259,Anzahl::N,,терахь
260,Stück::N,,юьхк
261,Teil::N,,дакъа
262,Hälfte::N,,ах
263,Kreis::N,,го
264,Kreuz::N,,жӏара
265,Linie::N,,сиз
266,Strich::N,,сиз
267,Abstand::N,,юкъ
268,Gegend::N,,мeттиг
269,Platz::N,,майда
270,Ort::N,,меттиг
271,Seite::N,,aгӏo
272,Mitte::N,,юкъ
273,Gegenstand::N,,хӏума
274,Sache::N,,хӏума
275,Rand::N,,йист
276,Kante::N,,йист
277,Ecke::N,,са
278,Spitze::N,,ралла
279,Ende::N,,юьхьиг
280,Loch::N,,ӏуьрг
281,Winkel::N,,са
282,Muster::N,,дагар
283,Muster::N,,тӏамар
284,Größe::N,,барам
285,Länge::N,,йохалла
286,Höhe::N,,локхалла
287,Gewicht::N,,йозалла
288,Menge::N,,дукхалла
289,Haufen::N,,сал
290,Haufen::N,,оьла
291,Reihe::N,,рагӏ
292,Reihe::N,,могӏа
293,Boot::N,,кема
294,Ruder::N,,пийсиг
295,Schlitten::N,,салаз
296,Ski::N,,когсалаз
297,Lagerfeuer::N,,цӏе
298,Last::N,,дукъ
299,Gang::N,,лелар
300,Schritt::N,,гӏулч
301,Norden::N,,къилбаседе
302,Süden::N,,къилбе
303,Westen::N,,малхбузе
304,Osten::N,,малхбале
305,Holz::N,,дечиг
306,Brett::N,,у
307,Platte::N,,у
308,Stütze::N,,гӏopтоp
309,Stange::N,,гӏуркх
310,Stock::N,,ӏаса
311,Stab::N,,гӏаж
312,Rohr::N,,биргӏа
313,Haus::N,,цӏа
314,Heim::N,,кхерч
315,Ofen::N,,кхерч
316,Fußboden::N,,цӏенкъа
317,Tisch::N,,шун
318,Stuhl::N,,гӏант
319,Wiege::N,,ага
320,Bett::N,,маьнга
321,Regal::N,,терхи
322,Kiste::N,,яьшка
323,Fenster::N,,кор
324,Tür::N,,неӏ
325,Tor::N,,ков
326,Zaun::N,,керт
327,Dach::N,,тхов
328,Leiter::N,,лами
329,Besen::N,,нуй
330,Spaten::N,,бел
331,Schaufel::N,,аьшкал
332,Gabel::N,,мӏара
333,Löffel::N,,ӏайг
334,Messer::N,,урс
335,Nagel::N,,хьостам
336,Netz::N,,бой
337,Haken::N,,мӏара
338,Schloss::N,,чӏега
339,Bild::N,,сурт
340,Puppe::N,,тайниг
341,Beutel::N,,гали
342,Bündel::N,,кочар
343,Tasche::N,,тӏоьрмиг
344,Eimer::N,,чийлик
345,Deckel::N,,негӏар
346,Geschirr::N,,пхьегӏа
347,Sack::N,,гали
348,Tasse::N,,кад
349,Topf::N,,яй
350,Kessel::N,,яй
351,Essen::N,,юург
352,Nahrung::N,,кхача
353,Speise::N,,юург
354,Fleisch::N,,жижиг
355,Getreide::N,,буьртиг
356,Brei::N,,xудар
357,Brot::N,,бепиг
358,Brot::N,,кхаллар
359,Scheibe::N,,цастар
360,Fett::N,,мохь
361,Butter::N,,налха
362,Öl::N,,даьтта
363,Salz::N,,туьха
364,Suppe::N,,чорпа
365,Honig::N,,моз
366,Milch::N,,шура
367,Tee::N,,чай
368,Leder::N,,цӏока
369,Wolle::N,,тӏapгӏa
370,Stoff::N,,кӏади
371,Nadel::N,,маха
372,Faden::N,,тай
373,Knopf::N,,нуьйда
374,Knoten::N,,шад
375,Farbe::N,,сир
376,Farbe::N,,басар
377,Kleidung::N,,бедар
378,Hemd::N,,коч
379,Kragen::N,,кач
380,Ärmel::N,,пхьош
381,Hose::N,,хеча
382,Gürtel::N,,доьхка
383,Mütze::N,,куй
384,Schuh::N,,мача
385,Stiefel::N,,этка
386,Ring::N,,чӏуг
387,Band::N,,лента
388,Kamm::N,,ехк
389,Spiegel::N,,куьзга
390,Riemen::N,,доьхка
391,Schnur::N,,муш
392,Leine::N,,кочатосу доьхка
393,Decke::N,,юргӏа
394,Kissen::N,,гIайба
395,Tuch::N,,исхар
396,Handtuch::N,,гата
397,Kraft::N,,гӏора
398,Stärke::N,,гӏап
399,Gesundheit::N,,могашалла
400,Krankheit::N,,цамгар
401,Schmerz::N,,лазар
402,Wunde::N,,чов
403,Fieber::N,,xорша
404,Arznei::N,,молха
405,Brücke::N,,тӏай
406,Brunnen::N,,гӏу
407,Weide::N,,дак
408,Pfad::N,,тача
409,Weg::N,,некъ
410,Straße::N,,урам
411,Dorf::N,,юрт
412,Stadt::N,,гӏала
413,Brief::N,,кехат
414,Buch::N,,жайна
415,Buchstabe::N,,элп
416,Zeitung::N,,газет
417,Leben::N,,дахар
418,Tod::N,,далар
419,Tod::N,,ӏожалла
420,Grab::N,,каш
421,Kirche::N,,килс
422,Sünde::N,,къа
423,Gott::N,,дела
424,Arbeiter::N,,белхало
425,Chef::N,,хьаькам
426,Meister::N,,говзанча
427,Arzt::N,,лор
428,Lehrer::N,,хьехархо
429,Geld::N,,aхча
430,Geschäft::N,,туька
431,Laden::N,,туька
432,Preis::N,,мах
433,Ware::N,,хlума
434,Nutzen::N,,пайда
435,Reichtum::N,,хьал
436,Welt::N,,дуьне
437,Land::N,,мохк
438,Staat::N,,пачхьалкх
439,König::N,,паччахь
440,Macht::N,,ӏедал
441,Grenze::N,,доза
442,Krieg::N,,тӏом
443,Feind::N,,мостагӏ
444,Gewalt::N,,гӏело
445,Kampf::N,,къийсам
446,Pfeil::N,,пха
447,Gewehr::N,,топ
448,Fehler::N,,гӏалат
449,Lüge::N,,аьшпаш
450,Schaden::N,,зен
451,Unglück::N,,бала
452,Schuld::N,,бехк
453,Alter::N,,хан
454,Schluss::N,,чакхе
455,Zeit::N,,хан
456,Tag::N,,де
457,Morgen::N,,ӏуьйре
458,Mittag::N,,делкъе
459,Abend::N,,суьйре
460,Nacht::N,,буьйса
461,Woche::N,,кӏира
462,Monat::N,,бутт
463,Jahr::N,,шо
464,Frühling::N,,бӏаьсте
465,Sommer::N,,аьхке
466,Herbst::N,,гуьйре
467,Winter::N,,ӏа
468,Januar::N,,январь
469,Februar::N,,февраль
470,März::N,,март
471,April::N,,апрель
472,Mai::N,,май
473,Juni::N,,июнь
474,Juli::N,,июль
475,August::N,,август
476,September::N,,сентябрь
477,Oktober::N,,октябрь
478,November::N,,ноябрь
479,Dezember::N,,декабрь
480,Montag::N,,оршот
481,Dienstag::N,,шинара
482,Mittwoch::N,,кхаара
483,Donnerstag::N,,еара
484,Freitag::N,,пӏераска
485,Samstag::N,,шот
486,Sonntag::N,,кӏиранде
487,groß::A,,доккха
488,klein::A,,кегий
489,lang::A,,еха
490,kurz::A,,доца
491,breit::A,,шуьйра
492,schmal::A,,готта
493,dicht::A,,луьста
494,dick[Gegenstand]::A,,стомма
495,dünn::A,,дуткъа
496,fein::A,,ховха
497,fest::A,,чӏогӏа
498,flach::A,,чӏапа
499,glatt::A,,шера
500,hart::A,,чӏогӏa
501,weich::A,,кӏеда
502,rund::A,,горга
503,spitz::A,,ира
504,scharf::A,,ира
505,stumpf::A,,аьртa
506,schwer::A,,деза
507,schön::A,,хаза
508,heiß::A,,довха
509,warm::A,,довха
510,kalt::A,,шийла
511,kühl::A,,шийла
512,frisch::A,,керла
513,feucht::A,,тӏуьна
514,nass::A,,тӏеда
515,trocken::A,,eкъа
516,voll::A,,дуьзна
517,leer::A,,яьсса
518,offen::A,,диллина
519,geschlossen::A,,дӏакъевлина
520,geschlossen::A,,дӏачӏагӏдина
521,sauber::A,,цӏена
522,schmutzig::A,,боьха
523,roh::A,,буьйда
524,reif::A,,хилла
525,lecker::A,,чоме
526,süß::A,,мерза
527,bitter::A,,къаьхьа
528,sauer::A,,муьста
529,hell::A,,сирла
530,dunkel::A,,бодане
531,schwarz::A,,ӏаьржа
532,weiß::A,,кӏайн
533,rot::A,,цӏен
534,gelb::A,,можа
535,blau::A,,сийна
536,grün::A,,баьццара
537,grau::A,,cира
538,grau::A,,мокха
539,bunt::A,,къорза
540,billig::A,,дораха
541,teuer::A,,деза
542,wertvoll::A,,мехала
543,blind::A,,бӏаьрзе
544,taub::A,,къора
545,kräftig::A,,нуьцкъала
546,stark::A,,зоьртала
547,stark::A,,нуьцкъала
548,schwach::A,,гӏорасиза
549,fett::A,,дерстана
550,schlank::A,,куц долу
551,hübsch::A,,хаза
552,böse::A,,вон
553,dumm::A,,сонта
554,faul::A,,мало ен
555,fleißig::A,,тӏера
556,geizig::A,,пис
557,geizig::A,,сутара
558,klug::A,,хьекъале
559,geschickt::A,,тӏахъаьлла
560,lieb::A,,хьоме
561,lustig::A,,самукъане
562,sanft::A,,кlеда
563,hungrig::A,,меца
564,krank::A,,цомгуш долу
565,nackt::A,,дерзана
566,traurig::A,,самукъане воцу
567,lebendig::A,,дийна
568,gut::A,,дика
569,schlecht::A,,вон
570,richtig::A,,нийса
571,schlimm::A,,вон
572,wahr::A,,бакъдолу
573,alt::A,,къена
574,neu::A,,керла
575,ehemalig::A,,хилла
576,alt[Lebewesen]::A,,къена
577,jung::A,,къона
578,arm::A,,къен
579,reich::A,,хьоле
580,bekannt::A,,девзаш долу
581,berühmt::A,,цӏеяхана
582,fremd::A,,нехан
583,verschieden::A,,тайп-тайпанара
584,nah::A,,гергара
585,fern::A,,гена
586,fern::A,,генара
587,linker::A,,аьрру
588,rechter::A,,аьтту
589,anderer::A,,кхин
590,erster::A,,хьалхара
591,zweiter::A,,шолгIа
592,dritter::A,,кхоалгӏа
593,letzter::A,,тӏаьххьара
594,allein::ADV,,цхьаъ
595,auf einmal::ADV,,цу сохьтта
596,zusammen::ADV,,цхьана
597,lange::ADV,,дукха
598,plötzlich::ADV,,цIеххьана
599,sofort::ADV,,цу сохьтта
600,später::ADV,,тӏаьхьо
601,jetzt::ADV,,хӏинца
602,heute::ADV,,тахана
603,morgen::ADV,,кхана
