,Concept_ID,sl,sk
0,Auge::N,okó,oko
1,Ohr::N,uhó,ucho
2,Nase::N,nós,nos
3,Mund::N,ústa,ústa
4,Zahn::N,zób,zub
5,Zunge::N,jêzik,jazyk
6,Lippe::N,ústnica,pera
7,Wange::N,líce,líce
8,Gesicht::N,oblíčje,tvár
9,Gesicht::N,oblíčje,obličaj
10,Stirn::N,čêlo,čelo
11,Haar::N,lás,vlas
12,Schnurrbart::N,bŕki,fúzy
13,Bart::N,bráda,brada
14,Kinn::N,bráda,brada
15,Kiefer[Anatomie]::N,čeljúst,čeľusť
16,Kehle::N,gŕlo,hrdlo
17,Hals::N,vrát,krk
18,Genick::N,zatílnik,väzy
19,Kopf::N,gláva,hlava
20,Rücken::N,hrbèt,chrbát
21,Bauch::N,trébuh,brucho
22,Nabel::N,pópek,pupok
23,Busen::N,nédrja,prsia
24,Brust::N,pŕsi,hruď
25,Schulter::N,ráma,plece
26,Schulter::N,plêče,plece
27,Arm::N,rôka,rameno
28,Ellenbogen::N,komólec,lakeť
29,Hand::N,rôka,ruka
30,Handfläche::N,dlán,dlaň
31,Finger::N,pŕst,prst
32,Fingernagel::N,nóht na rôki,necht
33,Nagel[Anatomie]::N,nóht,necht
34,Zeh::N,pŕst na nôgi,prst na nohe
35,Fuß::N,nôga,noha
36,Ferse::N,pêta,päta
37,Knie::N,koléno,koleno
38,Oberschenkel::N,stêgno,stehno
39,Bein::N,nôga,noha
40,Körper::N,teló,telo
41,Haut::N,kóža,koža
42,Blut::N,krí,krv
43,Ader::N,žíla,žila
44,Sehne::N,kíta,šľacha
45,Knochen::N,kóst,kosť
46,Gehirn::N,možgáni,mozog
47,Herz::N,srcé,srdce
48,Magen::N,želódec,žalúdok
49,Leber::N,jétra,pečeň
50,Atem::N,díh,dych
51,Hunger::N,glád,hlad
52,Träne::N,sólza,slza
53,Geschmack::N,okús,chuť
54,Geruch::N,vónj,pach
55,Schlaf::N,sèn,spánok
56,Schlaf::N,spánec,spánok
57,Traum::N,sánje,sen
58,Himmel::N,nebó,nebo
59,Sonne::N,sónce,slnko
60,Mond::N,lúna,mesiac
61,Mond::N,mésec,mesiac
62,Stern::N,zvézda,hviezda
63,Luft::N,zràk,vzduch
64,Wind::N,véter,vietor
65,Welle::N,vál,vlna
66,Wasser::N,vôda,voda
67,Stein::N,kámen,kameň
68,Boden::N,tlà,zem
69,Boden::N,tlà,pôda
70,Erde::N,pŕst,zem
71,Erde::N,zêmlja,zem
72,Staub::N,práh,prach
73,Rauch::N,dìm,dym
74,Funke::N,ískra,iskra
75,Feuer::N,ôgenj,oheň
76,Licht::N,lúč,svetlo
77,Schatten::N,sénca,tieň
78,Wetter::N,vrême,počasie
79,Nebel::N,meglà,hmla
80,Wolke::N,oblák,oblak
81,Wolke::N,oblák,mračno
82,Regen::N,dèž,dážď
83,Schnee::N,snég,sneh
84,Eis::N,léd,ľad
85,Frost::N,zmrzál,mráz
86,Kälte::N,mràz,zima
87,Kälte::N,mràz,chlad
88,Hitze::N,pripéka,horúčava
89,Raureif::N,ívje,srieň
90,Raureif::N,ívje,inovať
91,Raureif::N,slána,srieň
92,Raureif::N,slána,inovať
93,Regenbogen::N,mávrica,dúha
94,Donner::N,gròm,hrom
95,Strömung::N,strúja,prúdenie
96,Tropfen::N,káplja,kvapka
97,Schaum::N,péna,pena
98,Schmutz::N,nesnága,špina
99,Schmutz::N,nesnága,nečistota
100,See::N,jézero,jazero
101,Sumpf::N,močvírje,bahno
102,Moor::N,bárje,močiar
103,Wiese::N,trávnik,lúka
104,Wald::N,lés,les
105,Wald::N,lés,hora
106,Wald::N,gòzd,les
107,Wald::N,gòzd,hora
108,Hügel::N,brég,vŕšok
109,Hügel::N,goríca,vŕšok
110,Anhöhe::N,gríč,výšina
111,Anhöhe::N,gríč,vyvýšenina
112,Anhöhe::N,višína,výšina
113,Anhöhe::N,višína,vyvýšenina
114,Berg::N,gôra,hora
115,Berg::N,planína,hora
116,Gipfel::N,vŕh,vrchol
117,Höhle::N,jáma,jaskyňa
118,Höhle::N,votlína,jaskyňa
119,Abhang::N,pobóčje,úbočie
120,Quelle::N,izvír,prameň
121,Bach::N,pôtok,potok
122,Fluss::N,réka,rieka
123,Ufer::N,brég,breh
124,Küste::N,obála,pobrežie
125,Küste::N,obréžje,pobrežie
126,Festland::N,celína,pevnina
127,Festland::N,kopnína,pevnina
128,Meer::N,mórje,more
129,Bucht::N,zalív,záliv
130,Bucht::N,zalív,zátoka
131,Insel::N,ôtok,ostrov
132,Blume::N,cvetlíca,kvet
133,Blume::N,cvetlíca,kvetina
134,Gras::N,tráva,tráva
135,Wurzel::N,korenína,koreň
136,Baum::N,drevó,strom
137,Stamm::N,dêblo,kmeň
138,Rinde::N,lúbje,kôra
139,Rinde::N,skórja,kôra
140,Ast::N,véja,konár
141,Zweig::N,véja,vetva
142,Blatt::N,líst,list
143,Birke::N,bréza,breza
144,Kiefer[Baum]::N,bòr,sosna
145,Kiefer[Baum]::N,bòr,borovica
146,Weide[Baum]::N,vŕba,vŕba
147,Tanne::N,hója,jedľa
148,Horn::N,róg,roh
149,Feder::N,peró,pero
150,Fell::N,kŕzno,koža
151,Fell::N,kŕzno,kožušina
152,Flügel::N,krílo,krídlo
153,Klaue::N,párkelj,paznecht
154,Kralle::N,krémpelj,pazúr
155,Schwanz::N,rèp,chvost
156,Ei::N,jájce,vajce
157,Ei::N,jájce,vajíčko
158,Nest::N,gnézdo,hniezdo
159,Bau::N,brlòg,nora
160,Tier::N,živál,zviera
161,Herde::N,čréda,stádo
162,Kuh::N,kráva,krava
163,Bulle::N,bìk,býk
164,Pferd::N,kònj,kôň
165,Schaf::N,ôvca,ovca
166,Schwein::N,svínja,sviňa
167,Hund::N,pès,pes
168,Katze::N,máčka,mačka
169,Bär::N,mêdved,medveď
170,Eichhörnchen::N,véverica,veverička
171,Elch::N,lós,los
172,Fuchs::N,lisíca,líška
173,Hase::N,zájec,zajac
174,Maus::N,mìš,myš
175,Wolf::N,vólk,vlk
176,Vogel::N,ptìč,vták
177,Vogel::N,ptíca,vták
178,Schwarm::N,játa,roj
179,Huhn::N,kokóš,kurča
180,Huhn::N,kokóš,sliepka
181,Hahn::N,petêlin,kohút
182,Gans::N,gós,hus
183,Adler::N,ôrel,orol
184,Ente::N,ráca,kačka
185,Ente::N,ráca,kačica
186,Eule::N,sôva,sova
187,Kranich::N,žerjàv,žeriav
188,Krähe::N,vrána,vrana
189,Kuckuck::N,kúkavica,kukučka
190,Schwan::N,labód,labuť
191,Fisch::N,ríba,ryba
192,Barsch::N,ostríž,ostriež
193,Hecht::N,ščúka,šťuka
194,Schlange[Tier]::N,káča,had
195,Wurm::N,čr̀v,červ
196,Wurm::N,glísta,červ
197,Spinne::N,pájek,pavúk
198,Ameise::N,mrávlja,mravec
199,Laus::N,úš,voš
200,Mücke::N,komár,komár
201,Fliege::N,múha,mucha
202,Schmetterling::N,metúlj,motýľ
203,Beere::N,jágoda,bobuľa
204,Apfel::N,jábolko,jablko
205,Pilz::N,góba,hríb
206,Zwiebel::N,čebúla,cibuľa
207,Saat::N,séme,osivo
208,Korn::N,zŕno,zrno
209,Heu::N,senó,seno
210,Schale::N,lupína,šupa
211,Schale::N,lupína,škrupina
212,Grube::N,jáma,jama
213,Falle::N,pást,pasca
214,Falle::N,pást,klepec
215,Schlinge::N,zánka,slučka
216,Schlinge::N,pêtlja,slučka
217,Spur::N,sléd,stopa
218,Asche::N,pepél,popol
219,Dreck::N,bláto,kal
220,Dreck::N,bláto,blato
221,Eisen::N,želézo,železo
222,Gold::N,zlató,zlato
223,Silber::N,srebró,striebro
224,Kohle::N,ógel,uhlie
225,Glas::N,stêklo,sklo
226,Lehm::N,ílo,íl
227,Lehm::N,ílo,hlina
228,Sand::N,pések,piesok
229,Mensch::N,člôvek,človek
230,Mann::N,móž,muž
231,Mann::N,móž,chlap
232,Mann::N,môški,muž
233,Mann::N,môški,chlap
234,Frau::N,gospá,žena
235,Frau::N,žénska,žena
236,Kind::N,déte,dieťa
237,Kind::N,otròk,dieťa
238,Junge::N,fànt,chlapec
239,Junge::N,déček,chlapec
240,Mädchen::N,deklè,dievka
241,Mädchen::N,déklica,dievka
242,Familie::N,družína,rodina
243,Großvater::N,dèd,dedo
244,Großvater::N,dèd,starý otec
245,Großvater::N,dédek,dedo
246,Großvater::N,dédek,starý otec
247,Großmutter::N,bábica,babička
248,Großmutter::N,bábica,stará mať
249,Eltern::N,stárši,rodičia
250,Vater::N,ôče,otec
251,Mutter::N,máma,mať
252,Mutter::N,máma,matka
253,Sohn::N,sín,syn
254,Tochter::N,hčí,dcéra
255,Tochter::N,hčérka,dcéra
256,Bruder::N,bràt,brat
257,Schwester::N,sêstra,sestra
258,Onkel::N,újec,ujo
259,Onkel::N,újec,strýko
260,Onkel::N,stríc,ujo
261,Onkel::N,stríc,strýko
262,Tante::N,têta,teta
263,Tante::N,têta,tetka
264,Tante::N,strína,teta
265,Tante::N,strína,tetka
266,Ehemann::N,móž,muž
267,Ehemann::N,móž,manžel
268,Ehemann::N,sopróg,muž
269,Ehemann::N,sopróg,manžel
270,Ehefrau::N,žêna,žena
271,Ehefrau::N,žêna,manželka
272,Ehefrau::N,sopróga,žena
273,Ehefrau::N,sopróga,manželka
274,Freude::N,rádost,radosť
275,Freude::N,vesêlje,radosť
276,Gelächter::N,sméh,smiech
277,Gelächter::N,grohòt,smiech
278,Glück::N,sréča,šťastie
279,Kummer::N,gorjé,žiaľ
280,Kummer::N,gorjé,zármutok
281,Wunsch::N,žêlja,prianie
282,Lust::N,poželênje,chuť
283,Geist::N,dúša,duch
284,Gedanke::N,mísel,myšlienka
285,Gedächtnis::N,pámet,pamäť
286,Sinn::N,pomèn,zmysel
287,Sinn::N,smísel,zmysel
288,Grund::N,vzròk,dôvod
289,Grund::N,vzròk,príčina
290,Wahrheit::N,resníca,pravda
291,Gespräch::N,pogóvor,reč
292,Gespräch::N,pogóvor,rozhovor
293,Märchen::N,právljica,rozprávka
294,Erzählung::N,povést,poviedka
295,Nachricht::N,sporočílo,správa
296,Neuigkeit::N,novóst,novinka
297,Name::N,imé,meno
298,Rätsel::N,ugánka,záhada
299,Rätsel::N,ugánka,hádanka
300,Rede::N,góvor,reč
301,Sprache::N,jêzik,reč
302,Sprache::N,jêzik,jazyk
303,Stimme::N,glás,hlas
304,Wort::N,beséda,slovo
305,Zeichen::N,znák,znak
306,Ruf::N,klíc,volanie
307,Ruf::N,klíc,zavolanie
308,Lärm::N,hrúp,hluk
309,Lärm::N,hrúp,hurhaj
310,Lärm::N,trúšč,hluk
311,Lärm::N,trúšč,hurhaj
312,Laut::N,glás,zvuk
313,Ton::N,tón,tón
314,Ton::N,tón,zvuk
315,Lied::N,pésem,pieseň
316,Ruhe::N,pokòj,pokoj
317,Leute::N,ljudjé,ľudia
318,Volk::N,národ,ľud
319,Volk::N,národ,národ
320,Arbeit::N,délo,práca
321,Arbeit::N,délo,robota
322,Gast::N,gòst,hosť
323,Geschenk::N,darílo,dar
324,Spiel::N,ígra,hra
325,Gesellschaft::N,drúžba,spoločnosť
326,Hilfe::N,pomóč,pomoc
327,Freund::N,prijátelj,priateľ
328,Kamerad::N,továriš,kamarát
329,Angelegenheit::N,zadéva,vec
330,Angelegenheit::N,zadéva,záležitosť
331,Anzahl::N,števílo,počet
332,Anzahl::N,števílo,množstvo
333,Art::N,vŕsta,druh
334,Stück::N,kós,kus
335,Stück::N,kós,kúsok
336,Teil::N,dél,časť
337,Hälfte::N,polovíca,polka
338,Hälfte::N,polovíca,polovica
339,Kreis::N,króg,kruh
340,Kreis::N,kolobár,kruh
341,Kreuz::N,kríž,kríž
342,Linie::N,próga,línia
343,Strich::N,čŕta,čiara
344,Abstand::N,preslédek,vzdialenosť
345,Entfernung::N,oddáljenost,vzdialenosť
346,Gegend::N,kràj,kraj
347,Gegend::N,kràj,krajina
348,Gegend::N,dežêla,kraj
349,Gegend::N,dežêla,krajina
350,Platz::N,prôstor,miesto
351,Ort::N,mésto,miesto
352,Seite::N,bòk,bok
353,Seite::N,bòk,strana
354,Seite::N,strán,bok
355,Seite::N,strán,strana
356,Mitte::N,sredína,stred
357,Gegenstand::N,prédmet,predmet
358,Sache::N,réč,vec
359,Sache::N,stvár,vec
360,Rand::N,kràj,kraj
361,Rand::N,kràj,okraj
362,Kante::N,rób,hrana
363,Ecke::N,vogál,roh
364,Spitze::N,óst,hrot
365,Spitze::N,óst,špička
366,Ende::N,kônec,koniec
367,Loch::N,lúknja,diera
368,Winkel::N,kót,kút
369,Muster::N,vzórec,vzor
370,Muster::N,vzórec,vzorka
371,Größe::N,veličína,veľkosť
372,Länge::N,dolžína,dĺžka
373,Höhe::N,vršína,výška
374,Gewicht::N,téža,váha
375,Menge::N,količína,množstvo
376,Haufen::N,kùp,hŕba
377,Haufen::N,kopíca,hŕba
378,Reihe::N,níz,rad
379,Reihe::N,vŕsta,rad
380,Boot::N,čóln,čln
381,Ruder::N,vêslo,veslo
382,Schlitten::N,saní,sane
383,Ski::N,smučí,lyža
384,Lagerfeuer::N,táborni ôgenj,táborák
385,Last::N,tôvor,ťarcha
386,Last::N,tôvor,bremeno
387,Gang::N,hòd,chôdza
388,Schritt::N,korák,krok
389,Norden::N,séver,sever
390,Süden::N,júg,juh
