,Concept_ID,lt,mrj
0,Auge::N,akis,сӹнзӓ
1,Ohr::N,ausis,пӹлӹш
2,Nase::N,nosis,нер
3,Mund::N,burna,ышма
4,Zahn::N,dantis,пӱ
5,Zunge::N,liežuvis,йӹлмӹ
6,Lippe::N,lūpa,тӹрвӹ
7,Wange::N,žandas,шӹргӹ
8,Wange::N,skruostas,шӹргӹ
9,Gesicht::N,veidas,лицӓ
10,Stirn::N,kakta,лепкӓ
11,Haar::N,plaukai,ӱп
12,Schnurrbart::N,ūsai,öрш
13,Bart::N,barzda,пандаш
14,Kinn::N,smakras,онгылаш
15,Kiefer[Anatomie]::N,žandikaulis,пӱ арата
16,Kehle::N,gerklė,логер
17,Hals::N,kaklas,шӱ
18,Genick::N,sprandas,ланга
19,Kopf::N,galva,вуй
20,Rücken::N,nugara,туп
21,Bauch::N,pilvas,мӹшкӹр
22,Nabel::N,bamba,кӹлӹмдӹ
23,Busen::N,krūtinė,цӹзӹ
24,Brust::N,krūtis,мел
25,Schulter::N,petys,ӹнгӹжӓ
26,Arm::N,ranka,кид
27,Ellenbogen::N,alkūnė,кӹнервуй
28,Hand::N,ranka,лапа
29,Hand::N,plaštaka,лапа
30,Handfläche::N,delnas,кид лапа
31,Handfläche::N,plaštaka,кид лапа
32,Finger::N,pirštas,парня
33,Fingernagel::N,nagas,кӹч
34,Nagel[Anatomie]::N,nagas,кӹч
35,Zeh::N,pirštas,парня
36,Fuß::N,pėda,ял лапа
37,Ferse::N,kulnas,ялгавал
38,Ferse::N,kulnas,ял кавал
39,Knie::N,kelis,пылвуй
40,Oberschenkel::N,kulšis,ӓрдӹ
41,Oberschenkel::N,šlaunis,ӓрдӹ
42,Bein::N,koja,ял
43,Körper::N,kūnas,монгыр
44,Haut::N,oda,кавашты
45,Blut::N,kraujas,вӹр
46,Ader::N,kraujagyslė,вӹршӓр
47,Sehne::N,sausgyslė,кукшышӱн
48,Knochen::N,kaulas,лу
49,Gehirn::N,smegenys,вим
50,Herz::N,širdis,шӱм
51,Magen::N,skrandis,шӱм
52,Leber::N,kepenys,мокш
53,Atem::N,kvapas,шӱлӹш
54,Hunger::N,badas,шужымаш
55,Hunger::N,alkis,шужымаш
56,Träne::N,ašara,сӹнзӓвӹд
57,Geschmack::N,skonis,тот
58,Geruch::N,kvapas,пыш
59,Schlaf::N,miegas,ом
60,Traum::N,sapnas,ом
61,Himmel::N,dangus,пӹлгом
62,Sonne::N,saulė,кечӹ
63,Mond::N,mėnulis,тӹлзӹ
64,Stern::N,žvaigždė,шӹдӹр
65,Luft::N,oras,юж
66,Luft::N,oras,воздух
67,Wind::N,vėjas,мардеж
68,Welle::N,banga,ко
69,Welle::N,banga,коэ
70,Welle::N,vilnis,ко
71,Welle::N,vilnis,коэ
72,Wasser::N,vanduo,вӹд
73,Stein::N,akmuo,кӱ
74,Boden::N,žemė,рок
75,Boden::N,dugnas,рок
76,Erde::N,žemė,свет
77,Staub::N,dulkės,пырак
78,Rauch::N,dūmai,шӹкш
79,Funke::N,kibirkštis,ип
80,Funke::N,kibirkštis,тылип
81,Feuer::N,ugnis,тыл
82,Licht::N,šviesa,соты
83,Licht::N,šviesa,валгыды
84,Schatten::N,paūksmė,ӹмӹл
85,Wetter::N,oras,игечӹ
86,Nebel::N,migla,тӹтӹрӓ
87,Nebel::N,rūkas,тӹтӹрӓ
88,Wolke::N,debesis,пӹл
89,Regen::N,lietus,юр
90,Schnee::N,sniegas,лым
91,Eis::N,ledas,и
92,Frost::N,šalna,ӱштӹ
93,Kälte::N,šaltis,ӱштӹ
94,Hitze::N,karštis,шокшы
95,Raureif::N,šerkšnas,пöрш
96,Regenbogen::N,vaivorykštė,шанавӹл
97,Donner::N,perkūnas,хӹдӹртӹш
98,Donner::N,griaustinis,хӹдӹртӹш
99,Strömung::N,tėkmė,йогы
100,Tropfen::N,lašas,капльы
101,Tropfen::N,lašas,капльык
102,Schaum::N,putos,шонг
103,Schmutz::N,purvas,лявӹрӓ
104,See::N,ežeras,йӓр
105,Sumpf::N,klampynė,лӱкӹ
106,Sumpf::N,liūnas,лӱкӹ
107,Moor::N,pelkė,куп
108,Wiese::N,pieva,алык
109,Wald::N,miškas,шӹргӹ
110,Hügel::N,kalva,пӱгӹрикӓ
111,Anhöhe::N,kauburys,кӱкшикӓ
112,Berg::N,kalnas,кырык
113,Gipfel::N,viršūnė,неркӓ
114,Höhle::N,ola,ы́раж
115,Abhang::N,šlaitas,полом
116,Abhang::N,nuokalnė,полом
117,Quelle::N,versmė,вӹдсӹнзӓ
118,Quelle::N,šaltinis,вӹдсӹнзӓ
119,Bach::N,upelis,ӓнгӹр
120,Fluss::N,upė,вӹд
121,Ufer::N,krantas,сир
122,Küste::N,pajūris,сир
