,Concept_ID,ro,tt
0,Auge::N,ochi,күз
1,Ohr::N,ureche,колак
2,Nase::N,nas,борын
3,Mund::N,gură,авыз
4,Mund::N,gură,тамак
5,Zahn::N,dinte,теш
6,Zunge::N,limbă,тел
7,Lippe::N,buză,ирен
8,Wange::N,bucă,яңак
9,Wange::N,obraz,яңак
10,Gesicht::N,față,йөз
11,Gesicht::N,figură,йөз
12,Stirn::N,frunte,маңгай
13,Haar::N,păr,чәч
14,Schnurrbart::N,mustață,мыек
15,Bart::N,barbă,сакал
16,Kinn::N,bărbie,ияк
17,Kiefer[Anatomie]::N,falcă,казналык
18,Kehle::N,beregată,тамак
19,Hals::N,gât,бугаз
20,Genick::N,ceafă,җилкә
21,Kopf::N,cap,баш
22,Rücken::N,dos,сырт
23,Rücken::N,spate,сырт
24,Rücken::N,spinare,сырт
25,Bauch::N,burtă,корсак
26,Bauch::N,pântece,корсак
27,Nabel::N,buric,кендек
28,Busen::N,sân,түш
29,Brust::N,piept,имчәк
30,Brust::N,piept,күкрәк
31,Schulter::N,umăr,иңбаш
32,Schulter::N,umăr,кулбаш
33,Schulter::N,spate,иңбаш
34,Schulter::N,spate,кулбаш
35,Arm::N,braț,кул
36,Ellenbogen::N,cot,терсәк
37,Hand::N,mână,кул
38,Handfläche::N,palmă,уч
39,Finger::N,deget,бармак
40,Fingernagel::N,unghie,тырнак
41,Nagel[Anatomie]::N,unghie,тырнак
42,Zeh::N,deget de la picior,бармак
43,Fuß::N,picior,табан
44,Ferse::N,călcâi,үкчә
45,Knie::N,genunchi,тез
46,Oberschenkel::N,coapsă,бот
47,Bein::N,picior,аяк
48,Körper::N,corp,тән
49,Körper::N,corp,җисем
50,Haut::N,piele,тире
51,Blut::N,sânge,кан
52,Ader::N,vână,тамыр
53,Ader::N,arteră,тамыр
54,Sehne::N,tendon,сеңер
55,Knochen::N,os,сөяк
56,Gehirn::N,creier,ми
57,Herz::N,inimă,йөрәк
58,Magen::N,stomac,ашказаны
59,Leber::N,ficat,бавыр
60,Atem::N,răsuflare,сулыш
61,Atem::N,respirație,сулыш
62,Hunger::N,foame,ачлык
63,Träne::N,lacrimă,яшь
64,Geschmack::N,gust,тәм
65,Geschmack::N,gust,зәвык
66,Geruch::N,miros,ис
67,Schlaf::N,somn,йокы
68,Traum::N,vis,төш
69,Himmel::N,cer,күк
70,Sonne::N,soare,кояш
71,Mond::N,lună,ай
72,Stern::N,stea,йолдыз
73,Luft::N,aer,һава
74,Wind::N,vânt,җил
75,Welle::N,val,дулкын
76,Welle::N,undă,дулкын
77,Wasser::N,apă,су
78,Stein::N,piatră,таш
79,Boden::N,sol,туфрак
80,Boden::N,pământ,туфрак
81,Erde::N,pământ,җир
82,Staub::N,praf,тузан
83,Rauch::N,fum,төтен
84,Funke::N,scânteie,очкын
85,Feuer::N,foc,ут
86,Licht::N,lumină,якты
87,Schatten::N,umbră,күләгә
88,Wetter::N,timp,һава
89,Wetter::N,vreme,һава
90,Nebel::N,ceață,томан
91,Nebel::N,negură,томан
92,Wolke::N,nor,болыт
93,Regen::N,ploaie,яңгыр
94,Schnee::N,zăpadă,кар
95,Eis::N,gheață,боз
96,Frost::N,ger,суык
97,Frost::N,ger,салкын
98,Kälte::N,frig,суык
99,Kälte::N,frig,салкын
100,Hitze::N,arșiță,эсселек
101,Hitze::N,căldură,эсселек
102,Raureif::N,chiciură,бәс
103,Raureif::N,chiciură,сыкы
104,Regenbogen::N,curcubeu,салават күпере
105,Donner::N,tunet,күкрәү
106,Strömung::N,curent,агыш'агым
107,Tropfen::N,picătură,тамчы
108,Schaum::N,spumă,күбек
109,Schmutz::N,murdărie,пычрак
