,Concept_ID,be,cv
0,Auge::N,вока,куҫ
1,Ohr::N,вуха,хӑлха
2,Nase::N,нос,сӑмса
3,Mund::N,рот,ҫӑвар
4,Zahn::N,зуб,шӑл
5,Zunge::N,язык,чӗлхе
6,Lippe::N,губа,тута
7,Wange::N,шчака,пит ҫӑмарти
8,Gesicht::N,твар,пит
9,Gesicht::N,твар,пит-куҫ
10,Stirn::N,лоб,ҫамка
11,Haar::N,волас,ҫӳҫ
12,Haar::N,валасы,ҫӳҫ
13,Schnurrbart::N,вус,усси
14,Schnurrbart::N,вусы,усси
15,Bart::N,барада,сухал
16,Kinn::N,падбародак,янах
17,Kiefer[Anatomie]::N,сківіца,янах
18,Kehle::N,горла,пыр
19,Kehle::N,горла,карланкӑ
20,Hals::N,шыя,пыр
21,Genick::N,патыліца,ӗнсе
22,Kopf::N,галава,пуҫ
23,Rücken::N,спіна,ҫурӑм
24,Bauch::N,жывот,
25,Nabel::N,пупок,кӑвапа
26,Busen::N,грудзі,кӑкӑр
27,Brust::N,грудзі,умӗ
28,Schulter::N,плячо,хул пуҫҫи
29,Arm::N,рука,алӑ
30,Ellenbogen::N,локаць,чавса
31,Hand::N,кісць,алӑ сыппи
32,Handfläche::N,далонь,ал лаппи
33,Finger::N,палец,пӳрне
34,Fingernagel::N,ногаць,чӗрне
35,Nagel[Anatomie]::N,ногаць,чӗрне
36,Zeh::N,палец,пӳрне
37,Fuß::N,нага,ура лаппи
38,Ferse::N,пята,кӗле
39,Ferse::N,пятка,кӗле
40,Knie::N,калена,чӗркуҫҫи
41,Oberschenkel::N,бядро,пӗҫӗ
42,Oberschenkel::N,сцягно,пӗҫӗ
43,Bein::N,нага,ура
44,Körper::N,цела,ӳт
45,Körper::N,цела,ӳт-пӳ
46,Haut::N,скура,тир
47,Blut::N,кроў,юн
48,Ader::N,вена,вена
49,Ader::N,сасуд,вена
50,Sehne::N,жыла,шӑнӑр
51,Sehne::N,цеціва,шӑнӑр
52,Sehne::N,сухажылле,шӑнӑр
53,Knochen::N,косць,шӑмӑ
54,Gehirn::N,мозг,миме
55,Herz::N,сэрца,чӗре
56,Magen::N,страўнік,хырӑмлӑх
57,Leber::N,печань,пӗвер
58,Atem::N,дыханне,сывлав
59,Hunger::N,голад,выҫлӑх
60,Träne::N,сляза,куҫҫуль
61,Geschmack::N,смак,техӗм
62,Geruch::N,пах,шӑршӑ
63,Schlaf::N,сон,ыйхӑ
64,Traum::N,сон,тӗлӗк
65,Himmel::N,неба,пӗлӗт
66,Sonne::N,сонца,хӗвел
67,Mond::N,месяц,уйӑх
68,Stern::N,зорка,ҫӑлтӑр
69,Luft::N,паветра,сывлӑш
70,Wind::N,вецер,ҫил
71,Welle::N,хваля,хум
72,Wasser::N,вада,шыв
73,Wasser::N,вада,шыв-шур
74,Stein::N,камень,чул
75,Boden::N,глеба,тӑпра
76,Erde::N,зямля,ҫӗр
77,Staub::N,пыл,тусан
78,Rauch::N,дым,тӗтӗм
79,Funke::N,іскра,хӗм
80,Feuer::N,агонь,вут
81,Feuer::N,агонь,ҫулӑм
82,Licht::N,святло,ҫутӑ
83,Schatten::N,цень,сулхӑн
84,Wetter::N,пагода,ҫанталӑк
85,Wetter::N,надворʼе,ҫанталӑк
86,Nebel::N,туман,тӗтре
87,Wolke::N,воблака,пӗлӗт
88,Regen::N,дождж,ҫумӑр
89,Schnee::N,снег,юр
90,Eis::N,лёд,пӑр
91,Frost::N,мароз,сивӗ
92,Kälte::N,холад,сивӗ
93,Hitze::N,спёка,вӗри
94,Hitze::N,спёка,шӑрӑх
95,Raureif::N,іней,пас
96,Regenbogen::N,вясёлка,асамат кӗперӗ
97,Donner::N,гром,аслати
98,Strömung::N,цячэнне,юхӑ
99,Tropfen::N,кропля,тумлам
100,Schaum::N,пена,кӑпӑк
101,Schmutz::N,гразь,пылчӑк
102,See::N,возера,кӳлӗ
103,Sumpf::N,багна,шур
104,Sumpf::N,багна,шурлӑх
105,Moor::N,балота,торфлӑ шурлӑх
106,Wiese::N,луг,улӑх
107,Wiese::N,луг,ҫаран
108,Wald::N,лес,вӑрман
109,Hügel::N,узгорак,сӑрт
110,Hügel::N,узгорак,тӗмеске
111,Anhöhe::N,узвышша,сӑрт
112,Berg::N,гара,ту
113,Gipfel::N,вяршыня,тӳпе
114,Höhle::N,пячора,ҫӗр хӑвӑлӗ
115,Abhang::N,схіл,тӑвайкки
116,Quelle::N,крыніца,ҫӑл куҫ
117,Bach::N,ручай,пӗчӗк шыв
118,Fluss::N,рака,юхан шыв
119,Ufer::N,бераг,ҫыран
120,Küste::N,узбярэжжа,тинӗс ҫыранӗ
121,Festland::N,суша,тип ҫӗр
122,Meer::N,мора,тинӗс
123,Bucht::N,бухта,тинӗс кукӑрӗ
124,Insel::N,востраў,утрав
125,Blume::N,кветка,чечек
126,Gras::N,трава,курӑк
127,Wurzel::N,корань,тымар
128,Baum::N,дрэва,йывӑҫ
129,Stamm::N,ствол,вулӑ
130,Rinde::N,кара,хуйӑр
131,Ast::N,сук,турат
132,Zweig::N,галіна,турат
133,Blatt::N,ліст,ҫулҫӑ
134,Birke::N,бяроза,хурӑн
135,Kiefer[Baum]::N,хвоя,хыр
136,Kiefer[Baum]::N,сасна,хыр
137,Weide[Baum]::N,вярба,хӑва
138,Tanne::N,яліна,чӑрӑш
139,Horn::N,рог,мӑйрака
140,Feder::N,пяро,тӗк
141,Fell::N,шкура,ҫӑм
142,Flügel::N,крыло,ҫунат
143,Klaue::N,кіпцюр,чӗрне
144,Kralle::N,лапа,ура
145,Schwanz::N,хвост,хӳре
146,Ei::N,яйка,ҫӑмарта
147,Nest::N,гняздо,йӑва
148,Bau::N,нара,йӗнӗ
149,Tier::N,жывёла,выльӑх
150,Herde::N,статак,кӗтӳ
151,Kuh::N,карова,ӗне
152,Bulle::N,бык,вӑкӑр
153,Pferd::N,конь,лаша
154,Schaf::N,авечка,сурӑх
155,Schwein::N,свіння,сысна
156,Hund::N,сабака,йытӑ
157,Katze::N,кошка,кушак
158,Bär::N,мядзведзь,упа
159,Eichhörnchen::N,вавёрка,пакша
160,Elch::N,лось,пӑши
161,Fuchs::N,ліса,тилӗ
162,Hase::N,заяц,куян
163,Hase::N,заяц,мулкач
164,Maus::N,мыш,шӑши
165,Wolf::N,воўк,кашкӑр
166,Vogel::N,птах,кайӑк
167,Vogel::N,птах,вӗҫен кайӑк
168,Vogel::N,птушка,кайӑк
169,Vogel::N,птушка,вӗҫен кайӑк
170,Schwarm::N,чарада,ушкӑн
171,Huhn::N,курыца,чӑх
172,Huhn::N,курыца,чӑхӑ
173,Hahn::N,певень,автан
174,Gans::N,гусь,хур
175,Adler::N,арол,ӑмӑрт кайӑк
176,Ente::N,качка,кӑвакал
177,Eule::N,сава,тӑмана
178,Kranich::N,жораў,тӑрна
179,Kranich::N,журавель,тӑрна
180,Krähe::N,варона,ула курак
181,Kuckuck::N,зязюля,куккук
182,Schwan::N,лебедзь,акӑш
183,Fisch::N,рыба,пулӑ
184,Barsch::N,акунь,уланкӑ
185,Hecht::N,шчупак,ҫӑрттан
186,Schlange[Tier]::N,змяя,ҫӗлен
187,Wurm::N,чарвяк,ӑман
188,Spinne::N,павук,эрешмен
189,Ameise::N,мурашка,кӑткӑ
190,Laus::N,вош,пыйтӑ
191,Mücke::N,камар,вӑрӑм туна
192,Fliege::N,муха,шӑна
193,Schmetterling::N,матыль,лӗпӗш
194,Beere::N,ягада,ҫырла
195,Apfel::N,яблык,улма
196,Apfel::N,яблык,пан улми
197,Pilz::N,грыб,кӑмпа
198,Zwiebel::N,цыбуля,сухан
199,Saat::N,семя,вӑрӑ
200,Korn::N,зерне,тӗшӗ
201,Korn::N,зерне,пӗрчӗ
202,Heu::N,сена,утӑ
203,Schale::N,шалупінне,хупӑ
204,Grube::N,яма,шӑтӑк
205,Falle::N,пастка,тапӑ
206,Falle::N,пастка,капкӑн
207,Schlinge::N,сіло,йӑлӑ
208,Spur::N,след,йӗр
209,Asche::N,попел,кӗл
210,Dreck::N,бруд,пылчӑк
211,Eisen::N,жалеза,тимӗр
212,Gold::N,золата,ылтӑн
213,Silber::N,сребра,кӗмӗл
214,Kohle::N,вугаль,кӑмрӑк
215,Glas::N,шкло,кӗленче
216,Lehm::N,гліна,тӑм
217,Sand::N,пясок,хӑйӑр
218,Mensch::N,чалавек,ҫын
219,Mensch::N,чалавек,этем
220,Mann::N,мужчына,ар
221,Frau::N,жанчына,хӗрарӑм
222,Kind::N,дзіця,ача
223,Junge::N,хлопчык,ача
224,Junge::N,хлопчык,ар ҫын ача
225,Mädchen::N,дзяўчынка,хӗр ача
226,Familie::N,сямʼя,ҫемье
227,Familie::N,сямʼя,кил-йыш
228,Großvater::N,дзядуля,кукаҫи
229,Großmutter::N,бабуля,кукамай
230,Eltern::N,бацькі,аҫа-ама
