,Concept_ID,cy,ab
0,Auge::N,llygad,ала
1,Ohr::N,clust,алымҳа
2,Nase::N,trwyn,аҧынҵа
3,Mund::N,ceg,аҧышə
4,Zahn::N,dant,ахаҧыц
5,Zunge::N,tafod,абз
6,Lippe::N,gwefus,ақьышə
7,Wange::N,boch,аӡамҩа
8,Gesicht::N,wyneb,аҿы
9,Stirn::N,talcen,алахь
10,Haar::N,blew,ахəыц
11,Schnurrbart::N,mwstas,аҧаҵа
12,Bart::N,barf,ажакьа
13,Kinn::N,gên,ацламкəыгə
14,Kiefer[Anatomie]::N,gên,ацламҳəа
15,Kehle::N,gwddf,ахəда
16,Hals::N,gwddf,ахəда
17,Genick::N,gwar,ахəдаџьал
18,Genick::N,gwegil,ахəдаџьал
19,Kopf::N,pen,ахы
20,Rücken::N,cefn,азқəа
21,Bauch::N,bol,амгəа
22,Nabel::N,bogail,аҷапан
23,Busen::N,bron,агəыҧҳəы
24,Brust::N,brest,агəышҧы
25,Schulter::N,ysgwydd,ажəҩахыр
26,Arm::N,braich,амахəар
27,Ellenbogen::N,penelin,амашьхəылҵ
28,Hand::N,llaw,анапы
29,Handfläche::N,palf,анапсаргəыҵа
30,Finger::N,bys,анацəа
31,Fingernagel::N,ewin,анапхыц
32,Nagel[Anatomie]::N,ewin,ашьапхыц
33,Zeh::N,bys troed,ашьацəа
34,Fuß::N,troed,ашьапсыргəыҵа
35,Ferse::N,sawdl,ашьхəа
36,Knie::N,glin,ашьамхы
37,Oberschenkel::N,clun,ауаҭəа
38,Bein::N,coes,ашьапы
39,Körper::N,corff,ацəеижь
40,Haut::N,croen,ацəа
41,Blut::N,gwaed,ашьа
42,Ader::N,gwythïen,ада
43,Sehne::N,gewyn,адаш
44,Knochen::N,asgwrn,абаҩ
45,Gehirn::N,ymennydd,ахшлыбаҩ
46,Gehirn::N,ymennydd,ахшыбаҩ
47,Herz::N,calon,агəы
48,Magen::N,cylla,аца
49,Magen::N,cylla,ацар
50,Magen::N,stumog,аца
51,Magen::N,stumog,ацар
52,Leber::N,iau,агəаҵəа
53,Atem::N,anadl,аҧсыҧлагаҩгара
54,Hunger::N,newyn,амла
55,Träne::N,deigryn,алабжыш
56,Geschmack::N,cyflas,агьама
57,Geruch::N,aroglau,афҩы
58,Schlaf::N,cwsg,ацəа
59,Traum::N,breuddwyd,аҧхыӡ
60,Himmel::N,awyr,ажəҩан
61,Sonne::N,haul,амра
62,Mond::N,lleuad,амза
63,Stern::N,seren,аеҵəа
64,Luft::N,awyr,аҳаир
65,Wind::N,gwynt,аҧша
66,Welle::N,ton,ацəқəырҧа
67,Wasser::N,dŵr,аӡы
68,Stein::N,carreg,ахаҳə
69,Boden::N,llawr,адгьыл
70,Erde::N,pridd,адгьыл
71,Staub::N,llwch,асаба
72,Rauch::N,mwg,алҩа
73,Funke::N,gwreichioni,акəиц
74,Funke::N,gwreichioni,ацҧхь
75,Feuer::N,tân,амца
76,Licht::N,golau,алашара
77,Schatten::N,cysgod,ашəшьыра
78,Wetter::N,tywydd,амш
79,Nebel::N,niwl,анаҟəа
80,Wolke::N,cwmwl,аҧсҭҳəа
81,Regen::N,glaw,ақəа
82,Schnee::N,ôd,асы
83,Schnee::N,eira,асы
84,Eis::N,iâ,аҵаа
85,Frost::N,rhew,аҵаа
86,Kälte::N,oerni,ахьҭа
87,Kälte::N,annwyd,ахьҭа
88,Hitze::N,gwres,ашоура
89,Raureif::N,barrug,аҵааҧшқа
90,Regenbogen::N,enfys,ацəаҟəа
91,Donner::N,tyrfau,адыд
92,Strömung::N,cerrynt,аиасра
93,Strömung::N,cerrynt,амҩасра
94,Tropfen::N,dafn,ацəыкəбар
95,Tropfen::N,diferyn,ацəыкəбар
96,Schaum::N,ewyn,ашəах
97,Schmutz::N,baw,алымт
98,Schmutz::N,budreddi,алымт
99,See::N,llyn,аӡиа
100,Sumpf::N,cors,аӡмах
101,Moor::N,rhos,
102,Wiese::N,dôl,адəы
103,Wald::N,coedwig,абна
104,Hügel::N,bryn,ахəы
105,Anhöhe::N,bryn,аҳаракыра
106,Berg::N,mynydd,ашьха
107,Gipfel::N,copa,ацəқəа
108,Höhle::N,ogof,аҳаҧы
109,Abhang::N,llethr,анаара
110,Quelle::N,tarddiad,аҵҵырҭа
111,Quelle::N,ffynhonnell,аҵҵырҭа
112,Bach::N,nant,акəараҷҷа
113,Bach::N,afonig,акəараҷҷа
114,Bach::N,cornant,акəараҷҷа
115,Fluss::N,afon,аӡиас
116,Ufer::N,glan,ахықə
117,Küste::N,traeth,ахықə
118,Küste::N,arfordir,ахықə
119,Festland::N,tir,абарра
120,Meer::N,môr,амшын
121,Bucht::N,bae,аӡбжьахала
122,Insel::N,ynys,адгьылбжьаха
123,Blume::N,blodyn,ашəҭ
124,Gras::N,glaswellt,аҳасакьын
125,Wurzel::N,gwreiddyn,адац
126,Baum::N,coeden,аҵла
127,Stamm::N,colfen,ашьапы
128,Stamm::N,boncyff,ашьапы
129,Rinde::N,rhisgl,ацəа
130,Ast::N,cangen,амахə
131,Ast::N,cangen,амахəҭа
132,Zweig::N,cainc,амахə
133,Zweig::N,cainc,амахəҭа
134,Zweig::N,cangen,амахə
135,Zweig::N,cangen,амахəҭа
136,Blatt::N,deilen,абҕьы
137,Birke::N,bedwen,аҵааҵла
138,Kiefer[Baum]::N,pinwydden,амза
139,Weide[Baum]::N,helygen,аҧслыш
140,Tanne::N,ffynidwydden,аҧсаӡ
141,Horn::N,corn,атəыҩа
142,Feder::N,plufyn,ахӡы
