,Concept_ID,nl,cv
0,Auge::N,oog,куҫ
1,Ohr::N,oor,хӑлха
2,Nase::N,neus,сӑмса
3,Mund::N,mond,ҫӑвар
4,Zahn::N,tand,шӑл
5,Zunge::N,tong,чӗлхе
6,Lippe::N,lip,тута
7,Wange::N,wang,пит ҫӑмарти
8,Gesicht::N,gelaat,пит
9,Gesicht::N,gelaat,пит-куҫ
10,Gesicht::N,gezicht,пит
11,Gesicht::N,gezicht,пит-куҫ
12,Stirn::N,voorhoofd,ҫамка
13,Haar::N,haar,ҫӳҫ
14,Schnurrbart::N,snor,усси
15,Bart::N,baard,сухал
16,Kinn::N,kin,янах
17,Kiefer[Anatomie]::N,kaak,янах
18,Kehle::N,keel,пыр
19,Kehle::N,keel,карланкӑ
20,Kehle::N,strot,пыр
21,Kehle::N,strot,карланкӑ
22,Hals::N,hals,пыр
23,Genick::N,nek,ӗнсе
24,Kopf::N,hoofd,пуҫ
25,Rücken::N,rug,ҫурӑм
26,Bauch::N,buik,
27,Nabel::N,navel,кӑвапа
28,Busen::N,boezem,кӑкӑр
29,Brust::N,borst,умӗ
30,Schulter::N,schouder,хул пуҫҫи
31,Arm::N,arm,алӑ
32,Ellenbogen::N,elleboog,чавса
33,Hand::N,hand,алӑ сыппи
34,Handfläche::N,handpalm,ал лаппи
35,Finger::N,vinger,пӳрне
36,Fingernagel::N,nagel,чӗрне
37,Nagel[Anatomie]::N,nagel,чӗрне
38,Zeh::N,teen,пӳрне
39,Fuß::N,voet,ура лаппи
40,Ferse::N,hak,кӗле
41,Ferse::N,hiel,кӗле
42,Knie::N,knie,чӗркуҫҫи
43,Oberschenkel::N,dij,пӗҫӗ
44,Bein::N,been,ура
45,Körper::N,lichaam,ӳт
46,Körper::N,lichaam,ӳт-пӳ
47,Haut::N,huid,тир
48,Blut::N,bloed,юн
49,Ader::N,ader,вена
50,Sehne::N,pees,шӑнӑр
51,Knochen::N,bot,шӑмӑ
52,Knochen::N,been,шӑмӑ
53,Knochen::N,knook,шӑмӑ
54,Gehirn::N,hersenen,миме
55,Herz::N,hart,чӗре
56,Magen::N,maag,хырӑмлӑх
57,Leber::N,lever,пӗвер
58,Atem::N,adem,сывлав
59,Hunger::N,honger,выҫлӑх
60,Träne::N,traan,куҫҫуль
61,Geschmack::N,smaak,техӗм
62,Geruch::N,geur,шӑршӑ
63,Schlaf::N,slaap,ыйхӑ
64,Traum::N,droom,тӗлӗк
65,Himmel::N,hemel,пӗлӗт
66,Sonne::N,zon,хӗвел
67,Mond::N,maan,уйӑх
68,Stern::N,ster,ҫӑлтӑр
69,Luft::N,lucht,сывлӑш
70,Wind::N,wind,ҫил
71,Welle::N,golf,хум
72,Wasser::N,water,шыв
73,Wasser::N,water,шыв-шур
74,Stein::N,steen,чул
75,Boden::N,grond,тӑпра
76,Erde::N,aarde,ҫӗр
77,Staub::N,stof,тусан
78,Rauch::N,rook,тӗтӗм
79,Funke::N,vonk,хӗм
80,Feuer::N,vuur,вут
81,Feuer::N,vuur,ҫулӑм
82,Licht::N,licht,ҫутӑ
83,Schatten::N,schaduw,сулхӑн
84,Wetter::N,weer,ҫанталӑк
85,Nebel::N,mist,тӗтре
86,Nebel::N,nevel,тӗтре
87,Wolke::N,wolk,пӗлӗт
88,Regen::N,regen,ҫумӑр
89,Schnee::N,sneeuw,юр
90,Eis::N,ijs,пӑр
91,Frost::N,vorst,сивӗ
92,Kälte::N,kou,сивӗ
93,Kälte::N,koude,сивӗ
94,Hitze::N,hitte,вӗри
95,Hitze::N,hitte,шӑрӑх
96,Raureif::N,rijp,пас
97,Regenbogen::N,regenboog,асамат кӗперӗ
98,Donner::N,donder,аслати
99,Strömung::N,stroming,юхӑ
100,Tropfen::N,druppel,тумлам
101,Schaum::N,schuim,кӑпӑк
102,Schmutz::N,vuil,пылчӑк
103,See::N,meer,кӳлӗ
104,Sumpf::N,moeras,шур
105,Sumpf::N,moeras,шурлӑх
106,Moor::N,veen,торфлӑ шурлӑх
107,Wiese::N,wei,улӑх
108,Wiese::N,wei,ҫаран
109,Wiese::N,weide,улӑх
110,Wiese::N,weide,ҫаран
111,Wald::N,bos,вӑрман
112,Hügel::N,heuvel,сӑрт
113,Hügel::N,heuvel,тӗмеске
114,Anhöhe::N,hoogte,сӑрт
115,Berg::N,berg,ту
116,Gipfel::N,top,тӳпе
117,Höhle::N,hol,ҫӗр хӑвӑлӗ
118,Abhang::N,helling,тӑвайкки
119,Quelle::N,bron,ҫӑл куҫ
120,Bach::N,beek,пӗчӗк шыв
121,Fluss::N,stroom,юхан шыв
122,Ufer::N,wal,ҫыран
123,Ufer::N,oever,ҫыран
124,Küste::N,kust,тинӗс ҫыранӗ
125,Festland::N,vasteland,тип ҫӗр
126,Meer::N,zee,тинӗс
127,Bucht::N,baai,тинӗс кукӑрӗ
128,Bucht::N,inham,тинӗс кукӑрӗ
129,Insel::N,eiland,утрав
130,Blume::N,bloem,чечек
131,Gras::N,gras,курӑк
132,Wurzel::N,wortel,тымар
133,Baum::N,boom,йывӑҫ
134,Stamm::N,stam,вулӑ
135,Rinde::N,schors,хуйӑр
136,Ast::N,tak,турат
137,Zweig::N,twijg,турат
138,Blatt::N,blad,ҫулҫӑ
139,Birke::N,berk,хурӑн
140,Kiefer[Baum]::N,den,хыр
141,Weide[Baum]::N,wilg,хӑва
142,Tanne::N,spar,чӑрӑш
143,Horn::N,hoorn,мӑйрака
144,Feder::N,veer,тӗк
145,Feder::N,pluim,тӗк
146,Fell::N,vel,ҫӑм
147,Flügel::N,vleugel,ҫунат
148,Klaue::N,klauw,чӗрне
149,Kralle::N,klauw,ура
150,Schwanz::N,staart,хӳре
151,Ei::N,ei,ҫӑмарта
152,Nest::N,nest,йӑва
153,Bau::N,hol,йӗнӗ
154,Tier::N,dier,выльӑх
155,Herde::N,kudde,кӗтӳ
156,Kuh::N,koe,ӗне
157,Bulle::N,stier,вӑкӑр
158,Pferd::N,paard,лаша
159,Schaf::N,schaap,сурӑх
160,Schwein::N,varken,сысна
161,Hund::N,hond,йытӑ
162,Katze::N,kat,кушак
163,Bär::N,beer,упа
164,Eichhörnchen::N,eekhoorntje,пакша
165,Elch::N,eland,пӑши
166,Fuchs::N,vos,тилӗ
167,Hase::N,haas,куян
168,Hase::N,haas,мулкач
169,Maus::N,muis,шӑши
170,Wolf::N,wolf,кашкӑр
171,Vogel::N,vogel,кайӑк
172,Vogel::N,vogel,вӗҫен кайӑк
173,Schwarm::N,zwerm,ушкӑн
174,Huhn::N,kip,чӑх
175,Huhn::N,kip,чӑхӑ
176,Huhn::N,hoen,чӑх
177,Huhn::N,hoen,чӑхӑ
178,Hahn::N,haan,автан
179,Gans::N,gans,хур
180,Adler::N,arend,ӑмӑрт кайӑк
181,Ente::N,eend,кӑвакал
182,Eule::N,uil,тӑмана
183,Kranich::N,kraanvogel,тӑрна
184,Krähe::N,kraai,ула курак
185,Kuckuck::N,koekoek,куккук
186,Schwan::N,zwaan,акӑш
187,Fisch::N,vis,пулӑ
188,Barsch::N,baars,уланкӑ
189,Hecht::N,snoek,ҫӑрттан
190,Schlange[Tier]::N,slang,ҫӗлен
191,Wurm::N,worm,ӑман
192,Spinne::N,spin,эрешмен
193,Ameise::N,mier,кӑткӑ
194,Laus::N,luis,пыйтӑ
195,Mücke::N,mug,вӑрӑм туна
196,Fliege::N,vlieg,шӑна
197,Schmetterling::N,vlinder,лӗпӗш
198,Beere::N,bes,ҫырла
199,Apfel::N,appel,улма
200,Apfel::N,appel,пан улми
201,Pilz::N,paddestoel,кӑмпа
202,Zwiebel::N,ui,сухан
203,Saat::N,zaad,вӑрӑ
204,Korn::N,graan,тӗшӗ
205,Korn::N,graan,пӗрчӗ
206,Korn::N,korrel,тӗшӗ
207,Korn::N,korrel,пӗрчӗ
208,Heu::N,hooi,утӑ
209,Schale::N,schil,хупӑ
210,Grube::N,kuil,шӑтӑк
211,Falle::N,val,тапӑ
212,Falle::N,val,капкӑн
213,Schlinge::N,strop,йӑлӑ
214,Spur::N,spoor,йӗр
215,Asche::N,as,кӗл
216,Dreck::N,drek,пылчӑк
217,Eisen::N,ijzer,тимӗр
218,Gold::N,goud,ылтӑн
219,Silber::N,zilver,кӗмӗл
220,Kohle::N,kool,кӑмрӑк
221,Glas::N,glas,кӗленче
222,Lehm::N,klei,тӑм
223,Sand::N,zand,хӑйӑр
224,Mensch::N,mens,ҫын
225,Mensch::N,mens,этем
226,Mann::N,man,ар
227,Frau::N,vrouw,хӗрарӑм
228,Kind::N,kind,ача
229,Junge::N,jongen,ача
230,Junge::N,jongen,ар ҫын ача
231,Mädchen::N,meisje,хӗр ача
232,Familie::N,gezin,ҫемье
233,Familie::N,gezin,кил-йыш
234,Familie::N,familie,ҫемье
235,Familie::N,familie,кил-йыш
236,Großvater::N,grootvader,кукаҫи
237,Großmutter::N,grootmoeder,кукамай
238,Eltern::N,ouders,аҫа-ама
239,Vater::N,vader,атте
240,Mutter::N,moeder,анне
241,Sohn::N,zoon,ывӑл
242,Tochter::N,dochter,хӗр
243,Bruder::N,broer,ар тӑван
244,Bruder::N,broeder,ар тӑван
245,Schwester::N,zus,аппа
246,Schwester::N,zus,йӑмӑк
247,Schwester::N,zuster,аппа
248,Schwester::N,zuster,йӑмӑк
249,Onkel::N,oom,мучи
250,Onkel::N,oom,пичче
251,Tante::N,tante,аппа
252,Ehemann::N,echtgenoot,упӑшка
253,Ehefrau::N,echtgenote,арӑм
254,Freude::N,vreugde,савӑнӑҫ
255,Freude::N,vreugde,хаваслӑх
256,Gelächter::N,gelach,кулӑ
257,Glück::N,geluk,телей
258,Glück::N,geluk,ӑраскал
259,Kummer::N,verdriet,хурлӑх
260,Wunsch::N,wens,ӗмӗт
