,Concept_ID,hu,lbe
0,Auge::N,szem,я
1,Ohr::N,fül,вичӏи
2,Nase::N,orr,май
3,Mund::N,száj,кьацӏ
4,Zahn::N,fog,ккарччи
5,Zunge::N,nyelv,маз
6,Lippe::N,ajak,мурччи
7,Wange::N,orca,чӏав
8,Gesicht::N,arc,лажин
9,Stirn::N,homlok,ненттабакӏ
10,Haar::N,haj,чӏара
11,Schnurrbart::N,bajusz,ссирссилтту
12,Bart::N,szakáll,чӏири
13,Kinn::N,áll,лунттубакӏ
14,Kiefer[Anatomie]::N,állkapocs,ххинчулул
15,Kehle::N,gége,кьакьари
16,Kehle::N,torok,кьакьари
17,Hals::N,nyak,ссурссу
18,Genick::N,tarkó,махъабакӏ
19,Kopf::N,fő,бакӏ
20,Kopf::N,fej,бакӏ
21,Rücken::N,hát,ттиликӏ
22,Bauch::N,has,лякьа
23,Nabel::N,köldök,цӏумуккутӏ
24,Busen::N,mell,ккукку
25,Busen::N,kebel,ккукку
26,Brust::N,mell,хъазам
27,Schulter::N,váll,хъачӏ
28,Arm::N,kar,ка
29,Ellenbogen::N,könyök,ссюрхъ
30,Hand::N,kéz,бартка
31,Handfläche::N,tenyér,хъат
32,Handfläche::N,tenyér,битӏянхъ
33,Finger::N,ujj,кӏисса
34,Fingernagel::N,köröm,михь
35,Nagel[Anatomie]::N,köröm,михь
36,Zeh::N,lábujj,кӏисса
37,Fuß::N,láb,чӏанччан
38,Ferse::N,sarok,никъа
39,Knie::N,térd,ник
40,Oberschenkel::N,comb,жира
41,Bein::N,láb,ччан
42,Bein::N,lábszár,ччан
43,Körper::N,test,чурх
44,Haut::N,bőr,бурчу
45,Blut::N,vér,оь
46,Ader::N,ér,тунну
47,Sehne::N,ín,хьхьа
48,Knochen::N,csont,ттаркӏ
49,Gehirn::N,agy,ня
50,Gehirn::N,agyvelő,ня
51,Herz::N,szív,дакӏ
52,Herz::N,szív,къюкӏ
53,Magen::N,gyomor,лякьа
54,Leber::N,máj,
55,Atem::N,lehelet,ссихӏ ласаву
56,Atem::N,lehelet,ссихӏ бигьаву
57,Atem::N,lélegzet,ссихӏ ласаву
58,Atem::N,lélegzet,ссихӏ бигьаву
59,Hunger::N,éhség,ккаши
60,Träne::N,könny,макь
61,Geschmack::N,íz,тӏин
62,Geschmack::N,íz,тӏааьн
63,Geruch::N,szag,кьанкь
64,Schlaf::N,álom,шану
65,Schlaf::N,alvás,шану
66,Traum::N,álom,макӏру
67,Himmel::N,ég,ссав
68,Himmel::N,menny,ссав
69,Sonne::N,nap,баргъ
70,Mond::N,hold,барз
71,Stern::N,csillag,цӏуку
72,Luft::N,levegő,гьава
73,Wind::N,szél,марч
74,Welle::N,hullám,щатӏи
75,Wasser::N,víz,щин
76,Stein::N,kő,чару
77,Boden::N,föld,аьрщи
78,Boden::N,talaj,аьрщи
79,Erde::N,föld,аьрщи
80,Staub::N,por,ххит
81,Rauch::N,füst,пуркӏу
82,Funke::N,szikra,пиягь
83,Feuer::N,tűz,цӏу
84,Licht::N,fény,чани
85,Schatten::N,árnyék,ххют
86,Wetter::N,idő,гьава
87,Wetter::N,időjárás,гьава
88,Nebel::N,köd,шархь ттурлу
89,Wolke::N,felhő,ттурлу
90,Regen::N,eső,гъарал
91,Schnee::N,hó,марххала
92,Eis::N,jég,микӏ
93,Frost::N,fagy,дяркъу
94,Frost::N,fagy,замгьар
95,Kälte::N,hideg,дяркъу
96,Hitze::N,hő,кӏиришиву
97,Hitze::N,hőség,кӏиришиву
