,Concept_ID,ta,he
0,Auge::N,கண்,עין
1,Ohr::N,காது,אזן
2,Nase::N,மூக்கு,אף
3,Nase::N,மூக்கு,חטם
4,Mund::N,வாய்,פה
5,Zahn::N,பல்,שן
6,Zunge::N,நாக்கு,לשון
7,Lippe::N,உதடு,שפה
8,Wange::N,கன்னம்,לחי
9,Gesicht::N,முகம்,פנים
10,Stirn::N,முன்னெற்றி,מצח
11,Haar::N,முடி,שערה
12,Schnurrbart::N,மீசை,שפם
13,Bart::N,தாடி,זקן
14,Kinn::N,கீழதாடை,סנטר
15,Kiefer[Anatomie]::N,தாடை,לסת
16,Kehle::N,தொண்டை,גרון
17,Hals::N,கழுத்து,צואר
18,Genick::N,கழுத்து,ערף
19,Kopf::N,தலை,ראש
20,Rücken::N,முதுகு,גב
21,Bauch::N,வயிறு,בטן
22,Nabel::N,தொப்புள்,טבור
23,Busen::N,மார்பகம்,שד
24,Brust::N, மார்பு,חזה
25,Schulter::N,தோள்பட்டை,כתף
26,Arm::N,கரம்,זרוע
27,Ellenbogen::N,முழங்கை,מרפק
28,Hand::N,கை,יד
29,Handfläche::N,உள்ளங்கை,כף יד
30,Finger::N,விரல்,אצבע
31,Fingernagel::N,விரல் நகம்,צפרן
32,Nagel[Anatomie]::N,நகம்,צפרן
33,Zeh::N,கால்விரல்,אצבע
34,Fuß::N,கால்,רגל
35,Ferse::N,குதிகால்,עקב
36,Knie::N,முழங்கால்,ברך
37,Oberschenkel::N,தொடை,ירך
38,Bein::N,கால்,רגל
39,Körper::N,உடல்,גוף
40,Haut::N,சருமம்,עור
41,Blut::N,இரத்தம்,דם
42,Ader::N,நாளம்,וריד
43,Sehne::N,தசைநார்,גיד
44,Knochen::N,எலுமபு,עצם
45,Gehirn::N,மூனை,מוח
46,Herz::N,இதயம,לב
47,Magen::N,வயிறு,קבה
48,Leber::N,கல்லீரல்,כבד
49,Atem::N,மூச்சு,נשימה
50,Hunger::N,பசி,רעב
51,Träne::N,கண்ணீர்,דמעה
52,Geschmack::N,நறுமணம்,טעם
53,Geruch::N,துர்நாற்றம்,ריח
