,Concept_ID,fa,be
0,Auge::N,چشم,вока
1,Ohr::N,گوش,вуха
2,Nase::N,بینی,нос
3,Mund::N,دهان,рот
4,Zahn::N,دندان,зуб
5,Zunge::N,زبان,язык
6,Lippe::N,لب,губа
7,Wange::N,لپ,шчака
8,Gesicht::N,رو,твар
9,Gesicht::N,چهره,твар
10,Stirn::N,پیشانی,лоб
11,Haar::N,مو,волас
12,Haar::N,مو,валасы
13,Schnurrbart::N,سبیل,вус
14,Schnurrbart::N,سبیل,вусы
15,Bart::N,ریش,барада
16,Kinn::N,چانه,падбародак
17,Kiefer[Anatomie]::N,فک,сківіца
18,Kiefer[Anatomie]::N,آرواره,сківіца
19,Kehle::N,حلق,горла
20,Hals::N,گردن,шыя
21,Genick::N,پشت گردن,патыліца
22,Kopf::N,سر,галава
23,Kopf::N,کله,галава
24,Rücken::N,پشت,спіна
25,Bauch::N,شکم,жывот
26,Nabel::N,ناف,пупок
27,Busen::N,پستان,грудзі
28,Brust::N,سینه,грудзі
29,Schulter::N,دوش,плячо
30,Schulter::N,شانه,плячо
31,Arm::N,بازو,рука
32,Ellenbogen::N,آرنج,локаць
33,Hand::N,دست,кісць
34,Handfläche::N,کف دست,далонь
35,Finger::N,انگشت,палец
36,Fingernagel::N,ناخن دست,ногаць
37,Nagel[Anatomie]::N,ناخن,ногаць
38,Zeh::N,انگشت پا,палец
39,Fuß::N,پا,нага
40,Ferse::N,پاشنه,пята
41,Ferse::N,پاشنه,пятка
42,Knie::N,زانو,калена
43,Oberschenkel::N,ران,бядро
44,Oberschenkel::N,ران,сцягно
45,Bein::N,پا,нага
46,Bein::N,لنگ,нага
47,Körper::N,تن,цела
48,Körper::N,بدن,цела
49,Haut::N,پوست,скура
50,Blut::N,خون,кроў
51,Ader::N,رگ,вена
52,Ader::N,رگ,сасуд
53,Sehne::N,زردپی,жыла
54,Sehne::N,زردپی,цеціва
55,Sehne::N,زردپی,сухажылле
56,Knochen::N,استخوان,косць
57,Gehirn::N,مخ,мозг
58,Gehirn::N,مغز,мозг
59,Herz::N,دل,сэрца
60,Herz::N,قلب,сэрца
61,Magen::N,معده,страўнік
62,Leber::N,کبد,печань
63,Atem::N,نفس,дыханне
64,Hunger::N,گرسنگی,голад
65,Träne::N,اشک,сляза
66,Geschmack::N,مزه,смак
67,Geruch::N,بو,пах
68,Schlaf::N,خواب,сон
69,Traum::N,رؤیا,сон
70,Himmel::N,فلک,неба
71,Himmel::N,آسمان,неба
72,Sonne::N,آفتاب,сонца
73,Sonne::N,خورشید,сонца
74,Mond::N,ماه,месяц
75,Stern::N,ستاره,зорка
76,Luft::N,هوا,паветра
77,Wind::N,باد,вецер
78,Welle::N,موج,хваля
79,Wasser::N,آب,вада
80,Stein::N,سنگ,камень
81,Boden::N,زمین,глеба
82,Erde::N,خاک,зямля
83,Erde::N,زمین,зямля
84,Staub::N,گرد,пыл
85,Staub::N,غبار,пыл
86,Rauch::N,دود,дым
87,Funke::N,جرقه,іскра
88,Feuer::N,آتش,агонь
89,Licht::N,نور,святло
90,Licht::N,روشنی,святло
91,Schatten::N,سایه,цень
92,Wetter::N,هوا,пагода
93,Wetter::N,هوا,надворʼе
94,Nebel::N,مه,туман
95,Wolke::N,ابر,воблака
96,Regen::N,باران,дождж
97,Schnee::N,برف,снег
98,Eis::N,یخ,лёд
99,Frost::N,یخبندان,мароз
100,Kälte::N,سرما,холад
101,Hitze::N,گرما,спёка
102,Hitze::N,حرارت,спёка
103,Raureif::N,برف ریزه,іней
104,Regenbogen::N,رنگین‌کمان,вясёлка
105,Donner::N,رعد,гром
106,Strömung::N,جریان,цячэнне
107,Tropfen::N,قطره,кропля
108,Schaum::N,کف,пена
109,Schmutz::N,گل,гразь
110,Schmutz::N,کثافت,гразь
111,See::N,دریاچه,возера
112,Sumpf::N,مرداب,багна
113,Sumpf::N,باتلاق,багна
114,Moor::N,باتلاق,балота
115,Wiese::N,چمن,луг
116,Wald::N,جنگل,лес
117,Hügel::N,تل,узгорак
118,Hügel::N,تپه,узгорак
119,Anhöhe::N,بلندی,узвышша
120,Berg::N,کوه,гара
121,Gipfel::N,قله,вяршыня
122,Höhle::N,غار,пячора
123,Abhang::N,سرازیری,схіл
124,Quelle::N,چشمه,крыніца
125,Bach::N,نهر,ручай
126,Fluss::N,رود,рака
127,Ufer::N,ساحل,бераг
128,Ufer::N,کرانه,бераг
129,Küste::N,ساحل,узбярэжжа
130,Festland::N,خشکی,суша
131,Meer::N,دریا,мора
132,Bucht::N,خلیج,бухта
133,Insel::N,جزیره,востраў
