,Concept_ID,ady,lez
0,Auge::N,нэ,вил
1,Ohr::N,тхьакӏу́м,яб
2,Nase::N,пэ,нер
3,Mund::N,жэ,сив
4,Zahn::N,цэ,сас
5,Zahn::N,цэ,свах
6,Zunge::N,бзэгу,мез
7,Lippe::N,ӏупшӏэ́,пӏуз
8,Wange::N,нэкӏу́шъу,хъвехъ
9,Gesicht::N,нэ́гу,ччин
10,Stirn::N,натӏэ́,пел
11,Haar::N,шъхьацы́,чӏар
12,Bart::N,жакӏэ́,ччуру
13,Kinn::N,жэкӏэпэпкъ,чене
14,Kiefer[Anatomie]::N,жэпкъы́,чене
15,Kehle::N,чый,туьд
16,Hals::N,пшъэ,гардан
17,Genick::N,шъхьэпхэтыку,кьам
18,Kopf::N,шъхьэ́,кьил
19,Rücken::N,кӏыбы́,далу
20,Bauch::N,ныбэ́,руфун
21,Busen::N,бгъэ́,мам
22,Brust::N,бгъэ́,хур
23,Schulter::N,блыпкъ,къуьн
24,Arm::N,ӏэ,гъил
25,Ellenbogen::N,ӏэнтэ́гъу,кьуьнт
26,Hand::N,ӏэтхьэцу,капаш
27,Handfläche::N,ӏэ́гу,капан юкь
28,Finger::N,ӏэхъуа́мб,тӏуб
29,Fingernagel::N,ӏэбжъа́н,кек
30,Nagel[Anatomie]::N,ӏэбжъа́н,кек
31,Zeh::N,ӏэхъуа́мб,кул
32,Fuß::N,лъэгу,кӏвач
33,Ferse::N,лъэдакъэ,дабан
34,Knie::N,лъагуа́ндж,мет
35,Oberschenkel::N,ко,
36,Bein::N,лъакъо́,кӏвач
37,Körper::N,пкъышъол,беден
38,Haut::N,кӏы́шъу,хам
39,Blut::N,лъы,иви
40,Ader::N,льытф,дамар
41,Sehne::N,фэ,кьуру дамар
42,Knochen::N,къупшъхьэ́,кӏараб
43,Gehirn::N,куцӏы,мефт
44,Herz::N,гу,рикӏ
45,Magen::N,мышкӏу,хук
46,Leber::N,шӏу,лекь
47,Atem::N,къэщэныр,ял
48,Atem::N,къэщэныр,нефес
49,Hunger::N,гъаблэ́,каш
50,Träne::N,нэпсы,вилин нагъв
51,Geschmack::N,ӏэшӏугъа́кӏ,дад
52,Geschmack::N,ӏэшӏугъа́кӏ,тӏям
53,Geruch::N,мэ,ни
54,Schlaf::N,пчыхьы́пӏ,ахвар
55,Traum::N,пчыхьы́пӏ,ахвар
56,Himmel::N,уашъо́,цав
57,Sonne::N,тыгъэ,рагъ
58,Mond::N,мазэ,варз
59,Stern::N,жъуагъо́,гъед
60,Luft::N,жьы,гьава
61,Wind::N,жьыбгъэ́,гар
62,Welle::N,ор,лепе
63,Welle::N,оры,лепе
64,Wasser::N,псы,яд
65,Stein::N,мыжъо́,къван
66,Boden::N,чӏ́ыгу,накьв
67,Erde::N,чӏ́ыгу,ччил
68,Staub::N,сап,руг
69,Rauch::N,ӏугъо́,гум
70,Funke::N,мэшӏуа́ч,цӏелхем
71,Feuer::N,машӏо́,цӏай
72,Licht::N,нэфы,экв
73,Licht::N,нэфын,экв
74,Schatten::N,жьау́,серин
75,Schatten::N,ныбжьыкъу,серин
76,Nebel::N,пща́гъу,ччилин циф
77,Wolke::N,ошъуапщэ,циф
78,Regen::N,ощхы,марф
79,Schnee::N,осы́,жив
80,Eis::N,мылы,мурк
81,Kälte::N,чъыӏэ́,мекь
82,Kälte::N,чъыӏэ́,мекьивал
83,Hitze::N,фэба́е,зегьем
84,Regenbogen::N, лэгъупэкъо́пс,яргъируш
85,Donner::N,шыблэ́,цавун ван
86,Strömung::N,ток,
87,Tropfen::N,ткӏопс,стӏал
88,Tropfen::N,гъуаткӏу,стӏал
89,Schaum::N,тхъурбэ,каф
90,Schmutz::N,псынжъы,чирк
91,Schmutz::N,псынжъы,кьуруш
92,See::N,хыку́м,вир
93,See::N,псыхъура́й,вир
94,Sumpf::N,орыжъ,уьлен
95,Moor::N,орыжъ,
96,Wiese::N,хъупӏэ́,векь
97,Wiese::N,мэкъупӏ,векь
98,Wald::N,мэзы́,там
99,Hügel::N,ӏуашъхь,кӏунтӏ
100,Anhöhe::N,чӏыӏэтыгъ,тепе
101,Anhöhe::N,чӏыӏэтыгъ,гьуьндуьрвал
102,Berg::N,къушъхьэ́,дагъ
103,Gipfel::N,шыгу,кӏукӏ
104,Höhle::N,гъочӏэгъ,кьветӏ
105,Abhang::N,чапэ,гуьне
106,Quelle::N,псынэчэ́чъ,чешме
107,Bach::N,псышкуашку,булах
108,Fluss::N,псыхъо́,вацӏ
109,Ufer::N,нэпкъы,къерех
110,Küste::N,ӏушъо,къерех
111,Festland::N,чӏл́ыгу,кьурамат
112,Meer::N,хы,гьуьл
113,Bucht::N,хыблыгу,бухта
114,Insel::N,хыгъэхъу́н,остров
115,Blume::N,къэгъа́гь,цуьк
116,Gras::N,уцы́,хъач
117,Wurzel::N,лъапсэ́,дувул
118,Baum::N,чъыгы́,ттар
119,Stamm::N,пкъы,тан
120,Rinde::N,пхъашъо́,чкал
121,Ast::N,куамэ,тӏур
122,Zweig::N,къутамэ́,хел
123,Blatt::N,тхьап,пеш
124,Birke::N,пчэн,верх
125,Kiefer[Baum]::N,сэснэй,шамагъаж
126,Weide[Baum]::N,пце́л,цӏвелин ттар
127,Tanne::N,ель,ель
128,Horn::N,бжъэ,карч
129,Feder::N,къамӏы́й,цӏакул
130,Fell::N,шъо,хам
131,Flügel::N,тамэ́,лув
132,Klaue::N,лъэбжъа́н,къармах
133,Kralle::N,лъакъо,пац
