,Concept_ID,kv,lez
0,Auge::N,син,вил
1,Ohr::N,пель,яб
2,Nase::N,ныр,нер
3,Mund::N,ӧм,сив
4,Zahn::N,пинь,сас
5,Zahn::N,пинь,свах
6,Zunge::N,кыв,мез
7,Lippe::N,тырп,пӏуз
8,Wange::N,рожабан,хъвехъ
9,Gesicht::N,бан,ччин
10,Stirn::N,кымӧс,пел
11,Haar::N,юрси,чӏар
12,Schnurrbart::N,уссэз,спел
13,Schnurrbart::N,уссэз,спелар
14,Bart::N,тош,ччуру
15,Kinn::N,тшӧка,чене
16,Kiefer[Anatomie]::N,ан,чене
17,Kehle::N,юан,туьд
18,Hals::N,юан,гардан
19,Genick::N,юр бӧр,кьам
20,Kopf::N,юр,кьил
21,Rücken::N,мышк,далу
22,Bauch::N,кынӧм,руфун
23,Nabel::N,гӧг,пицӏ
24,Busen::N,морос,мам
25,Brust::N,морос,хур
26,Schulter::N,пельпон,къуьн
27,Arm::N,ки,гъил
28,Ellenbogen::N,гырдзза,кьуьнт
29,Hand::N,кикар,капаш
30,Handfläche::N,ки пыдӧс,капан юкь
31,Finger::N,чунь,тӏуб
32,Fingernagel::N,гыж,кек
33,Nagel[Anatomie]::N,гыж,кек
34,Zeh::N,чунь,кул
35,Fuß::N,кокпыдӧс,кӏвач
36,Ferse::N,кокдзир,дабан
37,Knie::N,пидзӧс,мет
38,Oberschenkel::N,лядьбей,
39,Bein::N,кок,кӏвач
40,Körper::N,вывтыр,беден
41,Haut::N,кучик,хам
42,Blut::N,вир,иви
43,Ader::N,сӧн,дамар
44,Sehne::N,жила,кьуру дамар
45,Knochen::N,коска,кӏараб
46,Gehirn::N,вем,мефт
47,Herz::N,сьӧлӧм,рикӏ
48,Magen::N,жӧвдӧк,хук
49,Leber::N,мус,лекь
50,Atem::N,лолалӧм,ял
51,Atem::N,лолалӧм,нефес
52,Hunger::N,тшыг,каш
53,Träne::N,синва,вилин нагъв
54,Geschmack::N,кӧр,дад
55,Geschmack::N,кӧр,тӏям
56,Geruch::N,дук,ни
57,Schlaf::N,он,ахвар
58,Traum::N,вӧт,ахвар
59,Himmel::N,небо,цав
60,Sonne::N,шондi,рагъ
61,Mond::N,тӧлiсь,варз
62,Stern::N,кӧдзыв,гъед
63,Luft::N,ру,гьава
64,Wind::N,тӧв,гар
65,Welle::N,гы,лепе
66,Wasser::N,ва,яд
67,Stein::N,из,къван
68,Boden::N,му,накьв
69,Erde::N,му,ччил
70,Staub::N,бус,руг
71,Rauch::N,тшын,гум
72,Funke::N,бичир,цӏелхем
73,Feuer::N,би,цӏай
74,Licht::N,би,экв
75,Schatten::N,вуджӧр,серин
76,Wetter::N,погоддя,гьава
77,Nebel::N,туман,ччилин циф
78,Wolke::N,кымӧр,циф
79,Regen::N,зэр,марф
80,Schnee::N,лым,жив
81,Eis::N,йы,мурк
82,Frost::N,мороз,аяз
83,Kälte::N,кӧдзыт,мекь
84,Kälte::N,кӧдзыт,мекьивал
85,Hitze::N,ӧд,зегьем
86,Raureif::N,кижа,къирав
