,Concept_ID,fi,ady
0,Auge::N,silmä,нэ
1,Ohr::N,korva,тхьакӏу́м
2,Nase::N,nenä,пэ
3,Mund::N,suu,жэ
4,Zahn::N,hammas,цэ
5,Zunge::N,kieli,бзэгу
6,Lippe::N,huuli,ӏупшӏэ́
7,Wange::N,poski,нэкӏу́шъу
8,Gesicht::N,naama,нэ́гу
9,Gesicht::N,kasvot,нэ́гу
10,Stirn::N,otsa,натӏэ́
11,Haar::N,hius,шъхьацы́
12,Haar::N,tukka,шъхьацы́
13,Schnurrbart::N,viikset,
14,Bart::N,parta,жакӏэ́
15,Kinn::N,leuka,жэкӏэпэпкъ
16,Kiefer[Anatomie]::N,leukaluu,жэпкъы́
17,Kehle::N,kurkku,чый
18,Hals::N,kaula,пшъэ
19,Genick::N,niska,шъхьэпхэтыку
20,Kopf::N,pää,шъхьэ́
21,Rücken::N,selkä,кӏыбы́
22,Bauch::N,maha,ныбэ́
23,Bauch::N,vatsa,ныбэ́
24,Nabel::N,napa,
25,Busen::N,rinta,бгъэ́
26,Brust::N,rinta,бгъэ́
27,Schulter::N,olka,блыпкъ
28,Schulter::N,hartia,блыпкъ
29,Schulter::N,olkapää,блыпкъ
30,Arm::N,käsivarsi,ӏэ
31,Ellenbogen::N,kyynärpää,ӏэнтэ́гъу
32,Hand::N,käsi,ӏэтхьэцу
33,Handfläche::N,kämmen,ӏэ́гу
34,Finger::N,sormi,ӏэхъуа́мб
35,Fingernagel::N,kynsi,ӏэбжъа́н
36,Nagel[Anatomie]::N,kynsi,ӏэбжъа́н
37,Zeh::N,varvas,ӏэхъуа́мб
38,Fuß::N,jalka,лъэгу
39,Ferse::N,kantapää,лъэдакъэ
40,Knie::N,polvi,лъагуа́ндж
41,Oberschenkel::N,reisi,ко
42,Bein::N,jalka,лъакъо́
43,Körper::N,keho,пкъышъол
44,Körper::N,ruumis,пкъышъол
45,Haut::N,iho,кӏы́шъу
46,Blut::N,veri,лъы
47,Ader::N,suoni,льытф
48,Sehne::N,jänne,фэ
49,Knochen::N,luu,къупшъхьэ́
50,Gehirn::N,aivot,куцӏы
51,Herz::N,sydän,гу
52,Magen::N,maha,мышкӏу
53,Magen::N,vatsa,мышкӏу
54,Leber::N,maksa,шӏу
55,Atem::N,henki,къэщэныр
56,Atem::N,hengitys,къэщэныр
57,Hunger::N,nälkä,гъаблэ́
58,Träne::N,kyynel,нэпсы
59,Geschmack::N,maku,ӏэшӏугъа́кӏ
60,Geruch::N,haju,мэ
61,Schlaf::N,uni,пчыхьы́пӏ
62,Traum::N,uni,пчыхьы́пӏ
63,Himmel::N,taivas,уашъо́
64,Sonne::N,aurinko,тыгъэ
65,Mond::N,kuu,мазэ
66,Stern::N,tähti,жъуагъо́
67,Luft::N,ilma,жьы
68,Wind::N,tuuli,жьыбгъэ́
69,Welle::N,aalto,ор
70,Welle::N,aalto,оры
71,Wasser::N,vesi,псы
72,Stein::N,kivi,мыжъо́
73,Boden::N,maa,чӏ́ыгу
74,Boden::N,maaperä,чӏ́ыгу
75,Erde::N,maa,чӏ́ыгу
76,Staub::N,pöly,сап
77,Rauch::N,savu,ӏугъо́
78,Funke::N,kipinä,мэшӏуа́ч
79,Feuer::N,tuli,машӏо́
80,Licht::N,valo,нэфы
81,Licht::N,valo,нэфын
82,Schatten::N,varjo,жьау́
83,Schatten::N,varjo,ныбжьыкъу
84,Wetter::N,sää,
85,Nebel::N,sumu,пща́гъу
86,Wolke::N,pilvi,ошъуапщэ
87,Regen::N,sade,ощхы
88,Schnee::N,lumi,осы́
89,Eis::N,jää,мылы
90,Frost::N,halla,
91,Frost::N,pakkanen,
92,Kälte::N,vilu,чъыӏэ́
93,Kälte::N,kylmyys,чъыӏэ́
94,Hitze::N,helle,фэба́е
95,Hitze::N,kuumuus,фэба́е
96,Raureif::N,huurre,
97,Regenbogen::N,sateenkaari, лэгъупэкъо́пс
98,Donner::N,jyrinä,шыблэ́
99,Strömung::N,virtaus,ток
100,Tropfen::N,tippa,ткӏопс
101,Tropfen::N,tippa,гъуаткӏу
102,Tropfen::N,pisara,ткӏопс
103,Tropfen::N,pisara,гъуаткӏу
