,Concept_ID,ml,be
0,Auge::N,കണ്ണ്,вока
1,Ohr::N,ചെവി,вуха
2,Nase::N,മൂക്ക്,нос
3,Mund::N,വായ,рот
4,Zahn::N,പല്ല്,зуб
5,Zunge::N,നാക്ക്,язык
6,Lippe::N,ചുണ്ട്,губа
7,Wange::N,കവിൾത്തടം,шчака
8,Gesicht::N,മുഖം,твар
9,Stirn::N,നെറ്റി,лоб
10,Haar::N,തലമുടി,волас
11,Haar::N,തലമുടി,валасы
12,Schnurrbart::N,മീശ,вус
13,Schnurrbart::N,മീശ,вусы
14,Bart::N,താടിരോമം,барада
15,Kinn::N,താടി,падбародак
16,Kiefer[Anatomie]::N,താടിയെല്ല്,сківіца
17,Kehle::N,കണ്ഠനാളം,горла
18,Hals::N,കഴുത്ത്,шыя
19,Genick::N,പിടലി,патыліца
20,Kopf::N,തല,галава
21,Rücken::N,മുതുക്,спіна
22,Bauch::N,നയറ്,жывот
23,Nabel::N,നാഭി,пупок
24,Busen::N,സ്തനം,грудзі
25,Brust::N,സ്തനം,грудзі
26,Schulter::N,തോൾ,плячо
27,Arm::N,കൈ,рука
28,Ellenbogen::N,കൈമുട്ട്,локаць
29,Hand::N,കൈ,кісць
30,Handfläche::N,ഉള്ളം കൈ,далонь
31,Finger::N,വിരൽ,палец
32,Fingernagel::N,നഖം,ногаць
33,Nagel[Anatomie]::N,നഖം,ногаць
34,Zeh::N,കാൽവിരൽ,палец
35,Fuß::N,കാൽപ്പാദം,нага
36,Ferse::N,ഉപ്പൂറ്റി,пята
37,Ferse::N,ഉപ്പൂറ്റി,пятка
38,Knie::N,കാൽമുട്ട്,калена
39,Oberschenkel::N,തുട,бядро
40,Oberschenkel::N,തുട,сцягно
41,Bein::N,കാൽ,нага
42,Körper::N,ശരീരം,цела
43,Haut::N,ചർമ്മം,скура
44,Blut::N,രക്തം,кроў
45,Ader::N,ഞരമ്പ്,вена
46,Ader::N,ഞരമ്പ്,сасуд
47,Sehne::N,സ്നായു,жыла
48,Sehne::N,സ്നായു,цеціва
49,Sehne::N,സ്നായു,сухажылле
50,Knochen::N,അസ്ഥി,косць
51,Gehirn::N,തലച്ചോറ്,мозг
52,Herz::N,ഹൃദയം,сэрца
53,Magen::N,വയർ,страўнік
54,Leber::N,കരൾ,печань
55,Atem::N,ശ്വാസം,дыханне
56,Hunger::N,വിശപ്പ്,голад
57,Träne::N,കണ്ണീർ,сляза
58,Geschmack::N,രുചി,смак
59,Geruch::N,ഗന്ധം,пах
60,Schlaf::N,ഉറകും,сон
61,Traum::N,സ്വപ്നം,сон
62,Himmel::N,ആകാശം,неба
63,Sonne::N,സൂര്യൻ,сонца
64,Mond::N,ചന്ദ്രൻ,месяц
65,Stern::N,നക്ഷത്രം,зорка
66,Luft::N,കാറ്റ്,паветра
67,Wind::N,കാറ്റ്,вецер
68,Welle::N,തിരമാല,хваля
69,Wasser::N,വെള്ളം,вада
70,Stein::N,ശില,камень
71,Stein::N,കല്ല്,камень
72,Boden::N,തറ,глеба
73,Boden::N,നിലം,глеба
74,Erde::N,മണ്ണ്,зямля
75,Staub::N,പൊടി,пыл
76,Rauch::N,പുക,дым
77,Funke::N,തീപ്പൊരി,іскра
78,Feuer::N,തീ,агонь
79,Licht::N,വിളക്ക്,святло
80,Licht::N,സൂര്യപ്രകാശം,святло
81,Schatten::N,തണൽ,цень
82,Wetter::N,കാലാവസ്ഥ,пагода
83,Wetter::N,കാലാവസ്ഥ,надворʼе
84,Nebel::N,മൂടൽമഞ്ഞ്,туман
85,Wolke::N,മേഘം,воблака
86,Regen::N,മഴ,дождж
87,Schnee::N,മഞ്ഞ്,снег
88,Eis::N,ഐസ്,лёд
89,Frost::N,മൂടൽമഞ്ഞ്,мароз
90,Kälte::N,തണുപ്പ്,холад
91,Hitze::N,ചൂട്,спёка
92,Raureif::N,കോടമഞ്ഞ്,іней
93,Regenbogen::N,മഴവില്ല്,вясёлка
94,Donner::N,ഇടി,гром
95,Strömung::N,പ്രവാഹം,цячэнне
96,Tropfen::N,തുള്ളി,кропля
97,Schaum::N,നുര,пена
98,Schmutz::N,അഴുക്ക്,гразь
99,See::N,തടാകം,возера
100,Sumpf::N,ചതുപ്പുനിലം,багна
101,Moor::N,പാഴ്നിലം,балота
102,Wiese::N,പുൽത്തകിടി,луг
103,Wald::N,വനം,лес
104,Wald::N,കാട്,лес
105,Hügel::N,കുന്ന്,узгорак
106,Anhöhe::N,ഉയർന്ന ഭൂമി,узвышша
107,Berg::N,പർവ്വതം,гара
108,Gipfel::N,ഉച്ചകോടി,вяршыня
109,Höhle::N,ഗുഹ,пячора
110,Abhang::N,ചരിവ്,схіл
111,Quelle::N,ഉറവിടം,крыніца
112,Bach::N,അരുവി,ручай
113,Fluss::N,നദി,рака
114,Ufer::N,തീരം,бераг
115,Küste::N,കടൽത്തീരം,узбярэжжа
116,Festland::N,കര,суша
117,Meer::N,കടൽ,мора
118,Bucht::N,ഉൾക്കടല്,бухта
119,Insel::N,ദ്വീപ്,востраў
120,Blume::N,പൂവ്,кветка
121,Gras::N,പുല്ല്,трава
122,Wurzel::N,വേര്,корань
123,Baum::N,മരം,дрэва
124,Stamm::N,തായ്ത്തടി,ствол
125,Rinde::N,പട്ട,кара
126,Ast::N,ശാഖ,сук
127,Zweig::N,ശാഖ,галіна
128,Blatt::N,ഇല,ліст
129,Birke::N,പൂവരശ്,бяроза
130,Kiefer[Baum]::N,പൈൻമരം,хвоя
131,Kiefer[Baum]::N,പൈൻമരം,сасна
132,Weide[Baum]::N,വില്ലോ,вярба
133,Tanne::N,ദേവദാരു,яліна
134,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,рог
135,Feder::N,തൂവൽ,пяро
136,Fell::N,മൃദുരോമം,шкура
137,Flügel::N,ചിറക്,крыло
138,Klaue::N,നഖം,кіпцюр
139,Kralle::N,നഖം,лапа
140,Schwanz::N,വാൽ,хвост
141,Ei::N,മുട്ട,яйка
142,Nest::N,കൂട്,гняздо
143,Bau::N,മാളം,нара
144,Tier::N,മൃഗം,жывёла
145,Herde::N,കൂട്ടം,статак
146,Kuh::N,പശു,карова
147,Bulle::N,കാള,бык
148,Pferd::N,കുതിര,конь
149,Schaf::N,ആട്,авечка
150,Schwein::N,പന്നി,свіння
151,Hund::N,നായ്,сабака
152,Katze::N,പൂച്ച,кошка
153,Bär::N,കരടി,мядзведзь
154,Eichhörnchen::N,അണ്ണാൻ,вавёрка
155,Elch::N,കടമാന്,лось
156,Fuchs::N,കുറുക്കൻ,ліса
157,Hase::N,മുയൽ,заяц
158,Maus::N,ചുണ്ടലി,мыш
159,Wolf::N,ചെന്നായ,воўк
160,Vogel::N,പക്ഷി,птах
161,Vogel::N,പക്ഷി,птушка
162,Schwarm::N,കൂട്ടം,чарада
163,Huhn::N,കോഴി,курыца
164,Hahn::N,പൂവൻകോഴി,певень
165,Gans::N,അരയന്നം,гусь
166,Adler::N,കഴുകൻ,арол
167,Ente::N,താറാവ്,качка
168,Eule::N,മൂങ്ങ,сава
169,Kranich::N,കൊക്ക്,жораў
170,Kranich::N,കൊക്ക്,журавель
171,Krähe::N,കാക്ക,варона
172,Kuckuck::N,കുയിൽ,зязюля
173,Schwan::N,അരയന്നം,лебедзь
174,Fisch::N,മത്സ്യം,рыба
175,Barsch::N,ഒരിനം മത്സ്യം,акунь
176,Hecht::N,ഒരു മത്സ്യം,шчупак
177,Schlange[Tier]::N,പാമ്പ്,змяя
178,Wurm::N,വിര,чарвяк
179,Spinne::N,ചിലന്തി,павук
180,Ameise::N,ഉറുമ്പ്,мурашка
181,Laus::N,പേന്,вош
182,Mücke::N,മശകം,камар
183,Fliege::N,ഈച്ച,муха
184,Schmetterling::N,ചിത്രശലഭം,матыль
185,Beere::N,ബെറി,ягада
186,Apfel::N,ആപ്പിൾ,яблык
187,Pilz::N,കൂൺ,грыб
188,Zwiebel::N,സവാള,цыбуля
189,Saat::N,വിത്ത്,семя
190,Korn::N,ധാന്യം,зерне
191,Heu::N,വയ്ക്കോൽ,сена
192,Schale::N,തൊലി,шалупінне
193,Grube::N,കുഴി,яма
194,Falle::N,കെണി,пастка
195,Schlinge::N,കുടുക്ക്,сіло
196,Spur::N,ചുവട്,след
197,Asche::N,ചാരം,попел
198,Dreck::N,അഴുക്ക്,бруд
199,Eisen::N,ഇരുമ്പ്,жалеза
200,Gold::N,സ്വർണ്ണം,золата
201,Silber::N,വെള്ളി,сребра
202,Kohle::N,കൽക്കരി,вугаль
203,Glas::N,ഗ്ലാസ്,шкло
204,Lehm::N,കളിമണ്ണ്,гліна
205,Sand::N,മണൽ,пясок
206,Mensch::N,മനുഷ്യർ,чалавек
207,Mann::N,പുരുഷൻ,мужчына
208,Frau::N,സ്ത്രീ,жанчына
209,Kind::N,കുഞ്ഞ്,дзіця
210,Junge::N,ആൺകുട്ടി,хлопчык
211,Mädchen::N,പെൺകുട്ടി,дзяўчынка
212,Familie::N,കുടുംബം,сямʼя
213,Großvater::N,അപ്പൂപ്പൻ,дзядуля
214,Großmutter::N,അമ്മുമ്മ,бабуля
215,Eltern::N,മാതാപിതാക്കള്,бацькі
216,Vater::N,അച്ഛൻ,бацька
217,Mutter::N,അമ്മ,маці
218,Sohn::N,മകൻ,сын
219,Tochter::N,മകൾ,дачка
220,Bruder::N,ചേട്ടൻ,брат
221,Bruder::N,അനിയൻ,брат
222,Schwester::N,ചേച്ചി,сястра
223,Schwester::N,അനിയത്തി,сястра
224,Onkel::N,അമ്മാവൻ,дзядзька
225,Tante::N,മാമി,цётка
226,Ehemann::N,ഭർത്താവ്,муж
227,Ehefrau::N,ഭാര്യ,жонка
