,Concept_ID,fa,hr
0,Auge::N,چشم,oko
1,Ohr::N,گوش,uho
2,Nase::N,بینی,nos
3,Mund::N,دهان,usta
4,Zahn::N,دندان,zub
5,Zunge::N,زبان,jezik
6,Lippe::N,لب,usna
7,Wange::N,لپ,obraz
8,Gesicht::N,رو,lice
9,Gesicht::N,چهره,lice
10,Stirn::N,پیشانی,čelo
11,Haar::N,مو,kosa
12,Schnurrbart::N,سبیل,brkovi
13,Bart::N,ریش,brada
14,Kinn::N,چانه,brada
15,Kinn::N,چانه,podbradak
16,Kiefer[Anatomie]::N,فک,čeljust
17,Kiefer[Anatomie]::N,آرواره,čeljust
18,Kehle::N,حلق,grlo
19,Hals::N,گردن,vrat
20,Genick::N,پشت گردن,zatiljak
21,Kopf::N,سر,glava
22,Kopf::N,کله,glava
23,Rücken::N,پشت,leđa
24,Rücken::N,پشت,hrbat
25,Bauch::N,شکم,trbuh
26,Nabel::N,ناف,pupak
27,Busen::N,پستان,sisa
28,Busen::N,پستان,njedra
29,Brust::N,سینه,prsa
30,Schulter::N,دوش,rame
31,Schulter::N,دوش,pleći
32,Schulter::N,شانه,rame
33,Schulter::N,شانه,pleći
34,Arm::N,بازو,ruka
35,Ellenbogen::N,آرنج,lakat
36,Hand::N,دست,ruka
37,Handfläche::N,کف دست,dlan
38,Finger::N,انگشت,prst
39,Fingernagel::N,ناخن دست,nokat
40,Nagel[Anatomie]::N,ناخن,nokat
41,Zeh::N,انگشت پا,nozni prst
42,Fuß::N,پا,noga
43,Fuß::N,پا,stopalo
44,Ferse::N,پاشنه,peta
45,Knie::N,زانو,koljeno
46,Oberschenkel::N,ران,bedro
47,Bein::N,پا,noga
48,Bein::N,لنگ,noga
49,Körper::N,تن,tijelo
50,Körper::N,بدن,tijelo
51,Haut::N,پوست,put
52,Haut::N,پوست,koža
53,Blut::N,خون,krv
54,Ader::N,رگ,žila
55,Sehne::N,زردپی,tetiva
56,Knochen::N,استخوان,kost
57,Gehirn::N,مخ,
58,Gehirn::N,مغز,
59,Herz::N,دل,srce
60,Herz::N,قلب,srce
61,Magen::N,معده,stomak
62,Magen::N,معده,želudac
63,Leber::N,کبد,jetra
64,Atem::N,نفس,dah
65,Hunger::N,گرسنگی,glad
66,Träne::N,اشک,suza
67,Geschmack::N,مزه,ukus
68,Geruch::N,بو,njuh
69,Geruch::N,بو,miris
70,Schlaf::N,خواب,san
71,Traum::N,رؤیا,san
72,Himmel::N,فلک,nebo
73,Himmel::N,آسمان,nebo
74,Sonne::N,آفتاب,sunce
75,Sonne::N,خورشید,sunce
76,Mond::N,ماه,mjesec
77,Stern::N,ستاره,zvijezda
78,Luft::N,هوا,zrak
79,Wind::N,باد,vjetar
80,Welle::N,موج,val
81,Welle::N,موج,talas
82,Wasser::N,آب,voda
83,Stein::N,سنگ,kamen
84,Boden::N,زمین,tlo
85,Boden::N,زمین,zemlja
86,Erde::N,خاک,zemlja
87,Erde::N,زمین,zemlja
88,Staub::N,گرد,prah
89,Staub::N,گرد,prašina
90,Staub::N,غبار,prah
91,Staub::N,غبار,prašina
92,Rauch::N,دود,dim
93,Funke::N,جرقه,iskra
94,Funke::N,جرقه,varnica
95,Feuer::N,آتش,vatra
96,Licht::N,نور,svjetlo
97,Licht::N,روشنی,svjetlo
98,Schatten::N,سایه,hlad
99,Schatten::N,سایه,sjena
100,Wetter::N,هوا,vrijeme
101,Nebel::N,مه,magla
102,Wolke::N,ابر,oblak
103,Regen::N,باران,kiša
104,Schnee::N,برف,snijeg
105,Eis::N,یخ,led
106,Frost::N,یخبندان,mraz
107,Kälte::N,سرما,studen
108,Kälte::N,سرما,hladnoća
109,Hitze::N,گرما,vrućina
110,Hitze::N,حرارت,vrućina
111,Raureif::N,برف ریزه,inje
112,Regenbogen::N,رنگین‌کمان,duga
113,Donner::N,رعد,grom
114,Donner::N,رعد,grmljavina
115,Strömung::N,جریان,struja
116,Strömung::N,جریان,strujanje
117,Tropfen::N,قطره,kap
118,Tropfen::N,قطره,kaplja
119,Schaum::N,کف,pjena
120,Schmutz::N,گل,nečistoća
121,Schmutz::N,گل,prljavština
122,Schmutz::N,کثافت,nečistoća
123,Schmutz::N,کثافت,prljavština
124,See::N,دریاچه,jezero
125,Sumpf::N,مرداب,bara
126,Sumpf::N,باتلاق,bara
127,Moor::N,باتلاق,močvara
128,Wiese::N,چمن,livada
129,Wald::N,جنگل,šuma
130,Hügel::N,تل,brijeg
131,Hügel::N,تل,brežuljak
132,Hügel::N,تپه,brijeg
133,Hügel::N,تپه,brežuljak
134,Anhöhe::N,بلندی,uzvišica
135,Berg::N,کوه,brdo
136,Gipfel::N,قله,vrh
137,Höhle::N,غار,pećina
138,Höhle::N,غار,spilja
139,Abhang::N,سرازیری,obronak
140,Abhang::N,سرازیری,nizbrdica
141,Quelle::N,چشمه,izvor
142,Quelle::N,چشمه,vrelo
143,Bach::N,نهر,potok
144,Fluss::N,رود,rijeka
145,Ufer::N,ساحل,obala
146,Ufer::N,کرانه,obala
147,Küste::N,ساحل,obala
148,Küste::N,ساحل,morska obala
149,Festland::N,خشکی,kopno
150,Meer::N,دریا,more
151,Bucht::N,خلیج,zaliv
152,Insel::N,جزیره,ada
153,Insel::N,جزیره,otok
154,Blume::N,گل,cvijet
155,Gras::N,علف,trava
156,Wurzel::N,ریشه,korijen
157,Baum::N,درخت,drvo
158,Baum::N,درخت,stablo
159,Stamm::N,تنه,deblo
160,Stamm::N,تنه,stablo
161,Rinde::N,توژ,kora
162,Rinde::N,پوست,kora
163,Ast::N,شاخه,grana
164,Zweig::N,شاخه,grana
165,Blatt::N,برگ,list
166,Birke::N,غان,breza
167,Kiefer[Baum]::N,کاج,bor
168,Weide[Baum]::N,بید,iva
169,Weide[Baum]::N,بید,vŕba
170,Tanne::N,صنوبر,jela
171,Horn::N,شاخ,rog
172,Feder::N,پر,pero
173,Fell::N,خز,koža
174,Flügel::N,پر,krilo
175,Flügel::N,بال,krilo
176,Klaue::N,چنگ,papak
177,Klaue::N,پنجه,papak
178,Kralle::N,پنجه,pandža
179,Schwanz::N,دم,rep
180,Ei::N,تخم,jaje
181,Nest::N,لانه,gnijezdo
182,Bau::N,بنا,jazbina
183,Bau::N,ساختمان,jazbina
184,Tier::N,هیوان,životinja
185,Herde::N,رمه,krdo
186,Herde::N,رمه,stado
187,Kuh::N,گاو,krava
188,Bulle::N,گاو نر,bik
189,Pferd::N,اسب,konj
190,Schaf::N,گوسفند,ovca
191,Schwein::N,خوک,svinja
192,Hund::N,سگ,pas
193,Hund::N,سگ,pseto
194,Katze::N,گربه,mačka
195,Bär::N,خرس,medvjed
196,Eichhörnchen::N,سنجاب,vjeverica
197,Elch::N,گوزن شمالی,los
198,Fuchs::N,روباه,lisica
199,Hase::N,خرگوش,zec
200,Maus::N,موش,miš
201,Wolf::N,گرگ,vuk
202,Wolf::N,گرگ,kurjak
203,Vogel::N,پرنده,ptica
204,Schwarm::N,دسته,roj
205,Schwarm::N,دسته,jato
206,Huhn::N,مرغ,kokoš
207,Hahn::N,خروس,kokot
208,Hahn::N,خروس,pijevac
209,Gans::N,غاز,guska
210,Adler::N,عقاب,orao
211,Ente::N,اردک,patka
212,Ente::N,مرغابی,patka
213,Eule::N,جغد,sova
214,Kranich::N,درنا,ždral
215,Krähe::N,زاغ,vrana
216,Krähe::N,کلاغ,vrana
217,Kuckuck::N,فاخته,kukavica
218,Schwan::N,قو,labud
219,Fisch::N,ماهی,riba
220,Barsch::N,ماهی خاردار,grgeč
221,Hecht::N,اردک ماهی,štuka
222,Schlange[Tier]::N,مار,guja
223,Schlange[Tier]::N,مار,zmija
224,Wurm::N,کرم,crv
225,Spinne::N,عنکبوت,pauk
226,Ameise::N,مورچه,mrav
227,Laus::N,شپش,uš
228,Mücke::N,پشه,komarac
229,Fliege::N,مگس,muha
230,Schmetterling::N,پروانه,leptir
231,Beere::N,گیله,boba
232,Beere::N,گیله,bobica
233,Apfel::N,سیب,jabuka
234,Pilz::N,قارچ,pečurka
235,Zwiebel::N,پیاز,luk
236,Zwiebel::N,پیاز,kapula
237,Saat::N,بذر,sjemenje
238,Korn::N,تخم,zrno
239,Korn::N,دانه,zrno
240,Heu::N,علف خشک,sijeno
241,Schale::N,پوست,kora
242,Schale::N,پوست,ljuska
243,Grube::N,گودال,jama
244,Falle::N,دام,zamka
245,Falle::N,دام,klopka
