,Concept_ID,la,eu
0,Auge::N,oculus,begi
1,Ohr::N,auris,belarri
2,Nase::N,nasus,sudur
3,Mund::N,os,aho
4,Zahn::N,dens,hortz
5,Zunge::N,lingua,mihi
6,Lippe::N,labrum,ezpain
7,Wange::N,gena,masail
8,Gesicht::N,vultus,aurpegi
9,Stirn::N,frons,bekoki
10,Haar::N,capillus,ile
11,Haar::N,capillus,bilo
12,Schnurrbart::N,barba labri superioris,bibote
13,Schnurrbart::N,barba labri superioris,sudurpeko
14,Bart::N,barba,bizar
15,Kinn::N,mentum,kokots
16,Kiefer[Anatomie]::N,mala,masailezur
17,Kehle::N,iugulums,eztarri
18,Hals::N,collum,sama
19,Genick::N,cervices,garondo
20,Kopf::N,caput,buru
21,Rücken::N,tergum,bizkar
22,Bauch::N,venter,sabel
23,Nabel::N,umbilicus,zilbor
24,Busen::N,sinus,titi
25,Busen::N,sinus,ugatz
26,Brust::N,pectus,bular
27,Schulter::N,umerus,besaburu
28,Arm::N,bracchium,beso
29,Ellenbogen::N,cubitum,ukondo
30,Hand::N,manus,esku
31,Handfläche::N,palma,ahur
32,Finger::N,digitus,hatz
33,Fingernagel::N,unguiculus,azazkal
34,Nagel[Anatomie]::N,unguis,azazkal
35,Zeh::N,digitus,behatz
36,Fuß::N,pes,oin
37,Ferse::N,calx,orpo
38,Ferse::N,calx,oinburu
39,Knie::N,genu,belaun
40,Oberschenkel::N,femur,izter
41,Bein::N,crus,zango
42,Körper::N,corpus,soin
43,Haut::N,cutis,azal
44,Haut::N,pellis,azal
45,Blut::N,sanguis,odol
46,Ader::N,vena,zain
47,Sehne::N,nervus,gihar-zain
48,Knochen::N,os,hezur
49,Gehirn::N,cerebrum,garun
50,Gehirn::N,cerebrum,burmuin
51,Herz::N,cor,bihotz
52,Herz::N,animus,bihotz
53,Magen::N,stomachus,urdail
54,Leber::N,iecur,gibel
55,Atem::N,spiritus,hats
56,Atem::N,spiritus,arnasa
57,Hunger::N,fames,gose
58,Träne::N,lacrima,malko
59,Geschmack::N,sapor,dasta
60,Geschmack::N,gustus,dasta
61,Geruch::N,odor,usain
62,Schlaf::N,somnus,lo
63,Traum::N,somnium,amets
64,Himmel::N,caelum,zeru
65,Sonne::N,sol,eguzki
66,Mond::N,luna,ilargi
67,Stern::N,sidus,izar
68,Stern::N,stella,izar
69,Luft::N,aer,aire
70,Wind::N,ventus,haize
71,Welle::N,unda,uhin
72,Welle::N,unda,olatu
73,Wasser::N,aqua,ur
74,Stein::N,lapis,harri
75,Boden::N,solum,lur
76,Boden::N,solum,zoru
77,Erde::N,terra,lur
78,Staub::N,pulvis,hauts
79,Rauch::N,fumus,ke
80,Funke::N,scintilla,zirta
81,Funke::N,scintilla,txinparta
82,Feuer::N,ignis,su
83,Licht::N,lux,argi
84,Licht::N,lumen,argi
85,Schatten::N,umbra,itzal
86,Schatten::N,umbra,geriza
87,Wetter::N,caelum,eguraldi
88,Wetter::N,tempestas,eguraldi
89,Nebel::N,nebula,laino
90,Wolke::N,nubes,hodei
91,Regen::N,imber,euri
92,Regen::N,pluvia,euri
93,Schnee::N,nix,elur
94,Eis::N,glacies,horma
95,Frost::N,gelu,izotzaldi
96,Kälte::N,frigus,hotz
97,Hitze::N,calor,bero
98,Hitze::N,aestus,bero
99,Raureif::N,pruina,antzigar
100,Regenbogen::N,arcus,ostadar
101,Regenbogen::N,arcus,ortzadar
102,Donner::N,tonitrus,ostots
103,Donner::N,tonitrus,ihurtzuri
104,Strömung::N,fluctus,laster
105,Tropfen::N,gutta,xorta
106,Schaum::N,spuma,bits
107,Schmutz::N,sordes,lohi
108,Schmutz::N,sordes,zikin
109,Schmutz::N,squalor,lohi
110,Schmutz::N,squalor,zikin
111,See::N,lacus,laku
112,See::N,lacus,aintzira
113,Sumpf::N,palus,zingira
114,Moor::N,palus,zohikaztegi
115,Wiese::N,pratum,larre
116,Wiese::N,pratum,belardi
117,Wald::N,silva,baso
118,Wald::N,silva,oihan
119,Hügel::N,collis,muino
120,Hügel::N,collis,pentoka
121,Anhöhe::N,specula,garai
122,Anhöhe::N,specula,goragune
123,Berg::N,mons,mendi
124,Gipfel::N,vertex,gain
125,Gipfel::N,vertex,tontor
126,Höhle::N,caverna,kobazulo
127,Höhle::N,spelunca,kobazulo
128,Abhang::N,declivum,aldapa
129,Quelle::N,fons,iturri
130,Quelle::N,fons,iturbegi
131,Bach::N,rivus,lats
132,Bach::N,rivus,erreka
133,Fluss::N,flumen,ibai
134,Fluss::N,flumen,uhaitz
135,Ufer::N,ripa,bazter
136,Küste::N,litus,itsasalde
137,Festland::N,continens,lehor
138,Meer::N,mare,itsaso
139,Bucht::N,sinus,golko
140,Insel::N,insula,irla
141,Insel::N,insula,uharte
142,Blume::N,flos,lili
143,Gras::N,herba,belar
144,Gras::N,gramen,belar
145,Wurzel::N,radix,zuztar
146,Wurzel::N,radix,sustrai
147,Baum::N,arbor,zuhaitz
148,Stamm::N,truncus,enbor
149,Rinde::N,cortex,azal
150,Ast::N,ramus,adar
151,Zweig::N,ramus,abar
152,Blatt::N,folium,hosto
153,Birke::N,betulla,urki
154,Kiefer[Baum]::N,pinus,ler
155,Weide[Baum]::N,salix,zume
156,Weide[Baum]::N,salix,sahats
157,Tanne::N,abies,izei
158,Horn::N,cornu,adar
159,Feder::N,penna,luma
160,Feder::N,penna,hegaki
161,Fell::N,pellis,ile
162,Fell::N,pellis,larru
163,Flügel::N,ala,hego
164,Klaue::N,unguis,atzapar
165,Kralle::N,unguis,erpe
166,Kralle::N,unguis,atzapar
167,Schwanz::N,cauda,isats
168,Schwanz::N,cauda,buztan
169,Ei::N,ovum,arrautza
170,Nest::N,nidus,habia
171,Bau::N,cavum,ohantze
172,Bau::N,latibulum,ohantze
173,Tier::N,bestia,abere
174,Tier::N,bestia,piztia
175,Herde::N,grex,saldo
176,Herde::N,grex,abere talde
177,Kuh::N,vacca,behi
178,Bulle::N,taurus,zezen
179,Pferd::N,equus,zaldi
180,Schaf::N,ovis,ardi
181,Schwein::N,sus,urde
182,Schwein::N,sus,txerri
183,Schwein::N,porcus,urde
184,Schwein::N,porcus,txerri
185,Hund::N,canis,txakur
186,Katze::N,felis,katu
187,Bär::N,ursus,hartz
188,Eichhörnchen::N,sciurus,urtxintxa
189,Elch::N,alces,altze
190,Fuchs::N,vulpes,azeri
191,Hase::N,lepus,erbi
192,Maus::N,mus,sagu
193,Wolf::N,lupus,otso
194,Vogel::N,avis,txori
195,Vogel::N,avis,hegazti
196,Schwarm::N,examen,aldra
197,Huhn::N,gallina,oilo
198,Hahn::N,gallus,oilar
199,Gans::N,anser,antzara
200,Adler::N,aquila,arrano
201,Ente::N,anas,ahate
202,Eule::N,ulula,hontza
203,Eule::N,noctua,hontza
204,Kranich::N,grus,kurrilo
205,Krähe::N,cornix,bele
206,Kuckuck::N,cuculus,kuku
207,Schwan::N,olor,beltxarga
208,Schwan::N,cycnus,beltxarga
209,Fisch::N,piscis,arrain
210,Barsch::N,perca,perka
211,Hecht::N,esox,lutxo
212,Schlange[Tier]::N,serpens,suge
213,Wurm::N,vermis,har
214,Spinne::N,aranea,armiarma
215,Ameise::N,formica,inurri
216,Laus::N,pediculus,zorri
217,Mücke::N,culex,eltxo
218,Fliege::N,musca,euli
219,Schmetterling::N,papilio,pinpirin
220,Schmetterling::N,papilio,tximeleta
221,Beere::N,baca,baia
222,Apfel::N,malum,sagar
223,Pilz::N,fungus,onddo
224,Pilz::N,fungus,perretxiko
225,Zwiebel::N,cepa,tipula
226,Saat::N,seges,haziak
227,Korn::N,granum,ale
228,Korn::N,granum,pikor
229,Heu::N,faenum,belar ondu
230,Schale::N,putamen,azal
231,Grube::N,fovea,hobi
232,Falle::N,pedica,harrapagailu
233,Schlinge::N,laqueus,bilur
234,Schlinge::N,laqueus,xedera
235,Spur::N,vestigium,lorratz
236,Asche::N,cinis,errauts
237,Dreck::N,lutum,satsukeria
238,Eisen::N,ferrum,burdina
239,Gold::N,aurum,urre
240,Gold::N,aurum,urregorri
241,Silber::N,argentum,zilar
242,Silber::N,argentum,urrezuri
243,Kohle::N,carbo,ikatz
244,Glas::N,vitrum,beira
245,Lehm::N,lutum,buztin
246,Sand::N,arena,harea
247,Sand::N,arena,hondar
248,Mensch::N,homo,gizaki
249,Mann::N,vir,gizon
250,Frau::N,mulier,andere
251,Frau::N,mulier,emakume
252,Kind::N,puer,haur
253,Kind::N,infans,haur
254,Junge::N,puer,mutil
