,Concept_ID,kl,ka
0,Auge::N,isi,თვალი
1,Ohr::N,siut,ყური
2,Mund::N,paaq,პირი
3,Mund::N,qaneq,პირი
4,Zahn::N,kigut,კბილი
5,Zunge::N,oqaq,ენა
6,Lippe::N,qarloq,ბაგე
7,Wange::N,ersaq,ლოყა
8,Gesicht::N,kiinaq,სახე
9,Stirn::N,qaaq,შუბლი
10,Haar::N,meqqoq,თმა
11,Bart::N,umik,წვერი
12,Kinn::N,talloq,ნიკაპი
13,Kiefer[Anatomie]::N,alleroq,ყბა
14,Kehle::N,malaq,ყელი
15,Hals::N,qungaseq,ყელი
16,Hals::N,qungaseq,კისერი
17,Genick::N,pukusuk,კეფა
18,Kopf::N,niaqoq,თავი
19,Rücken::N,qimerlut,ზურგი
20,Bauch::N,naaq,მუცელი
21,Nabel::N,qalaseq,ჭიპი
22,Busen::N,iviangeq,ძუძუ
23,Brust::N,iviangeq,მკერდი
24,Schulter::N,ersik,მხარი
25,Schulter::N,ersik,მკლავი
26,Schulter::N,assaqqoq,მხარი
27,Schulter::N,assaqqoq,მკლავი
28,Arm::N,taleq,ხელი
29,Ellenbogen::N,ikusik,იდაყვი
30,Hand::N,assak,ხელი
31,Handfläche::N,itumak,ნები
32,Handfläche::N,itumak,ხელისგული
33,Finger::N,inuak,თითი
34,Fingernagel::N,kikiak,ფრჩხილი
35,Nagel[Anatomie]::N,kukik,ფრჩხილი
36,Zeh::N,isigak,ფეხის თითი
37,Ferse::N,kimmik,ქუსლი
38,Knie::N,seeqqoq,მუხლი
39,Oberschenkel::N,uppat,ბარძაყი
40,Oberschenkel::N,quttoraq,ბარძაყი
41,Bein::N,isigak,ფეხი
42,Körper::N,timi,ტანი
43,Körper::N,timi,სხეული
44,Haut::N,mattak,კანი
45,Blut::N,aak,სისხლი
46,Ader::N,taqaq,ძარღვი
47,Sehne::N,ujalu,მყესი
48,Sehne::N,ujaloq,მყესი
49,Knochen::N,saanikut,ძვალი
50,Gehirn::N,qarasaq,ტვინი
51,Herz::N,uummat,გული
52,Magen::N,aqajaroq,კუჭი
53,Leber::N,tinguk,ღვიძლი
54,Atem::N,anerneq,სუნთქვა
55,Hunger::N,kaanneq,შიმშილი
56,Träne::N,qia,ცრემლი
57,Träne::N,qiak,ცრემლი
58,Geschmack::N,qilanaartuut,გემო
59,Geruch::N,tipi,სუნი
60,Geruch::N,tipik,სუნი
61,Traum::N,sinnattoq,სიზმარი
62,Traum::N,sinnattugaq,სიზმარი
63,Himmel::N,qilak,ცა
64,Sonne::N,seqineq,მზე
65,Mond::N,qaammat,მთვარე
66,Stern::N,ulloriaq,ვარსკვლავი
67,Luft::N,silaannaq,ჰაერი
68,Wind::N,anori,ქარი
69,Wind::N,anorsarik,ქარი
70,Welle::N,aalappaa,ტალღა
71,Wasser::N,imeq,წყალი
72,Stein::N,ujarak,ქვა
73,Boden::N,nateq,მიწა
74,Erde::N,issoq,ნიადაგი
75,Staub::N,pujualanerit,მტვერი
76,Staub::N,pujoralanerit,მტვერი
77,Rauch::N,iseq,ბოლი
78,Rauch::N,iseq,კვამლი
79,Rauch::N,pujoq,ბოლი
80,Rauch::N,pujoq,კვამლი
81,Funke::N,illoorneq,ნაკვესი
82,Feuer::N,inneq,ცეცხლი
83,Licht::N,qaamaneq,შუქი
84,Licht::N,qaamaneq,სინათლე
85,Schatten::N,tarraq,ლანდი
86,Schatten::N,tarraq,ჩრდილი
87,Wetter::N,sila,ამინდი
88,Nebel::N,pujoq,ნისლი
89,Wolke::N,nuia,ღრუბელი
90,Regen::N,sialuk,წვიმა
91,Schnee::N,aput,თოვლი
92,Eis::N,siku,თოში
93,Eis::N,siku,ყინული
94,Frost::N,issi,ყინვა
95,Frost::N,issik,ყინვა
96,Kälte::N,issi,სიცივე
97,Hitze::N,kianneq,სიცხე
98,Hitze::N,kiassuseq,სიცხე
99,Raureif::N,kaneq,ჭირხლი
100,Raureif::N,kaneq,თრთვილი
101,Regenbogen::N,neriusaaq,ცისარტყელა
102,Donner::N,kalleq,ქუხილი
103,Tropfen::N,kuseriarneq,წვეთი
104,Schaum::N,qapuk,ქაფი
105,Schaum::N,qapuk,დორბლი
106,Schmutz::N,minguk,ჭუჭყი
107,Schmutz::N,minguk,ტალახი
108,See::N,taseq,ტბა
109,Sumpf::N,maqulluk,ჭაობი
110,Wiese::N,masarsuk,ველი
111,Wiese::N,masarsuk,მდელო
112,Hügel::N,qattuneq,ბორცვი
113,Hügel::N,majuariaq,ბორცვი
