,Concept_ID,cv,kk
0,Auge::N,куҫ,көз
1,Ohr::N,хӑлха,құлақ
2,Nase::N,сӑмса,мұрын
3,Mund::N,ҫӑвар,ауыз
4,Zahn::N,шӑл,тіс
5,Zunge::N,чӗлхе,тіл
6,Lippe::N,тута,ерін
7,Wange::N,пит ҫӑмарти,ұрт
8,Gesicht::N,пит,бет-аузы
9,Gesicht::N,пит-куҫ,бет-аузы
10,Stirn::N,ҫамка,маңдай
11,Haar::N,ҫӳҫ,қыл
12,Schnurrbart::N,усси,мұрт
13,Bart::N,сухал,сақал
14,Kinn::N,янах,иек
15,Kiefer[Anatomie]::N,янах,жақ
16,Kehle::N,пыр,алқым
17,Kehle::N,карланкӑ,алқым
18,Hals::N,пыр,мойын
19,Genick::N,ӗнсе,желке
20,Kopf::N,пуҫ,кәллә
21,Rücken::N,ҫурӑм,арқа
22,Nabel::N,кӑвапа,кіндік
23,Busen::N,кӑкӑр,омырау
24,Brust::N,умӗ,кеуде
25,Schulter::N,хул пуҫҫи,иық
26,Arm::N,алӑ,қол
27,Ellenbogen::N,чавса,шынтақ
28,Hand::N,алӑ сыппи,қол
29,Handfläche::N,ал лаппи,алақан
30,Finger::N,пӳрне,саусақ
31,Fingernagel::N,чӗрне,тырнақ
32,Nagel[Anatomie]::N,чӗрне,тырнақ
33,Zeh::N,пӳрне,тырнақ
34,Zeh::N,пӳрне,тұяқ
35,Fuß::N,ура лаппи,аяқ-басы
36,Ferse::N,кӗле,өкше
37,Ferse::N,кӗле,өкшелік
38,Knie::N,чӗркуҫҫи,тізе
39,Oberschenkel::N,пӗҫӗ,жамбас
40,Bein::N,ура,аяқ
41,Körper::N,ӳт,дене
42,Körper::N,ӳт-пӳ,дене
43,Haut::N,тир,тері
44,Blut::N,юн,қан
45,Ader::N,вена,көктамыр
46,Ader::N,вена,күретамыр
47,Sehne::N,шӑнӑр,сіңір
48,Knochen::N,шӑмӑ,жілік
49,Gehirn::N,миме,ми
50,Herz::N,чӗре,жүрек
51,Magen::N,хырӑмлӑх,асқазан
52,Leber::N,пӗвер,бауыр
53,Atem::N,сывлав,леп
54,Hunger::N,выҫлӑх,ашаршылық
55,Träne::N,куҫҫуль,жас
56,Geschmack::N,техӗм,дәм
57,Geschmack::N,техӗм,татым
58,Geschmack::N,техӗм,талғам
59,Geruch::N,шӑршӑ,иіс
60,Schlaf::N,ыйхӑ,ұйқы
61,Schlaf::N,ыйхӑ,ұйықтау
62,Traum::N,тӗлӗк,түс
63,Himmel::N,пӗлӗт,аспан
64,Himmel::N,пӗлӗт,көқ
65,Himmel::N,пӗлӗт,таңдай
66,Sonne::N,хӗвел,күн
67,Mond::N,уйӑх,ай
68,Stern::N,ҫӑлтӑр,жұлдыз
69,Luft::N,сывлӑш,әуе
70,Wind::N,ҫил,жел
71,Welle::N,хум,толқын
72,Wasser::N,шыв,су
73,Wasser::N,шыв-шур,су
74,Stein::N,чул,тас
75,Boden::N,тӑпра,қыртыс
76,Erde::N,ҫӗр,топырақ
77,Staub::N,тусан,шаң
78,Rauch::N,тӗтӗм,түтін
79,Funke::N,хӗм,ұшқын
80,Feuer::N,вут,алау
81,Feuer::N,ҫулӑм,алау
82,Licht::N,ҫутӑ,шұғыла
83,Schatten::N,сулхӑн,көлеңке
84,Wetter::N,ҫанталӑк,ауа райы
85,Nebel::N,тӗтре,тұман
86,Wolke::N,пӗлӗт,бұлт
87,Regen::N,ҫумӑр,жаңбыр
88,Schnee::N,юр,қар
89,Eis::N,пӑр,мұз
90,Frost::N,сивӗ,суық
91,Kälte::N,сивӗ,ызғар
92,Kälte::N,сивӗ,суықтық
93,Hitze::N,вӗри,аптап
94,Hitze::N,шӑрӑх,аптап
95,Raureif::N,пас,қырау
96,Regenbogen::N,асамат кӗперӗ,кемпірқосақ
97,Donner::N,аслати,күн күркіреу
98,Strömung::N,юхӑ,ағын
99,Tropfen::N,тумлам,тамшы
100,Schaum::N,кӑпӑк,көбік
101,Schmutz::N,пылчӑк,кір
102,See::N,кӳлӗ,көл
103,Sumpf::N,шур,саз
104,Sumpf::N,шурлӑх,саз
105,Moor::N,торфлӑ шурлӑх,саз
106,Wiese::N,улӑх,шалғын
107,Wiese::N,ҫаран,шалғын
108,Wald::N,вӑрман,орман
109,Hügel::N,сӑрт,төбе
110,Hügel::N,сӑрт,белес
111,Hügel::N,сӑрт,белес-белес
112,Hügel::N,тӗмеске,төбе
113,Hügel::N,тӗмеске,белес
114,Hügel::N,тӗмеске,белес-белес
115,Anhöhe::N,сӑрт,дөң
116,Anhöhe::N,сӑрт,адыр
117,Anhöhe::N,сӑрт,қырат
118,Berg::N,ту,тау
119,Gipfel::N,тӳпе,төбе
120,Höhle::N,ҫӗр хӑвӑлӗ,үңгір
121,Abhang::N,тӑвайкки,бауыр
122,Quelle::N,ҫӑл куҫ,қайнар
123,Bach::N,пӗчӗк шыв,жылға
124,Fluss::N,юхан шыв,өзен
125,Ufer::N,ҫыран,жиек
126,Küste::N,тинӗс ҫыранӗ,жиегі
127,Küste::N,тинӗс ҫыранӗ,жағалау
128,Festland::N,тип ҫӗр,құрылық
129,Meer::N,тинӗс,теңіз
130,Bucht::N,тинӗс кукӑрӗ,шығанақ
131,Insel::N,утрав,арал
132,Blume::N,чечек,гүл
133,Gras::N,курӑк,от
134,Wurzel::N,тымар,түбір
135,Baum::N,йывӑҫ,ағаш
136,Baum::N,йывӑҫ,дарақ
137,Stamm::N,вулӑ,сояу
138,Stamm::N,вулӑ,оқпан
139,Rinde::N,хуйӑр,қабық
140,Ast::N,турат,бұтақ
141,Zweig::N,турат,шыбық
142,Blatt::N,ҫулҫӑ,жапырақ
143,Birke::N,хурӑн,қайың
144,Kiefer[Baum]::N,хыр,қарағай
145,Weide[Baum]::N,хӑва,тал
146,Tanne::N,чӑрӑш,шырша
147,Horn::N,мӑйрака,мүйіз
148,Feder::N,тӗк,қаламұш
149,Fell::N,ҫӑм,тері
150,Flügel::N,ҫунат,қанат
151,Klaue::N,чӗрне,тырнақ
152,Kralle::N,ура,аяқ
153,Schwanz::N,хӳре,құйрық
154,Ei::N,ҫӑмарта,жұмыртқа
155,Nest::N,йӑва,ұя
156,Bau::N,йӗнӗ,жатақ
157,Tier::N,выльӑх,айуан
158,Tier::N,выльӑх,жануар
159,Herde::N,кӗтӳ,пада
160,Kuh::N,ӗне,сиыр
161,Bulle::N,вӑкӑр,өгіз
162,Pferd::N,лаша,жылқы
163,Schaf::N,сурӑх,қой
164,Schwein::N,сысна,шошқа
165,Hund::N,йытӑ,ит
166,Katze::N,кушак,мысық
167,Bär::N,упа,аю
168,Eichhörnchen::N,пакша,тиін
169,Elch::N,пӑши,бұғы
170,Fuchs::N,тилӗ,түлкі
171,Hase::N,куян,қоян
172,Hase::N,мулкач,қоян
173,Maus::N,шӑши,қаптесер
174,Wolf::N,кашкӑр,бөрі
175,Wolf::N,кашкӑр,қасқыр
176,Vogel::N,кайӑк,құс
177,Vogel::N,вӗҫен кайӑк,құс
178,Schwarm::N,ушкӑн,топ
179,Schwarm::N,ушкӑн,үйір
180,Huhn::N,чӑх,тауық
