,Concept_ID,la,kv
165,Schwarm::N,examen,стая
166,Schwarm::N,examen,чукӧр
167,Huhn::N,gallina,курӧг
168,Hahn::N,gallus,петух
169,Hahn::N,gallus,ай курӧг
170,Gans::N,anser,дзодзог
171,Adler::N,aquila,куч
172,Adler::N,aquila,кутш
173,Ente::N,anas,утка
174,Eule::N,ulula,тупка
175,Eule::N,noctua,тупка
176,Kranich::N,grus,тури
177,Krähe::N,cornix,рака
178,Kuckuck::N,cuculus,кӧк
179,Schwan::N,olor,юсь
180,Schwan::N,cycnus,юсь
181,Fisch::N,piscis,чери
182,Barsch::N,perca,ёкыш
183,Hecht::N,esox,сирпинь
184,Schlange[Tier]::N,serpens,змей
185,Wurm::N,vermis,номыр
186,Spinne::N,aranea,черань
187,Ameise::N,formica,кӧдзывкар
188,Laus::N,pediculus,ляпа той
189,Mücke::N,culex,ном
190,Fliege::N,musca,гут
191,Schmetterling::N,papilio,бабыв
192,Beere::N,baca,ягӧд
193,Apfel::N,malum,яблоко
194,Pilz::N,fungus,тшак
195,Zwiebel::N,cepa,грез
196,Saat::N,seges,кӧдзыс
197,Korn::N,granum,сю
198,Heu::N,faenum,турун
199,Schale::N,putamen,кыш
200,Schale::N,putamen,киль
201,Grube::N,fovea,яма
202,Falle::N,pedica,нальк
203,Falle::N,pedica,кляпча
204,Schlinge::N,laqueus,лӧч
205,Spur::N,vestigium,туй
206,Asche::N,cinis,пӧим
207,Dreck::N,lutum,нять
208,Eisen::N,ferrum,кӧрт
209,Gold::N,aurum,зарни
210,Silber::N,argentum,язісь
211,Kohle::N,carbo,шом
212,Kohle::N,carbo,уголь
213,Glas::N,vitrum,стекло
214,Lehm::N,lutum,сёй
215,Sand::N,arena,лыа
216,Mensch::N,homo,морт
217,Mann::N,vir,мужик
218,Frau::N,mulier,инька
219,Kind::N,puer,кага
220,Kind::N,infans,кага
221,Junge::N,puer,зонка
222,Mädchen::N,puella,нывкаок
223,Familie::N,familia,семья
224,Großvater::N,avus,дед
225,Großmutter::N,avia,баб
226,Eltern::N,parentes,ай-мам
227,Vater::N,pater,ай
228,Mutter::N,mater,мам
229,Sohn::N,filius,зон
230,Tochter::N,filia,ныв
231,Bruder::N,frater,вон
232,Schwester::N,soror,сой
233,Onkel::N,patruus,дядь
234,Onkel::N,avunculus,дядь
235,Tante::N,amita,айӧлӧн сой
236,Tante::N,amita,ичинь
237,Ehemann::N,maritus,жӧник
238,Ehefrau::N,uxor,инь
239,Freude::N,gaudium,гаж
240,Freude::N,gaudium,радъялӧм
241,Freude::N,laetitia,гаж
242,Freude::N,laetitia,радъялӧм
243,Gelächter::N,risus,сералӧм
244,Glück::N,felicitas,мичлун
245,Kummer::N,aegritudo,шог
246,Wunsch::N,voluntas,мӧдӧм
247,Wunsch::N,voluntas,охотитӧм
248,Wunsch::N,desiderium,мӧдӧм
249,Wunsch::N,desiderium,охотитӧм
250,Lust::N,libido,охота
251,Lust::N,voluptas,охота
252,Geist::N,mens,лов
253,Geist::N,animus,лов
254,Gedanke::N,sententia,дума
255,Gedächtnis::N,memoria,тӧдвыв
256,Verstand::N,ratio,вежӧр
257,Verstand::N,ingenium,вежӧр
258,Sinn::N,sensus,ылӧс
259,Grund::N,causa,мог
260,Wahrheit::N,veritas,правда
261,Gespräch::N,sermo,сёрни
262,Märchen::N,fabula,сказка
263,Erzählung::N,fabula,висьт
264,Erzählung::N,narratio,висьт
265,Nachricht::N,nuntius,юӧр
266,Nachricht::N,nuntius,висьталӧм
267,Neuigkeit::N,novitas,новость
268,Name::N,nomen,ним
269,Rätsel::N,aenigma,загадка
270,Rede::N,oratio,сёрни
271,Sprache::N,lingua,кыв
272,Stimme::N,vox,голос
273,Wort::N,verbum,кыв
274,Wort::N,vocabulum,кыв
275,Zeichen::N,signum,пас
276,Ruf::N,clamor,чуксӧм
277,Ruf::N,clamor,чукӧстӧм
278,Lärm::N,strepitus,шум
279,Laut::N,sonus,шы
280,Ton::N,sonus,гор
281,Lied::N,carmen,сьыланкыв
282,Ruhe::N,quies,спокой
283,Leute::N,homines,йӧз
284,Volk::N,populus,йӧз
285,Volk::N,populus,народ
286,Arbeit::N,labor,удж
287,Gast::N,hospes,гӧсь
288,Gast::N,conviva,гӧсь
289,Geschenk::N,munus,гӧснеч
290,Geschenk::N,munus,подарок
291,Spiel::N,ludus,орсӧм
292,Gesellschaft::N,societas,компания
293,Hilfe::N,auxilium,отсӧт
294,Hilfe::N,subsidium,отсӧт
295,Freund::N,amicus,модз
296,Freund::N,amicus,дружок
297,Kamerad::N,socius,тӧдса
298,Angelegenheit::N,res,дело
299,Anzahl::N,numerus,лыд
300,Art::N,genus,пӧлӧс
301,Stück::N,frustum,тор
302,Stück::N,fragmentum,тор
303,Teil::N,pars,юкӧм
304,Hälfte::N,dimidium,джын
305,Kreis::N,orbis,круг
306,Kreis::N,circus,круг
307,Kreuz::N,crux,перна
308,Linie::N,linea,визь
309,Strich::N,lineamentum,кырӧв
310,Abstand::N,intervallum,колас
311,Entfernung::N,spatium,ылына
312,Gegend::N,loca,места
313,Gegend::N,regio,места
314,Platz::N,locus,места
315,Ort::N,locus,места
316,Seite::N,latus,ладор
317,Mitte::N,medium,шӧр
318,Gegenstand::N,res,тор
319,Sache::N,res,тор
320,Rand::N,margo,дор
321,Kante::N,angulus,ордлы
322,Ecke::N,angulus,пельӧс
323,Spitze::N,cacumen,йыв
324,Ende::N,caput,йыв
325,Loch::N,foramen,осьта
326,Winkel::N,angulus,пельӧс
327,Muster::N,exemplum,сер
328,Größe::N,magnitudo,ыжда
329,Länge::N,longitudo,кузя
