,Concept_ID,ca,cv
0,Auge::N,ull,куҫ
1,Ohr::N,orella,хӑлха
2,Nase::N,nas,сӑмса
3,Mund::N,boca,ҫӑвар
4,Zahn::N,dent,шӑл
5,Zunge::N,llēngua,чӗлхе
6,Lippe::N,llavi,тута
7,Wange::N,galta,пит ҫӑмарти
8,Gesicht::N,cara,пит
9,Gesicht::N,cara,пит-куҫ
10,Stirn::N,front,ҫамка
11,Haar::N,cabēll,ҫӳҫ
12,Schnurrbart::N,bigoti,усси
13,Bart::N,barba,сухал
14,Kinn::N,mentó,янах
15,Kinn::N,barbeta,янах
16,Kiefer[Anatomie]::N,queix,янах
17,Kiefer[Anatomie]::N,mandíbula,янах
18,Kehle::N,gola,пыр
19,Kehle::N,gola,карланкӑ
20,Kehle::N,gorja,пыр
21,Kehle::N,gorja,карланкӑ
22,Hals::N,coll,пыр
23,Genick::N,nuca,ӗнсе
24,Kopf::N,cap,пуҫ
25,Rücken::N,esquena,ҫурӑм
26,Bauch::N,panxa,
27,Nabel::N,llombrígol,кӑвапа
28,Busen::N,pit,кӑкӑр
29,Busen::N,mama,кӑкӑр
30,Brust::N,pit,умӗ
31,Schulter::N,espatlla,хул пуҫҫи
32,Arm::N,braç,алӑ
33,Ellenbogen::N,colze,чавса
34,Hand::N,mà,алӑ сыппи
35,Handfläche::N,palma,ал лаппи
36,Finger::N,dit,пӳрне
37,Fingernagel::N,ungla,чӗрне
38,Nagel[Anatomie]::N,ungla,чӗрне
39,Zeh::N,dit del peu,пӳрне
40,Fuß::N,peu,ура лаппи
41,Ferse::N,taló,кӗле
42,Knie::N,genoll,чӗркуҫҫи
43,Oberschenkel::N,cuixa,пӗҫӗ
44,Bein::N,cama,ура
45,Körper::N,cos,ӳт
46,Körper::N,cos,ӳт-пӳ
47,Haut::N,pell,тир
48,Blut::N,sang,юн
49,Ader::N,vena,вена
50,Sehne::N,tendó,шӑнӑр
51,Knochen::N,os,шӑмӑ
52,Gehirn::N,cervell,миме
53,Herz::N,cor,чӗре
54,Magen::N,estómac,хырӑмлӑх
55,Leber::N,fetge,пӗвер
56,Atem::N,alè,сывлав
57,Atem::N,hàlit,сывлав
58,Hunger::N,fam,выҫлӑх
59,Hunger::N,gana,выҫлӑх
60,Träne::N,llàgrima,куҫҫуль
61,Geschmack::N,gust,техӗм
62,Geschmack::N,sabor,техӗм
63,Geruch::N,olor,шӑршӑ
64,Schlaf::N,son,ыйхӑ
65,Traum::N,somni,тӗлӗк
66,Himmel::N,celm,пӗлӗт
67,Sonne::N,sol,хӗвел
68,Mond::N,lluna,уйӑх
69,Stern::N,estel,ҫӑлтӑр
70,Stern::N,estrella,ҫӑлтӑр
71,Luft::N,aire,сывлӑш
72,Wind::N,vent,ҫил
73,Welle::N,ona,хум
74,Wasser::N,āigua,шыв
75,Wasser::N,āigua,шыв-шур
76,Stein::N,pedra,чул
77,Boden::N,sòl,тӑпра
78,Erde::N,terra,ҫӗр
79,Staub::N,pols,тусан
80,Rauch::N,fum,тӗтӗм
81,Funke::N,guspira,хӗм
82,Funke::N,centella,хӗм
83,Feuer::N,foc,вут
84,Feuer::N,foc,ҫулӑм
85,Licht::N,llum,ҫутӑ
86,Schatten::N,ombra,сулхӑн
87,Wetter::N,temps,ҫанталӑк
88,Nebel::N,boira,тӗтре
89,Wolke::N,núvol,пӗлӗт
90,Regen::N,pluja,ҫумӑр
91,Schnee::N,neu,юр
92,Eis::N,gel,пӑр
93,Eis::N,glaç,пӑр
94,Frost::N,glaçada,сивӗ
95,Kälte::N,fred,сивӗ
96,Hitze::N,calor,вӗри
97,Hitze::N,calor,шӑрӑх
98,Raureif::N,gebre,пас
99,Regenbogen::N,arc iris,асамат кӗперӗ
100,Donner::N,tro,аслати
101,Strömung::N,corrent,юхӑ
102,Tropfen::N,gota,тумлам
103,Schaum::N,escuma,кӑпӑк
104,Schmutz::N,brutícia,пылчӑк
105,See::N,llac,кӳлӗ
106,Sumpf::N,pantà,шур
107,Sumpf::N,pantà,шурлӑх
108,Moor::N,pantà,торфлӑ шурлӑх
109,Wiese::N,prat,улӑх
110,Wiese::N,prat,ҫаран
111,Wiese::N,prada,улӑх
112,Wiese::N,prada,ҫаран
113,Wald::N,bosc,вӑрман
114,Hügel::N,puig,сӑрт
115,Hügel::N,puig,тӗмеске
116,Hügel::N,pujol,сӑрт
117,Hügel::N,pujol,тӗмеске
118,Anhöhe::N,turó,сӑрт
119,Berg::N,muntanya,ту
120,Gipfel::N,cim,тӳпе
121,Höhle::N,cova,ҫӗр хӑвӑлӗ
122,Abhang::N,coster,тӑвайкки
123,Quelle::N,font,ҫӑл куҫ
124,Bach::N,riera,пӗчӗк шыв
125,Fluss::N,riu,юхан шыв
126,Ufer::N,riba,ҫыран
127,Küste::N,costa,тинӗс ҫыранӗ
128,Festland::N,terra ferma,тип ҫӗр
129,Meer::N,mar,тинӗс
130,Bucht::N,cala,тинӗс кукӑрӗ
131,Bucht::N,badia,тинӗс кукӑрӗ
132,Insel::N,illa,утрав
133,Blume::N,flor,чечек
134,Gras::N,herba,курӑк
135,Wurzel::N,rel,тымар
136,Wurzel::N,arrel,тымар
137,Baum::N,arbre,йывӑҫ
138,Stamm::N,tronc,вулӑ
139,Rinde::N,escorça,хуйӑр
140,Ast::N,branca,турат
141,Zweig::N,ram,турат
142,Blatt::N,fulla,ҫулҫӑ
143,Birke::N,bedoll,хурӑн
144,Kiefer[Baum]::N,pi,хыр
145,Weide[Baum]::N,salze,хӑва
146,Tanne::N,avet,чӑрӑш
147,Horn::N,corn,мӑйрака
148,Horn::N,banya,мӑйрака
149,Feder::N,ploma,тӗк
150,Fell::N,pell,ҫӑм
151,Flügel::N,ala,ҫунат
152,Klaue::N,urpa,чӗрне
153,Kralle::N,grapa,ура
154,Schwanz::N,cua,хӳре
155,Ei::N,ou,ҫӑмарта
156,Nest::N,niu,йӑва
157,Bau::N,cau,йӗнӗ
158,Tier::N,animāl,выльӑх
159,Herde::N,ramat,кӗтӳ
160,Kuh::N,vaca,ӗне
161,Bulle::N,toro,вӑкӑр
162,Pferd::N,cavāll,лаша
163,Schaf::N,be,сурӑх
164,Schaf::N,ovella,сурӑх
165,Schwein::N,bacó,сысна
166,Hund::N,ca,йытӑ
167,Hund::N,gos,йытӑ
168,Katze::N,gat,кушак
169,Bär::N,ós,упа
170,Eichhörnchen::N,esquirol,пакша
171,Elch::N,ant,пӑши
172,Fuchs::N,guilla,тилӗ
173,Hase::N,llebre,куян
174,Hase::N,llebre,мулкач
175,Maus::N,ratolí,шӑши
176,Wolf::N,llop,кашкӑр
177,Vogel::N,au,кайӑк
178,Vogel::N,au,вӗҫен кайӑк
179,Vogel::N,ocēll,кайӑк
180,Vogel::N,ocēll,вӗҫен кайӑк
181,Schwarm::N,bandada,ушкӑн
182,Huhn::N,gallina,чӑх
183,Huhn::N,gallina,чӑхӑ
184,Hahn::N,gall,автан
185,Gans::N,oca,хур
186,Adler::N,àguila,ӑмӑрт кайӑк
187,Ente::N,ànec,кӑвакал
188,Eule::N,òliba,тӑмана
189,Eule::N,mussol,тӑмана
190,Kranich::N,grua,тӑрна
191,Krähe::N,cornella,ула курак
192,Kuckuck::N,cucut,куккук
193,Schwan::N,cigne,акӑш
194,Fisch::N,peix,пулӑ
195,Barsch::N,perca,уланкӑ
196,Hecht::N,lluç,ҫӑрттан
197,Schlange[Tier]::N,serp,ҫӗлен
198,Wurm::N,cuc,ӑман
199,Spinne::N,aranya,эрешмен
200,Ameise::N,formiga,кӑткӑ
201,Laus::N,poll,пыйтӑ
202,Mücke::N,mosquit,вӑрӑм туна
203,Fliege::N,mosca,шӑна
204,Schmetterling::N,papallona,лӗпӗш
205,Beere::N,baia,ҫырла
206,Apfel::N,poma,улма
207,Apfel::N,poma,пан улми
208,Pilz::N,bolet,кӑмпа
209,Zwiebel::N,ceba,сухан
210,Saat::N,sembra,вӑрӑ
211,Korn::N,gra,тӗшӗ
212,Korn::N,gra,пӗрчӗ
213,Heu::N,fenc,утӑ
