,Concept_ID,mdf,cv
162,Schwein::N,тува,сысна
163,Hund::N,пине,йытӑ
164,Katze::N,катоня,кушак
165,Katze::N,аваката,кушак
166,Bär::N,офта,упа
167,Eichhörnchen::N,ур,пакша
168,Elch::N,ся́рда,пӑши
169,Fuchs::N,келазь,тилӗ
170,Hase::N,ну́мол,куян
171,Hase::N,ну́мол,мулкач
172,Maus::N,шеер,шӑши
173,Wolf::N,върьгаз,кашкӑр
174,Vogel::N,нармонь,кайӑк
175,Vogel::N,нармонь,вӗҫен кайӑк
176,Schwarm::N,ко́вол,ушкӑн
177,Schwarm::N,ме́швеле,ушкӑн
178,Huhn::N,сараз,чӑх
179,Huhn::N,сараз,чӑхӑ
180,Hahn::N,а́тякш,автан
181,Gans::N,маци,хур
182,Adler::N,куцькан,ӑмӑрт кайӑк
183,Ente::N,яксярга,кӑвакал
184,Eule::N,ко́рож,тӑмана
185,Kranich::N,ка́рга,тӑрна
186,Krähe::N,ва́рси,ула курак
187,Kuckuck::N,ку́ку,куккук
188,Schwan::N,ло́ксти,акӑш
189,Fisch::N,кал,пулӑ
190,Barsch::N,о́кунь,уланкӑ
191,Hecht::N,щу́ка,ҫӑрттан
192,Schlange[Tier]::N,куй,ҫӗлен
193,Wurm::N,сукс,ӑман
194,Spinne::N,унжа́,эрешмен
195,Ameise::N,панжам,кӑткӑ
196,Laus::N,си,пыйтӑ
197,Mücke::N,ся́ське,вӑрӑм туна
198,Fliege::N,кару,шӑна
199,Schmetterling::N,ме́лав,лӗпӗш
200,Beere::N,и́мож,ҫырла
201,Apfel::N,марь,улма
202,Apfel::N,марь,пан улми
203,Pilz::N,панга,кӑмпа
204,Zwiebel::N,шурьхкя́,сухан
205,Saat::N,видьмот,вӑрӑ
206,Korn::N,сёра,тӗшӗ
207,Korn::N,сёра,пӗрчӗ
208,Heu::N,тише,утӑ
209,Schale::N,кедь,хупӑ
210,Grube::N,лотка,шӑтӑк
211,Falle::N,туфкс,тапӑ
212,Falle::N,туфкс,капкӑн
213,Falle::N,кунда́ма,тапӑ
214,Falle::N,кунда́ма,капкӑн
215,Schlinge::N,килькш,йӑлӑ
216,Spur::N,пильгоки́,йӗр
217,Asche::N,кулу,кӗл
218,Dreck::N,ърда́з,пылчӑк
219,Eisen::N,кшни,тимӗр
220,Gold::N,ока,ылтӑн
221,Gold::N,золота,ылтӑн
222,Silber::N,сия́,кӗмӗл
223,Kohle::N,седь,кӑмрӑк
224,Kohle::N,седьвальмя,кӑмрӑк
225,Glas::N,кля́нцек,кӗленче
226,Lehm::N,сёвонь,тӑм
227,Sand::N,шува́р,хӑйӑр
228,Mensch::N,ломань,ҫын
229,Mensch::N,ломань,этем
230,Mann::N,аля,ар
231,Mann::N,цёраломань,ар
232,Frau::N,ава,хӗрарӑм
233,Kind::N,идь,ача
234,Kind::N,шаба,ача
235,Junge::N,цёраня,ача
236,Junge::N,цёраня,ар ҫын ача
237,Mädchen::N,стирня́,хӗр ача
238,Familie::N,тнал,ҫемье
239,Familie::N,тнал,кил-йыш
240,Familie::N,семья,ҫемье
241,Familie::N,семья,кил-йыш
242,Großvater::N,атя,кукаҫи
243,Großvater::N,щя́тя,кукаҫи
244,Großmutter::N,баба,кукамай
245,Eltern::N,тя́дят-а́лят,аҫа-ама
246,Vater::N,аля,атте
247,Mutter::N,ава,анне
248,Mutter::N,тядя,анне
249,Sohn::N,цёра,ывӑл
250,Tochter::N,стирь,хӗр
251,Bruder::N,дуган,ар тӑван
252,Bruder::N,пяльне,ар тӑван
253,Schwester::N,ака,аппа
254,Schwester::N,ака,йӑмӑк
255,Schwester::N,сазор,аппа
256,Schwester::N,сазор,йӑмӑк
257,Onkel::N,оця,мучи
258,Onkel::N,оця,пичче
259,Onkel::N,патя,мучи
260,Onkel::N,патя,пичче
261,Onkel::N,щеня́,мучи
262,Onkel::N,щеня́,пичче
263,Tante::N,ака,аппа
264,Tante::N,щака,аппа
265,Ehemann::N,мирде,упӑшка
266,Ehefrau::N,ърьвя́,арӑм
267,Freude::N,ке́нярдема,савӑнӑҫ
268,Freude::N,ке́нярдема,хаваслӑх
269,Gelächter::N,рахсема,кулӑ
270,Glück::N,паваз,телей
271,Glück::N,паваз,ӑраскал
272,Kummer::N,ризф,хурлӑх
273,Kummer::N,пичефкс,хурлӑх
274,Wunsch::N,мяль,ӗмӗт
275,Wunsch::N,мяль,кӑмӑл
276,Wunsch::N,таколдома,ӗмӗт
277,Wunsch::N,таколдома,кӑмӑл
