,Concept_ID,es,sv
0,Auge::N,ojo,öga
1,Ohr::N,oreja,öra
2,Nase::N,nariz,näsa
3,Mund::N,boca,mun
4,Zahn::N,diente,tand
5,Zunge::N,lengua,tunga
6,Lippe::N,labio,läpp
7,Wange::N,mejilla,kind
8,Gesicht::N,cara,syn
9,Gesicht::N,cara,ansikte
10,Stirn::N,frente,panna
11,Haar::N,cabello,hår
12,Schnurrbart::N,bigote,mustasch
13,Bart::N,barba,skägg
14,Kinn::N,barbilla,haka
15,Kiefer[Anatomie]::N,mandíbula,käke
16,Kehle::N,garganta,strupe
17,Hals::N,cuello,hals
18,Genick::N,nuca,nacke
19,Genick::N,cerviz,nacke
20,Kopf::N,cabeza,huvud
21,Rücken::N,espalda,rygg
22,Bauch::N,vientre,buk
23,Bauch::N,vientre,mage
24,Nabel::N,ombligo,navel
25,Busen::N,pecho,barm
26,Brust::N,pecho,bröst
27,Schulter::N,hombro,skuldra
28,Arm::N,brazo,arm
29,Ellenbogen::N,codo,armbåge
30,Hand::N,mano,hand
31,Handfläche::N,palma,handflata
32,Finger::N,dedo,finger
33,Fingernagel::N,uña,fingernagel
34,Nagel[Anatomie]::N,uña,nagel
35,Zeh::N,dedo del pie,tå
36,Fuß::N,pie,fot
37,Ferse::N,talón,häl
38,Knie::N,rodilla,knä
39,Oberschenkel::N,muslo,lår
40,Bein::N,pierna,ben
41,Körper::N,cuerpo,kropp
42,Haut::N,piel,hud
43,Haut::N,piel,skinn
44,Blut::N,sangre,blod
45,Ader::N,vena,åder
46,Sehne::N,tendón,sena
47,Knochen::N,hueso,ben
48,Gehirn::N,cerebro,hjärna
49,Gehirn::N,encéfalo,hjärna
50,Herz::N,corazón,hjärta
51,Magen::N,estómago,mage
52,Leber::N,hígado,lever
53,Atem::N,aliento,anda
54,Atem::N,aliento,andedräkt
55,Hunger::N,hambre,svält
56,Hunger::N,hambre,hunger
57,Träne::N,lágrima,tår
58,Geschmack::N,gusto,smak
59,Geruch::N,olor,lukt
60,Schlaf::N,sueño,sömn
61,Traum::N,sueño,dröm
62,Traum::N,ensueño,dröm
63,Himmel::N,cielo,himmel
64,Sonne::N,sol,sol
65,Mond::N,luna,måne
66,Stern::N,estrella,stjärna
67,Luft::N,aire,luft
68,Wind::N,viento,vind
69,Welle::N,ola,våg
70,Welle::N,ola,bölja
71,Welle::N,onda,våg
72,Welle::N,onda,bölja
73,Wasser::N,agua,vatten
74,Stein::N,piedra,sten
75,Boden::N,suelo,mark
76,Erde::N,tierra,jord
77,Staub::N,polvo,damm
78,Rauch::N,humo,rök
79,Funke::N,chispa,gnista
80,Feuer::N,fuego,eld
81,Licht::N,luz,ljus
82,Schatten::N,sombra,skugga
83,Wetter::N,tiempo,väder
84,Nebel::N,niebla,dimma
85,Nebel::N,niebla,töcken
86,Wolke::N,nube,sky
87,Wolke::N,nube,moln
88,Regen::N,lluvia,regn
89,Schnee::N,nieve,snö
90,Eis::N,hielo,is
91,Frost::N,helada,frost
92,Kälte::N,frío,köld
93,Hitze::N,calor,hetta
94,Raureif::N,escarcha,rimfrost
95,Regenbogen::N,arco iris,regnbåge
96,Donner::N,trueno,åska
97,Donner::N,trueno,dunder
98,Strömung::N,corriente,strömning
99,Tropfen::N,gota,dropper
100,Schaum::N,espuma,skum
101,Schmutz::N,suciedad,lort
102,Schmutz::N,suciedad,smuts
103,See::N,lago,sjö
104,Sumpf::N,pantano,träsk
105,Moor::N,turbera,myr
106,Moor::N,turbera,mosse
107,Wiese::N,prado,äng
108,Wiese::N,pradera,äng
109,Wald::N,bosque,skog
