,Concept_ID,nl,ku
0,Auge::N,oog,çav
1,Ohr::N,oor,guh
2,Nase::N,neus,bêvil
3,Mund::N,mond,dev
4,Zahn::N,tand,didan
5,Zunge::N,tong,ziman
6,Lippe::N,lip,lêv
7,Wange::N,wang,dêm
8,Wange::N,wang,hinarik
9,Gesicht::N,gelaat,rû
10,Gesicht::N,gezicht,rû
11,Stirn::N,voorhoofd,enî
12,Haar::N,haar,por
13,Schnurrbart::N,snor,simbêl
14,Bart::N,baard,rih
15,Kinn::N,kin,zenî
16,Kiefer[Anatomie]::N,kaak,arguşk
17,Kehle::N,keel,qirik
18,Kehle::N,strot,qirik
19,Hals::N,hals,stû
20,Hals::N,hals,qirik
21,Genick::N,nek,stû
22,Kopf::N,hoofd,serî
23,Rücken::N,rug,pişt
24,Bauch::N,buik,ûr
25,Bauch::N,buik,zik
26,Nabel::N,navel,navik
27,Busen::N,boezem,sîng
28,Brust::N,borst,sîng
29,Schulter::N,schouder,mil
30,Arm::N,arm,çepil
31,Ellenbogen::N,elleboog,enîşk
32,Hand::N,hand,dest
33,Handfläche::N,handpalm,kefadest
34,Finger::N,vinger,tilî
35,Fingernagel::N,nagel,neynuk
36,Nagel[Anatomie]::N,nagel,bizmar
37,Zeh::N,teen,tilî linga
38,Fuß::N,voet,ling
39,Ferse::N,hak,pahnî
40,Ferse::N,hiel,pahnî
41,Knie::N,knie,kabok
42,Oberschenkel::N,dij,rahn
43,Bein::N,been,çip
44,Körper::N,lichaam,laş
45,Körper::N,lichaam,gowde
46,Haut::N,huid,çerm
47,Blut::N,bloed,xwîn
48,Ader::N,ader,reh
49,Sehne::N,pees,reh
50,Knochen::N,bot,hestî
51,Knochen::N,been,hestî
52,Knochen::N,knook,hestî
53,Gehirn::N,hersenen,mêjî
54,Herz::N,hart,dil
55,Magen::N,maag,navêş
56,Leber::N,lever,kezeb
57,Atem::N,adem,hilm
58,Hunger::N,honger,birçîtî
59,Träne::N,traan,hêstir
60,Geschmack::N,smaak,tam
61,Geruch::N,geur,bêhn
62,Schlaf::N,slaap,xew
63,Traum::N,droom,xewn
64,Himmel::N,hemel,ezman
65,Sonne::N,zon,roj
66,Mond::N,maan,heyv
67,Stern::N,ster,stêrk
68,Luft::N,lucht,ba
69,Wind::N,wind,ba
70,Welle::N,golf,şewl
71,Wasser::N,water,av
72,Stein::N,steen,kevir
73,Boden::N,grond,herd
74,Erde::N,aarde,ax
75,Staub::N,stof,toz
76,Rauch::N,rook,dû
77,Funke::N,vonk,çirûşk
78,Feuer::N,vuur,agir
79,Licht::N,licht,ronahî
80,Schatten::N,schaduw,sî
81,Wetter::N,weer,hewa
82,Nebel::N,mist,mij
83,Nebel::N,nevel,mij
84,Wolke::N,wolk,ewr
85,Regen::N,regen,baran
86,Schnee::N,sneeuw,berf
87,Eis::N,ijs,qeşa
88,Frost::N,vorst,xûsik
89,Kälte::N,kou,serma
90,Kälte::N,koude,serma
91,Hitze::N,hitte,germayî
92,Raureif::N,rijp,şext
93,Regenbogen::N,regenboog,heftreng
94,Donner::N,donder,gire-gir
95,Strömung::N,stroming,şewl
96,Tropfen::N,druppel,dilop
97,Schaum::N,schuim,kef
98,Schmutz::N,vuil,gemar
99,See::N,meer,gol
100,Sumpf::N,moeras,hezek
101,Moor::N,veen,mafêl
102,Wiese::N,wei,sûrik
