,Concept_ID,es,fi
0,Auge::N,ojo,silmä
1,Ohr::N,oreja,korva
2,Nase::N,nariz,nenä
3,Mund::N,boca,suu
4,Zahn::N,diente,hammas
5,Zunge::N,lengua,kieli
6,Lippe::N,labio,huuli
7,Wange::N,mejilla,poski
8,Gesicht::N,cara,naama
9,Gesicht::N,cara,kasvot
10,Stirn::N,frente,otsa
11,Haar::N,cabello,hius
12,Haar::N,cabello,tukka
13,Schnurrbart::N,bigote,viikset
14,Bart::N,barba,parta
15,Kinn::N,barbilla,leuka
16,Kiefer[Anatomie]::N,mandíbula,leukaluu
17,Kehle::N,garganta,kurkku
18,Hals::N,cuello,kaula
19,Genick::N,nuca,niska
20,Genick::N,cerviz,niska
21,Kopf::N,cabeza,pää
22,Rücken::N,espalda,selkä
23,Bauch::N,vientre,maha
24,Bauch::N,vientre,vatsa
25,Nabel::N,ombligo,napa
26,Busen::N,pecho,rinta
27,Brust::N,pecho,rinta
28,Schulter::N,hombro,olka
29,Schulter::N,hombro,hartia
30,Schulter::N,hombro,olkapää
31,Arm::N,brazo,käsivarsi
32,Ellenbogen::N,codo,kyynärpää
33,Hand::N,mano,käsi
34,Handfläche::N,palma,kämmen
35,Finger::N,dedo,sormi
36,Fingernagel::N,uña,kynsi
37,Nagel[Anatomie]::N,uña,kynsi
38,Zeh::N,dedo del pie,varvas
39,Fuß::N,pie,jalka
40,Ferse::N,talón,kantapää
41,Knie::N,rodilla,polvi
42,Oberschenkel::N,muslo,reisi
43,Bein::N,pierna,jalka
44,Körper::N,cuerpo,keho
45,Körper::N,cuerpo,ruumis
46,Haut::N,piel,iho
47,Blut::N,sangre,veri
48,Ader::N,vena,suoni
49,Sehne::N,tendón,jänne
50,Knochen::N,hueso,luu
51,Gehirn::N,cerebro,aivot
52,Gehirn::N,encéfalo,aivot
53,Herz::N,corazón,sydän
54,Magen::N,estómago,maha
55,Magen::N,estómago,vatsa
56,Leber::N,hígado,maksa
57,Atem::N,aliento,henki
58,Atem::N,aliento,hengitys
59,Hunger::N,hambre,nälkä
60,Träne::N,lágrima,kyynel
61,Geschmack::N,gusto,maku
62,Geruch::N,olor,haju
63,Schlaf::N,sueño,uni
64,Traum::N,sueño,uni
65,Traum::N,ensueño,uni
66,Himmel::N,cielo,taivas
67,Sonne::N,sol,aurinko
68,Mond::N,luna,kuu
69,Stern::N,estrella,tähti
70,Luft::N,aire,ilma
71,Wind::N,viento,tuuli
72,Welle::N,ola,aalto
73,Welle::N,onda,aalto
74,Wasser::N,agua,vesi
75,Stein::N,piedra,kivi
76,Boden::N,suelo,maa
77,Boden::N,suelo,maaperä
78,Erde::N,tierra,maa
79,Staub::N,polvo,pöly
80,Rauch::N,humo,savu
81,Funke::N,chispa,kipinä
82,Feuer::N,fuego,tuli
83,Licht::N,luz,valo
84,Schatten::N,sombra,varjo
85,Wetter::N,tiempo,sää
86,Nebel::N,niebla,sumu
87,Wolke::N,nube,pilvi
88,Regen::N,lluvia,sade
89,Schnee::N,nieve,lumi
90,Eis::N,hielo,jää
91,Frost::N,helada,halla
92,Frost::N,helada,pakkanen
93,Kälte::N,frío,vilu
94,Kälte::N,frío,kylmyys
95,Hitze::N,calor,helle
96,Hitze::N,calor,kuumuus
97,Raureif::N,escarcha,huurre
98,Regenbogen::N,arco iris,sateenkaari
99,Donner::N,trueno,jyrinä
100,Strömung::N,corriente,virtaus
101,Tropfen::N,gota,tippa
102,Tropfen::N,gota,pisara
103,Schaum::N,espuma,vaahto
104,Schmutz::N,suciedad,loka
105,See::N,lago,järvi
106,Sumpf::N,pantano,suo
107,Moor::N,turbera,räme
108,Wiese::N,prado,niitty
109,Wiese::N,pradera,niitty
110,Wald::N,bosque,metsä
111,Hügel::N,colina,mäki
112,Hügel::N,colina,kumpu
