,Concept_ID,mdf,sl
0,Auge::N,сельме,okó
1,Ohr::N,пиле,uhó
2,Nase::N,шалхка,nós
3,Mund::N,курга,ústa
4,Zahn::N,пей,zób
5,Zunge::N,кяль,jêzik
6,Lippe::N,търва́,ústnica
7,Wange::N,щёка,líce
8,Gesicht::N,шама,oblíčje
9,Stirn::N,коня,čêlo
10,Haar::N,шя́ярь,lás
11,Schnurrbart::N,уса́,bŕki
12,Bart::N,сакал,bráda
13,Kinn::N,ула,bráda
14,Kiefer[Anatomie]::N,саласка,čeljúst
15,Kehle::N,кълдома,gŕlo
16,Kehle::N,кърга́парь,gŕlo
17,Hals::N,сялдаз,vrát
18,Genick::N,шовонь,zatílnik
19,Kopf::N,пря,gláva
20,Rücken::N,копорь,hrbèt
21,Bauch::N,пеке,trébuh
22,Nabel::N,по́кон,pópek
23,Busen::N,потя,nédrja
24,Brust::N,мяште,pŕsi
25,Schulter::N,лафту,ráma
26,Schulter::N,лафту,plêče
27,Arm::N,кядь,rôka
28,Ellenbogen::N,кенерьба́карь,komólec
29,Hand::N,кядь,rôka
30,Handfläche::N,кядьлапш,dlán
31,Finger::N,сур,pŕst
32,Fingernagel::N,кенже,nóht na rôki
33,Nagel[Anatomie]::N,кенже,nóht
34,Zeh::N,пильгосу́р,pŕst na nôgi
35,Fuß::N,пильге,nôga
36,Fuß::N,пильгелапа,nôga
37,Ferse::N,кочкяря,pêta
38,Knie::N,эль,koléno
39,Knie::N,пълма́нжа,koléno
40,Oberschenkel::N,пильгепукша,stêgno
41,Bein::N,пильге,nôga
42,Körper::N,ро́нга,teló
43,Körper::N,по́нда,teló
44,Haut::N,киське,kóža
45,Blut::N,вер,krí
46,Ader::N,сан,žíla
47,Ader::N,верза́н,žíla
48,Sehne::N,коське сан,kíta
49,Knochen::N,пакарь,kóst
50,Gehirn::N,уй,možgáni
51,Herz::N,седи,srcé
52,Magen::N,коткърдазь,želódec
53,Leber::N,макса,jétra
54,Atem::N,лекома,díh
55,Atem::N,ваймонь тарксема,díh
56,Hunger::N,вачеши,glád
57,Träne::N,сельмове́дь,sólza
58,Geschmack::N,таньф,okús
59,Geruch::N,шине,vónj
60,Schlaf::N,удома́,sèn
61,Schlaf::N,удома́,spánec
62,Traum::N,он,sánje
63,Himmel::N,менель,nebó
64,Sonne::N,ши,sónce
65,Mond::N,ков,lúna
66,Mond::N,ков,mésec
67,Stern::N,тяште,zvézda
68,Luft::N,кожф,zràk
69,Wind::N,варма,véter
70,Welle::N,тавла,vál
71,Wasser::N,ведь,vôda
72,Stein::N,кев,kámen
73,Boden::N,мода,tlà
74,Boden::N,потмакс,tlà
75,Erde::N,мода,pŕst
76,Erde::N,мода,zêmlja
77,Erde::N,мастор,pŕst
78,Erde::N,мастор,zêmlja
79,Staub::N,пуль,práh
80,Rauch::N,качам,dìm
81,Funke::N,ця́тка,ískra
82,Feuer::N,тол,ôgenj
83,Licht::N,ва́лда,lúč
84,Schatten::N,цильф,sénca
85,Wetter::N,уша,vrême
86,Nebel::N,тума́н,meglà
87,Wolke::N,ковол,oblák
88,Regen::N,пизем,dèž
89,Schnee::N,лов,snég
90,Eis::N,эй,léd
