,Concept_ID,sl,ce
0,Auge::N,okó,бӏаьрг
1,Ohr::N,uhó,лерг
2,Nase::N,nós,мара
3,Mund::N,ústa,бага
4,Zahn::N,zób,церг
5,Zunge::N,jêzik,мотт
6,Lippe::N,ústnica,балда
7,Wange::N,líce,бесни
8,Gesicht::N,oblíčje,юьхь
9,Stirn::N,čêlo,хьаж
10,Haar::N,lás,мас
11,Schnurrbart::N,bŕki,мекх
12,Bart::N,bráda,маж
13,Kinn::N,bráda,чӏениг
14,Kiefer[Anatomie]::N,čeljúst,мочхал
15,Kehle::N,gŕlo,къамкъарг
16,Hals::N,vrát,ворта
17,Genick::N,zatílnik,кӏесаркӏаг
18,Kopf::N,gláva,корта
19,Rücken::N,hrbèt,букъ
20,Bauch::N,trébuh,кийра
21,Nabel::N,pópek,цӏонга
22,Busen::N,nédrja,зударийн накха
23,Brust::N,pŕsi,накха
24,Schulter::N,ráma,белш
25,Schulter::N,plêče,белш
26,Arm::N,rôka,пхьарс
27,Ellenbogen::N,komólec,пхьаьрсан гола
28,Hand::N,rôka,куьг
29,Handfläche::N,dlán,кераюкъ
30,Finger::N,pŕst,пӏелг
31,Fingernagel::N,nóht na rôki,мӏара
32,Nagel[Anatomie]::N,nóht,мӏара
33,Zeh::N,pŕst na nôgi,кога пӏелг
34,Fuß::N,nôga,ког
35,Ferse::N,pêta,кӏажа
36,Knie::N,koléno,гола
37,Oberschenkel::N,stêgno,варе
38,Bein::N,nôga,ког
39,Körper::N,teló,хӏума
40,Haut::N,kóža,чкъор
41,Blut::N,krí,цӏий
42,Ader::N,žíla,пха
43,Sehne::N,kíta,хьорзам
44,Knochen::N,kóst,даьӏахк
45,Gehirn::N,možgáni,хье
46,Herz::N,srcé,дог
47,Magen::N,želódec,зорх
48,Leber::N,jétra,доӏах
49,Atem::N,díh,садеӏар
50,Hunger::N,glád,мацалла
51,Träne::N,sólza,бӏаьрхи
52,Geschmack::N,okús,чам
53,Geruch::N,vónj,хьожа
54,Schlaf::N,sèn,наб
55,Schlaf::N,spánec,наб
56,Traum::N,sánje,гӏан
57,Himmel::N,nebó,стигал
58,Sonne::N,sónce,малх
59,Mond::N,lúna,бутт
60,Mond::N,mésec,бутт
61,Stern::N,zvézda,седа
62,Luft::N,zràk,xӏаваъ
63,Wind::N,véter,мох
64,Welle::N,vál,тулгӏе
65,Wasser::N,vôda,хи
66,Stein::N,kámen,тӏулг
67,Boden::N,tlà,цӏенкъа
68,Erde::N,pŕst,латта
69,Erde::N,zêmlja,латта
70,Staub::N,práh,чан
71,Rauch::N,dìm,кӏур
72,Funke::N,ískra,суй
73,Feuer::N,ôgenj,цӏе
74,Licht::N,lúč,серло
75,Schatten::N,sénca,ӏиндагӏ
76,Wetter::N,vrême,хенан хӏоттам
77,Nebel::N,meglà,дохк
78,Wolke::N,oblák,марха
79,Regen::N,dèž,догӏа
80,Schnee::N,snég,ло
81,Eis::N,léd,ша
82,Frost::N,zmrzál,шело
83,Kälte::N,mràz,шело
84,Hitze::N,pripéka,йовхо
85,Raureif::N,ívje,йис
86,Raureif::N,slána,йис
87,Regenbogen::N,mávrica,стелаӏад
88,Donner::N,gròm,ткъес
89,Strömung::N,strúja,дӏаэхар
90,Strömung::N,strúja,дӏасалелар
91,Tropfen::N,káplja,тӏадам
92,Schaum::N,péna,чопа
93,Schmutz::N,nesnága,хатт
94,See::N,jézero,ӏам
95,Sumpf::N,močvírje,уьшал
96,Moor::N,bárje,уьшал
97,Wiese::N,trávnik,бай
98,Wald::N,lés,хьун
99,Wald::N,gòzd,хьун
100,Hügel::N,brég,гу
101,Hügel::N,brég,шу
102,Hügel::N,brég,барз
103,Hügel::N,goríca,гу
104,Hügel::N,goríca,шу
105,Hügel::N,goríca,барз
106,Anhöhe::N,gríč,акъари
107,Anhöhe::N,višína,акъари
108,Berg::N,gôra,лам
109,Berg::N,planína,лам
110,Gipfel::N,vŕh,бохь
111,Höhle::N,jáma,хьех
112,Höhle::N,votlína,хьех
113,Abhang::N,pobóčje,басе
114,Quelle::N,izvír,шовда
115,Bach::N,pôtok,татол
116,Fluss::N,réka,хи
117,Ufer::N,brég,хийист
118,Küste::N,obála,йист
119,Küste::N,obréžje,йист
120,Festland::N,celína,латта
121,Festland::N,kopnína,латта
122,Meer::N,mórje,xӏорд
123,Bucht::N,zalív,чож
124,Insel::N,ôtok,гӏайре
125,Blume::N,cvetlíca,зезаг
126,Gras::N,tráva,буц
127,Wurzel::N,korenína,орам
128,Baum::N,drevó,дитт
129,Stamm::N,dêblo,гӏад
130,Stamm::N,dêblo,тайпа
131,Rinde::N,lúbje,кевстиг
132,Rinde::N,skórja,кевстиг
133,Ast::N,véja,га
134,Zweig::N,véja,га
135,Blatt::N,líst,гӏа
136,Birke::N,bréza,дакх
137,Kiefer[Baum]::N,bòr,бага
138,Weide[Baum]::N,vŕba,дак
139,Tanne::N,hója,база
140,Horn::N,róg,маӏа
141,Feder::N,peró,пелаг
142,Fell::N,kŕzno,цӏока
143,Flügel::N,krílo,тӏам
144,Klaue::N,párkelj,мӏара
145,Kralle::N,krémpelj,тlод
146,Schwanz::N,rèp,цӏога
147,Ei::N,jájce,xӏoa
148,Nest::N,gnézdo,бен
149,Bau::N,brlòg,lуьрг
150,Tier::N,živál,дийнат
151,Herde::N,čréda,жа
152,Kuh::N,kráva,етт
153,Bulle::N,bìk,сту
154,Pferd::N,kònj,говр
155,Schaf::N,ôvca,жий
156,Schaf::N,ôvca,уьстагӏ
157,Schwein::N,svínja,хьакха
158,Hund::N,pès,жӏаьла
159,Katze::N,máčka,цициг
160,Bär::N,mêdved,ча
161,Eichhörnchen::N,véverica,тарсал
162,Elch::N,lós,сай
163,Fuchs::N,lisíca,цхьогал
164,Hase::N,zájec,пхьагал
165,Maus::N,mìš,дахка
166,Wolf::N,vólk,борз
167,Vogel::N,ptìč,олхазар
168,Vogel::N,ptíca,олхазар
169,Schwarm::N,játa,
170,Huhn::N,kokóš,котам
171,Hahn::N,petêlin,нӏаьна
172,Hahn::N,petêlin,боргӏал
173,Gans::N,gós,гӏаз
174,Adler::N,ôrel,aьрзу
175,Ente::N,ráca,бад
176,Eule::N,sôva,бухӏа
177,Kranich::N,žerjàv,гӏаргӏули
178,Krähe::N,vrána,къиг
179,Kuckuck::N,kúkavica,aттйокх
180,Schwan::N,labód,гӏургӏаз
181,Fisch::N,ríba,чӏара
182,Barsch::N,ostríž,окунь
183,Hecht::N,ščúka,гӏазкхийн чӏара
184,Schlange[Tier]::N,káča,лаьхьа
185,Wurm::N,čr̀v,нӏаьна
186,Wurm::N,glísta,нӏаьна
187,Spinne::N,pájek,гезг
188,Ameise::N,mrávlja,зингат
189,Laus::N,úš,меза
190,Laus::N,úš,гӏениг
191,Mücke::N,komár,чуьрк
192,Fliege::N,múha,моза
193,Schmetterling::N,metúlj,полла
194,Beere::N,jágoda,цӏазам
195,Apfel::N,jábolko,ӏаж
196,Pilz::N,góba,жӏаьлин нускал
197,Zwiebel::N,čebúla,xох
198,Saat::N,séme,чlу
199,Korn::N,zŕno,буьртиг
200,Heu::N,senó,йол
201,Schale::N,lupína,пардо
202,Grube::N,jáma,ор
203,Falle::N,pást,кӏело
204,Schlinge::N,zánka,
205,Schlinge::N,pêtlja,
206,Spur::N,sléd,лар
207,Asche::N,pepél,чим
208,Dreck::N,bláto,мода
209,Eisen::N,želézo,эчиг
210,Gold::N,zlató,деши
211,Silber::N,srebró,дети
212,Kohle::N,ógel,кӏора
213,Glas::N,stêklo,aнгали
214,Lehm::N,ílo,поппар
215,Sand::N,pések,гӏум
216,Mensch::N,člôvek,адам
217,Mann::N,móž,майра
218,Mann::N,môški,майра
219,Frau::N,gospá,зуда
220,Frau::N,žénska,зуда
221,Kind::N,déte,бер
222,Kind::N,otròk,бер
223,Junge::N,fànt,жимха
224,Junge::N,déček,жимха
