,Concept_ID,ml,ku
0,Auge::N,കണ്ണ്,çav
1,Ohr::N,ചെവി,guh
2,Nase::N,മൂക്ക്,bêvil
3,Mund::N,വായ,dev
4,Zahn::N,പല്ല്,didan
5,Zunge::N,നാക്ക്,ziman
6,Lippe::N,ചുണ്ട്,lêv
7,Wange::N,കവിൾത്തടം,dêm
8,Wange::N,കവിൾത്തടം,hinarik
9,Gesicht::N,മുഖം,rû
10,Stirn::N,നെറ്റി,enî
11,Haar::N,തലമുടി,por
12,Schnurrbart::N,മീശ,simbêl
13,Bart::N,താടിരോമം,rih
14,Kinn::N,താടി,zenî
15,Kiefer[Anatomie]::N,താടിയെല്ല്,arguşk
16,Kehle::N,കണ്ഠനാളം,qirik
17,Hals::N,കഴുത്ത്,stû
18,Hals::N,കഴുത്ത്,qirik
19,Genick::N,പിടലി,stû
20,Kopf::N,തല,serî
21,Rücken::N,മുതുക്,pişt
22,Bauch::N,നയറ്,ûr
23,Bauch::N,നയറ്,zik
24,Nabel::N,നാഭി,navik
25,Busen::N,സ്തനം,sîng
26,Brust::N,സ്തനം,sîng
27,Schulter::N,തോൾ,mil
28,Arm::N,കൈ,çepil
29,Ellenbogen::N,കൈമുട്ട്,enîşk
30,Hand::N,കൈ,dest
31,Handfläche::N,ഉള്ളം കൈ,kefadest
32,Finger::N,വിരൽ,tilî
33,Fingernagel::N,നഖം,neynuk
34,Nagel[Anatomie]::N,നഖം,bizmar
35,Zeh::N,കാൽവിരൽ,tilî linga
36,Fuß::N,കാൽപ്പാദം,ling
37,Ferse::N,ഉപ്പൂറ്റി,pahnî
38,Knie::N,കാൽമുട്ട്,kabok
39,Oberschenkel::N,തുട,rahn
40,Bein::N,കാൽ,çip
41,Körper::N,ശരീരം,laş
42,Körper::N,ശരീരം,gowde
43,Haut::N,ചർമ്മം,çerm
44,Blut::N,രക്തം,xwîn
45,Ader::N,ഞരമ്പ്,reh
46,Sehne::N,സ്നായു,reh
47,Knochen::N,അസ്ഥി,hestî
48,Gehirn::N,തലച്ചോറ്,mêjî
49,Herz::N,ഹൃദയം,dil
50,Magen::N,വയർ,navêş
51,Leber::N,കരൾ,kezeb
52,Atem::N,ശ്വാസം,hilm
53,Hunger::N,വിശപ്പ്,birçîtî
54,Träne::N,കണ്ണീർ,hêstir
55,Geschmack::N,രുചി,tam
56,Geruch::N,ഗന്ധം,bêhn
57,Schlaf::N,ഉറകും,xew
58,Traum::N,സ്വപ്നം,xewn
59,Himmel::N,ആകാശം,ezman
60,Sonne::N,സൂര്യൻ,roj
61,Mond::N,ചന്ദ്രൻ,heyv
62,Stern::N,നക്ഷത്രം,stêrk
63,Luft::N,കാറ്റ്,ba
64,Wind::N,കാറ്റ്,ba
65,Welle::N,തിരമാല,şewl
66,Wasser::N,വെള്ളം,av
67,Stein::N,ശില,kevir
68,Stein::N,കല്ല്,kevir
69,Boden::N,തറ,herd
70,Boden::N,നിലം,herd
71,Erde::N,മണ്ണ്,ax
72,Staub::N,പൊടി,toz
73,Rauch::N,പുക,dû
74,Funke::N,തീപ്പൊരി,çirûşk
75,Feuer::N,തീ,agir
76,Licht::N,വിളക്ക്,ronahî
77,Licht::N,സൂര്യപ്രകാശം,ronahî
78,Schatten::N,തണൽ,sî
79,Wetter::N,കാലാവസ്ഥ,hewa
80,Nebel::N,മൂടൽമഞ്ഞ്,mij
81,Wolke::N,മേഘം,ewr
82,Regen::N,മഴ,baran
83,Schnee::N,മഞ്ഞ്,berf
84,Eis::N,ഐസ്,qeşa
85,Frost::N,മൂടൽമഞ്ഞ്,xûsik
86,Kälte::N,തണുപ്പ്,serma
87,Hitze::N,ചൂട്,germayî
88,Raureif::N,കോടമഞ്ഞ്,şext
89,Regenbogen::N,മഴവില്ല്,heftreng
90,Donner::N,ഇടി,gire-gir
91,Strömung::N,പ്രവാഹം,şewl
92,Tropfen::N,തുള്ളി,dilop
93,Schaum::N,നുര,kef
94,Schmutz::N,അഴുക്ക്,gemar
95,See::N,തടാകം,gol
96,Sumpf::N,ചതുപ്പുനിലം,hezek
97,Moor::N,പാഴ്നിലം,mafêl
98,Wiese::N,പുൽത്തകിടി,sûrik
99,Wald::N,വനം,çiya
100,Wald::N,വനം,daristan
101,Wald::N,കാട്,çiya
102,Wald::N,കാട്,daristan
103,Hügel::N,കുന്ന്,gir
104,Anhöhe::N,ഉയർന്ന ഭൂമി,sere gir
105,Berg::N,പർവ്വതം,kaş
106,Gipfel::N,ഉച്ചകോടി,sere gir
107,Höhle::N,ഗുഹ,şikeft
108,Abhang::N,ചരിവ്,kaş
109,Quelle::N,ഉറവിടം,kanî
110,Bach::N,അരുവി,çem
111,Fluss::N,നദി,çem
112,Fluss::N,നദി,rûbar
113,Ufer::N,തീരം,kevî
114,Küste::N,കടൽത്തീരം,berav
115,Festland::N,കര,bejahî
116,Meer::N,കടൽ,behr
117,Bucht::N,ഉൾക്കടല്,derav
118,Insel::N,ദ്വീപ്,girav
119,Blume::N,പൂവ്,kulînk
120,Gras::N,പുല്ല്,giha
121,Wurzel::N,വേര്,reh
122,Baum::N,മരം,dar
123,Stamm::N,തായ്ത്തടി,bavik
124,Rinde::N,പട്ട,qaqil
125,Ast::N,ശാഖ,gulî
126,Zweig::N,ശാഖ,şax
