,Concept_ID,bg,is
0,Auge::N,око,auga
1,Ohr::N,ухо,eyra
2,Nase::N,нос,nef
3,Mund::N,уста,munnur
4,Zahn::N,зъб,tönn
5,Zunge::N,език,tunga
6,Lippe::N,устна,vör
7,Wange::N,буза,kinn
8,Wange::N,буза,vangi
9,Gesicht::N,лице,andlit
10,Gesicht::N,образ,andlit
11,Stirn::N,чело,enni
12,Haar::N,коса,hár
13,Haar::N,косъм,hár
14,Schnurrbart::N,мустаци,yfirskegg
15,Bart::N,брада,skegg
16,Kinn::N,брада,haka
17,Kinn::N,брадичка,haka
18,Kiefer[Anatomie]::N,челюст,kjálki
19,Kiefer[Anatomie]::N,челюст,skoltur
20,Kehle::N,гърло,kverk
21,Hals::N,врат,háls
22,Genick::N,тил,hnakki
23,Kopf::N,глава,höfuð
24,Rücken::N,гръб,hryggur
25,Bauch::N,корем,kviður
26,Nabel::N,пъп,nafli
27,Busen::N,бозка,barmur
28,Brust::N,гръд,brjóst
29,Schulter::N,рамо,öxl
30,Schulter::N,плещи,öxl
31,Arm::N,ръка,armur
32,Ellenbogen::N,лакът,olnbogi
33,Hand::N,ръка,hönd
34,Hand::N,китка,hönd
35,Handfläche::N,длан,lófi
36,Finger::N,пръст,fingur
37,Fingernagel::N,нокът,fingurnögl
38,Nagel[Anatomie]::N,нокът,nögl
39,Zeh::N,пръст на крак,tá
40,Fuß::N,крак,fótur
41,Fuß::N,нога,fótur
42,Ferse::N,пета,hæll
43,Knie::N,коляно,kné
44,Oberschenkel::N,бедро,læri
45,Bein::N,крак,fótleggur
46,Bein::N,нога,fótleggur
47,Körper::N,тяло,búkur
48,Körper::N,тяло,líkami
49,Haut::N,кожа,húð
50,Haut::N,кожа,skinn
51,Blut::N,кръв,blóð
52,Ader::N,вена,æð
53,Ader::N,артерия,æð
54,Sehne::N,жила,sin
55,Sehne::N,сухожилие,sin
56,Knochen::N,кост,bein
57,Gehirn::N,мозък,heili
58,Herz::N,сърце,hjarta
59,Magen::N,стомах,magi
60,Leber::N,черен дроб,lifur
61,Atem::N,дишане,andi
62,Atem::N,дишане,andardráttur
63,Hunger::N,глад,hungur
64,Träne::N,сълза,tár
65,Geschmack::N,вкус,smekkur
66,Geruch::N,миризма,lykt
67,Schlaf::N,сън,svefn
68,Traum::N,сън,draumur
69,Himmel::N,небе,himinn
70,Sonne::N,слънце,sól
71,Mond::N,луна,tungl
72,Mond::N,месец,tungl
73,Stern::N,звезда,stjarna
74,Luft::N,въздух,loft
75,Wind::N,вятър,vindur
76,Welle::N,вълна,alda
