,Concept_ID,hy,ku
0,Auge::N,աչք,çav
1,Ohr::N,ականջ,guh
2,Nase::N,քիթ,bêvil
3,Mund::N,բերան,dev
4,Zahn::N,ատամ,didan
5,Zunge::N,լեզու,ziman
6,Lippe::N,շրթունք,lêv
7,Wange::N,այտ,dêm
8,Wange::N,այտ,hinarik
9,Wange::N,թուշ,dêm
10,Wange::N,թուշ,hinarik
11,Gesicht::N,դեմք,rû
12,Stirn::N,ճակատ,enî
13,Haar::N,մազ,por
14,Schnurrbart::N,բեղ,simbêl
15,Bart::N,մորուք,rih
16,Kinn::N,կզակ,zenî
17,Kiefer[Anatomie]::N,ծնոտ,arguşk
18,Kehle::N,կոկորդ,qirik
19,Hals::N,վիզ,stû
20,Hals::N,վիզ,qirik
21,Hals::N,պարանոց,stû
22,Hals::N,պարանոց,qirik
23,Genick::N,ծոծրակ,stû
24,Kopf::N,գլուխ,serî
25,Rücken::N,մեջք,pişt
26,Bauch::N,փոր,ûr
27,Bauch::N,փոր,zik
28,Bauch::N,որովայն,ûr
29,Bauch::N,որովայն,zik
30,Nabel::N,պորտ,navik
31,Busen::N,ծոց,sîng
32,Brust::N,կուրծք,sîng
33,Schulter::N,ուս,mil
34,Arm::N,թեւ,çepil
35,Arm::N,բազուկ,çepil
36,Ellenbogen::N,արմունկ,enîşk
37,Hand::N,ձեռք,dest
38,Handfläche::N,ափ,kefadest
39,Finger::N,մատ,tilî
40,Fingernagel::N,եղունգ,neynuk
41,Nagel[Anatomie]::N,եղունգ,bizmar
42,Zeh::N,ոտքի մատ,tilî linga
43,Fuß::N,ոտք,ling
44,Ferse::N,գարշապար,pahnî
45,Knie::N,ծունկ,kabok
46,Oberschenkel::N,ազդր,rahn
47,Bein::N,ոտք,çip
48,Körper::N,մարմին,laş
49,Körper::N,մարմին,gowde
50,Haut::N,մաշկ,çerm
51,Blut::N,արյուն,xwîn
52,Ader::N,երակ,reh
53,Sehne::N,ջիղ,reh
54,Sehne::N,ձգտան,reh
55,Knochen::N,ոսկոր,hestî
56,Gehirn::N,խելք,mêjî
57,Herz::N,սիրտ,dil
58,Magen::N,ստամոքս,navêş
59,Leber::N,լյարդ,kezeb
60,Atem::N,շունչ,hilm
61,Hunger::N,քաղց,birçîtî
62,Träne::N,արտասուք,hêstir
63,Geschmack::N,համ,tam
64,Geschmack::N,բուրմունք,tam
65,Geruch::N,հոտ,bêhn
66,Geruch::N,բուրում,bêhn
67,Schlaf::N,քուն,xew
68,Traum::N,երազ,xewn
69,Himmel::N,երկինք,ezman
70,Sonne::N,արեւ,roj
71,Mond::N,լուսին,heyv
72,Stern::N,աստղ,stêrk
73,Luft::N,օդ,ba
74,Wind::N,քամի,ba
75,Welle::N,ալիք,şewl
76,Wasser::N,ջուր,av
77,Stein::N,քար,kevir
78,Boden::N,գետին,herd
79,Erde::N,հող,ax
80,Staub::N,փոշի,toz
81,Rauch::N,ծուխ,dû
82,Funke::N,կայծ,çirûşk
83,Feuer::N,կրակ,agir
84,Feuer::N,հրդեհ,agir
85,Licht::N,լույս,ronahî
86,Schatten::N,ստվեր,sî
87,Wetter::N,եղանակ,hewa
88,Nebel::N,մեգ,mij
89,Nebel::N,մառախուղ,mij
90,Wolke::N,ամպ,ewr
91,Regen::N,անձրև,baran
92,Schnee::N,ձյուն,berf
93,Eis::N,սառույց,qeşa
94,Frost::N,սառնամանիք,xûsik
95,Kälte::N,դող,serma
96,Hitze::N,շոգ,germayî
97,Raureif::N,ցօղեղեամ,şext
98,Regenbogen::N,ծիածան,heftreng
99,Donner::N,որոտ,gire-gir
100,Strömung::N,հոսանք,şewl
101,Tropfen::N,կաթիլ,dilop
102,Schaum::N,փրփուր,kef
103,Schmutz::N,կեղտ,gemar
104,See::N,լիճ,gol
105,Sumpf::N,ճահիճ,hezek
106,Moor::N,ճահիճ,mafêl
107,Wiese::N,մարգագետին,sûrik
108,Wald::N,անտառ,çiya
109,Wald::N,անտառ,daristan
110,Hügel::N,բլուր,gir
111,Anhöhe::N,բարձունք,sere gir
112,Berg::N,լեռ,kaş
113,Gipfel::N,գագաթ,sere gir
114,Gipfel::N,կատար,sere gir
115,Höhle::N,քարայր,şikeft
116,Abhang::N,լանջ,kaş
117,Abhang::N,զառիվայր,kaş
118,Quelle::N,աղբյուր,kanî
119,Bach::N,վտակ,çem
120,Fluss::N,գետ,çem
121,Fluss::N,գետ,rûbar
122,Ufer::N,ծովափ,kevî
123,Küste::N,ափ,berav
124,Küste::N,ծովափ,berav
125,Festland::N,ցամաք,bejahî
126,Meer::N,ծով,behr
127,Bucht::N,հաչիւն,derav
128,Insel::N,վղզի,girav
129,Blume::N,ծաղիկ,kulînk
130,Gras::N,խոտ,giha
131,Wurzel::N,արմատ,reh
132,Baum::N,ծառ,dar
133,Stamm::N,իրան,bavik
134,Rinde::N,կեղեւ,qaqil
135,Rinde::N,հաչոց,qaqil
136,Ast::N,ճյուղ,gulî
137,Zweig::N,ճյուղ,şax
138,Blatt::N,տերեւ,pel
139,Birke::N,ցարասի,dara sipî
140,Kiefer[Baum]::N,սոճի,dara bî
141,Weide[Baum]::N,ուռենի,dara belalûk
142,Tanne::N,եղեւին,merx
143,Feder::N,փետուր,pîrtîk
144,Fell::N,մորթի,heyar
145,Flügel::N,թեւ,per
146,Klaue::N,չանչ,napîk
147,Kralle::N,ճանկ,dinik
148,Kralle::N,ճանկ,dirnax
149,Schwanz::N,պոչ,dûv
150,Ei::N,ձու,hêk
151,Nest::N,բույն,hêlîn
152,Bau::N,որջ,avahî
153,Bau::N,բայոց,avahî
154,Tier::N,կենդանի,heywan
155,Herde::N,հոտ,hoz
156,Kuh::N,կով,çêlek
157,Bulle::N,ցուլ,ga
158,Pferd::N,ձի,hesp
159,Schaf::N,ոչխար,mîh
160,Schwein::N,խոզ,beraz
161,Hund::N,շուն,seh
162,Katze::N,կատու,pişîk
163,Bär::N,արջ,hirç
164,Eichhörnchen::N,սկյուռ,pilûr
165,Elch::N,հիւսիսային եղջերու,pazkovî
166,Fuchs::N,աղվես,rovî
167,Hase::N,նապաստակ,kîroşk
168,Maus::N,մուկ,mişk
169,Wolf::N,գայլ,gur
170,Vogel::N,թռչուն,çûk
171,Schwarm::N,երամ,lufik
172,Huhn::N,հավ,mirîşk
173,Hahn::N,աքաղաղ,dîk
174,Gans::N,սագ,qaz
175,Adler::N,արծիվ,eylo
176,Ente::N,բադ,werdek
177,Eule::N,բու,bûm
178,Eule::N,բու,kund
179,Kranich::N,կռունկ,quling
180,Krähe::N,ագռավ,qijik
181,Kuckuck::N,կուկու,pepûk
182,Schwan::N,կարապ,qû
183,Fisch::N,ձուկ,masî
184,Barsch::N,պերկես,okûn
185,Hecht::N,գայլաձուկ,mesîyê lûf
186,Schlange[Tier]::N,օձ,mar
187,Wurm::N,որդ,kurm
188,Wurm::N,ճիճու,kurm
189,Spinne::N,սարդ,pîrê
190,Ameise::N,միջյուն,mîro
191,Ameise::N,միջյուն,gêrîk
192,Laus::N,ոջիլ,spi
193,Mücke::N,մժղուկ,mêş
194,Fliege::N,ճանճ,mêş
195,Schmetterling::N,թիթեռ,perperîk
196,Beere::N,հատապտուղ,hirç
197,Apfel::N,խնձոր,sêv
198,Pilz::N,սունկ,bîrov
199,Zwiebel::N,սոխ,pîvaz
200,Saat::N,սերմ,tov
201,Korn::N,հատիկ,dexl
202,Heu::N,խոտ,sap
203,Schale::N,կեղեւ,qaşik
204,Grube::N,փոս,çahl
205,Falle::N,ծուղակ,dafik
206,Schlinge::N,խեղդան,dahf
207,Spur::N,հետք,rêç
208,Asche::N,մոխիր,xweli
209,Dreck::N,աղտ,gemarî
210,Eisen::N,երկաթ,hesing
211,Gold::N,ոսկի,zêr
212,Silber::N,արծաթ,zîv
213,Kohle::N,քարածուխ,komir
214,Glas::N,ապակի,qedeh
215,Lehm::N,կավ,kelpîç
216,Sand::N,ավազ,qûm
217,Mensch::N,մարդ,mirov
218,Mann::N,մարդ,mêr
219,Mann::N,տղամարդ,mêr
220,Frau::N,կին,jin
221,Kind::N,զավակ,zarok
222,Junge::N,տղա,kur
223,Mädchen::N,աղջիկ,keç
224,Mädchen::N,աղջիկ,keçik
225,Familie::N,ընտանիք,malbat
226,Großvater::N,պապ,bapîr
227,Großmutter::N,տատ,pîrik
