,Concept_ID,es,el
0,Auge::N,ojo,μάτι
1,Auge::N,ojo,οφθαλμός
2,Ohr::N,oreja,αυτί
3,Nase::N,nariz,μύτη
4,Mund::N,boca,στόμα
5,Zahn::N,diente,δόντι
6,Zunge::N,lengua,γλώσσα
7,Lippe::N,labio,χείλος
8,Wange::N,mejilla,παρειά
9,Wange::N,mejilla,μάγουλο
10,Gesicht::N,cara,πρόσωπο
11,Stirn::N,frente,μέτωπο
12,Haar::N,cabello,μαλλιά
13,Schnurrbart::N,bigote,μουστάκι
14,Bart::N,barba,γένια
15,Kinn::N,barbilla,πιγούνι
16,Kiefer[Anatomie]::N,mandíbula,σαγόνι
17,Kehle::N,garganta,λαρύγγι
18,Hals::N,cuello,λαιμός
19,Genick::N,nuca,σβέρκος
20,Genick::N,cerviz,σβέρκος
21,Kopf::N,cabeza,κεφάλι
22,Rücken::N,espalda,ράχη
23,Bauch::N,vientre,κοιλιά
24,Nabel::N,ombligo,αφαλός
25,Busen::N,pecho,στήθος
26,Brust::N,pecho,στήθος
27,Schulter::N,hombro,ώμος
28,Arm::N,brazo,χέρι
29,Arm::N,brazo,μπράτςο
30,Ellenbogen::N,codo,αγκώνας
31,Hand::N,mano,χέρι
32,Handfläche::N,palma,παλάμη
33,Finger::N,dedo,δάχτυλο
34,Fingernagel::N,uña,νύχι
35,Nagel[Anatomie]::N,uña,νύχι
36,Zeh::N,dedo del pie,δάχτυλο του ποδιού
37,Fuß::N,pie,πόδι
38,Ferse::N,talón,φτέρνα
39,Knie::N,rodilla,γόνατο
40,Oberschenkel::N,muslo,μηρός
41,Bein::N,pierna,πόδι
42,Körper::N,cuerpo,σώμα
43,Körper::N,cuerpo,κορμί
44,Haut::N,piel,πετσί
45,Blut::N,sangre,αίμα
46,Ader::N,vena,φλέβα
47,Sehne::N,tendón,νεύρο
48,Sehne::N,tendón,τένοντας
49,Knochen::N,hueso,οστό
50,Knochen::N,hueso,κόκκαλο
51,Gehirn::N,cerebro,μυαλό
52,Gehirn::N,cerebro,εγκέφαλος
53,Gehirn::N,encéfalo,μυαλό
54,Gehirn::N,encéfalo,εγκέφαλος
55,Herz::N,corazón,καρδιά
56,Magen::N,estómago,στομάχι
57,Leber::N,hígado,ήπαρ
58,Leber::N,hígado,συκωτί
59,Atem::N,aliento,αναπνοή
60,Hunger::N,hambre,πείνα
61,Träne::N,lágrima,δάκρυ
62,Geschmack::N,gusto,γεύση
63,Geruch::N,olor,οσμή
64,Geruch::N,olor,μυρωδία
65,Schlaf::N,sueño,ύπνος
66,Traum::N,sueño,όνειρο
67,Traum::N,ensueño,όνειρο
68,Himmel::N,cielo,ουρανός
69,Sonne::N,sol,ήλιος
70,Mond::N,luna,σελήνη
71,Mond::N,luna,φεγγάρι
72,Stern::N,estrella,άστρο
73,Stern::N,estrella,αστέρι
74,Luft::N,aire,αέρας
75,Wind::N,viento,αέρας
76,Wind::N,viento,άνεμος
77,Welle::N,ola,κύμα
78,Welle::N,onda,κύμα
79,Wasser::N,agua,νερό
80,Stein::N,piedra,πέτρα
81,Boden::N,suelo,χώμα
82,Erde::N,tierra,γη
83,Staub::N,polvo,σκόνη
84,Rauch::N,humo,καπνός
85,Funke::N,chispa,σπίθα
86,Funke::N,chispa,σπινθήρας
87,Feuer::N,fuego,φωτιά
88,Licht::N,luz,φως
89,Schatten::N,sombra,σκιά
90,Schatten::N,sombra,ίσκιος
91,Wetter::N,tiempo,καιρός
92,Nebel::N,niebla,ομίχλη
93,Wolke::N,nube,σύννεφο
94,Regen::N,lluvia,βροχή
95,Schnee::N,nieve,χιόνι
96,Eis::N,hielo,πάγος
97,Frost::N,helada,παγωνία
98,Kälte::N,frío,κρύο
99,Kälte::N,frío,ψύχος
100,Hitze::N,calor,ζέστη
101,Raureif::N,escarcha,πάχνη
102,Regenbogen::N,arco iris,ουράνιο τόξο
103,Donner::N,trueno,βροντή
104,Strömung::N,corriente,ρεύμα
105,Tropfen::N,gota,στάλα
106,Schaum::N,espuma,αφρός
107,Schmutz::N,suciedad,βρωμιά
108,See::N,lago,λίμνη
109,Sumpf::N,pantano,βάλτος
110,Moor::N,turbera,έλος
111,Wiese::N,prado,λιβάδι
112,Wiese::N,pradera,λιβάδι
113,Wald::N,bosque,δάσος
114,Hügel::N,colina,λόφος
115,Anhöhe::N,cerro,ύψωμα
116,Berg::N,monte,όρος
117,Berg::N,monte,βουνό
118,Berg::N,montaña,όρος
119,Berg::N,montaña,βουνό
120,Gipfel::N,cima,κορυφή
121,Gipfel::N,cumbre,κορυφή
122,Höhle::N,cueva,σπηλιά
123,Höhle::N,caverna,σπηλιά
124,Abhang::N,cuesta,πλαγιά
125,Abhang::N,declive,πλαγιά
126,Quelle::N,fuente,πηγή
127,Quelle::N,fuente,βρύση
128,Quelle::N,manantial,πηγή
129,Quelle::N,manantial,βρύση
130,Bach::N,arroyo,ρυάκι
131,Fluss::N,río,ποτάμι
132,Fluss::N,río,ποταμός
133,Ufer::N,orilla,όχθη
134,Küste::N,costa,ακτή
135,Küste::N,costa,ακρογιαλιά
136,Festland::N,tierra firme,στεριά
137,Meer::N,mar,θάλασσα
138,Bucht::N,cala,κόλπος
139,Bucht::N,bahía,κόλπος
140,Insel::N,isla,νησί
141,Insel::N,isla,νήσος
142,Blume::N,flor,άνθος
143,Blume::N,flor,λουλούδι
144,Gras::N,hierba,χόρτο
145,Gras::N,hierba,χορτάρι
146,Wurzel::N,raíz,ρίζα
147,Baum::N,árbol,δέντρο
148,Stamm::N,tronco,κορμός
149,Rinde::N,corteza,φλούδα
150,Ast::N,rama,κλαδί
151,Zweig::N,ramo,κλαδί
152,Zweig::N,ramo,κλάδος
153,Blatt::N,hoja,φύλλο
154,Birke::N,abedul,σημύδα
155,Kiefer[Baum]::N,pino,πεύκο
156,Weide[Baum]::N,sauce,ιτιά
157,Tanne::N,abeto,έλατο
158,Horn::N,asta,κέρας
159,Horn::N,asta,κέρατο
160,Horn::N,cuerno,κέρας
161,Horn::N,cuerno,κέρατο
162,Feder::N,pluma,φτερό
163,Fell::N,piel,δέρμα
164,Fell::N,piel,τομάρι
165,Flügel::N,ala,πτερύγιο
166,Klaue::N,garra,κουλό
167,Kralle::N,uña,νύχι
168,Kralle::N,garra,νύχι
169,Schwanz::N,cola,ουρά
170,Ei::N,huevo,αβγό
171,Nest::N,nido,φωλιά
172,Bau::N,madriguera,φωλιά
173,Tier::N,animal,ζώο
174,Herde::N,rebaño,κοπάδι
175,Kuh::N,vaca,αγελάδα
176,Bulle::N,toro,ταύρος
177,Pferd::N,caballo,άλογο
178,Schaf::N,oveja,πρόβατο
179,Schwein::N,cerdo,γουρούνι
180,Hund::N,perro,σκυλί
181,Hund::N,perro,σκύλος
182,Katze::N,gato,γάτα
183,Bär::N,oso,άρκτος
184,Bär::N,oso,αρκούδα
185,Eichhörnchen::N,ardilla,βερβερίτσα
186,Elch::N,alce,άλκη
187,Fuchs::N,zorro,αλεπού
188,Hase::N,liebre,λαγός
189,Maus::N,ratón,ποντικός
190,Wolf::N,lobo,λύκος
191,Vogel::N,ave,πουλί
192,Vogel::N,pájaro,πουλί
193,Schwarm::N,bandada,σμήνος
194,Huhn::N,gallina,κότα
195,Huhn::N,gallina,όρνιθα
196,Hahn::N,gallo,πετεινός
197,Gans::N,oca,χήνα
198,Gans::N,ganso,χήνα
199,Adler::N,águila,αετός
200,Ente::N,pato,πάπια
201,Eule::N,lechuza,κουκουβάγια
202,Kranich::N,grulla,γερανός
203,Krähe::N,corneja,καρακάξα
204,Kuckuck::N,cuco,κούκος
205,Schwan::N,cisne,κύκνος
206,Fisch::N,pez,ψάρι
207,Barsch::N,perca,πέρκα
208,Hecht::N,lucio,λούτσος
209,Schlange[Tier]::N,serpiente,φίδι
210,Wurm::N,gusano,σκουλήκι
211,Spinne::N,araña,αράχνη
212,Ameise::N,hormiga,μυρμήγκι
213,Laus::N,piojo,ψείρα
214,Mücke::N,mosquito,κουνούπι
215,Fliege::N,mosca,μύγα
216,Schmetterling::N,mariposa,πεταλούδα
217,Beere::N,baya,ρόγα
218,Apfel::N,manzana,μήλο
219,Pilz::N,seta,μανιτάρι
220,Pilz::N,hongo,μανιτάρι
221,Zwiebel::N,cebolla,κρεμμύδι
222,Saat::N,siembra,σπόρος
223,Korn::N,grano,σπυρί
224,Heu::N,heno,σανός
225,Schale::N,cáscara,τσόφλι
226,Grube::N,foso,λάκκος
227,Falle::N,trampa,παγίδα
228,Schlinge::N,lazo,θηλειά
229,Spur::N,huella,ίχνος
230,Asche::N,ceniza,στάχτη
231,Dreck::N,suciedad,βρωμιά
232,Eisen::N,hierro,σίδερο
233,Gold::N,oro,μάλαμα
234,Gold::N,oro,χρυσάφι
235,Silber::N,plata,ασήμι
236,Silber::N,plata,άργυρος
237,Kohle::N,carbón,κάρβουνο
238,Glas::N,vidrio,γυαλί
239,Glas::N,cristal,γυαλί
240,Lehm::N,barro,πηλός
241,Sand::N,arena,άμμος
242,Mensch::N,hombre,άνθρωπος
243,Mensch::N,ser humano,άνθρωπος
244,Mann::N,hombre,άνδρας
245,Frau::N,mujer,γυναίκα
246,Kind::N,niño,παιδί
247,Junge::N,chico,αγόρι
248,Junge::N,muchacho,αγόρι
249,Mädchen::N,chica,κοπέλα
250,Mädchen::N,chica,κορίτσι
251,Mädchen::N,muchacha,κοπέλα
252,Mädchen::N,muchacha,κορίτσι
253,Familie::N,familia,οικογένεια
254,Großvater::N,abuelo,παππούς
255,Großmutter::N,abuela,γιαγιά
256,Eltern::N,padres,γονείς
257,Vater::N,padre,πατέρας
258,Mutter::N,madre,μητέρα
259,Sohn::N,hijo,γιος
260,Tochter::N,hija,κόρη
261,Bruder::N,hermano,αδελφός
262,Schwester::N,hermana,αδελφή
263,Onkel::N,tío,θείος
264,Tante::N,tía,θεία
265,Ehemann::N,esposo,σύζυγος
266,Ehefrau::N,esposa,σύζυγος
267,Freude::N,placer,χαρά
268,Freude::N,alegría,χαρά
269,Gelächter::N,risa,γέλια
270,Gelächter::N,carcajada,γέλια
271,Glück::N,felicidad,ευτυχία
272,Kummer::N,pena,έγνοια
273,Wunsch::N,deseo,επιθυμία
274,Lust::N,ganas,όρεξη
275,Geist::N,mente,πνέυμα
276,Geist::N,espíritu,πνέυμα
277,Gedanke::N,idea,σκέψη
278,Gedanke::N,pensamiento,σκέψη
279,Gedächtnis::N,memoria,μνήμη
280,Verstand::N,razón,νους
281,Verstand::N,entendimiento,νους
282,Sinn::N,sentido,νόημα
283,Sinn::N,significado,νόημα
284,Grund::N,causa,λόγος
285,Wahrheit::N,verdad,αλήθεια
286,Gespräch::N,conversación,συνομιλία
287,Märchen::N,cuento,παραμύθι
288,Erzählung::N,cuento,διήγημα
289,Erzählung::N,narración,διήγημα
290,Nachricht::N,mensaje,είδηση
291,Neuigkeit::N,noticia,νέο
292,Name::N,nombre,όνομα
293,Rätsel::N,acertijo,αίνιγμα
294,Rätsel::N,adivinanza,αίνιγμα
295,Rede::N,discurso,λόγος
296,Rede::N,discurso,ομιλία
297,Sprache::N,lengua,γλώσσα
298,Stimme::N,voz,φωνή
299,Wort::N,palabra,λέξη
300,Zeichen::N,señal,σημείο
301,Ruf::N,llamada,κραυγή
302,Lärm::N,ruido,θόρυβος
303,Lärm::N,barullo,θόρυβος
304,Laut::N,sonido,ήχος
305,Ton::N,tono,ήχος
306,Ton::N,tono,τόνος
307,Lied::N,canción,τραγούδι
308,Ruhe::N,calma,ησυχία
309,Ruhe::N,silencio,ησυχία
310,Leute::N,gente,κόσμος
311,Leute::N,gente,άνθρωποι
312,Volk::N,pueblo,λαός
313,Arbeit::N,trabajo,εργασία
314,Gast::N,huésped,επισκέπτης
315,Gast::N,invitado,επισκέπτης
316,Geschenk::N,regalo,δώρο
317,Spiel::N,juego,παιχνίδι
318,Gesellschaft::N,compañía,κοινωνία
319,Hilfe::N,ayuda,βοήθεια
320,Hilfe::N,socorro,βοήθεια
321,Freund::N,amigo,φίλος
322,Kamerad::N,camarada,σύντροφος
323,Kamerad::N,compañero,σύντροφος
324,Angelegenheit::N,asunto,υπόθεση
325,Anzahl::N,cantidad,αριθμός
326,Art::N,tipo,είδος
327,Art::N,clase,είδος
328,Stück::N,pieza,κομμάτι
329,Teil::N,parte,μέρος
330,Hälfte::N,mitad,μισό
331,Kreis::N,círculo,κύκλος
332,Kreuz::N,cruz,σταυρός
333,Linie::N,línea,γραμμή
334,Strich::N,raya,γραμμή
335,Strich::N,trazo,γραμμή
336,Abstand::N,distancia,απόσταση
337,Entfernung::N,distancia,απόσταση
338,Gegend::N,región,περιοχή
339,Gegend::N,región,τοποθεσία
340,Gegend::N,comarca,περιοχή
341,Gegend::N,comarca,τοποθεσία
342,Platz::N,espacio,χώρος
343,Ort::N,sitio,τόπος
344,Seite::N,lado,πλευρά
345,Seite::N,costado,πλευρά
346,Mitte::N,medio,μέση
347,Mitte::N,centro,μέση
348,Gegenstand::N,objeto,αντικείμενο
349,Sache::N,cosa,πράγμα
350,Rand::N,borde,άκρη
351,Rand::N,borde,χείλος
352,Kante::N,borde,άκρη
353,Ecke::N,esquina,γωνιά
354,Spitze::N,punta,μύτη
355,Ende::N,cabo,άκρη
356,Ende::N,extremo,άκρη
357,Loch::N,agujero,τρύπα
358,Loch::N,abertura,τρύπα
359,Winkel::N,ángulo,γωνία
360,Muster::N,dibujo,σχέδιο
361,Größe::N,tamaño,μέγεθος
362,Länge::N,longitud,μήκος
363,Höhe::N,altura,ύψος
364,Höhe::N,altitud,ύψος
365,Gewicht::N,peso,βάρος
366,Menge::N,cantidad,ποσότητα
367,Haufen::N,montón,σωρός
368,Reihe::N,fila,αράδα
369,Boot::N,bote,βάρκα
370,Boot::N,barca,βάρκα
371,Ruder::N,remo,κουπί
372,Schlitten::N,trineo,έλκηθρο
373,Ski::N,esquí,σκι
374,Lagerfeuer::N,hoguera,φωτιά
375,Last::N,carga,φορτίο
376,Gang::N,marcha,δρόμος
377,Schritt::N,paso,βήμα
378,Norden::N,norte,βορράς
379,Süden::N,sur,νότος
380,Westen::N,oeste,δύση
381,Osten::N,este,ανατολή
382,Holz::N,madera,ξύλο
383,Brett::N,tabla,σανίδι
384,Platte::N,placa,πλάκα
385,Platte::N,plancha,πλάκα
386,Stütze::N,sostén,στήριγμα
387,Stütze::N,soporte,στήριγμα
388,Stange::N,vara,ραβδί
389,Stange::N,vara,κοντός
390,Stange::N,percha,ραβδί
391,Stange::N,percha,κοντός
392,Stock::N,palo,ξύλο
393,Stock::N,palo,μπαστούνι
394,Stock::N,bastón,ξύλο
395,Stock::N,bastón,μπαστούνι
396,Stab::N,vara,ραβδί
397,Stab::N,bastón,ραβδί
398,Rohr::N,tubo,σωλήνας
399,Haus::N,casa,σπίτι
400,Heim::N,hogar,σπίτι
401,Ofen::N,estufa,σόμπα
402,Ofen::N,estufa,θερμάστρα
403,Fußboden::N,suelo,πάτωμα
404,Tisch::N,mesa,τραπέζι
405,Stuhl::N,silla,καρέκλα
406,Wiege::N,cuna,κούνια
407,Bett::N,cama,κρεβάτι
408,Regal::N,estantería,ράφι
409,Kiste::N,caja,κιβώτιο
410,Fenster::N,ventana,παράθυρο
411,Tür::N,puerta,πόρτα
412,Tor::N,puerta,πύλη
413,Zaun::N,valla,φράχτης
