,Concept_ID,hy,sk
0,Auge::N,աչք,oko
1,Ohr::N,ականջ,ucho
2,Nase::N,քիթ,nos
3,Mund::N,բերան,ústa
4,Zahn::N,ատամ,zub
5,Zunge::N,լեզու,jazyk
6,Lippe::N,շրթունք,pera
7,Wange::N,այտ,líce
8,Wange::N,թուշ,líce
9,Gesicht::N,դեմք,tvár
10,Gesicht::N,դեմք,obličaj
11,Stirn::N,ճակատ,čelo
12,Haar::N,մազ,vlas
13,Schnurrbart::N,բեղ,fúzy
14,Bart::N,մորուք,brada
15,Kinn::N,կզակ,brada
16,Kiefer[Anatomie]::N,ծնոտ,čeľusť
17,Kehle::N,կոկորդ,hrdlo
18,Hals::N,վիզ,krk
19,Hals::N,պարանոց,krk
20,Genick::N,ծոծրակ,väzy
21,Kopf::N,գլուխ,hlava
22,Rücken::N,մեջք,chrbát
23,Bauch::N,փոր,brucho
24,Bauch::N,որովայն,brucho
25,Nabel::N,պորտ,pupok
26,Busen::N,ծոց,prsia
27,Brust::N,կուրծք,hruď
28,Schulter::N,ուս,plece
29,Arm::N,թեւ,rameno
30,Arm::N,բազուկ,rameno
31,Ellenbogen::N,արմունկ,lakeť
32,Hand::N,ձեռք,ruka
33,Handfläche::N,ափ,dlaň
34,Finger::N,մատ,prst
35,Fingernagel::N,եղունգ,necht
36,Nagel[Anatomie]::N,եղունգ,necht
37,Zeh::N,ոտքի մատ,prst na nohe
38,Fuß::N,ոտք,noha
39,Ferse::N,գարշապար,päta
40,Knie::N,ծունկ,koleno
41,Oberschenkel::N,ազդր,stehno
42,Bein::N,ոտք,noha
43,Körper::N,մարմին,telo
44,Haut::N,մաշկ,koža
45,Blut::N,արյուն,krv
46,Ader::N,երակ,žila
47,Sehne::N,ջիղ,šľacha
48,Sehne::N,ձգտան,šľacha
49,Knochen::N,ոսկոր,kosť
50,Gehirn::N,խելք,mozog
51,Herz::N,սիրտ,srdce
52,Magen::N,ստամոքս,žalúdok
53,Leber::N,լյարդ,pečeň
54,Atem::N,շունչ,dych
55,Hunger::N,քաղց,hlad
56,Träne::N,արտասուք,slza
57,Geschmack::N,համ,chuť
58,Geschmack::N,բուրմունք,chuť
59,Geruch::N,հոտ,pach
60,Geruch::N,բուրում,pach
61,Schlaf::N,քուն,spánok
62,Traum::N,երազ,sen
63,Himmel::N,երկինք,nebo
64,Sonne::N,արեւ,slnko
65,Mond::N,լուսին,mesiac
66,Stern::N,աստղ,hviezda
67,Luft::N,օդ,vzduch
68,Wind::N,քամի,vietor
69,Welle::N,ալիք,vlna
70,Wasser::N,ջուր,voda
71,Stein::N,քար,kameň
72,Boden::N,գետին,zem
73,Boden::N,գետին,pôda
74,Erde::N,հող,zem
75,Staub::N,փոշի,prach
76,Rauch::N,ծուխ,dym
77,Funke::N,կայծ,iskra
78,Feuer::N,կրակ,oheň
79,Feuer::N,հրդեհ,oheň
80,Licht::N,լույս,svetlo
81,Schatten::N,ստվեր,tieň
82,Wetter::N,եղանակ,počasie
83,Nebel::N,մեգ,hmla
84,Nebel::N,մառախուղ,hmla
85,Wolke::N,ամպ,oblak
86,Wolke::N,ամպ,mračno
87,Regen::N,անձրև,dážď
88,Schnee::N,ձյուն,sneh
89,Eis::N,սառույց,ľad
90,Frost::N,սառնամանիք,mráz
91,Kälte::N,դող,zima
92,Kälte::N,դող,chlad
93,Hitze::N,շոգ,horúčava
94,Raureif::N,ցօղեղեամ,srieň
95,Raureif::N,ցօղեղեամ,inovať
96,Regenbogen::N,ծիածան,dúha
97,Donner::N,որոտ,hrom
98,Strömung::N,հոսանք,prúdenie
99,Tropfen::N,կաթիլ,kvapka
100,Schaum::N,փրփուր,pena
101,Schmutz::N,կեղտ,špina
102,Schmutz::N,կեղտ,nečistota
103,See::N,լիճ,jazero
104,Sumpf::N,ճահիճ,bahno
105,Moor::N,ճահիճ,močiar
106,Wiese::N,մարգագետին,lúka
107,Wald::N,անտառ,les
108,Wald::N,անտառ,hora
109,Hügel::N,բլուր,vŕšok
110,Anhöhe::N,բարձունք,výšina
111,Anhöhe::N,բարձունք,vyvýšenina
112,Berg::N,լեռ,hora
113,Gipfel::N,գագաթ,vrchol
114,Gipfel::N,կատար,vrchol
115,Höhle::N,քարայր,jaskyňa
116,Abhang::N,լանջ,úbočie
117,Abhang::N,զառիվայր,úbočie
118,Quelle::N,աղբյուր,prameň
119,Bach::N,վտակ,potok
120,Fluss::N,գետ,rieka
121,Ufer::N,ծովափ,breh
122,Küste::N,ափ,pobrežie
123,Küste::N,ծովափ,pobrežie
124,Festland::N,ցամաք,pevnina
125,Meer::N,ծով,more
126,Bucht::N,հաչիւն,záliv
127,Bucht::N,հաչիւն,zátoka
128,Insel::N,վղզի,ostrov
129,Blume::N,ծաղիկ,kvet
130,Blume::N,ծաղիկ,kvetina
131,Gras::N,խոտ,tráva
132,Wurzel::N,արմատ,koreň
133,Baum::N,ծառ,strom
134,Stamm::N,իրան,kmeň
135,Rinde::N,կեղեւ,kôra
136,Rinde::N,հաչոց,kôra
137,Ast::N,ճյուղ,konár
138,Zweig::N,ճյուղ,vetva
139,Blatt::N,տերեւ,list
140,Birke::N,ցարասի,breza
141,Kiefer[Baum]::N,սոճի,sosna
142,Kiefer[Baum]::N,սոճի,borovica
143,Weide[Baum]::N,ուռենի,vŕba
144,Tanne::N,եղեւին,jedľa
145,Feder::N,փետուր,pero
146,Fell::N,մորթի,koža
147,Fell::N,մորթի,kožušina
148,Flügel::N,թեւ,krídlo
149,Klaue::N,չանչ,paznecht
150,Kralle::N,ճանկ,pazúr
151,Schwanz::N,պոչ,chvost
152,Ei::N,ձու,vajce
153,Ei::N,ձու,vajíčko
154,Nest::N,բույն,hniezdo
155,Bau::N,որջ,nora
156,Bau::N,բայոց,nora
157,Tier::N,կենդանի,zviera
158,Herde::N,հոտ,stádo
159,Kuh::N,կով,krava
160,Bulle::N,ցուլ,býk
161,Pferd::N,ձի,kôň
162,Schaf::N,ոչխար,ovca
163,Schwein::N,խոզ,sviňa
164,Hund::N,շուն,pes
165,Katze::N,կատու,mačka
166,Bär::N,արջ,medveď
167,Eichhörnchen::N,սկյուռ,veverička
168,Elch::N,հիւսիսային եղջերու,los
169,Fuchs::N,աղվես,líška
170,Hase::N,նապաստակ,zajac
171,Maus::N,մուկ,myš
172,Wolf::N,գայլ,vlk
173,Vogel::N,թռչուն,vták
174,Schwarm::N,երամ,roj
175,Huhn::N,հավ,kurča
176,Huhn::N,հավ,sliepka
177,Hahn::N,աքաղաղ,kohút
178,Gans::N,սագ,hus
179,Adler::N,արծիվ,orol
180,Ente::N,բադ,kačka
181,Ente::N,բադ,kačica
182,Eule::N,բու,sova
183,Kranich::N,կռունկ,žeriav
184,Krähe::N,ագռավ,vrana
185,Kuckuck::N,կուկու,kukučka
186,Schwan::N,կարապ,labuť
187,Fisch::N,ձուկ,ryba
188,Barsch::N,պերկես,ostriež
189,Hecht::N,գայլաձուկ,šťuka
190,Schlange[Tier]::N,օձ,had
191,Wurm::N,որդ,červ
192,Wurm::N,ճիճու,červ
193,Spinne::N,սարդ,pavúk
194,Ameise::N,միջյուն,mravec
195,Laus::N,ոջիլ,voš
196,Mücke::N,մժղուկ,komár
197,Fliege::N,ճանճ,mucha
198,Schmetterling::N,թիթեռ,motýľ
199,Beere::N,հատապտուղ,bobuľa
200,Apfel::N,խնձոր,jablko
201,Pilz::N,սունկ,hríb
202,Zwiebel::N,սոխ,cibuľa
203,Saat::N,սերմ,osivo
204,Korn::N,հատիկ,zrno
205,Heu::N,խոտ,seno
206,Schale::N,կեղեւ,šupa
207,Schale::N,կեղեւ,škrupina
208,Grube::N,փոս,jama
209,Falle::N,ծուղակ,pasca
210,Falle::N,ծուղակ,klepec
211,Schlinge::N,խեղդան,slučka
212,Spur::N,հետք,stopa
213,Asche::N,մոխիր,popol
214,Dreck::N,աղտ,kal
215,Dreck::N,աղտ,blato
216,Eisen::N,երկաթ,železo
217,Gold::N,ոսկի,zlato
218,Silber::N,արծաթ,striebro
219,Kohle::N,քարածուխ,uhlie
220,Glas::N,ապակի,sklo
221,Lehm::N,կավ,íl
222,Lehm::N,կավ,hlina
223,Sand::N,ավազ,piesok
224,Mensch::N,մարդ,človek
225,Mann::N,մարդ,muž
226,Mann::N,մարդ,chlap
227,Mann::N,տղամարդ,muž
228,Mann::N,տղամարդ,chlap
229,Frau::N,կին,žena
230,Kind::N,զավակ,dieťa
231,Junge::N,տղա,chlapec
232,Mädchen::N,աղջիկ,dievka
233,Familie::N,ընտանիք,rodina
234,Großvater::N,պապ,dedo
235,Großvater::N,պապ,starý otec
236,Großmutter::N,տատ,babička
237,Großmutter::N,տատ,stará mať
238,Eltern::N,ծնողներ,rodičia
239,Vater::N,հայր,otec
240,Mutter::N,մայր,mať
241,Mutter::N,մայր,matka
242,Sohn::N,որդի,syn
243,Tochter::N,աղջիկ,dcéra
244,Tochter::N,դուստր,dcéra
245,Bruder::N,եղբայր,brat
246,Schwester::N,քույր,sestra
247,Onkel::N,քեռի,ujo
248,Onkel::N,քեռի,strýko
249,Onkel::N,հորեղբայր,ujo
250,Onkel::N,հորեղբայր,strýko
251,Tante::N,մորաքույր,teta
252,Tante::N,մորաքույր,tetka
253,Ehemann::N,մարդ,muž
254,Ehemann::N,մարդ,manžel
255,Ehemann::N,ամուսին,muž
256,Ehemann::N,ամուսին,manžel
257,Ehefrau::N,կին ամուսին,žena
258,Ehefrau::N,կին ամուսին,manželka
259,Freude::N,ուրախություն,radosť
260,Gelächter::N,ծիծաղ,smiech
261,Glück::N,երջանկություն,šťastie
262,Kummer::N,վիշտ,žiaľ
263,Kummer::N,վիշտ,zármutok
264,Wunsch::N,ցանկություն,prianie
265,Lust::N,փափագ,chuť
266,Lust::N,իղձ,chuť
267,Geist::N,ոգի,duch
268,Gedanke::N,միտք,myšlienka
269,Gedächtnis::N,հիշողություն,pamäť
270,Verstand::N,խելք,rozum
271,Sinn::N,իմաստ,zmysel
272,Grund::N,պատճառ,dôvod
273,Grund::N,պատճառ,príčina
274,Wahrheit::N,ճշմարտություն,pravda
275,Gespräch::N,զրույց,reč
276,Gespräch::N,զրույց,rozhovor
277,Märchen::N,պայիկի պատմություն,rozprávka
278,Erzählung::N,պատմվածք,poviedka
279,Erzählung::N,պատմություն,poviedka
280,Nachricht::N,հաղորդագրություն,správa
281,Neuigkeit::N,լուր,novinka
282,Neuigkeit::N,նորություն,novinka
283,Name::N,անուն,meno
284,Rätsel::N,բարդ խնդիր,záhada
285,Rätsel::N,բարդ խնդիր,hádanka
286,Rede::N,ճառ,reč
287,Rede::N,ելույթ,reč
288,Sprache::N,լեզու,reč
289,Sprache::N,լեզու,jazyk
290,Stimme::N,ձայն,hlas
291,Wort::N,բառ,slovo
292,Zeichen::N,նշան,znak
293,Ruf::N,կոչ,volanie
294,Ruf::N,կոչ,zavolanie
295,Ruf::N,կանչ,volanie
296,Ruf::N,կանչ,zavolanie
297,Lärm::N,աղմուկ,hluk
298,Lärm::N,աղմուկ,hurhaj
299,Laut::N,հնչյուն,zvuk
300,Laut::N,ձայն,zvuk
301,Ton::N,տոն,tón
302,Ton::N,տոն,zvuk
303,Lied::N,երգ,pieseň
304,Ruhe::N,անդորրություն,pokoj
305,Leute::N,մարդիկ,ľudia
306,Volk::N,ազգ,ľud
307,Volk::N,ազգ,národ
308,Arbeit::N,գործ,práca
309,Arbeit::N,գործ,robota
310,Arbeit::N,աշխատանք,práca
311,Arbeit::N,աշխատանք,robota
312,Gast::N,հյուր,hosť
313,Geschenk::N,նվեր,dar
314,Spiel::N,խաղ,hra
315,Gesellschaft::N,ընկերություն,spoločnosť
316,Hilfe::N,օգնությթուն,pomoc
317,Freund::N,ընկեր,priateľ
318,Freund::N,բարեկամ,priateľ
319,Kamerad::N,ուղեկից,kamarát
320,Angelegenheit::N,բան,vec
321,Angelegenheit::N,բան,záležitosť
322,Angelegenheit::N,գործ,vec
323,Angelegenheit::N,գործ,záležitosť
324,Anzahl::N,քանակ,počet
325,Anzahl::N,քանակ,množstvo
326,Anzahl::N,գումար,počet
327,Anzahl::N,գումար,množstvo
328,Art::N,տեսակ,druh
329,Stück::N,կտոր,kus
330,Stück::N,կտոր,kúsok
331,Teil::N,մաս,časť
332,Hälfte::N,կես,polka
333,Hälfte::N,կես,polovica
334,Kreis::N,շիջանակ,kruh
335,Kreuz::N,խաչ,kríž
336,Linie::N,գիծ,línia
337,Strich::N,գիծ,čiara
338,Abstand::N,անջրպետ,vzdialenosť
339,Entfernung::N,հեռավորություն,vzdialenosť
340,Gegend::N,շրջան,kraj
341,Gegend::N,շրջան,krajina
342,Platz::N,տարածություն,miesto
343,Ort::N,տեղ,miesto
344,Ort::N,վայր,miesto
345,Seite::N,կողմ,bok
346,Seite::N,կողմ,strana
347,Mitte::N,մեջտեղ,stred
348,Gegenstand::N,առարկա,predmet
349,Sache::N,բան,vec
350,Rand::N,վերջք,kraj
351,Rand::N,վերջք,okraj
352,Kante::N,եզր,hrana
353,Ecke::N,անկյուն,roh
354,Spitze::N,ծայր,hrot
355,Spitze::N,ծայր,špička
356,Ende::N,ծայր,koniec
357,Loch::N,անցք,diera
358,Winkel::N,անկյուն,kút
359,Muster::N,օրինակ,vzor
360,Muster::N,օրինակ,vzorka
361,Größe::N,մեծություն,veľkosť
362,Länge::N,երկարություն,dĺžka
363,Höhe::N,բարձրություն,výška
364,Gewicht::N,կշիռ,váha
