,Concept_ID,et,uk
0,Auge::N,silm,око
1,Ohr::N,kõrv,вухо
2,Nase::N,nina,ніс
3,Mund::N,suu,рот
4,Zahn::N,hammas,зуб
5,Zunge::N,keel,язик
6,Lippe::N,huul,губа
7,Wange::N,põsk,щока
8,Gesicht::N,nägu,обличчя
9,Stirn::N,otsmik,лоб
10,Haar::N,juus,волосся
11,Schnurrbart::N,vurrud,вуса
12,Schnurrbart::N,vuntsid,вуса
13,Bart::N,habe,борода
14,Kinn::N,lõug,підборіддя
15,Kiefer[Anatomie]::N,lõualuu,щелепа
16,Kehle::N,kõri,горло
17,Hals::N,kael,шия
18,Genick::N,kukal,потилиця
19,Kopf::N,pea,голова
20,Rücken::N,selg,спина
21,Bauch::N,kõht,живіт
22,Nabel::N,naba,пупок
23,Busen::N,rind,груди
24,Brust::N,rind,груди
25,Schulter::N,õlg,плече
26,Arm::N,käsivars,рука
27,Ellenbogen::N,küünarnukk,лікоть
28,Hand::N,käsi,рука
29,Handfläche::N,pihk,долоня
30,Finger::N,sõrm,палець
31,Fingernagel::N,küüs,ніготь
32,Nagel[Anatomie]::N,küüs,ніготь
33,Zeh::N,varvas,палець на нозі
34,Fuß::N,jalg,нога
35,Ferse::N,kand,п’ятка
36,Knie::N,põlv,коліно
37,Oberschenkel::N,reis,стегно
38,Bein::N,jalg,нога
39,Körper::N,ihu,тіло
40,Körper::N,keha,тіло
41,Haut::N,nahk,шкіра
42,Blut::N,veri,кров
43,Ader::N,veen,вена
44,Sehne::N,kõõlus,сухожилля
45,Knochen::N,luu,кістка
46,Gehirn::N,aju,мозок
47,Herz::N,süda,серце
48,Magen::N,magu,шлунок
49,Leber::N,maks,печінка
50,Atem::N,hingeõhk,дихання
51,Atem::N,hingamine,дихання
52,Hunger::N,nälg,голод
53,Träne::N,pisar,сльоза
54,Geschmack::N,maitse,смак
55,Geruch::N,lõhn,запах
56,Schlaf::N,uni,сон
57,Schlaf::N,uni,сплячка
58,Traum::N,unenägu,сон
59,Himmel::N,taevas,небо
60,Sonne::N,päike,сонце
61,Mond::N,kuu,місяць
62,Stern::N,täht,зірка
63,Luft::N,õhk,повітря
64,Wind::N,tuul,вітер
65,Welle::N,laine,хвиля
66,Wasser::N,vesi,вода
67,Stein::N,kivi,камінь
68,Boden::N,maa,ґрунт
69,Boden::N,pinnas,ґрунт
70,Erde::N,maa,земля
71,Staub::N,põrm,пил
72,Rauch::N,suits,дим
73,Funke::N,säde,іскра
74,Feuer::N,tuli,вогонь
75,Licht::N,valgus,світло
76,Schatten::N,vari,тінь
77,Wetter::N,ilm,погода
78,Nebel::N,udu,туман
79,Wolke::N,pilv,хмара
80,Regen::N,sadu,дощ
81,Schnee::N,lumi,сніг
82,Eis::N,jää,лід
83,Frost::N,pakane,мороз
84,Kälte::N,külm,холод
85,Kälte::N,külmus,холод
86,Hitze::N,kuumus,жар
87,Hitze::N,palavus,жар
88,Raureif::N,härmatis,іній
89,Regenbogen::N,vikerkaar,райдуга
90,Donner::N,kõu,грім
91,Donner::N,müristamine,грім
92,Strömung::N,voolus,струмина
93,Strömung::N,jõevool,струмина
94,Tropfen::N,tilk,крапля
95,Schaum::N,vaht,піна
96,Schmutz::N,pori,бруд
97,Schmutz::N,mustus,бруд
98,See::N,järv,озеро
99,Sumpf::N,soo,драговина
100,Moor::N,raba,болото
101,Wiese::N,aas,луг
102,Wiese::N,aas,лука
103,Wiese::N,nurm,луг
104,Wiese::N,nurm,лука
105,Wald::N,mets,ліс
106,Hügel::N,küngas,горб
107,Anhöhe::N,küngas,височина
108,Berg::N,mägi,гора
109,Gipfel::N,mäetipp,вершина
110,Höhle::N,koobas,печера
111,Abhang::N,nõlvak,схил
112,Quelle::N,allikas,джерело
113,Bach::N,oja,струмок
114,Fluss::N,jõgi,річка
115,Ufer::N,kallas,берег
116,Küste::N,rannik,узбережжя
117,Festland::N,mander,суша
118,Festland::N,maismaa,суша
119,Meer::N,meri,море
120,Bucht::N,laht,бухта
121,Bucht::N,laht,затока
122,Insel::N,saar,острів
123,Blume::N,lill,квітка
124,Gras::N,rohi,трава
125,Wurzel::N,juur,корінь
126,Baum::N,puu,дерево
127,Stamm::N,tüvi,стовбур
128,Rinde::N,koor,кора
129,Ast::N,oks,гілка
130,Zweig::N,oks,галузь
131,Blatt::N,leht,лист
132,Birke::N,kask,береза
133,Kiefer[Baum]::N,mänd,сосна
134,Weide[Baum]::N,paju,верба
135,Tanne::N,nulg,ялиця
136,Horn::N,sarv,ріг
137,Feder::N,sulg,перо
138,Fell::N,karvkate,хутро
139,Fell::N,karusnahk,хутро
140,Flügel::N,tiib,крило
141,Flügel::N,tiivik,крило
142,Klaue::N,küüs,кіготь
143,Kralle::N,küünis,лапа
144,Schwanz::N,saba,хвіст
145,Ei::N,muna,яйце
146,Nest::N,pesa,гніздо
147,Bau::N,urg,лігво
148,Tier::N,loom,тварина
149,Herde::N,kari,стадо
150,Kuh::N,lehm,корова
151,Bulle::N,pull,бик
152,Bulle::N,pull,бугай
153,Pferd::N,hobune,кінь
