,Concept_ID,sl,myv
0,Auge::N,okó,сельме
1,Ohr::N,uhó,пиле
2,Nase::N,nós,судо
3,Mund::N,ústa,курго
4,Zahn::N,zób,пей
5,Zunge::N,jêzik,кель
6,Lippe::N,ústnica,турва
7,Wange::N,líce,чамабока
8,Wange::N,líce,чамаумарь
9,Gesicht::N,oblíčje,чама
10,Stirn::N,čêlo,коня
11,Haar::N,lás,черь
12,Schnurrbart::N,bŕki,ус
13,Schnurrbart::N,bŕki,муюк
14,Bart::N,bráda,сакал
15,Kinn::N,bráda,уло
16,Kiefer[Anatomie]::N,čeljúst,пейпакар
17,Kiefer[Anatomie]::N,čeljúst,пейловажа
18,Kehle::N,gŕlo,кирьгапарь
19,Hals::N,vrát,кирьга
20,Genick::N,zatílnik,човонь
21,Kopf::N,gláva,пря
22,Rücken::N,hrbèt,копорь
23,Bauch::N,trébuh,пеке
24,Nabel::N,pópek,почо
25,Busen::N,nédrja,поте
26,Brust::N,pŕsi,меште
27,Schulter::N,ráma,лавтов
28,Schulter::N,plêče,лавтов
29,Arm::N,rôka,кедь
30,Ellenbogen::N,komólec,кенерепакарь
31,Hand::N,rôka,кедь
32,Handfläche::N,dlán,кедькуншка
33,Handfläche::N,dlán,кедьлапушка
34,Finger::N,pŕst,сур
35,Fingernagel::N,nóht na rôki,кенже
36,Nagel[Anatomie]::N,nóht,кенже
37,Zeh::N,pŕst na nôgi,пильге сур
38,Fuß::N,nôga,пильге
39,Ferse::N,pêta,кочкаря
40,Knie::N,koléno,эле
41,Knie::N,koléno,эзне
42,Knie::N,koléno,кумажа
43,Oberschenkel::N,stêgno,качо
44,Bein::N,nôga,пильге
45,Körper::N,teló,рунго
46,Haut::N,kóža,киське
47,Blut::N,krí,верь
48,Ader::N,žíla,сан
49,Sehne::N,kíta,коське сан
50,Knochen::N,kóst,пакарь
51,Gehirn::N,možgáni,удем
52,Herz::N,srcé,седей
53,Magen::N,želódec,пеке
54,Leber::N,jétra,максо
55,Atem::N,díh,лексема
56,Atem::N,díh,оймень таргсема
57,Hunger::N,glád,вачочи
58,Träne::N,sólza,селведь
59,Geschmack::N,okús,тансть
60,Geruch::N,vónj,чине
61,Schlaf::N,sèn,удома
62,Schlaf::N,spánec,удома
63,Traum::N,sánje,он
64,Himmel::N,nebó,менель
65,Sonne::N,sónce,чи
66,Mond::N,lúna,ков
67,Mond::N,mésec,ков
68,Stern::N,zvézda,теште
69,Luft::N,zràk,кошт
70,Wind::N,véter,варма
71,Welle::N,vál,толкун
72,Wasser::N,vôda,ведь
73,Stein::N,kámen,кев
74,Boden::N,tlà,мода
75,Erde::N,pŕst,мастор
76,Erde::N,zêmlja,мастор
77,Staub::N,práh,пуль
78,Rauch::N,dìm,качамо
79,Funke::N,ískra,сятко
80,Feuer::N,ôgenj,тол
81,Licht::N,lúč,валдо
82,Schatten::N,sénca,сулей
83,Schatten::N,sénca,сулейкс
84,Wetter::N,vrême,ушо
85,Nebel::N,meglà,сув
86,Wolke::N,oblák,пель
87,Regen::N,dèž,пиземс
88,Schnee::N,snég,лов
89,Eis::N,léd,эй
