,Concept_ID,es,ce
0,Auge::N,ojo,бӏаьрг
1,Ohr::N,oreja,лерг
2,Nase::N,nariz,мара
3,Mund::N,boca,бага
4,Zahn::N,diente,церг
5,Zunge::N,lengua,мотт
6,Lippe::N,labio,балда
7,Wange::N,mejilla,бесни
8,Gesicht::N,cara,юьхь
9,Stirn::N,frente,хьаж
10,Haar::N,cabello,мас
11,Schnurrbart::N,bigote,мекх
12,Bart::N,barba,маж
13,Kinn::N,barbilla,чӏениг
14,Kiefer[Anatomie]::N,mandíbula,мочхал
15,Kehle::N,garganta,къамкъарг
16,Hals::N,cuello,ворта
17,Genick::N,nuca,кӏесаркӏаг
18,Genick::N,cerviz,кӏесаркӏаг
19,Kopf::N,cabeza,корта
20,Rücken::N,espalda,букъ
21,Bauch::N,vientre,кийра
22,Nabel::N,ombligo,цӏонга
23,Busen::N,pecho,зударийн накха
24,Brust::N,pecho,накха
25,Schulter::N,hombro,белш
26,Arm::N,brazo,пхьарс
27,Ellenbogen::N,codo,пхьаьрсан гола
28,Hand::N,mano,куьг
29,Handfläche::N,palma,кераюкъ
30,Finger::N,dedo,пӏелг
31,Fingernagel::N,uña,мӏара
32,Nagel[Anatomie]::N,uña,мӏара
33,Zeh::N,dedo del pie,кога пӏелг
34,Fuß::N,pie,ког
35,Ferse::N,talón,кӏажа
36,Knie::N,rodilla,гола
37,Oberschenkel::N,muslo,варе
38,Bein::N,pierna,ког
39,Körper::N,cuerpo,хӏума
40,Haut::N,piel,чкъор
41,Blut::N,sangre,цӏий
42,Ader::N,vena,пха
43,Sehne::N,tendón,хьорзам
44,Knochen::N,hueso,даьӏахк
45,Gehirn::N,cerebro,хье
46,Gehirn::N,encéfalo,хье
47,Herz::N,corazón,дог
48,Magen::N,estómago,зорх
49,Leber::N,hígado,доӏах
50,Atem::N,aliento,садеӏар
51,Hunger::N,hambre,мацалла
52,Träne::N,lágrima,бӏаьрхи
53,Geschmack::N,gusto,чам
54,Geruch::N,olor,хьожа
55,Schlaf::N,sueño,наб
56,Traum::N,sueño,гӏан
57,Traum::N,ensueño,гӏан
58,Himmel::N,cielo,стигал
59,Sonne::N,sol,малх
60,Mond::N,luna,бутт
61,Stern::N,estrella,седа
62,Luft::N,aire,xӏаваъ
63,Wind::N,viento,мох
64,Welle::N,ola,тулгӏе
65,Welle::N,onda,тулгӏе
66,Wasser::N,agua,хи
67,Stein::N,piedra,тӏулг
68,Boden::N,suelo,цӏенкъа
69,Erde::N,tierra,латта
70,Staub::N,polvo,чан
71,Rauch::N,humo,кӏур
72,Funke::N,chispa,суй
73,Feuer::N,fuego,цӏе
74,Licht::N,luz,серло
75,Schatten::N,sombra,ӏиндагӏ
76,Wetter::N,tiempo,хенан хӏоттам
77,Nebel::N,niebla,дохк
78,Wolke::N,nube,марха
79,Regen::N,lluvia,догӏа
80,Schnee::N,nieve,ло
81,Eis::N,hielo,ша
82,Frost::N,helada,шело
