,Concept_ID,mdf,br
0,Auge::N,сельме,lagad
1,Ohr::N,пиле,skouarn
2,Nase::N,шалхка,fri
3,Mund::N,курга,genoù
4,Zahn::N,пей,dant
5,Zunge::N,кяль,teod
6,Lippe::N,търва́,muzell
7,Wange::N,щёка,chot
8,Gesicht::N,шама,dremm
9,Stirn::N,коня,tal
10,Haar::N,шя́ярь,blev
11,Schnurrbart::N,уса́,mourenn
12,Bart::N,сакал,barv
13,Kinn::N,ула,groñj
14,Kiefer[Anatomie]::N,саласка,javed
15,Kehle::N,кълдома,gouzoug
16,Kehle::N,кърга́парь,gouzoug
17,Hals::N,сялдаз,gouzoug
18,Genick::N,шовонь,choug
19,Kopf::N,пря,penn
20,Rücken::N,копорь,kein
21,Bauch::N,пеке,kof
22,Nabel::N,по́кон,begel
23,Busen::N,потя,bronn
24,Brust::N,мяште,bruched
25,Schulter::N,лафту,skoaz
26,Arm::N,кядь,brec'h
27,Ellenbogen::N,кенерьба́карь,ilin
28,Hand::N,кядь,dorn
29,Handfläche::N,кядьлапш,palv
30,Finger::N,сур,biz
31,Fingernagel::N,кенже,ivin
32,Nagel[Anatomie]::N,кенже,ivin
33,Zeh::N,пильгосу́р,biz-troad
34,Fuß::N,пильге,troad
35,Fuß::N,пильгелапа,troad
36,Ferse::N,кочкяря,seul
37,Knie::N,эль,glin
38,Knie::N,пълма́нжа,glin
39,Oberschenkel::N,пильгепукша,morzhed
40,Bein::N,пильге,gar
41,Körper::N,ро́нга,korf
42,Körper::N,по́нда,korf
43,Haut::N,киське,kroc'hen
44,Blut::N,вер,gwad
45,Ader::N,сан,gwazhi
46,Ader::N,верза́н,gwazhi
47,Sehne::N,коське сан,stir
48,Knochen::N,пакарь,askorn
49,Gehirn::N,уй,empenn
50,Herz::N,седи,kalon
51,Magen::N,коткърдазь,stomog
52,Leber::N,макса,avu
53,Atem::N,лекома,anal
54,Atem::N,ваймонь тарксема,anal
55,Hunger::N,вачеши,naon
56,Träne::N,сельмове́дь,daer
57,Geschmack::N,таньф,blaz
58,Geruch::N,шине,c'hwezh
59,Schlaf::N,удома́,kousked
60,Traum::N,он,hune
61,Himmel::N,менель,oabl
62,Sonne::N,ши,heol
63,Mond::N,ков,loar
64,Stern::N,тяште,steredenn
65,Luft::N,кожф,aer
66,Wind::N,варма,avel
67,Welle::N,тавла,houlenn
68,Wasser::N,ведь,dour
69,Stein::N,кев,maen
70,Boden::N,мода,tachenn
71,Boden::N,потмакс,tachenn
72,Erde::N,мода,douar
73,Erde::N,мастор,douar
74,Staub::N,пуль,poultr
75,Rauch::N,качам,moged
76,Funke::N,ця́тка,ful
77,Feuer::N,тол,tan
78,Licht::N,ва́лда,gouloù
79,Schatten::N,цильф,disheol
80,Wetter::N,уша,amzer
81,Nebel::N,тума́н,brumenn
82,Wolke::N,ковол,koumoulenn
83,Regen::N,пизем,glav
84,Schnee::N,лов,erc'h
85,Eis::N,эй,skorn
86,Frost::N,ке́льме,rev
87,Kälte::N,якшама,yen
88,Hitze::N,пси,tommder
89,Raureif::N,леш,frim
90,Regenbogen::N,а́тямъёнга,gwareg-ar-glav
91,Donner::N,атям,kurun
92,Strömung::N,шудема́,red
93,Tropfen::N,путькс,bannac'h
94,Tropfen::N,путькс,takenn
95,Tropfen::N,пътняфкс,bannac'h
96,Tropfen::N,пътняфкс,takenn
97,Schaum::N,шов,spoum
98,Schmutz::N,ърда́з,fank
99,See::N,эрьхке,lenn
100,Sumpf::N,шяй,gwern
101,Moor::N,шяй,taouarc'heg
102,Wiese::N,луга,prad
103,Wald::N,вирь,koad
104,Hügel::N,губо́р,torgenn
105,Hügel::N,пандоня,torgenn
106,Anhöhe::N,губо́р,run
107,Berg::N,панда,menez
108,Gipfel::N,пря,barr
109,Höhle::N,у́нда,kav
110,Abhang::N,па́нда ша́ма,naou
111,Quelle::N,эшиня,feunteun
112,Bach::N,шудерькс,gwazh
113,Fluss::N,ляй,stêr
114,Ufer::N,търва́,ribl
115,Küste::N,ляйтърва́,aod
116,Festland::N,мода,douar
117,Meer::N,моря,mor
118,Bucht::N,ведьуське,mor-bihan
119,Insel::N,цёнга,enez
120,Blume::N,панчф,bleunienn
121,Gras::N,тише,geot
122,Wurzel::N,юр,gwrizienn
123,Wurzel::N,ункс,gwrizienn
124,Baum::N,шуфта,gwezenn
125,Stamm::N,ро́нга,kef
126,Rinde::N,кер,rusk
127,Ast::N,морга,barr
128,Zweig::N,тарад,bod
129,Blatt::N,лопа,delienn
130,Birke::N,ке́лу,bezvenn
131,Kiefer[Baum]::N,пиче,pinenn
132,Weide[Baum]::N,каль,halegenn
133,Tanne::N,куз,sapenn
134,Horn::N,сюра,korn
135,Feder::N,толга,pluñv
136,Fell::N,кедь,kreoñ
137,Flügel::N,паця,askell
138,Klaue::N,кенже,skilf
139,Kralle::N,кенже,skilf
140,Schwanz::N,пула,lost
141,Ei::N,ал,vi
142,Nest::N,пиза,neizh
143,Bau::N,пиза,douarenn
144,Tier::N,жува́та,loen
145,Herde::N,нал,tropell
146,Herde::N,стада,tropell
147,Kuh::N,скал,buoc'h
148,Kuh::N,тракс,buoc'h
149,Bulle::N,бука,tarv
150,Pferd::N,лишме,marc'h
151,Schaf::N,уча́,dañvad
152,Schwein::N,тува,pemoc'h
153,Hund::N,пине,ki
154,Katze::N,катоня,kazh
155,Katze::N,аваката,kazh
156,Bär::N,офта,arzh
157,Eichhörnchen::N,ур,gwiñver
158,Elch::N,ся́рда,karv-dour
159,Fuchs::N,келазь,louarn
160,Hase::N,ну́мол,gad
161,Maus::N,шеер,logodenn
162,Wolf::N,върьгаз,bleiz
163,Vogel::N,нармонь,labous
164,Schwarm::N,ко́вол,nijad
165,Schwarm::N,ме́швеле,nijad
166,Huhn::N,сараз,yar
167,Hahn::N,а́тякш,kilhog
168,Gans::N,маци,gwazenn
169,Adler::N,куцькан,erer
170,Ente::N,яксярга,houad
171,Eule::N,ко́рож,toud
172,Kranich::N,ка́рга,garan
173,Krähe::N,ва́рси,bran
174,Kuckuck::N,ку́ку,koukoug
175,Schwan::N,ло́ксти,alarc'h
176,Fisch::N,кал,pesk
177,Barsch::N,о́кунь,brell
178,Hecht::N,щу́ка,beked
179,Schlange[Tier]::N,куй,naer
180,Wurm::N,сукс,preñv
181,Spinne::N,унжа́,kevnidenn
182,Ameise::N,панжам,merion
183,Laus::N,си,laouenn
184,Mücke::N,ся́ське,moustik
185,Fliege::N,кару,kelienenn
186,Schmetterling::N,ме́лав,balafenn
187,Beere::N,и́мож,hog
188,Apfel::N,марь,aval
189,Pilz::N,панга,kabell-touseg
190,Zwiebel::N,шурьхкя́,ognonenn
191,Saat::N,видьмот,had
192,Korn::N,сёра,ed
193,Heu::N,тише,foenn
194,Schale::N,кедь,peliadur
195,Grube::N,лотка,
196,Falle::N,туфкс,pech
197,Falle::N,кунда́ма,pech
198,Schlinge::N,килькш,krouglas
199,Spur::N,пильгоки́,
200,Asche::N,кулу,ludu
201,Dreck::N,ърда́з,fank
202,Eisen::N,кшни,houarn
203,Gold::N,ока,aour
204,Gold::N,золота,aour
205,Silber::N,сия́,arc'hant
206,Kohle::N,седь,glaou
207,Kohle::N,седьвальмя,glaou
208,Glas::N,кля́нцек,gwer
209,Lehm::N,сёвонь,
210,Sand::N,шува́р,traezh
211,Mensch::N,ломань,den
212,Mann::N,аля,den
213,Mann::N,цёраломань,den
214,Frau::N,ава,maouez
215,Kind::N,идь,bugel
216,Kind::N,шаба,bugel
217,Junge::N,цёраня,paotr
218,Mädchen::N,стирня́,plac'h
219,Familie::N,тнал,familh
220,Familie::N,семья,familh
221,Großvater::N,атя,tad-kozh
222,Großvater::N,щя́тя,tad-kozh
223,Großmutter::N,баба,mamm-gozh
224,Eltern::N,тя́дят-а́лят,kerent
225,Vater::N,аля,tad
226,Mutter::N,ава,mamm
227,Mutter::N,тядя,mamm
228,Sohn::N,цёра,mab
229,Tochter::N,стирь,merc'h
230,Bruder::N,дуган,breur
231,Bruder::N,пяльне,breur
232,Schwester::N,ака,c'hoar
233,Schwester::N,сазор,c'hoar
234,Onkel::N,оця,eontr
235,Onkel::N,патя,eontr
236,Onkel::N,щеня́,eontr
237,Tante::N,ака,moereb
238,Tante::N,щака,moereb
239,Ehemann::N,мирде,gwaz
240,Ehefrau::N,ърьвя́,gwreg
241,Freude::N,ке́нярдема,levenez
242,Gelächter::N,рахсема,c'hoarzherezh
243,Glück::N,паваз,chañs
244,Kummer::N,ризф,doan
245,Kummer::N,пичефкс,doan
246,Wunsch::N,мяль,c'hoant
247,Wunsch::N,таколдома,c'hoant
248,Lust::N,таколдома,c'hoant
249,Geist::N,вайме,spered
250,Gedanke::N,мяль,soñj
251,Gedächtnis::N,прявий,eñvor
252,Verstand::N,прявий,skiant
253,Sinn::N,ён,ster
254,Grund::N,туфта́л,kaoz
255,Wahrheit::N,ви́де,gwirionez
256,Wahrheit::N,видеши́,gwirionez
257,Gespräch::N,корхтама,kaozeadenn
258,Märchen::N,ёфкс,kaoz korriganez
259,Erzählung::N,азкс,kontadenn
260,Nachricht::N,куля́,keloù
261,Neuigkeit::N,куля́,kelaouenn
262,Name::N,лем,anv
263,Rätsel::N,со́дама ёфкс,divinatez
