,Concept_ID,hi,az
0,Auge::N,आँख,göz
1,Auge::N,चक्षु,göz
2,Ohr::N,कान,qulaq
3,Ohr::N,कर्ण,qulaq
4,Nase::N,नाक,burun
5,Nase::N,नासा,burun
6,Mund::N,मुख,ağız
7,Mund::N,मुँह,ağız
8,Zahn::N,दंत,diş
9,Zahn::N,दाँत,diş
10,Zunge::N,जीभ,dil
11,Zunge::N,ज़बान,dil
12,Zunge::N,जिह्वा,dil
13,Lippe::N,ओंठ,dodaq
14,Lippe::N,होंठ,dodaq
15,Wange::N,गाल,yanaq
16,Wange::N,कपोल,yanaq
17,Gesicht::N,मुँह,üz
18,Gesicht::N,चेहरा,üz
19,Stirn::N,माथा,alın
20,Stirn::N,मस्तक,alın
21,Haar::N,बाल,saç
22,Schnurrbart::N,मूँछें,bığ
23,Bart::N,दाढ़ी,saqqal
24,Kinn::N,चिबुक,çənə
25,Kiefer[Anatomie]::N,जबड़ा,çənə
26,Kehle::N,गला,boğaz
27,Hals::N,गला,boyun
28,Hals::N,गरदन,boyun
29,Genick::N,गरदन,ənsə
30,Genick::N,ग्रीवा,ənsə
31,Kopf::N,सिर,baş
32,Kopf::N,शीर्ष,baş
33,Rücken::N,पीठ,bel
34,Bauch::N,उदर,qarın
35,Nabel::N,नाभि,göbək
36,Nabel::N,ढोंढी,göbək
37,Busen::N,कुच,məmə
38,Busen::N,स्तन,məmə
39,Brust::N,वक्ष,döş
40,Schulter::N,कंधा,çiyin
41,Schulter::N,स्कंध,çiyin
42,Arm::N,बाँह,qol
43,Arm::N,बाज़ू,qol
44,Ellenbogen::N,कुहनी,dirsək
45,Hand::N,हाथ,əl
46,Hand::N,हस्त,əl
47,Handfläche::N,हथेली,ovuc
48,Finger::N,उँगली,barmaq
49,Finger::N,अँगुली,barmaq
50,Fingernagel::N,नख,barmaq dırnağı
51,Fingernagel::N,नाख़ून,barmaq dırnağı
52,Nagel[Anatomie]::N,नख,dırnak
53,Nagel[Anatomie]::N,नाख़ून,dırnak
54,Zeh::N,उँगली,ayaq barmağı
55,Zeh::N,पाँव की उँगली,ayaq barmağı
56,Fuß::N,चरण,ayaq
57,Fuß::N,पाँव,ayaq
58,Ferse::N,एड़ी,daban
59,Knie::N,जानु,diz
60,Knie::N,घुटना,diz
61,Oberschenkel::N,उरु,bud
62,Bein::N,टाँग,qıç
63,Körper::N,तन,əndam
64,Körper::N,देह,əndam
65,Körper::N,शरीर,əndam
66,Haut::N,चर्म,dəri
67,Haut::N,त्वचा,dəri
68,Blut::N,लहू,qan
69,Blut::N,ख़ून,qan
70,Ader::N,रग,damar
71,Ader::N,शिरा,damar
72,Sehne::N,कंडरा,vətər
73,Sehne::N,स्नायु,vətər
74,Knochen::N,अस्थि,sümük
75,Gehirn::N,दिमाग़,beyin
76,Gehirn::N,मस्तिष्क,beyin
77,Herz::N,दिल,ürək
78,Herz::N,हृदय,ürək
79,Magen::N,मेदा,mədə
80,Magen::N,अमाशय,mədə
81,Leber::N,जिगर,qara ciyər
82,Leber::N,यकृत्,qara ciyər
83,Atem::N,दम,nəfəs
84,Atem::N,साँस,nəfəs
85,Atem::N,श्वास,nəfəs
86,Hunger::N,भूख,aclıq
87,Hunger::N,क्षुधा,aclıq
88,Träne::N,आँसू,göz yaşı
89,Träne::N,अश्रु,göz yaşı
90,Geschmack::N,स्वाद,tam
91,Geschmack::N,स्वाद,ləzzət
92,Geschmack::N,ज़ायक़ा,tam
93,Geschmack::N,ज़ायक़ा,ləzzət
94,Geruch::N,बू,qoxu
95,Geruch::N,गंध,qoxu
96,Schlaf::N,नींद,yuxu
97,Schlaf::N,निद्रा,yuxu
98,Traum::N,सपना,röya
99,Traum::N,स्वप्न,röya
100,Himmel::N,आकाश,göy
101,Himmel::N,आकाश,səma
102,Himmel::N,आसमान,göy
103,Himmel::N,आसमान,səma
104,Sonne::N,रवि,günəş
105,Sonne::N,सूरज,günəş
106,Sonne::N,सूर्य,günəş
107,Mond::N,चाँद,ay
108,Mond::N,चंद्र,ay
109,Stern::N,तारा,ulduz
110,Stern::N,सितारा,ulduz
111,Luft::N,हवा,hava
112,Luft::N,वायु,hava
113,Wind::N,पाद,yel
114,Wind::N,पाद,külək
115,Welle::N,लहर,dalğa
