,Concept_ID,udm,te
0,Auge::N,син,కన్ను
1,Ohr::N,пель,చెవి
2,Nase::N,ныр,ముక్కు
3,Mund::N,ым,నోరు
4,Zahn::N,пинь,పల్లు
5,Zunge::N,кыл,నాలుక
6,Lippe::N,ымдур,పెదవి
7,Wange::N,бам,చెంప
8,Gesicht::N,ымныр,ముఖము
9,Stirn::N,кымес,నుదురు
10,Haar::N,йырси,వెండ్రుక
11,Schnurrbart::N,мыйык,మీసము
12,Bart::N,туш,గడ్డము
13,Kinn::N,ангес,గడ్డము
14,Kiefer[Anatomie]::N,ан,దౌడ
15,Kiefer[Anatomie]::N,анлы,దౌడ
16,Kehle::N,гульым,గొంతు
17,Hals::N,чырты,మెడ
18,Genick::N,йырбер,మూపు
19,Kopf::N,йыр,తల
20,Rücken::N,мыш,వెన్ను
21,Bauch::N,кӧт,కడుపు
22,Nabel::N,гогы,బొడ్డు
23,Busen::N,ноны,స్తనము
24,Brust::N,мӧля,ఱొమ్ము
25,Schulter::N,пельпум,భుజము
26,Arm::N,суй,చేయి
27,Ellenbogen::N,гырпум,మోచేయి
28,Hand::N,ки,చేయి
29,Handfläche::N,ки пыдэс,అరచేయు
30,Handfläche::N,кырым пыдэс,అరచేయు
31,Finger::N,чиньы,చేతిప్రేలు
32,Fingernagel::N,гижы,గోరు
33,Fingernagel::N,гиждӥнь,గోరు
34,Nagel[Anatomie]::N,гижы,గోరు
35,Zeh::N,пыдчиньы,కాలిప్రేలు
36,Fuß::N,пыд,అడుగు
37,Ferse::N,пыдбер,మడమ
38,Knie::N,пыдес,మోకాలు
39,Oberschenkel::N,макес,తొడ
40,Bein::N,пыд,కాలు
41,Körper::N,мугор,కాయము
42,Körper::N,вылтыр,కాయము
43,Haut::N,ку,చర్మము
44,Blut::N,вир,రక్తము
45,Ader::N,вирсэр,సిర
46,Sehne::N,вуж,స్నాయువు
47,Knochen::N,лы,ఎముక
48,Gehirn::N,вим,మెదడు
49,Herz::N,сюлэм,హృదయము
50,Magen::N,ӝуш,కడుపు
51,Leber::N,мус,కాలేయము
52,Atem::N,лул,ఉపిరి
53,Atem::N,шокан,ఉపిరి
54,Hunger::N,кӧтсюман,ఆకలి
55,Träne::N,синкыли,కన్నీటిచుక్క
56,Geschmack::N,шӧм,రుచి
