,Concept_ID,kn,pt
0,Auge::N,ಕಣ್ಣು,olho
1,Ohr::N,ಕಿವಿ,orelha
2,Nase::N,ಮೂಗು,nariz
3,Mund::N,ಬಾಯಿ,boca
4,Zahn::N,ಹಲ್ಲು,dente
5,Zunge::N,ನಾಲಿಗೆ,língua
6,Lippe::N,ತುಟಿ,lábio
7,Wange::N,ಗಲ್ಲ,face
8,Gesicht::N,ಮುಖ,cara
9,Gesicht::N,ಮುಖ,rosto
10,Stirn::N,ಹಣೆ,testa
11,Haar::N,ಕೂದಲು,cabelo
12,Schnurrbart::N,ಮೀಸೆ,bigode
13,Bart::N,ಗಡ್ಡ,barba
14,Kinn::N,ಗದ್ದ,queixo
15,Kiefer[Anatomie]::N,ದವಡೆ,maxila
16,Kiefer[Anatomie]::N,ದವಡೆ,mandíbula
17,Kehle::N,ಗಂಟಲು,garganta
18,Hals::N,ಕೊರಳು,colo
19,Hals::N,ಕೊರಳು,pescoço
20,Genick::N,ಹಿಂಗತ್ತು,nuca
21,Kopf::N,ತಲೆ,cabeça
22,Rücken::N,ಬೆನ್ನು,dorso
23,Rücken::N,ಬೆನ್ನು,costas
24,Bauch::N,ಹೊಟ್ಟೆ,ventre
25,Bauch::N,ಹೊಟ್ಟೆ,barriga
26,Nabel::N,ಹೊಕ್ಕುಳು,umbigo
27,Busen::N,ಸ್ತನ,seio
28,Brust::N,ಎದೆ,peito
29,Schulter::N,ಭುಜ,ombro
30,Arm::N,ತೋಳು,braço
31,Ellenbogen::N,ಮೊಣಕೈ,cotovelo
32,Hand::N,ಕೈ,mão
33,Handfläche::N,ಅಂಗೈ,palma
34,Handfläche::N,ಅಂಗೈ,palma da mão
35,Finger::N,ಕೈಬೆರಳು,dedo
36,Fingernagel::N,ಉಗುರು,unha
37,Nagel[Anatomie]::N,ಉಗುರು,unha
38,Zeh::N,ಕಾಲ್ಬೆರಳು,dedo do pé
39,Fuß::N,ಪಾದ,pé
40,Ferse::N,ಹಿಮ್ಮಡಿ,calcanhar
41,Knie::N,ಮಂಡಿ,joelho
42,Oberschenkel::N,ತೊಡೆ,coxa
43,Bein::N,ಕಾಲು,perna
44,Körper::N,ದೇಹ,corpo
45,Haut::N,ಚರ್ಮ,pele
46,Blut::N,ರಕ್ತ,sangue
47,Ader::N,ನರ,veia
48,Sehne::N,ನರ,tendão
49,Knochen::N,ಮೂಳೆ,osso
50,Gehirn::N,ಮಿದುಳು,cérebro
51,Herz::N,ಹೃದಯ,coração
52,Magen::N,ಉದರ,estômago
53,Leber::N,ಯಕೃತ್ತು,fígado
54,Atem::N,ಉಸಿರು,fôlego
55,Hunger::N,ಹಸಿವು,fome
56,Träne::N,ಕಣ್ಣೀರು,lágrima
57,Geschmack::N,ರುಚಿ,gosto
58,Geruch::N,ವಾಸನೆ,odor
59,Geruch::N,ವಾಸನೆ,cheiro
60,Schlaf::N,ನಿದ್ರೆ,sono
61,Traum::N,ಕನಸು,sonho
62,Himmel::N,ಬಾನು,céu
63,Sonne::N,ಸೂರ್ಯ,sol
64,Mond::N,ಚಂದ್ರ,lua
65,Stern::N,ಚುಕ್ಕಿ,estrela
66,Luft::N,ವಾಯು,ar
67,Wind::N,ಗಾಳಿ,vento
68,Welle::N,ಅಲೆ,onda
69,Wasser::N,ನೀರು,água
70,Stein::N,ಕಲ್ಲು,pedra
71,Boden::N,ನೆಲ,solo
72,Erde::N,ಭೂಮಿ,terra
73,Staub::N,ದೂಳು,pó
74,Rauch::N,ಹೊಗೆ,fumo
75,Funke::N,ಕಿಡಿ,faísca
76,Funke::N,ಕಿಡಿ,centelha
77,Feuer::N,ಬೆಂಕಿ,fogo
78,Licht::N,ಬೆಳಕು,luz
79,Schatten::N,ನೆರಳು,sombra
80,Wetter::N,ಹವ,tempo
81,Nebel::N,ಮಂಜು,nevoeiro
82,Wolke::N,ಮೋಡ,nuvem
83,Regen::N,ಮಳೆ,chuva
84,Schnee::N,ಹಿಮ,neve
