,Concept_ID,ce,da
0,Auge::N,бӏаьрг,øje
1,Ohr::N,лерг,øre
2,Nase::N,мара,næse
3,Mund::N,бага,mund
4,Zahn::N,церг,tand
5,Zunge::N,мотт,tunge
6,Lippe::N,балда,læbe
7,Wange::N,бесни,kind
8,Gesicht::N,юьхь,ansigt
9,Stirn::N,хьаж,pande
10,Haar::N,мас,hår
11,Schnurrbart::N,мекх,overskæg
12,Bart::N,маж,skæg
13,Kinn::N,чӏениг,hage
14,Kiefer[Anatomie]::N,мочхал,kæbe
15,Kehle::N,къамкъарг,strube
16,Hals::N,ворта,hals
17,Genick::N,кӏесаркӏаг,nakke
18,Kopf::N,корта,hoved
19,Rücken::N,букъ,ryg
20,Bauch::N,кийра,mave
21,Nabel::N,цӏонга,navle
22,Busen::N,зударийн накха,barm
23,Brust::N,накха,bryst
24,Schulter::N,белш,skulder
25,Arm::N,пхьарс,arm
26,Ellenbogen::N,пхьаьрсан гола,albue
27,Hand::N,куьг,hånd
28,Handfläche::N,кераюкъ,håndflade
29,Finger::N,пӏелг,finger
30,Fingernagel::N,мӏара,fingernegl
31,Nagel[Anatomie]::N,мӏара,negl
32,Zeh::N,кога пӏелг,tå
33,Fuß::N,ког,fod
34,Ferse::N,кӏажа,hæl
35,Knie::N,гола,knæ
36,Oberschenkel::N,варе,lår
37,Bein::N,ког,ben
38,Körper::N,хӏума,krop
39,Körper::N,хӏума,legeme
40,Haut::N,чкъор,hud
41,Blut::N,цӏий,blod
42,Ader::N,пха,åre
43,Sehne::N,хьорзам,sene
44,Knochen::N,даьӏахк,ben
45,Gehirn::N,хье,hjerne
46,Herz::N,дог,hjerte
47,Magen::N,зорх,mave
48,Leber::N,доӏах,lever
49,Atem::N,садеӏар,ånde
50,Hunger::N,мацалла,sult
51,Träne::N,бӏаьрхи,tåre
52,Geschmack::N,чам,smag
53,Geruch::N,хьожа,lugt
54,Schlaf::N,наб,søvn
55,Traum::N,гӏан,drøm
56,Himmel::N,стигал,himmel
57,Sonne::N,малх,sol
58,Mond::N,бутт,måne
59,Stern::N,седа,stjerne
60,Luft::N,xӏаваъ,luft
61,Wind::N,мох,vind
62,Welle::N,тулгӏе,bølge
63,Wasser::N,хи,vand
64,Stein::N,тӏулг,sten
65,Boden::N,цӏенкъа,jord
66,Erde::N,латта,jord
67,Staub::N,чан,støv
68,Rauch::N,кӏур,røg
69,Funke::N,суй,gnist
70,Feuer::N,цӏе,ild
71,Licht::N,серло,lys
72,Schatten::N,ӏиндагӏ,skygge
73,Wetter::N,хенан хӏоттам,vejr
74,Nebel::N,дохк,tåge
75,Wolke::N,марха,sky
76,Regen::N,догӏа,regn
77,Schnee::N,ло,sne
78,Eis::N,ша,is
79,Frost::N,шело,frost
80,Kälte::N,шело,kulde
81,Hitze::N,йовхо,hede
82,Raureif::N,йис,rimfrost
83,Regenbogen::N,стелаӏад,regnbue
84,Donner::N,ткъес,torden
85,Strömung::N,дӏаэхар,strømning
86,Strömung::N,дӏасалелар,strømning
87,Tropfen::N,тӏадам,dråbe
88,Schaum::N,чопа,skum
89,Schmutz::N,хатт,snavs
90,See::N,ӏам,sø
91,Sumpf::N,уьшал,sump
92,Moor::N,уьшал,mose
93,Wiese::N,бай,eng
94,Wald::N,хьун,skov
95,Hügel::N,гу,høj
96,Hügel::N,гу,bakke
97,Hügel::N,шу,høj
98,Hügel::N,шу,bakke
99,Hügel::N,барз,høj
100,Hügel::N,барз,bakke
101,Anhöhe::N,акъари,høj
102,Anhöhe::N,акъари,bakke
103,Berg::N,лам,bjerg
104,Gipfel::N,бохь,top
105,Höhle::N,хьех,hule
106,Abhang::N,басе,skrænt
107,Abhang::N,басе,skråning
108,Quelle::N,шовда,kilde
109,Bach::N,татол,bæk
110,Fluss::N,хи,flod
111,Ufer::N,хийист,bred
112,Küste::N,йист,kyst
113,Festland::N,латта,fastland
114,Meer::N,xӏорд,hav
115,Bucht::N,чож,bugt
116,Insel::N,гӏайре,ø
117,Blume::N,зезаг,blomst
118,Gras::N,буц,græs
119,Wurzel::N,орам,rod
120,Baum::N,дитт,træ
121,Stamm::N,гӏад,stamme
122,Stamm::N,тайпа,stamme
123,Rinde::N,кевстиг,bark
124,Ast::N,га,gren
125,Zweig::N,га,kvist
126,Blatt::N,гӏа,blad
127,Birke::N,дакх,birk
128,Kiefer[Baum]::N,бага,fyrretræ
129,Weide[Baum]::N,дак,piletræ
