,Concept_ID,vep,ab
0,Auge::N,sil'm,ала
1,Ohr::N,korv,алымҳа
2,Nase::N,nena,аҧынҵа
3,Mund::N,su,аҧышə
4,Zahn::N,pi,ахаҧыц
5,Zahn::N,hambaz,ахаҧыц
6,Zunge::N,kel',абз
7,Lippe::N,hul',ақьышə
8,Wange::N,modpolišk,аӡамҩа
9,Gesicht::N,mod,аҿы
10,Stirn::N,oc,алахь
11,Haar::N,tuk,ахəыц
12,Haar::N,hibuz,ахəыц
13,Schnurrbart::N,habinod,аҧаҵа
14,Bart::N,bard,ажакьа
15,Kinn::N,löug,ацламкəыгə
16,Kiefer[Anatomie]::N,hambazlu,ацламҳəа
17,Kehle::N,kurk,ахəда
18,Hals::N,kagl,ахəда
19,Genick::N,tagarai,ахəдаџьал
20,Kopf::N,pä,ахы
21,Rücken::N,sel'g,азқəа
22,Bauch::N,vac,амгəа
23,Bauch::N,koht,амгəа
24,Nabel::N,naba,аҷапан
25,Busen::N,niža,агəыҧҳəы
26,Brust::N,rind,агəышҧы
27,Schulter::N,oug,ажəҩахыр
28,Arm::N,käzi,амахəар
29,Ellenbogen::N,künambruz,амашьхəылҵ
30,Hand::N,käzi,анапы
31,Hand::N,käzitera,анапы
32,Handfläche::N,kämen,анапсаргəыҵа
33,Finger::N,sor'm,анацəа
34,Fingernagel::N,künz',анапхыц
35,Nagel[Anatomie]::N,künz',ашьапхыц
36,Zeh::N,barbaz,ашьацəа
37,Fuß::N,jaug,ашьапсыргəыҵа
38,Ferse::N,kand,ашьхəа
39,Knie::N,komb,ашьамхы
40,Knie::N,pol'v,ашьамхы
41,Oberschenkel::N,riiže,ауаҭəа
42,Bein::N,jaug,ашьапы
43,Körper::N,hibj,ацəеижь
44,Haut::N,nahk,ацəа
45,Blut::N,čak,ашьа
46,Blut::N,veri,ашьа
47,Ader::N,son',ада
48,Sehne::N,jände,адаш
49,Knochen::N,lu,абаҩ
50,Gehirn::N,aivod,ахшлыбаҩ
51,Gehirn::N,aivod,ахшыбаҩ
52,Herz::N,südäin,агəы
53,Magen::N,südäikoht,аца
54,Magen::N,südäikoht,ацар
55,Leber::N,maks,агəаҵəа
56,Atem::N,hengaiduz,аҧсыҧлагаҩгара
57,Hunger::N,näl'g,амла
58,Träne::N,kündal',алабжыш
59,Geschmack::N,magu,агьама
60,Geruch::N,haju,афҩы
61,Schlaf::N,uni,ацəа
62,Traum::N,unikuva,аҧхыӡ
63,Himmel::N,taivaz,ажəҩан
64,Sonne::N,päiväine,амра
65,Mond::N,kudmaine,амза
66,Stern::N,tähtaz,аеҵəа
67,Luft::N,il'm,аҳаир
68,Wind::N,döl,аҧша
69,Wind::N,tullei,аҧша
70,Welle::N,ald,ацəқəырҧа
71,Welle::N,laineh,ацəқəырҧа
72,Wasser::N,vezi,аӡы
73,Stein::N,kivi,ахаҳə
74,Boden::N,ma,адгьыл
75,Boden::N,pohj,адгьыл
76,Erde::N,ma,адгьыл
77,Staub::N,pölü,асаба
78,Rauch::N,savu,алҩа
79,Funke::N,kibin,акəиц
80,Funke::N,kibin,ацҧхь
81,Feuer::N,lämoi,амца
82,Licht::N,vauktuz,алашара
83,Schatten::N,pil'vez,ашəшьыра
84,Schatten::N,kuvahaine,ашəшьыра
85,Wetter::N,sä,амш
