,Concept_ID,kn,av
0,Auge::N,ಕಣ್ಣು,
1,Ohr::N,ಕಿವಿ,гӏин
2,Nase::N,ಮೂಗು,мегӏер
3,Mund::N,ಬಾಯಿ,кӏал
4,Zahn::N,ಹಲ್ಲು,гӏус
5,Zunge::N,ನಾಲಿಗೆ,мацӏ
6,Lippe::N,ತುಟಿ,кӏветӏ
7,Wange::N,ಗಲ್ಲ,гӏоно
8,Gesicht::N,ಮುಖ,гьумер
9,Stirn::N,ಹಣೆ,нодо
10,Haar::N,ಕೂದಲು,рас
11,Schnurrbart::N,ಮೀಸೆ,михъ
12,Bart::N,ಗಡ್ಡ,мегеж
13,Kinn::N,ಗದ್ದ,нилъу
14,Kiefer[Anatomie]::N,ದವಡೆ,чанагъ
15,Kehle::N,ಗಂಟಲು,щекъер
16,Hals::N,ಕೊರಳು,габур
17,Genick::N,ಹಿಂಗತ್ತು,гъванща
18,Kopf::N,ತಲೆ,бетӏер
19,Rücken::N,ಬೆನ್ನು,мугъ
20,Bauch::N,ಹೊಟ್ಟೆ,чехь
21,Nabel::N,ಹೊಕ್ಕುಳು,цӏину
22,Busen::N,ಸ್ತನ,керен
23,Brust::N,ಎದೆ,керен
24,Schulter::N,ಭುಜ,гъажазубетӏер
25,Arm::N,ತೋಳು,гъеж
26,Ellenbogen::N,ಮೊಣಕೈ,гӏункӏрукь
27,Hand::N,ಕೈ,квер
28,Handfläche::N,ಅಂಗೈ,огъохъат
29,Handfläche::N,ಅಂಗೈ,жанисахъат
30,Finger::N,ಕೈಬೆರಳು,килищ
31,Fingernagel::N,ಉಗುರು,малъ
32,Nagel[Anatomie]::N,ಉಗುರು,малъ
33,Zeh::N,ಕಾಲ್ಬೆರಳು,килищ
34,Fuß::N,ಪಾದ,хӏетӏ
35,Fuß::N,ಪಾದ,хӏетӏе
36,Ferse::N,ಹಿಮ್ಮಡಿ,эгъе
37,Knie::N,ಮಂಡಿ,наку
38,Oberschenkel::N,ತೊಡೆ,мачӏ
39,Bein::N,ಕಾಲು,бох
40,Körper::N,ದೇಹ,къаркъала
41,Haut::N,ಚರ್ಮ,тӏом
42,Blut::N,ರಕ್ತ,би
43,Ader::N,ನರ,бидурихь
44,Sehne::N,ನರ,
45,Knochen::N,ಮೂಳೆ,ракьа
46,Gehirn::N,ಮಿದುಳು,гӏадалнах
47,Herz::N,ಹೃದಯ,ракӏ
48,Magen::N,ಉದರ,кванирукъ
49,Leber::N,ಯಕೃತ್ತು,тӏул
50,Atem::N,ಉಸಿರು,хӏухь
51,Hunger::N,ಹಸಿವು,ракъи
52,Träne::N,ಕಣ್ಣೀರು,магӏу
53,Geschmack::N,ರುಚಿ,тату
54,Geruch::N,ವಾಸನೆ,махӏ
55,Schlaf::N,ನಿದ್ರೆ,макьу
56,Traum::N,ಕನಸು,макьу
57,Himmel::N,ಬಾನು,зоб
58,Sonne::N,ಸೂರ್ಯ,бакъ
59,Mond::N,ಚಂದ್ರ,моцӏ
60,Stern::N,ಚುಕ್ಕಿ,цӏва
61,Luft::N,ವಾಯು,гьава
62,Wind::N,ಗಾಳಿ,гьури
63,Welle::N,ಅಲೆ,карачел
64,Wasser::N,ನೀರು,лъим
65,Stein::N,ಕಲ್ಲು,гьецӏо
66,Boden::N,ನೆಲ,ракь
67,Erde::N,ಭೂಮಿ,ракь
68,Erde::N,ಭೂಮಿ,дуниял
69,Staub::N,ದೂಳು,хӏур
70,Rauch::N,ಹೊಗೆ,кӏкӏуй
71,Funke::N,ಕಿಡಿ,
