,Concept_ID,no,az
0,Auge::N,øye,göz
1,Ohr::N,øre,qulaq
2,Nase::N,nese,burun
3,Mund::N,munn,ağız
4,Zahn::N,tann,diş
5,Zunge::N,tunge,dil
6,Lippe::N,leppe,dodaq
7,Wange::N,kinn,yanaq
8,Gesicht::N,fjes,üz
9,Gesicht::N,ansikt,üz
10,Stirn::N,panne,alın
11,Haar::N,hår,saç
12,Schnurrbart::N,bart,bığ
13,Bart::N,skjegg,saqqal
14,Kinn::N,hake,çənə
15,Kiefer[Anatomie]::N,kjeve,çənə
16,Kehle::N,strupe,boğaz
17,Hals::N,hals,boyun
18,Genick::N,nakke,ənsə
19,Kopf::N,hode,baş
20,Rücken::N,rygg,bel
21,Bauch::N,buk,qarın
22,Bauch::N,mage,qarın
23,Nabel::N,navle,göbək
24,Busen::N,barm,məmə
25,Brust::N,bryst,döş
26,Schulter::N,skulder,çiyin
27,Arm::N,arm,qol
28,Ellenbogen::N,albue,dirsək
29,Hand::N,hånd,əl
30,Handfläche::N,håndflate,ovuc
31,Finger::N,finger,barmaq
32,Fingernagel::N,fingernegl,barmaq dırnağı
33,Nagel[Anatomie]::N,negl,dırnak
34,Zeh::N,tå,ayaq barmağı
35,Fuß::N,fot,ayaq
36,Ferse::N,hæl,daban
37,Knie::N,kne,diz
38,Oberschenkel::N,lår,bud
39,Bein::N,bein,qıç
40,Körper::N,kropp,əndam
41,Körper::N,legeme,əndam
42,Haut::N,hud,dəri
43,Haut::N,skinn,dəri
44,Blut::N,blod,qan
45,Ader::N,åre,damar
46,Sehne::N,sene,vətər
47,Knochen::N,bein,sümük
48,Knochen::N,knokkel,sümük
49,Gehirn::N,hjerne,beyin
50,Herz::N,hjerte,ürək
51,Magen::N,mage,mədə
52,Leber::N,lever,qara ciyər
53,Atem::N,pust,nəfəs
54,Hunger::N,sult,aclıq
55,Träne::N,tåre,göz yaşı
56,Geschmack::N,smak,tam
57,Geschmack::N,smak,ləzzət
58,Geruch::N,lukt,qoxu
