,Concept_ID,kl,it
0,Auge::N,isi,occhio
1,Ohr::N,siut,orecchio
2,Mund::N,paaq,bocca
3,Mund::N,qaneq,bocca
4,Zahn::N,kigut,dente
5,Zunge::N,oqaq,lingua
6,Lippe::N,qarloq,labbro
7,Wange::N,ersaq,guancia
8,Gesicht::N,kiinaq,viso
9,Gesicht::N,kiinaq,faccia
10,Stirn::N,qaaq,fronte
11,Haar::N,meqqoq,capello
12,Bart::N,umik,barba
13,Kinn::N,talloq,mento
14,Kiefer[Anatomie]::N,alleroq,mascella
15,Kehle::N,malaq,gola
16,Hals::N,qungaseq,collo
17,Genick::N,pukusuk,nuca
18,Kopf::N,niaqoq,capo
19,Kopf::N,niaqoq,testa
20,Rücken::N,qimerlut,dorso
21,Rücken::N,qimerlut,schiena
22,Bauch::N,naaq,ventre
23,Nabel::N,qalaseq,ombelico
24,Busen::N,iviangeq,seno
25,Brust::N,iviangeq,petto
26,Schulter::N,ersik,spalla
27,Schulter::N,assaqqoq,spalla
28,Arm::N,taleq,braccio
29,Ellenbogen::N,ikusik,gomito
30,Hand::N,assak,mano
31,Handfläche::N,itumak,palma
32,Finger::N,inuak,dito
33,Fingernagel::N,kikiak,unghia
34,Nagel[Anatomie]::N,kukik,unghia
35,Zeh::N,isigak,dito del piede
36,Ferse::N,kimmik,tallone
37,Ferse::N,kimmik,calcagno
38,Knie::N,seeqqoq,ginocchio
39,Oberschenkel::N,uppat,fèmore
40,Oberschenkel::N,quttoraq,fèmore
41,Bein::N,isigak,gamba
42,Körper::N,timi,corpo
43,Haut::N,mattak,pelle
44,Blut::N,aak,sangue
45,Ader::N,taqaq,vena
46,Sehne::N,ujalu,tèndine
47,Sehne::N,ujaloq,tèndine
48,Knochen::N,saanikut,osso
49,Gehirn::N,qarasaq,cervello
50,Herz::N,uummat,cuore
51,Magen::N,aqajaroq,stòmaco
52,Leber::N,tinguk,fegato
53,Atem::N,anerneq,fiato
54,Atem::N,anerneq,respiro
55,Hunger::N,kaanneq,fame
56,Träne::N,qia,làcrima
57,Träne::N,qiak,làcrima
58,Geschmack::N,qilanaartuut,gusto
59,Geschmack::N,qilanaartuut,sapore
60,Geruch::N,tipi,odore
61,Geruch::N,tipik,odore
62,Traum::N,sinnattoq,sogno
63,Traum::N,sinnattugaq,sogno
64,Himmel::N,qilak,cielo
65,Sonne::N,seqineq,sole
66,Mond::N,qaammat,luna
67,Stern::N,ulloriaq,stella
68,Luft::N,silaannaq,aria
69,Wind::N,anori,vento
70,Wind::N,anorsarik,vento
71,Welle::N,aalappaa,onda
72,Wasser::N,imeq,acqua
73,Stein::N,ujarak,sasso
74,Stein::N,ujarak,pietra
75,Boden::N,nateq,suolo
76,Boden::N,nateq,terreno
77,Erde::N,issoq,terra
78,Staub::N,pujualanerit,polvere
79,Staub::N,pujoralanerit,polvere
80,Rauch::N,iseq,fumo
81,Rauch::N,pujoq,fumo
82,Funke::N,illoorneq,scintilla
83,Feuer::N,inneq,fuoco
84,Licht::N,qaamaneq,luce
85,Schatten::N,tarraq,ombra
86,Wetter::N,sila,tempo
87,Nebel::N,pujoq,nebbia
88,Wolke::N,nuia,nube
89,Wolke::N,nuia,nùvola
90,Regen::N,sialuk,pioggia
91,Schnee::N,aput,neve
92,Eis::N,siku,ghiaccio
93,Frost::N,issi,gelo
94,Frost::N,issik,gelo
95,Kälte::N,issi,freddo
96,Hitze::N,kianneq,caldo
97,Hitze::N,kianneq,calura
98,Hitze::N,kiassuseq,caldo
99,Hitze::N,kiassuseq,calura
100,Raureif::N,kaneq,brina
101,Regenbogen::N,neriusaaq,arcobaleno
102,Donner::N,kalleq,tuono
103,Tropfen::N,kuseriarneq,goccia
104,Schaum::N,qapuk,spuma
105,Schaum::N,qapuk,schiuma
106,Schmutz::N,minguk,sudiciume
107,See::N,taseq,lago
108,Sumpf::N,maqulluk,palude
109,Wiese::N,masarsuk,prato
110,Hügel::N,qattuneq,colle
111,Hügel::N,qattuneq,collina
112,Hügel::N,majuariaq,colle
113,Hügel::N,majuariaq,collina
114,Hügel::N,majorajaaq,colle
115,Hügel::N,majorajaaq,collina
116,Hügel::N,qaqqannguaq,colle
117,Hügel::N,qaqqannguaq,collina
118,Berg::N,qaqqaq,monte
119,Berg::N,qaqqaq,montagna
120,Höhle::N,qaarusuk,grotta
121,Höhle::N,qaarusuk,caverna
