,Concept_ID,sah,tt
0,Auge::N,харах,күз
1,Ohr::N,кулгаах,колак
2,Nase::N,мурун,борын
3,Mund::N,айах,авыз
4,Mund::N,айах,тамак
5,Zahn::N,тиис,теш
6,Zunge::N,тыл,тел
7,Lippe::N,уос,ирен
8,Wange::N,иэдэс,яңак
9,Gesicht::N,сирэй,йөз
10,Stirn::N,сүүс,маңгай
11,Haar::N,баттах,чәч
12,Schnurrbart::N,уос бытыга,мыек
13,Bart::N,сэҥийэ бытыга,сакал
14,Kinn::N,сэҥийэ,ияк
15,Kiefer[Anatomie]::N,сыҥаах,казналык
16,Kehle::N,тамах,тамак
17,Kehle::N,күөмэй,тамак
18,Hals::N,моой,бугаз
19,Genick::N,кэтэх,җилкә
20,Kopf::N,бас,баш
21,Rücken::N,көҕүс,сырт
22,Bauch::N,ис,корсак
23,Nabel::N,киин,кендек
24,Busen::N,эмиий,түш
25,Brust::N,түөс,имчәк
26,Brust::N,түөс,күкрәк
27,Schulter::N,сарын,иңбаш
28,Schulter::N,сарын,кулбаш
29,Arm::N,илии,кул
30,Ellenbogen::N,тоҕонох,терсәк
31,Hand::N,илии,кул
32,Handfläche::N,ытыс,уч
33,Finger::N,тарбах,бармак
34,Fingernagel::N,тыҥырах,тырнак
35,Nagel[Anatomie]::N,тыҥырах,тырнак
36,Zeh::N,тарбах,бармак
37,Fuß::N,уллуҥах,табан
38,Ferse::N,тилэх,үкчә
39,Knie::N,тобук,тез
40,Knie::N,дьилбэк,тез
41,Oberschenkel::N,уллук,бот
42,Oberschenkel::N,өттүк,бот
43,Bein::N,атах,аяк
44,Körper::N,бэйэ,тән
45,Körper::N,бэйэ,җисем
46,Haut::N,тирии,тире
47,Blut::N,хаан,кан
48,Ader::N,вена,тамыр
49,Ader::N,күөх_тымыр,тамыр
50,Sehne::N,иҥиир,сеңер
51,Knochen::N,уҥуох,сөяк
52,Knochen::N,уҥгуох,сөяк
53,Gehirn::N,мэйии,ми
54,Herz::N,сүрэх,йөрәк
55,Magen::N,куртах,ашказаны
56,Leber::N,быар,бавыр
57,Atem::N,тыын,сулыш
58,Hunger::N,аас,ачлык
59,Träne::N,харах уута,яшь
60,Geschmack::N,амтан,тәм
61,Geschmack::N,амтан,зәвык
62,Geruch::N,сыт,ис
63,Schlaf::N,утуйуу,йокы
64,Traum::N,түүл,төш
65,Himmel::N,халлаан,күк
66,Sonne::N,күн,кояш
67,Mond::N,ый,ай
68,Stern::N,сулус,йолдыз
69,Luft::N,салгын,һава
70,Wind::N,тыал,җил
71,Welle::N,долгун,дулкын
72,Welle::N,балхаан,дулкын
73,Wasser::N,уу,су
74,Stein::N,таас,таш
75,Boden::N,сир,туфрак
76,Erde::N,буор,җир
77,Staub::N,быыл,тузан
78,Rauch::N,буруо,төтен
79,Funke::N,кыым,очкын
80,Feuer::N,уот,ут
81,Licht::N,уот,якты
82,Schatten::N,күлүк,күләгә
83,Wetter::N,күн-дьыл,һава
84,Nebel::N,туман,томан
85,Wolke::N,былыт,болыт
86,Regen::N,самыыр,яңгыр
87,Schnee::N,хаар,кар
88,Eis::N,муус,боз
89,Frost::N,тымныы,суык
90,Frost::N,тымныы,салкын
91,Kälte::N,тымныы,суык
92,Kälte::N,тымныы,салкын
93,Hitze::N,куйаас,эсселек
94,Raureif::N,кырыа,бәс
95,Raureif::N,кырыа,сыкы
96,Regenbogen::N,кустук,салават күпере
97,Donner::N,этиҥ,күкрәү
98,Strömung::N,сүүрүк,агыш'агым
99,Tropfen::N,таммах,тамчы
100,Tropfen::N,хааппыла,тамчы
101,Schaum::N,күүгэн,күбек
102,Schmutz::N,кир,пычрак
103,See::N,күөл,күл
104,Sumpf::N,бадараан,саз
105,Moor::N,дьэбэрэ,торфлык
106,Wiese::N,ходуһа,болын
107,Wald::N,ойуур,урман
108,Hügel::N,булгунньах,калку
109,Anhöhe::N,үрдэл,үр
110,Berg::N,хайа,тау
111,Gipfel::N,чыпчаал,оч
112,Höhle::N,хайа_хаспаҕа,мәгарә
113,Höhle::N,көҥүс,мәгарә
114,Abhang::N,эниэ,кабырга
115,Quelle::N,дьүүктэ,чишмә
116,Bach::N,үрүйэ,елга
117,Fluss::N,өрүс,дәрья
118,Ufer::N,биэрэк,су кырые
119,Küste::N,кытыл,яр буе
120,Festland::N,кураанах сир,коры җир
121,Meer::N,муора,диңгез
122,Bucht::N,хомо,бухта
123,Bucht::N,хомо,култык
124,Bucht::N,бухта,бухта
125,Bucht::N,бухта,култык
126,Insel::N,арыы,атау
127,Insel::N,арыы,утрау
128,Blume::N,сибэкки,чәчкә
129,Gras::N,от,үлән
130,Wurzel::N,силис,тамыр
131,Baum::N,мас,агач
132,Stamm::N,умнас,кәүсә
133,Rinde::N,хатырык,кабык
134,Ast::N,мутук,ботак
135,Zweig::N,лабаа,ботак
136,Zweig::N,лабаа,тармак
137,Blatt::N,сэбирдэх,яфрак
138,Birke::N,хатыҥ,каен
139,Kiefer[Baum]::N,бэс,нарат
140,Weide[Baum]::N,үөт,тал
141,Weide[Baum]::N,талах,тал
142,Tanne::N,харыйа,чыршы
143,Horn::N,муос,мөгез
144,Feder::N,куорсун,йон
145,Fell::N,тирии,тире
146,Flügel::N,кынат,канат
147,Klaue::N,тыҥырах,тырнак
148,Kralle::N,баппаҕай,тырнак
149,Schwanz::N,кутурук,койрык
150,Ei::N,сымыыт,күкәй
151,Ei::N,сымыыт,йомырка
152,Nest::N,уйа,оя
153,Bau::N,хороон,өн
154,Tier::N,кыыл,хайван
155,Tier::N,харамай,хайван
156,Herde::N,үөр,көтү
157,Kuh::N,ынах,сыер
158,Bulle::N,оҕус,үгез
159,Pferd::N,сылгы,ат
160,Schaf::N,овца,сарык
161,Schwein::N,сибиинньэ,дуңгыз
162,Hund::N,ыт,эт
163,Katze::N,куоска,песи
164,Bär::N,эһэ,аю
165,Eichhörnchen::N,тииҥ,тиен
166,Elch::N,тайах,поши
167,Fuchs::N,саһыл,төлке
168,Hase::N,куобах,куян
169,Maus::N,кутуйах,тычкан
170,Wolf::N,бөрө,бүре
171,Vogel::N,көтөр,кош
172,Schwarm::N,бөлөх,көтү
173,Huhn::N,куурусса,тавык
174,Hahn::N,бөтүүк,әтәч
175,Gans::N,хаас,каз
176,Adler::N,хотой,каракош
177,Ente::N,кус,үрдәк
178,Eule::N,мэкчиргэ,ябалак
179,Kranich::N,туруйа,торна
180,Krähe::N,тураах,карга
181,Kuckuck::N,кэҕэ,күке
182,Kuckuck::N,кэҕэ,кәккүк
183,Schwan::N,куба,аккош
184,Fisch::N,балык,балык
185,Barsch::N,алыһар,алабуга
186,Hecht::N,сордон,чуртан
187,Schlange[Tier]::N,моҕой,елан
188,Schlange[Tier]::N,эриэн үөн,елан
189,Wurm::N,үөн,корт
190,Spinne::N,ооҕуй,үрмәкүч
191,Ameise::N,кымырдаҕас,кырмыска
192,Laus::N,быт,бет
193,Mücke::N,кумаар,черки
194,Mücke::N,кумаар,озынборын
195,Fliege::N,сахсырҕа,чебен
196,Schmetterling::N,лыах,күбәләк
197,Schmetterling::N,үрүмэччи,күбәләк
198,Beere::N,отон,җиләк
199,Apfel::N,яблоко,алма
200,Pilz::N,тэллэй,гөмбә
201,Zwiebel::N,луук,суган
202,Zwiebel::N,луук,суганбаш
203,Saat::N,сиэмэ,орлык
204,Korn::N,сиэмэ,иген
205,Korn::N,сиэмэ,орлык
206,Heu::N,от,печән
207,Schale::N,хах,кабык
208,Grube::N,дьаама,баз
209,Grube::N,дьаама,чокыр
210,Falle::N,сохсо,тозак
211,Falle::N,сохсо,капкын
212,Schlinge::N,уктаа,элмәк
213,Spur::N,суол,эз
214,Asche::N,күл,көл
215,Dreck::N,бадараан,пычрак
216,Eisen::N,тимир,тимер
217,Gold::N,көмүс,алтын
218,Gold::N,кыһыл көмүс,алтын
219,Silber::N,көмүс,көмеш
220,Silber::N,үрүҥ көмүс,көмеш
221,Kohle::N,чох,күмер
222,Glas::N,өстүөкүлэ,пыяла
223,Lehm::N,туой,балчык
224,Sand::N,кумах,ком
225,Mensch::N,киһи,адәм
226,Mensch::N,киһи,инсан
227,Mann::N,эр,ир
228,Frau::N,дьахтар,хатын
229,Kind::N,оҕо,бала
230,Junge::N,уол,малай
231,Mädchen::N,кыыс оҕо,кыз
232,Familie::N,кэргэн,гаилә
233,Großvater::N,эһэ,бабай
234,Großmutter::N,эбэ,әби
235,Eltern::N,аҕа-ийэ,ата-ана
236,Vater::N,аҕа,ата
237,Mutter::N,ийэ,ана
238,Sohn::N,уол,ул
239,Tochter::N,кыыс,кыз
240,Bruder::N,убай,кардәш
241,Bruder::N,быраат,кардәш
242,Schwester::N,аҕас,апа
243,Schwester::N,аҕас,сеңел
244,Schwester::N,балыс,апа
245,Schwester::N,балыс,сеңел
246,Onkel::N,таай,дәдә
247,Onkel::N,таай,дәдәй
248,Onkel::N,абаҕа,дәдә
249,Onkel::N,абаҕа,дәдәй
250,Tante::N,эдьиий,түти
251,Tante::N,эдьиий,тәтәй
252,Ehemann::N,эр,ир
253,Ehefrau::N,ойох,хатын
254,Freude::N,үөрүү,сөенеч
255,Gelächter::N,күлүү,көлү
256,Gelächter::N,күлүү,көлеш
257,Glück::N,дьол,бәхет
258,Glück::N,соргу,бәхет
259,Kummer::N,кутурҕан,хәсрәт
260,Wunsch::N,баҕарыы,теләк
261,Lust::N,баҕа,теләк
262,Lust::N,баҕа,теләү
263,Geist::N,тыын,рух
264,Gedanke::N,санаа,уй
265,Gedanke::N,санаа,фикер
266,Gedächtnis::N,өй,хәтер
267,Verstand::N,өй,акыл
268,Sinn::N,суолта,мәгънә
269,Grund::N,төрүөт,сәбәп
270,Wahrheit::N,кырдьык,хак
271,Gespräch::N,бэсиэдэ,әңгәмә
272,Gespräch::N,кэпсэтии,әңгәмә
273,Märchen::N,остуоруйа,әкият
274,Erzählung::N,кэпсээн,хикәя
275,Nachricht::N,биллэриллии,хәбәр
276,Neuigkeit::N,сонун,яңалык
277,Name::N,аат,исем
278,Rätsel::N,таабырын,табышмак
279,Rede::N,этии,нотык
280,Sprache::N,тыл,тел
281,Stimme::N,куолас,тавыш
282,Wort::N,тыл,сүз
283,Zeichen::N,бэлиэ,ишарә
284,Ruf::N,ыҥырыы,дәшү
285,Lärm::N,айдаан,шау
286,Laut::N,тыас,аваз
287,Ton::N,дорҕоон,шалтырату
288,Lied::N,ырыа,җыр
289,Ruhe::N,уу чуумпу,тынлык
290,Leute::N,дьон,халык
291,Volk::N,дьон,халык
292,Volk::N,норуот,халык
293,Arbeit::N,үлэ,эш
294,Arbeit::N,үлэ,хезмәт
295,Gast::N,ыалдьыт,кунак
296,Geschenk::N,бэлэх,бүләк
297,Spiel::N,оонньуу,уен
298,Gesellschaft::N,общество,җәмгыять
299,Hilfe::N,көмө,ярдәм
300,Hilfe::N,көмө,булышлык
301,Freund::N,доҕор,дус
302,Kamerad::N,атас,иптәш
303,Angelegenheit::N,дьыала,эш
304,Anzahl::N,ахсаан,микъдар
305,Art::N,биис,төр
306,Stück::N,кырбас,кисәк
307,Teil::N,ирээт,өлеш
308,Hälfte::N,аҥар,ярым
309,Kreis::N,төгүрүк,түгәрәк
310,Kreis::N,төгүрүмтэ,түгәрәк
311,Kreuz::N,кириэс,хач
312,Kreuz::N,кириэс,тәре
313,Linie::N,сурааһын,сызык
314,Strich::N,сурааһын,сызык
315,Abstand::N,арыт,ара
316,Entfernung::N,ыраах,ераклык
317,Gegend::N,сир,урын
318,Platz::N,арыт,бушлык
319,Ort::N,сир,урын
320,Seite::N,өрүт,як
321,Seite::N,сирэй,як
322,Mitte::N,орто,урта
323,Gegenstand::N,предмет,нәрсә
324,Sache::N,мал,нәрсә
325,Rand::N,кытыы,чит
326,Rand::N,ойоҕос,чит
327,Kante::N,кырыы,кырый
328,Ecke::N,муннук,почмак
329,Spitze::N,чыпчаал,оч
330,Ende::N,төбө,азак
331,Loch::N,тэһэҕэс,тишек
332,Loch::N,дьөлөҕөс,тишек
333,Winkel::N,муннук,почмак
334,Muster::N,оһуор,парча
335,Größe::N,кээмэй,зурлык
336,Länge::N,уста,озынлык
337,Höhe::N,үрдүк,биеклек
338,Gewicht::N,ыйааһын,авырлык
339,Menge::N,ахсаан,микъдар
340,Haufen::N,чөмчөх,өем
341,Reihe::N,кэккэ,рәт
342,Boot::N,оҥочо,каек
343,Boot::N,оҥочо,көймә
344,Ruder::N,эрдии,ишкәк
345,Schlitten::N,сыарҕа,чана
346,Ski::N,хайыһар,чаңгы
347,Lagerfeuer::N,кутаа,костёр
348,Last::N,ыарахан,йөк
