,Concept_ID,ar,fa
0,Auge::N,عين,چشم
1,Ohr::N,أذن,گوش
2,Nase::N,أنف,بینی
3,Mund::N,فم,دهان
4,Zahn::N,سن,دندان
5,Zunge::N,لسان,زبان
6,Lippe::N,شفة,لب
7,Wange::N,خد,لپ
8,Wange::N,وجنة,لپ
9,Gesicht::N,وجه,رو
10,Gesicht::N,وجه,چهره
11,Stirn::N,جبين,پیشانی
12,Haar::N,شعر,مو
13,Schnurrbart::N,شارب,سبیل
14,Bart::N,لحية,ریش
15,Kinn::N,ذقن,چانه
16,Kiefer[Anatomie]::N,فك,فک
17,Kiefer[Anatomie]::N,فك,آرواره
18,Kehle::N,حلق,حلق
19,Hals::N,عنق,گردن
20,Hals::N,رقبة,گردن
21,Genick::N,قفا,پشت گردن
22,Kopf::N,رأس,سر
23,Kopf::N,رأس,کله
24,Rücken::N,ظهر,پشت
25,Bauch::N,بطن,شکم
26,Nabel::N,سرة,ناف
27,Busen::N,ثدي,پستان
28,Brust::N,صدر,سینه
29,Schulter::N,كتف,دوش
30,Schulter::N,كتف,شانه
31,Arm::N,ذراع,بازو
32,Ellenbogen::N,كوع,آرنج
33,Hand::N,يد,دست
34,Handfläche::N,كف,کف دست
35,Finger::N,إصبع,انگشت
36,Fingernagel::N,ظفر,ناخن دست
37,Nagel[Anatomie]::N,ظفر,ناخن
38,Zeh::N,إصبع القدم,انگشت پا
39,Fuß::N,قدم,پا
40,Ferse::N,كعب,پاشنه
41,Knie::N,ركبة,زانو
42,Oberschenkel::N,فخذ,ران
43,Bein::N,ساق,پا
44,Bein::N,ساق,لنگ
45,Körper::N,جسم,تن
46,Körper::N,جسم,بدن
47,Haut::N,بشرة,پوست
48,Blut::N,دم,خون
49,Ader::N,عرق,رگ
50,Sehne::N,طنب,زردپی
51,Knochen::N,عظم,استخوان
52,Gehirn::N,دماغ,مخ
53,Gehirn::N,دماغ,مغز
54,Herz::N,قلب,دل
55,Herz::N,قلب,قلب
56,Magen::N,معدة,معده
57,Leber::N,كبد,کبد
58,Atem::N,نفس,نفس
59,Hunger::N,جوع,گرسنگی
60,Träne::N,دمعة,اشک
61,Geschmack::N,طعم,مزه
62,Geschmack::N,مذاق,مزه
63,Geruch::N,رائحة,بو
64,Schlaf::N,نوم,خواب
65,Schlaf::N,منام,خواب
66,Traum::N,حلم,رؤیا
67,Himmel::N,سماء,فلک
68,Himmel::N,سماء,آسمان
69,Sonne::N,شمس,آفتاب
70,Sonne::N,شمس,خورشید
71,Mond::N,قمر,ماه
72,Stern::N,نجم,ستاره
73,Stern::N,كوكب,ستاره
74,Luft::N,هواء,هوا
75,Wind::N,ريح,باد
76,Welle::N,موجة,موج
77,Wasser::N,ماء,آب
78,Stein::N,حجر,سنگ
79,Boden::N,تراب,زمین
80,Erde::N,أرض,خاک
81,Erde::N,أرض,زمین
82,Staub::N,غبار,گرد
83,Staub::N,غبار,غبار
84,Rauch::N,دخان,دود
85,Funke::N,شرارة,جرقه
86,Feuer::N,نار,آتش
87,Licht::N,نور,نور
88,Licht::N,نور,روشنی
89,Licht::N,ضوء,نور
90,Licht::N,ضوء,روشنی
91,Schatten::N,ظل,سایه
92,Schatten::N,فيء,سایه
93,Wetter::N,جو,هوا
94,Wetter::N,طقس,هوا
95,Nebel::N,ضباب,مه
96,Wolke::N,غيمة,ابر
97,Wolke::N,سحابة,ابر
98,Regen::N,مطر,باران
99,Schnee::N,ثلج,برف
100,Eis::N,جليد,یخ
101,Frost::N,صقيع,یخبندان
102,Kälte::N,برد,سرما
103,Hitze::N,حر,گرما
104,Hitze::N,حر,حرارت
105,Hitze::N,حرارة,گرما
106,Hitze::N,حرارة,حرارت
107,Raureif::N,صقيع,برف ریزه
108,Regenbogen::N,قوس قزح,رنگین‌کمان
109,Donner::N,رعد,رعد
110,Strömung::N,تيار,جریان
111,Tropfen::N,قطرة,قطره
112,Schaum::N,زبد,کف
113,Schaum::N,رغوة,کف
114,Schmutz::N,وسخ,گل
115,Schmutz::N,وسخ,کثافت
116,See::N,بحيرة,دریاچه
117,Sumpf::N,مستنقع,مرداب
118,Sumpf::N,مستنقع,باتلاق
119,Moor::N,مستنقع,باتلاق
120,Wiese::N,مرج,چمن
121,Wald::N,غابة,جنگل
122,Hügel::N,تل,تل
123,Hügel::N,تل,تپه
124,Anhöhe::N,تل,بلندی
125,Berg::N,جبل,کوه
126,Gipfel::N,قمة,قله
127,Höhle::N,كهف,غار
128,Abhang::N,منحدر,سرازیری
129,Quelle::N,منبع,چشمه
130,Bach::N,مجرى,نهر
131,Fluss::N,نهر,رود
132,Ufer::N,ضفة,ساحل
133,Ufer::N,ضفة,کرانه
134,Küste::N,ساحل,ساحل
135,Festland::N,بر,خشکی
136,Meer::N,بحر,دریا
137,Bucht::N,خليج,خلیج
138,Insel::N,جزيرة,جزیره
139,Blume::N,زهرة,گل
140,Gras::N,حشيش,علف
141,Wurzel::N,أصل,ریشه
142,Baum::N,شجرة,درخت
143,Stamm::N,جذع,تنه
144,Rinde::N,قشرة,توژ
145,Rinde::N,قشرة,پوست
146,Ast::N,فرع,شاخه
147,Zweig::N,غصن,شاخه
148,Blatt::N,ورقة,برگ
149,Birke::N,قضبان,غان
150,Kiefer[Baum]::N,صنوبرة,کاج
151,Weide[Baum]::N,صفصاف,بید
152,Tanne::N,شوح,صنوبر
153,Tanne::N,تبوب,صنوبر
154,Horn::N,قرن,شاخ
155,Feder::N,ريشة,پر
156,Fell::N,فرو,خز
157,Flügel::N,جناح,پر
158,Flügel::N,جناح,بال
159,Klaue::N,مخلب,چنگ
160,Klaue::N,مخلب,پنجه
161,Kralle::N,مخلب,پنجه
162,Schwanz::N,ذيل,دم
163,Ei::N,بيض,تخم
164,Nest::N,عش,لانه
165,Bau::N,جحر,بنا
166,Bau::N,جحر,ساختمان
167,Tier::N,حيوان,هیوان
168,Herde::N,قطيع,رمه
169,Kuh::N,بقرة,گاو
170,Bulle::N,ثور,گاو نر
171,Pferd::N,خيل,اسب
172,Schaf::N,شاة,گوسفند
173,Schwein::N,خنزير,خوک
174,Hund::N,كلب,سگ
175,Katze::N,قطة,گربه
176,Bär::N,دب,خرس
177,Eichhörnchen::N,سنجاب,سنجاب
178,Elch::N,موظ,گوزن شمالی
179,Fuchs::N,ثعلب,روباه
180,Hase::N,أرنب,خرگوش
181,Maus::N,فأرة,موش
182,Wolf::N,ذئب,گرگ
183,Vogel::N,طير,پرنده
184,Schwarm::N,سرب,دسته
185,Huhn::N,دجاجة,مرغ
186,Hahn::N,ديك,خروس
187,Gans::N,وزة,غاز
188,Adler::N,نسر,عقاب
189,Ente::N,بطة,اردک
190,Ente::N,بطة,مرغابی
191,Eule::N,بوم,جغد
192,Kranich::N,كركي,درنا
193,Krähe::N,غراب,زاغ
194,Krähe::N,غراب,کلاغ
195,Kuckuck::N,وقواق,فاخته
196,Schwan::N,إوز عراقي,قو
197,Fisch::N,سمك,ماهی
198,Barsch::N,فرخ أوربي,ماهی خاردار
199,Hecht::N,سمك الكراكي,اردک ماهی
200,Schlange[Tier]::N,حية,مار
201,Schlange[Tier]::N,ثعبان,مار
202,Wurm::N,دودة,کرم
203,Spinne::N,عنكبوت,عنکبوت
204,Ameise::N,نملة,مورچه
205,Laus::N,قملة,شپش
206,Mücke::N,ناموسة,پشه
207,Fliege::N,ذبابة,مگس
208,Schmetterling::N,فراشة,پروانه
209,Beere::N,حبة,گیله
210,Apfel::N,تفاح,سیب
211,Pilz::N,فطر,قارچ
212,Zwiebel::N,بصل,پیاز
213,Saat::N,زرع,بذر
214,Korn::N,حبة,تخم
215,Korn::N,حبة,دانه
216,Heu::N,دريس,علف خشک
217,Schale::N,قشرة,پوست
218,Grube::N,نقرة,گودال
219,Falle::N,فخ,دام
220,Falle::N,مصيدة,دام
221,Schlinge::N,عروة,حلقه
222,Spur::N,أثر,رد
223,Asche::N,رماد,خاکستر
224,Dreck::N,قذر,کثافت
225,Eisen::N,حديد,آهن
226,Gold::N,ذهب,زر
227,Gold::N,ذهب,طلا
228,Silber::N,فضة,نقره
229,Kohle::N,فحم,زغال
230,Glas::N,زجاج,شیشه
231,Lehm::N,طين,گل
232,Sand::N,رمل,شن
233,Sand::N,رمل,ماسه
234,Mensch::N,إنسان,آدم
235,Mensch::N,إنسان,انسان
236,Mann::N,رجل,مرد
237,Frau::N,امرأة,زن
238,Kind::N,طفل,بچه
239,Kind::N,طفل,کودک
240,Junge::N,ولد,پسر
241,Mädchen::N,بنت,دختر
242,Familie::N,عائلة,فامیل
243,Familie::N,عائلة,خانواده
244,Großvater::N,جد,پدربزرگ
245,Großmutter::N,جدة,مادر‌بزرگ
246,Eltern::N,أبوان,والدین
247,Eltern::N,أبوان,پدر‌و‌مادر
248,Eltern::N,والدان,والدین
249,Eltern::N,والدان,پدر‌و‌مادر
250,Vater::N,أب,پدر
251,Mutter::N,أم,مادر
252,Sohn::N,إبن,پسر
253,Tochter::N,بنت,دختر
254,Tochter::N,إبنة,دختر
255,Bruder::N,أخ,برادر
256,Bruder::N,شقيق,برادر
257,Schwester::N,أخت,خواهر
258,Onkel::N,عم,عمو
259,Onkel::N,عم,دایی
260,Tante::N,عمة,عمه
261,Tante::N,عمة,خاله
262,Ehemann::N,زوج,همسر
263,Ehefrau::N,زوجة,همسر
264,Freude::N,فرح,شادی
265,Freude::N,سرور,شادی
266,Gelächter::N,قهقهة,خنده
267,Gelächter::N,قهقهة,قاه‌قاه
268,Glück::N,سعادة,اقبال
269,Kummer::N,غم,غم
270,Kummer::N,غم,غصه
271,Wunsch::N,منية,آرزو
272,Lust::N,شهوة,هوس
273,Geist::N,روح,روح
274,Gedanke::N,فكرة,فکر
275,Gedächtnis::N,ذاكرة,حافظه
276,Verstand::N,عقل,هوش
277,Sinn::N,معنى,معنا
278,Sinn::N,معنى,مفهوم
279,Grund::N,سبب,سبب
280,Grund::N,سبب,دلیل
281,Wahrheit::N,حقيقة,حقیقت
282,Gespräch::N,محادثة,صحبت
283,Gespräch::N,محادثة,گفتگو
284,Märchen::N,خرافة,قصه
285,Märchen::N,خرافة,افسانه
286,Erzählung::N,قصة,داستان
287,Erzählung::N,حكاية,داستان
288,Nachricht::N,خبر,خبر
289,Neuigkeit::N,خبر جديد,خبر تازه
290,Name::N,اسم,اسم
291,Rätsel::N,لغز,معما
292,Rede::N,خطبة,سخن
293,Sprache::N,لغة,زبان
294,Stimme::N,صوت,صدا
295,Wort::N,كلمة,کلمه
296,Zeichen::N,رمز,نشان
297,Zeichen::N,رمز,علامت
298,Zeichen::N,إشارة,نشان
299,Zeichen::N,إشارة,علامت
300,Ruf::N,نداء,صدا
301,Lärm::N,صخب,هیاهو
302,Lärm::N,ضجة,هیاهو
303,Laut::N,صوت,صدا
304,Ton::N,نغمة,آهنگ
305,Lied::N,أغنية,آواز
306,Lied::N,أغنية,ترانه
307,Ruhe::N,هدوء,آرامش
308,Leute::N,ناس,مردم
309,Volk::N,شعب,خلق
310,Arbeit::N,عمل,کار
311,Gast::N,ضيف,مهمان
312,Geschenk::N,هدية,هدیه
