,Concept_ID,no,sah
0,Auge::N,øye,харах
1,Ohr::N,øre,кулгаах
2,Nase::N,nese,мурун
3,Mund::N,munn,айах
4,Zahn::N,tann,тиис
5,Zunge::N,tunge,тыл
6,Lippe::N,leppe,уос
7,Wange::N,kinn,иэдэс
8,Gesicht::N,fjes,сирэй
9,Gesicht::N,ansikt,сирэй
10,Stirn::N,panne,сүүс
11,Haar::N,hår,баттах
12,Schnurrbart::N,bart,уос бытыга
13,Bart::N,skjegg,сэҥийэ бытыга
14,Kinn::N,hake,сэҥийэ
15,Kiefer[Anatomie]::N,kjeve,сыҥаах
16,Kehle::N,strupe,тамах
17,Kehle::N,strupe,күөмэй
18,Hals::N,hals,моой
19,Genick::N,nakke,кэтэх
20,Kopf::N,hode,бас
21,Rücken::N,rygg,көҕүс
22,Bauch::N,buk,ис
23,Bauch::N,mage,ис
24,Nabel::N,navle,киин
25,Busen::N,barm,эмиий
26,Brust::N,bryst,түөс
27,Schulter::N,skulder,сарын
28,Arm::N,arm,илии
29,Ellenbogen::N,albue,тоҕонох
30,Hand::N,hånd,илии
31,Handfläche::N,håndflate,ытыс
32,Finger::N,finger,тарбах
33,Fingernagel::N,fingernegl,тыҥырах
34,Nagel[Anatomie]::N,negl,тыҥырах
35,Zeh::N,tå,тарбах
36,Fuß::N,fot,уллуҥах
37,Ferse::N,hæl,тилэх
38,Knie::N,kne,тобук
39,Knie::N,kne,дьилбэк
40,Oberschenkel::N,lår,уллук
41,Oberschenkel::N,lår,өттүк
42,Bein::N,bein,атах
43,Körper::N,kropp,бэйэ
44,Körper::N,legeme,бэйэ
45,Haut::N,hud,тирии
46,Haut::N,skinn,тирии
47,Blut::N,blod,хаан
48,Ader::N,åre,вена
49,Ader::N,åre,күөх_тымыр
50,Sehne::N,sene,иҥиир
51,Knochen::N,bein,уҥуох
52,Knochen::N,bein,уҥгуох
53,Knochen::N,knokkel,уҥуох
54,Knochen::N,knokkel,уҥгуох
55,Gehirn::N,hjerne,мэйии
56,Herz::N,hjerte,сүрэх
57,Magen::N,mage,куртах
58,Leber::N,lever,быар
59,Atem::N,pust,тыын
60,Hunger::N,sult,аас
61,Träne::N,tåre,харах уута
62,Geschmack::N,smak,амтан
