,Concept_ID,uk,sq
0,Auge::N,око,sy
1,Ohr::N,вухо,vesh
2,Nase::N,ніс,hundë
3,Mund::N,рот,gojë
4,Zahn::N,зуб,dhëmb
5,Zunge::N,язик,gjuhë
6,Lippe::N,губа,buzë
7,Wange::N,щока,faqe
8,Wange::N,щока,mollëz
9,Gesicht::N,обличчя,fytyrë
10,Stirn::N,лоб,ballë
11,Haar::N,волосся,flokë
12,Schnurrbart::N,вуса,mustaqe
13,Bart::N,борода,mjekër
14,Kinn::N,підборіддя,mjekër
15,Kiefer[Anatomie]::N,щелепа,nofull
16,Kehle::N,горло,fyt
17,Kehle::N,горло,grykë
18,Hals::N,шия,qafë
19,Genick::N,потилиця,arrëz
20,Kopf::N,голова,kokë
21,Rücken::N,спина,kurriz
22,Bauch::N,живіт,bark
23,Nabel::N,пупок,kërthizë
24,Busen::N,груди,gji
25,Brust::N,груди,gjoks
26,Brust::N,груди,kraharor
27,Schulter::N,плече,sup
28,Schulter::N,плече,krah
29,Arm::N,рука,krah
30,Ellenbogen::N,лікоть,bërryl
31,Hand::N,рука,dorë
32,Handfläche::N,долоня,pëllëmbë
33,Finger::N,палець,gisht
34,Fingernagel::N,ніготь,thua
35,Nagel[Anatomie]::N,ніготь,thua
36,Zeh::N,палець на нозі,gisht i këmbës
37,Fuß::N,нога,këmbë
38,Ferse::N,п’ятка,thembër
39,Knie::N,коліно,gju
40,Oberschenkel::N,стегно,kofshë
41,Bein::N,нога,këmbë
42,Körper::N,тіло,trup
43,Haut::N,шкіра,lëkurë
44,Blut::N,кров,gjak
45,Ader::N,вена,venë
46,Sehne::N,сухожилля,dell
47,Knochen::N,кістка,asht
48,Knochen::N,кістка,kockë
49,Gehirn::N,мозок,tru
50,Herz::N,серце,zemër
51,Magen::N,шлунок,stomak
52,Leber::N,печінка,mëlçi
53,Atem::N,дихання,frymë
54,Hunger::N,голод,uri
55,Träne::N,сльоза,lot
56,Geschmack::N,смак,shije
57,Geruch::N,запах,erë
58,Schlaf::N,сон,gjumë
59,Schlaf::N,сплячка,gjumë
60,Traum::N,сон,ëndërr
61,Himmel::N,небо,qiell
62,Sonne::N,сонце,diell
63,Mond::N,місяць,hënë
64,Stern::N,зірка,yll
65,Luft::N,повітря,ajër
66,Wind::N,вітер,erë
67,Welle::N,хвиля,valë
68,Welle::N,хвиля,dallgë
69,Wasser::N,вода,ujë
70,Stein::N,камінь,gur
71,Boden::N,ґрунт,tokë
72,Boden::N,ґрунт,truall
73,Erde::N,земля,dhe
74,Erde::N,земля,baltë
75,Staub::N,пил,pluhur
76,Rauch::N,дим,tym
77,Funke::N,іскра,xixë
78,Funke::N,іскра,shkëndijë
79,Feuer::N,вогонь,zjarr
80,Licht::N,світло,dritë
81,Schatten::N,тінь,hije
82,Wetter::N,погода,mot
83,Nebel::N,туман,mjegull
84,Wolke::N,хмара,re
85,Regen::N,дощ,shi
86,Schnee::N,сніг,borë
87,Eis::N,лід,akull
88,Frost::N,мороз,ngricë
89,Kälte::N,холод,të ftohtë
90,Hitze::N,жар,vapë
91,Hitze::N,жар,nxehtësi
92,Raureif::N,іній,cikmë
93,Regenbogen::N,райдуга,ylber
94,Donner::N,грім,gjëmim
95,Donner::N,грім,bubullimë
96,Strömung::N,струмина,rrymë
97,Tropfen::N,крапля,pikë
98,Schaum::N,піна,shkumë
99,Schmutz::N,бруд,baltë
100,See::N,озеро,liqen
101,Sumpf::N,драговина,batak
102,Moor::N,болото,kënetë
103,Wiese::N,луг,livadh
104,Wiese::N,лука,livadh
105,Wald::N,ліс,pyll
106,Hügel::N,горб,kodër
107,Anhöhe::N,височина,bregore
108,Berg::N,гора,mal
109,Gipfel::N,вершина,kulm
110,Höhle::N,печера,shpellë
111,Höhle::N,печера,zgafelle
112,Abhang::N,схил,shpat
113,Abhang::N,схил,tatëpjetë
114,Quelle::N,джерело,krua
115,Quelle::N,джерело,burim
116,Bach::N,струмок,virua
117,Fluss::N,річка,lumë
118,Ufer::N,берег,breg
119,Küste::N,узбережжя,anëdet
120,Küste::N,узбережжя,bregdet
121,Festland::N,суша,kontinent
122,Meer::N,море,det
123,Bucht::N,бухта,gji deti
124,Bucht::N,затока,gji deti
125,Insel::N,острів,ishull
126,Insel::N,острів,ujdhesë
127,Blume::N,квітка,lule
128,Gras::N,трава,bar
129,Wurzel::N,корінь,rrënjë
130,Baum::N,дерево,pemë
131,Stamm::N,стовбур,trung
132,Rinde::N,кора,lëvore
133,Ast::N,гілка,degë
134,Zweig::N,галузь,bisk
135,Blatt::N,лист,fletë
136,Blatt::N,лист,gjethe
137,Birke::N,береза,mështekën
138,Kiefer[Baum]::N,сосна,pishë
139,Weide[Baum]::N,верба,shelg
140,Tanne::N,ялиця,bredh
141,Horn::N,ріг,bri
142,Feder::N,перо,pupël
143,Fell::N,хутро,lëkurë
144,Flügel::N,крило,krah
145,Flügel::N,крило,fletë
146,Klaue::N,кіготь,kthetër
147,Kralle::N,лапа,thua
148,Kralle::N,лапа,kthetër
149,Schwanz::N,хвіст,bisht
150,Ei::N,яйце,vezë
151,Nest::N,гніздо,fole
152,Bau::N,лігво,strofkë
153,Tier::N,тварина,kafshë
154,Herde::N,стадо,kope
155,Herde::N,стадо,grigjë
156,Kuh::N,корова,lopë
157,Bulle::N,бик,dem
158,Bulle::N,бугай,dem
159,Pferd::N,кінь,kalë
160,Schaf::N,вівця,dele
161,Schwein::N,свиня,derr
162,Hund::N,собака,qen
163,Katze::N,кішка,mace
164,Bär::N,ведмідь,ari
165,Eichhörnchen::N,білка,ketër
166,Elch::N,лось,dre brilopatë
167,Fuchs::N,лисиця,dhelpër
168,Hase::N,заєць,lepur
169,Maus::N,миша,mi
170,Wolf::N,вовк,ujk
171,Vogel::N,птах,zog
172,Vogel::N,птах,shpend
173,Schwarm::N,зграя,luzmë
174,Huhn::N,курка,pulë
175,Hahn::N,півень,gjel
176,Hahn::N,півень,këndes
177,Gans::N,гуска,patë
178,Adler::N,орел,shqiponjë
179,Ente::N,качка,rosë
180,Eule::N,сова,buf
181,Kranich::N,журавель,lejlek
182,Kranich::N,журавель,kurrillë
183,Krähe::N,ворона,sorrë
184,Kuckuck::N,зозуля,qyqe
185,Schwan::N,лебідь,mjellmë
186,Fisch::N,риба,peshk
187,Barsch::N,окунь,purtekë
188,Hecht::N,щука,mlysh
189,Schlange[Tier]::N,змія,gjarpër
190,Wurm::N,черв’як,krimb
191,Spinne::N,павук,marimangë
192,Ameise::N,мурашка,thnegël
193,Ameise::N,мурашка,milingonë
194,Laus::N,воша,morr
195,Mücke::N,комар,kunup
196,Mücke::N,комар,mushkonjë
197,Fliege::N,муха,mizë
198,Schmetterling::N,метелик,flutur
199,Beere::N,ягода,frutë
200,Beere::N,ягода,manaferrë
201,Apfel::N,яблуко,mollë
202,Pilz::N,гриб,kërpudhë
203,Zwiebel::N,цибуля,qepë
204,Saat::N,сім’я,farë
205,Korn::N,зерно,grurë
206,Korn::N,зерно,kokërr
207,Heu::N,сіно,sanë
208,Schale::N,шкірка,lëkurë
209,Grube::N,яма,gropë
210,Falle::N,пастка,kurth
211,Falle::N,пастка,grackë
212,Schlinge::N,петля,nyjë
213,Spur::N,слід,gjurmë
214,Asche::N,зола,hi
215,Asche::N,попіл,hi
216,Dreck::N,бруд,baltë
217,Eisen::N,залізо,hekur
218,Gold::N,золото,ar
219,Gold::N,золото,flori
220,Silber::N,срібло,argjend
221,Kohle::N,вугілля,qymyr
222,Glas::N,скло,qelq
223,Lehm::N,глина,argjilë
224,Sand::N,пісок,rërë
225,Mensch::N,людина,njeri
226,Mann::N,чоловік,burrë
227,Mann::N,чоловік,mashkull
228,Frau::N,жінка,grua
229,Frau::N,жінка,femër
230,Kind::N,дитина,kalama
