,Concept_ID,fa,kn
0,Auge::N,چشم,ಕಣ್ಣು
1,Ohr::N,گوش,ಕಿವಿ
2,Nase::N,بینی,ಮೂಗು
3,Mund::N,دهان,ಬಾಯಿ
4,Zahn::N,دندان,ಹಲ್ಲು
5,Zunge::N,زبان,ನಾಲಿಗೆ
6,Lippe::N,لب,ತುಟಿ
7,Wange::N,لپ,ಗಲ್ಲ
8,Gesicht::N,رو,ಮುಖ
9,Gesicht::N,چهره,ಮುಖ
10,Stirn::N,پیشانی,ಹಣೆ
11,Haar::N,مو,ಕೂದಲು
12,Schnurrbart::N,سبیل,ಮೀಸೆ
13,Bart::N,ریش,ಗಡ್ಡ
14,Kinn::N,چانه,ಗದ್ದ
15,Kiefer[Anatomie]::N,فک,ದವಡೆ
16,Kiefer[Anatomie]::N,آرواره,ದವಡೆ
17,Kehle::N,حلق,ಗಂಟಲು
18,Hals::N,گردن,ಕೊರಳು
19,Genick::N,پشت گردن,ಹಿಂಗತ್ತು
20,Kopf::N,سر,ತಲೆ
21,Kopf::N,کله,ತಲೆ
22,Rücken::N,پشت,ಬೆನ್ನು
23,Bauch::N,شکم,ಹೊಟ್ಟೆ
24,Nabel::N,ناف,ಹೊಕ್ಕುಳು
25,Busen::N,پستان,ಸ್ತನ
26,Brust::N,سینه,ಎದೆ
27,Schulter::N,دوش,ಭುಜ
28,Schulter::N,شانه,ಭುಜ
29,Arm::N,بازو,ತೋಳು
30,Ellenbogen::N,آرنج,ಮೊಣಕೈ
31,Hand::N,دست,ಕೈ
32,Handfläche::N,کف دست,ಅಂಗೈ
33,Finger::N,انگشت,ಕೈಬೆರಳು
34,Fingernagel::N,ناخن دست,ಉಗುರು
35,Nagel[Anatomie]::N,ناخن,ಉಗುರು
36,Zeh::N,انگشت پا,ಕಾಲ್ಬೆರಳು
37,Fuß::N,پا,ಪಾದ
38,Ferse::N,پاشنه,ಹಿಮ್ಮಡಿ
39,Knie::N,زانو,ಮಂಡಿ
40,Oberschenkel::N,ران,ತೊಡೆ
41,Bein::N,پا,ಕಾಲು
42,Bein::N,لنگ,ಕಾಲು
43,Körper::N,تن,ದೇಹ
44,Körper::N,بدن,ದೇಹ
45,Haut::N,پوست,ಚರ್ಮ
46,Blut::N,خون,ರಕ್ತ
47,Ader::N,رگ,ನರ
48,Sehne::N,زردپی,ನರ
49,Knochen::N,استخوان,ಮೂಳೆ
50,Gehirn::N,مخ,ಮಿದುಳು
51,Gehirn::N,مغز,ಮಿದುಳು
52,Herz::N,دل,ಹೃದಯ
53,Herz::N,قلب,ಹೃದಯ
54,Magen::N,معده,ಉದರ
55,Leber::N,کبد,ಯಕೃತ್ತು
56,Atem::N,نفس,ಉಸಿರು
57,Hunger::N,گرسنگی,ಹಸಿವು
58,Träne::N,اشک,ಕಣ್ಣೀರು
59,Geschmack::N,مزه,ರುಚಿ
60,Geruch::N,بو,ವಾಸನೆ
61,Schlaf::N,خواب,ನಿದ್ರೆ
62,Traum::N,رؤیا,ಕನಸು
63,Himmel::N,فلک,ಬಾನು
64,Himmel::N,آسمان,ಬಾನು
65,Sonne::N,آفتاب,ಸೂರ್ಯ
66,Sonne::N,خورشید,ಸೂರ್ಯ
67,Mond::N,ماه,ಚಂದ್ರ
68,Stern::N,ستاره,ಚುಕ್ಕಿ
69,Luft::N,هوا,ವಾಯು
70,Wind::N,باد,ಗಾಳಿ
71,Welle::N,موج,ಅಲೆ
72,Wasser::N,آب,ನೀರು
73,Stein::N,سنگ,ಕಲ್ಲು
74,Boden::N,زمین,ನೆಲ
75,Erde::N,خاک,ಭೂಮಿ
76,Erde::N,زمین,ಭೂಮಿ
77,Staub::N,گرد,ದೂಳು
78,Staub::N,غبار,ದೂಳು
79,Rauch::N,دود,ಹೊಗೆ
80,Funke::N,جرقه,ಕಿಡಿ
81,Feuer::N,آتش,ಬೆಂಕಿ
82,Licht::N,نور,ಬೆಳಕು
