,Concept_ID,se,ady
0,Auge::N,tjelmie,нэ
1,Auge::N,tjalmme,нэ
2,Auge::N,čalbmi,нэ
3,Auge::N,čalme,нэ
4,Auge::N,čâ´lmm,нэ
5,Auge::N,ча̄лльм,нэ
6,Ohr::N,bieljie,тхьакӏу́м
7,Ohr::N,biellje,тхьакӏу́м
8,Ohr::N,beallji,тхьакӏу́м
9,Ohr::N,pelji,тхьакӏу́м
10,Ohr::N,pe´llj,тхьакӏу́м
11,Ohr::N,пе̄лльй,тхьакӏу́м
12,Nase::N,njuenie,пэ
13,Nase::N,njunnje,пэ
14,Nase::N,njunni,пэ
15,Nase::N,njuṇe,пэ
16,Nase::N,njuu´nn,пэ
17,Nase::N,нюннҍ,пэ
18,Mund::N,njaelmie,жэ
19,Mund::N,njálmme,жэ
20,Mund::N,njálbmi,жэ
21,Mund::N,njälmi,жэ
22,Mund::N,njä´lmm,жэ
23,Mund::N,ня̄лльм,жэ
24,Zahn::N,baenie,цэ
25,Zahn::N,bádne,цэ
26,Zahn::N,bátni,цэ
27,Zahn::N,pääṇi,цэ
28,Zahn::N,pää´nn,цэ
29,Zahn::N,па̄ннҍ,цэ
30,Zunge::N,njoektjeme,бзэгу
31,Zunge::N,njuovtjav,бзэгу
32,Zunge::N,njuovčča,бзэгу
33,Zunge::N,njuovčâ,бзэгу
34,Zunge::N,njuhččâm,бзэгу
35,Zunge::N,нюхчем,бзэгу
36,Lippe::N,bangseme,ӏупшӏэ́
37,Lippe::N,njálmmerabdda,ӏупшӏэ́
38,Lippe::N,bavssa,ӏупшӏэ́
39,Lippe::N,poovsâ,ӏупшӏэ́
40,Lippe::N,põõus,ӏупшӏэ́
41,Lippe::N,пэ̄кс,ӏупшӏэ́
42,Wange::N,skiehrie,нэкӏу́шъу
43,Wange::N,nierra,нэкӏу́шъу
44,Wange::N,muohtu,нэкӏу́шъу
45,Wange::N,nieṛâ,нэкӏу́шъу
46,Wange::N,njiõrr,нэкӏу́шъу
47,Wange::N,нӣрр,нэкӏу́шъу
48,Gesicht::N,ååredæjja,нэ́гу
49,Gesicht::N,muohto,нэ́гу
50,Gesicht::N,muođut,нэ́гу
51,Gesicht::N,ámadadju,нэ́гу
52,Gesicht::N,muáđuh,нэ́гу
53,Gesicht::N,muâđ,нэ́гу
54,Gesicht::N,ка̄ссв,нэ́гу
55,Stirn::N,gaalloe,натӏэ́
56,Stirn::N,gállo,натӏэ́
57,Stirn::N,gállu,натӏэ́
58,Stirn::N,kállu,натӏэ́
59,Stirn::N,käll,натӏэ́
60,Stirn::N,вуэххьц,натӏэ́
61,Haar::N,voepte,шъхьацы́
62,Haar::N,vuoppta,шъхьацы́
63,Haar::N,vuokta,шъхьацы́
64,Haar::N,vuop'tâ,шъхьацы́
65,Haar::N,vuõpt,шъхьацы́
66,Haar::N,вӯппт,шъхьацы́
67,Schnurrbart::N,bijjie-skaavtjoe,
68,Schnurrbart::N,njunjevuolskávttjá,
69,Schnurrbart::N,seamu,
70,Schnurrbart::N,siämu,
71,Schnurrbart::N,ää´bben,
72,Schnurrbart::N,о̄а̄бпан,
73,Bart::N,skaavtja,жакӏэ́
74,Bart::N,skaavtjoe,жакӏэ́
75,Bart::N,skávttjá,жакӏэ́
76,Bart::N,seamu,жакӏэ́
77,Bart::N,siämu,жакӏэ́
78,Bart::N,seäm,жакӏэ́
79,Bart::N,ся̄м,жакӏэ́
80,Kinn::N,gaejpie,жэкӏэпэпкъ
81,Kinn::N,gájbbe,жэкӏэпэпкъ
82,Kinn::N,gáibi,жэкӏэпэпкъ
83,Kinn::N,käibi,жэкӏэпэпкъ
84,Kinn::N,käi´bb,жэкӏэпэпкъ
85,Kinn::N,ка̄ййп,жэкӏэпэпкъ
86,Kiefer[Anatomie]::N,gaejpie,жэпкъы́
87,Kiefer[Anatomie]::N,oalol,жэпкъы́
88,Kiefer[Anatomie]::N,oaloldákte,жэпкъы́
89,Kiefer[Anatomie]::N,gáibi,жэпкъы́
90,Kiefer[Anatomie]::N,uá'lultähti,жэпкъы́
91,Kiefer[Anatomie]::N,vuâl'lõš,жэпкъы́
92,Kiefer[Anatomie]::N,вуаллнешш,жэпкъы́
93,Kehle::N,gealoe,чый
94,Kehle::N,tjåttå,чый
95,Kehle::N,njiello,чый
96,Kehle::N,čotta,чый
97,Kehle::N,čuudâ,чый
98,Kehle::N,čoodd,чый
99,Kehle::N,чонт,чый
100,Kehle::N,кэ̄ҏс,чый
101,Hals::N,tjeapohke,пшъэ
102,Hals::N,tjiebet,пшъэ
103,Hals::N,čeabet,пшъэ
104,Hals::N,čiäppát,пшъэ
105,Hals::N,čeäppat,пшъэ
106,Hals::N,ча̄пэх,пшъэ
107,Genick::N,tjovrese,шъхьэпхэтыку
108,Genick::N,nisske,шъхьэпхэтыку
109,Genick::N,niehkki,шъхьэпхэтыку
110,Genick::N,niski,шъхьэпхэтыку
111,Genick::N,niek'ki,шъхьэпхэтыку
112,Genick::N,nji´šǩǩmaadd,шъхьэпхэтыку
113,Genick::N,нышшькмоант,шъхьэпхэтыку
114,Kopf::N,åejjie,шъхьэ́
115,Kopf::N,oajvve,шъхьэ́
116,Kopf::N,oaivi,шъхьэ́
117,Kopf::N,uái'vi,шъхьэ́
118,Kopf::N,vuei´vv,шъхьэ́
119,Kopf::N,вуэййв,шъхьэ́
120,Rücken::N,rudtje,кӏыбы́
121,Rücken::N,hárddo,кӏыбы́
122,Rücken::N,tjavelk,кӏыбы́
123,Rücken::N,sealgi,кӏыбы́
124,Rücken::N,selgi,кӏыбы́
125,Rücken::N,čielgi,кӏыбы́
126,Rücken::N,seä´lǧǧ,кӏыбы́
127,Rücken::N,се̄лльк,кӏыбы́
128,Bauch::N,tjåejjie,ныбэ́
129,Bauch::N,tjoajvve,ныбэ́
130,Bauch::N,čoavji,ныбэ́
131,Bauch::N,čuáv'ji,ныбэ́
132,Bauch::N,čåu´jj,ныбэ́
133,Bauch::N,чо̄ввьй,ныбэ́
134,Nabel::N,naepie,
135,Nabel::N,náhpe,
136,Nabel::N,náhpi,
137,Nabel::N,nääpi,
138,Nabel::N,nää´pp,
139,Nabel::N,на̄бпь,
140,Busen::N,boenge,бгъэ́
141,Busen::N,bållå,бгъэ́
142,Busen::N,čižži,бгъэ́
143,Busen::N,njamma,бгъэ́
144,Busen::N,njižže,бгъэ́
145,Busen::N,nje´ǯǯ,бгъэ́
146,Busen::N,раннҍт,бгъэ́
147,Brust::N,mïelke,бгъэ́
148,Brust::N,radde,бгъэ́
149,Brust::N,mielgga,бгъэ́
150,Brust::N,raddi,бгъэ́
151,Brust::N,radde,бгъэ́
152,Brust::N,râ´dd,бгъэ́
153,Brust::N,раннҍт,бгъэ́
154,Schulter::N,åelkie,блыпкъ
155,Schulter::N,oalgge,блыпкъ
156,Schulter::N,hárdu,блыпкъ
157,Schulter::N,ärdee,блыпкъ
158,Schulter::N,uál'gi,блыпкъ
159,Schulter::N,a´rddi,блыпкъ
160,Schulter::N,vuä´lǧǧ,блыпкъ
161,Schulter::N,вуэллык,блыпкъ
162,Arm::N,gïete,ӏэ
163,Arm::N,giehta,ӏэ
164,Arm::N,giehta,ӏэ
165,Arm::N,kietâ,ӏэ
166,Arm::N,kie'tâkaaṿâ,ӏэ
167,Arm::N,ǩiõtt,ӏэ
168,Arm::N,кӣдт,ӏэ
169,Ellenbogen::N,gernjere,ӏэнтэ́гъу
170,Ellenbogen::N,garŋŋel,ӏэнтэ́гъу
171,Ellenbogen::N,gargŋil,ӏэнтэ́гъу
172,Ellenbogen::N,käŋŋir,ӏэнтэ́гъу
173,Ellenbogen::N,kõõnjâr,ӏэнтэ́гъу
174,Ellenbogen::N,карьнэль,ӏэнтэ́гъу
175,Hand::N,gïete,ӏэтхьэцу
176,Hand::N,giehta,ӏэтхьэцу
177,Hand::N,giehta,ӏэтхьэцу
178,Hand::N,kietâ,ӏэтхьэцу
179,Hand::N,ǩiõtt,ӏэтхьэцу
180,Hand::N,кӣдт,ӏэтхьэцу
181,Handfläche::N,gïeten-låapoe,ӏэ́гу
182,Handfläche::N,giehtavuodo,ӏэ́гу
183,Handfläche::N,tjårmmåvuodo,ӏэ́гу
184,Handfläche::N,giehtaloahpu,ӏэ́гу
185,Handfläche::N,kiämád,ӏэ́гу
186,Handfläche::N,kuámmir,ӏэ́гу
187,Handfläche::N,kuä´m'mer,ӏэ́гу
188,Handfläche::N,ǩiõttǩeä´m'men,ӏэ́гу
189,Handfläche::N,ко̄а̄ллдэгк,ӏэ́гу
190,Handfläche::N,кӣдткоалдэгк,ӏэ́гу
191,Finger::N,soerme,ӏэхъуа́мб
192,Finger::N,tjuvdde,ӏэхъуа́мб
193,Finger::N,suorbma,ӏэхъуа́мб
194,Finger::N,čuvde,ӏэхъуа́мб
195,Finger::N,suor'mâ,ӏэхъуа́мб
