,Concept_ID,kv,fi
0,Auge::N,син,silmä
1,Ohr::N,пель,korva
2,Nase::N,ныр,nenä
3,Mund::N,ӧм,suu
4,Zahn::N,пинь,hammas
5,Zunge::N,кыв,kieli
6,Lippe::N,тырп,huuli
7,Wange::N,рожабан,poski
8,Gesicht::N,бан,naama
9,Gesicht::N,бан,kasvot
10,Stirn::N,кымӧс,otsa
11,Haar::N,юрси,hius
12,Haar::N,юрси,tukka
13,Schnurrbart::N,уссэз,viikset
14,Bart::N,тош,parta
15,Kinn::N,тшӧка,leuka
16,Kiefer[Anatomie]::N,ан,leukaluu
17,Kehle::N,юан,kurkku
18,Hals::N,юан,kaula
19,Genick::N,юр бӧр,niska
20,Kopf::N,юр,pää
21,Rücken::N,мышк,selkä
22,Bauch::N,кынӧм,maha
23,Bauch::N,кынӧм,vatsa
24,Nabel::N,гӧг,napa
25,Busen::N,морос,rinta
26,Brust::N,морос,rinta
27,Schulter::N,пельпон,olka
28,Schulter::N,пельпон,hartia
29,Schulter::N,пельпон,olkapää
30,Arm::N,ки,käsivarsi
31,Ellenbogen::N,гырдзза,kyynärpää
32,Hand::N,кикар,käsi
33,Handfläche::N,ки пыдӧс,kämmen
34,Finger::N,чунь,sormi
35,Fingernagel::N,гыж,kynsi
36,Nagel[Anatomie]::N,гыж,kynsi
37,Zeh::N,чунь,varvas
38,Fuß::N,кокпыдӧс,jalka
39,Ferse::N,кокдзир,kantapää
40,Knie::N,пидзӧс,polvi
41,Oberschenkel::N,лядьбей,reisi
42,Bein::N,кок,jalka
43,Körper::N,вывтыр,keho
44,Körper::N,вывтыр,ruumis
45,Haut::N,кучик,iho
46,Blut::N,вир,veri
47,Ader::N,сӧн,suoni
48,Sehne::N,жила,jänne
49,Knochen::N,коска,luu
50,Gehirn::N,вем,aivot
51,Herz::N,сьӧлӧм,sydän
52,Magen::N,жӧвдӧк,maha
53,Magen::N,жӧвдӧк,vatsa
54,Leber::N,мус,maksa
55,Atem::N,лолалӧм,henki
56,Atem::N,лолалӧм,hengitys
57,Hunger::N,тшыг,nälkä
58,Träne::N,синва,kyynel
59,Geschmack::N,кӧр,maku
60,Geruch::N,дук,haju
61,Schlaf::N,он,uni
62,Traum::N,вӧт,uni
63,Himmel::N,небо,taivas
64,Sonne::N,шондi,aurinko
65,Mond::N,тӧлiсь,kuu
66,Stern::N,кӧдзыв,tähti
67,Luft::N,ру,ilma
68,Wind::N,тӧв,tuuli
69,Welle::N,гы,aalto
70,Wasser::N,ва,vesi
71,Stein::N,из,kivi
72,Boden::N,му,maa
73,Boden::N,му,maaperä
74,Erde::N,му,maa
75,Staub::N,бус,pöly
76,Rauch::N,тшын,savu
77,Funke::N,бичир,kipinä
78,Feuer::N,би,tuli
79,Licht::N,би,valo
80,Schatten::N,вуджӧр,varjo
81,Wetter::N,погоддя,sää
82,Nebel::N,туман,sumu
83,Wolke::N,кымӧр,pilvi
84,Regen::N,зэр,sade
85,Schnee::N,лым,lumi
86,Eis::N,йы,jää
87,Frost::N,мороз,halla
88,Frost::N,мороз,pakkanen
89,Kälte::N,кӧдзыт,vilu
90,Kälte::N,кӧдзыт,kylmyys
91,Hitze::N,ӧд,helle
92,Hitze::N,ӧд,kuumuus
93,Raureif::N,кижа,huurre
94,Regenbogen::N,енӧшка,sateenkaari
95,Donner::N,гым,jyrinä
96,Strömung::N,визывтӧм,virtaus
97,Tropfen::N,тёп,tippa
98,Tropfen::N,тёп,pisara
99,Schaum::N,быг,vaahto
100,Schmutz::N,нять,loka
101,See::N,ты,järvi
102,Sumpf::N,арай,suo
103,Moor::N,нюр,räme
104,Wiese::N,видз,niitty
105,Wald::N,вӧр,metsä
106,Hügel::N,мыльк,mäki
107,Hügel::N,мыльк,kumpu
108,Hügel::N,мыльк,kukkula
109,Anhöhe::N,вывтас,mäki
110,Anhöhe::N,вывтас,kumpare
111,Anhöhe::N,вылынін,mäki
112,Anhöhe::N,вылынін,kumpare
113,Berg::N,керӧс,mäki
114,Berg::N,керӧс,vuori
115,Gipfel::N,йыв,laki
116,Gipfel::N,йыв,huippu
117,Höhle::N,нора,luola
118,Abhang::N,покат,rinne
119,Quelle::N,больган,lähde
120,Bach::N,шор,puro
121,Fluss::N,ю,joki
122,Ufer::N,берег,ranta
123,Küste::N,берег,rannikko
124,Festland::N,му,manner
125,Meer::N,море,meri
126,Bucht::N,курья,lahti
127,Blume::N,цветок,kukka
128,Gras::N,турун,ruoho
129,Wurzel::N,вуж,juuri
130,Baum::N,пу,puu
131,Stamm::N,мыр,runko
132,Stamm::N,кер,runko
133,Rinde::N,кач,kuori
134,Rinde::N,кач,parkki
135,Ast::N,ув,oksa
136,Zweig::N,ув,haara
137,Blatt::N,лист,lehti
138,Birke::N,кыдз,koivu
139,Kiefer[Baum]::N,пожум,mänty
140,Kiefer[Baum]::N,пожум,petäjä
141,Weide[Baum]::N,бадь,paju
142,Tanne::N,кӧз,kuusi
143,Horn::N,сюр,sarvi
144,Feder::N,гӧн,sulka
145,Feder::N,гӧн,höyhen
146,Fell::N,кучик,talja
147,Flügel::N,борд,siipi
148,Klaue::N,гыж,kynsi
149,Kralle::N,кабыр,kynsi
150,Schwanz::N,бӧж,häntä
151,Schwanz::N,бӧж,pyrstö
152,Ei::N,кольть,muna
153,Nest::N,поз,pesä
154,Bau::N,осьта,pesä
155,Bau::N,нора,pesä
156,Tier::N,зверь,eläin
157,Herde::N,гурт,lauma
158,Kuh::N,мӧс,lehmä
159,Bulle::N,ӧшка,sonni
