,Concept_ID,sl,ta
0,Auge::N,okó,கண்
1,Ohr::N,uhó,காது
2,Nase::N,nós,மூக்கு
3,Mund::N,ústa,வாய்
4,Zahn::N,zób,பல்
5,Zunge::N,jêzik,நாக்கு
6,Lippe::N,ústnica,உதடு
7,Wange::N,líce,கன்னம்
8,Gesicht::N,oblíčje,முகம்
9,Stirn::N,čêlo,முன்னெற்றி
10,Haar::N,lás,முடி
11,Schnurrbart::N,bŕki,மீசை
12,Bart::N,bráda,தாடி
13,Kinn::N,bráda,கீழதாடை
14,Kiefer[Anatomie]::N,čeljúst,தாடை
15,Kehle::N,gŕlo,தொண்டை
16,Hals::N,vrát,கழுத்து
17,Genick::N,zatílnik,கழுத்து
18,Kopf::N,gláva,தலை
19,Rücken::N,hrbèt,முதுகு
20,Bauch::N,trébuh,வயிறு
21,Nabel::N,pópek,தொப்புள்
22,Busen::N,nédrja,மார்பகம்
23,Brust::N,pŕsi, மார்பு
24,Schulter::N,ráma,தோள்பட்டை
25,Schulter::N,plêče,தோள்பட்டை
26,Arm::N,rôka,கரம்
27,Ellenbogen::N,komólec,முழங்கை
28,Hand::N,rôka,கை
29,Handfläche::N,dlán,உள்ளங்கை
30,Finger::N,pŕst,விரல்
31,Fingernagel::N,nóht na rôki,விரல் நகம்
32,Nagel[Anatomie]::N,nóht,நகம்
33,Zeh::N,pŕst na nôgi,கால்விரல்
34,Fuß::N,nôga,கால்
35,Ferse::N,pêta,குதிகால்
36,Knie::N,koléno,முழங்கால்
37,Oberschenkel::N,stêgno,தொடை
38,Bein::N,nôga,கால்
39,Körper::N,teló,உடல்
40,Haut::N,kóža,சருமம்
41,Blut::N,krí,இரத்தம்
42,Ader::N,žíla,நாளம்
43,Sehne::N,kíta,தசைநார்
44,Knochen::N,kóst,எலுமபு
45,Gehirn::N,možgáni,மூனை
46,Herz::N,srcé,இதயம
47,Magen::N,želódec,வயிறு
48,Leber::N,jétra,கல்லீரல்
49,Atem::N,díh,மூச்சு
50,Hunger::N,glád,பசி
51,Träne::N,sólza,கண்ணீர்
52,Geschmack::N,okús,நறுமணம்
53,Geruch::N,vónj,துர்நாற்றம்
54,Schlaf::N,sèn,தூக்கம்
55,Schlaf::N,spánec,தூக்கம்
56,Traum::N,sánje,கனவு
57,Himmel::N,nebó,வானம்
58,Sonne::N,sónce,சூரியன்
59,Mond::N,lúna,சந்திரன்
60,Mond::N,mésec,சந்திரன்
61,Stern::N,zvézda,நட்சத்திரம்
62,Luft::N,zràk,காறறு
63,Wind::N,véter,காற்று
64,Welle::N,vál,அலை
65,Wasser::N,vôda,நீர்
66,Stein::N,kámen,கல்
67,Boden::N,tlà,தரை
68,Erde::N,pŕst,மண்
69,Erde::N,zêmlja,மண்
70,Staub::N,práh,தூசி
71,Rauch::N,dìm,புகை
72,Funke::N,ískra,தீப்பொறி
73,Feuer::N,ôgenj,தீ
74,Licht::N,lúč,வெளிச்சம்
75,Schatten::N,sénca,நிழல்
76,Wetter::N,vrême,வானிலை
