,Concept_ID,uk,kl
0,Auge::N,око,isi
1,Ohr::N,вухо,siut
2,Nase::N,ніс,
3,Mund::N,рот,paaq
4,Mund::N,рот,qaneq
5,Zahn::N,зуб,kigut
6,Zunge::N,язик,oqaq
7,Lippe::N,губа,qarloq
8,Wange::N,щока,ersaq
9,Gesicht::N,обличчя,kiinaq
10,Stirn::N,лоб,qaaq
11,Haar::N,волосся,meqqoq
12,Schnurrbart::N,вуса,
13,Bart::N,борода,umik
14,Kinn::N,підборіддя,talloq
15,Kiefer[Anatomie]::N,щелепа,alleroq
16,Kehle::N,горло,malaq
17,Hals::N,шия,qungaseq
18,Genick::N,потилиця,pukusuk
19,Kopf::N,голова,niaqoq
20,Rücken::N,спина,qimerlut
21,Bauch::N,живіт,naaq
22,Nabel::N,пупок,qalaseq
23,Busen::N,груди,iviangeq
24,Brust::N,груди,iviangeq
25,Schulter::N,плече,ersik
26,Schulter::N,плече,assaqqoq
27,Arm::N,рука,taleq
28,Ellenbogen::N,лікоть,ikusik
29,Hand::N,рука,assak
30,Handfläche::N,долоня,itumak
31,Finger::N,палець,inuak
32,Fingernagel::N,ніготь,kikiak
33,Nagel[Anatomie]::N,ніготь,kukik
34,Zeh::N,палець на нозі,isigak
35,Fuß::N,нога,
36,Ferse::N,п’ятка,kimmik
37,Knie::N,коліно,seeqqoq
38,Oberschenkel::N,стегно,uppat
39,Oberschenkel::N,стегно,quttoraq
40,Bein::N,нога,isigak
41,Körper::N,тіло,timi
42,Haut::N,шкіра,mattak
43,Blut::N,кров,aak
44,Ader::N,вена,taqaq
45,Sehne::N,сухожилля,ujalu
46,Sehne::N,сухожилля,ujaloq
47,Knochen::N,кістка,saanikut
48,Gehirn::N,мозок,qarasaq
49,Herz::N,серце,uummat
50,Magen::N,шлунок,aqajaroq
51,Leber::N,печінка,tinguk
52,Atem::N,дихання,anerneq
53,Hunger::N,голод,kaanneq
54,Träne::N,сльоза,qia
55,Träne::N,сльоза,qiak
56,Geschmack::N,смак,qilanaartuut
57,Geruch::N,запах,tipi
58,Geruch::N,запах,tipik
59,Schlaf::N,сон,
60,Schlaf::N,сплячка,
61,Traum::N,сон,sinnattoq
62,Traum::N,сон,sinnattugaq
