,Concept_ID,udm,ja
0,Auge::N,син,目
1,Ohr::N,пель,耳
2,Nase::N,ныр,鼻
3,Mund::N,ым,口
4,Zahn::N,пинь,歯
5,Zunge::N,кыл,舌
6,Lippe::N,ымдур,唇
7,Wange::N,бам,頬
8,Gesicht::N,ымныр,顔
9,Stirn::N,кымес,額
10,Haar::N,йырси,髪
11,Schnurrbart::N,мыйык,口髭
12,Bart::N,туш,髭
13,Kinn::N,ангес,顎
14,Kiefer[Anatomie]::N,ан,顎
15,Kiefer[Anatomie]::N,анлы,顎
16,Kehle::N,гульым,喉
17,Hals::N,чырты,首
18,Genick::N,йырбер,首
19,Kopf::N,йыр,頭
20,Rücken::N,мыш,背中
21,Bauch::N,кӧт,腹
22,Bauch::N,кӧт,お腹
23,Nabel::N,гогы,へそ
24,Busen::N,ноны,乳房
25,Brust::N,мӧля,胸
26,Schulter::N,пельпум,肩
27,Arm::N,суй,腕
28,Ellenbogen::N,гырпум,肘
29,Hand::N,ки,手
30,Handfläche::N,ки пыдэс,手のひら
31,Handfläche::N,кырым пыдэс,手のひら
32,Finger::N,чиньы,指
33,Fingernagel::N,гижы,爪
34,Fingernagel::N,гиждӥнь,爪
35,Nagel[Anatomie]::N,гижы,爪
36,Zeh::N,пыдчиньы,足の指
37,Fuß::N,пыд,足
38,Ferse::N,пыдбер,かかと
39,Knie::N,пыдес,膝
40,Oberschenkel::N,макес,上腿
41,Bein::N,пыд,足
42,Körper::N,мугор,体
43,Körper::N,вылтыр,体
44,Haut::N,ку,皮膚
45,Blut::N,вир,血
46,Ader::N,вирсэр,血管
47,Sehne::N,вуж,腱
48,Knochen::N,лы,骨
49,Gehirn::N,вим,脳
50,Herz::N,сюлэм,心
51,Herz::N,сюлэм,心臓
52,Magen::N,ӝуш,胃
53,Leber::N,мус,肝臓
54,Atem::N,лул,息
55,Atem::N,лул,呼吸
56,Atem::N,шокан,息
57,Atem::N,шокан,呼吸
58,Hunger::N,кӧтсюман,空腹
59,Träne::N,синкыли,涙
60,Geschmack::N,шӧм,味
61,Geruch::N,зын,匂い
62,Schlaf::N,вӧт,睡眠
63,Traum::N,уйвӧт,夢
64,Himmel::N,ин,空
65,Sonne::N,шунды,太陽
66,Mond::N,толэзь,月
67,Stern::N,кизили,星
68,Luft::N,омыр,空気
69,Wind::N,тӧл,風
70,Welle::N,тулкым,波
71,Wasser::N,ву,水
72,Stein::N,из,石
73,Boden::N,музъем,土地
74,Erde::N,му,土
75,Staub::N,пыль,埃
76,Rauch::N,ӵын,煙
77,Funke::N,гизьы,火花
78,Feuer::N,тыл,火
79,Licht::N,тыл,光
80,Schatten::N,вужер,陰
81,Wetter::N,куазь,天気
82,Nebel::N,бус,霧
83,Wolke::N,пилем,雲
84,Regen::N,зор,雨
85,Schnee::N,лымы,雪
86,Eis::N,йӧ,氷
87,Frost::N,кезьыт,霜
88,Kälte::N,кезьыт,寒さ
89,Hitze::N,пӧсь,暑さ
90,Raureif::N,гӧр,霧氷
91,Regenbogen::N,вуюись,虹
92,Donner::N,гудыри,雷
93,Strömung::N,бызён,流れ
94,Tropfen::N,шапык,滴
95,Schaum::N,шукы,泡
96,Schmutz::N,нӧд,汚れ
97,Schmutz::N,дэри,汚れ
98,See::N,ты,湖
99,Sumpf::N,нюр,沼
100,Moor::N,нюр,湿原
101,Wiese::N,возь,草原
102,Wiese::N,возьвыл,草原
103,Wald::N,сик,森
104,Wald::N,нюлэс,森
105,Hügel::N,выр,丘
106,Hügel::N,вырйыл,丘
107,Anhöhe::N,выр,高み
108,Anhöhe::N,вырйыл,高み
109,Berg::N,гурезь,山
110,Gipfel::N,йыл,頂上
111,Höhle::N,гу,洞窟
112,Abhang::N,бам,斜面
113,Quelle::N,ошмес,泉
114,Bach::N,пичи шур,小川
115,Fluss::N,шур,川
116,Ufer::N,ярдур,岸
117,Küste::N,вудур,海岸
118,Festland::N,мувыр,陸
119,Meer::N,зарезь,海
120,Bucht::N,вукож,湾
121,Insel::N,вумуӵ,島
122,Insel::N,шормуӵ,島
123,Blume::N,сяська,花
124,Gras::N,турын,草
125,Wurzel::N,выжы,根
126,Baum::N,пу,木
127,Stamm::N,модос,幹
128,Rinde::N,сул,皮層
129,Ast::N,ул,枝
130,Zweig::N,вай,小枝
131,Blatt::N,куар,葉
132,Birke::N,кызьпу,樺
133,Kiefer[Baum]::N,пужым,松
134,Weide[Baum]::N,бадьпу,柳
135,Tanne::N,кыз,樅
136,Horn::N,сюр,角
137,Feder::N,тылы,羽根
138,Fell::N,ку,毛皮
139,Flügel::N,бурд,羽
140,Klaue::N,гижы,鉤爪
141,Kralle::N,пыд,爪
142,Schwanz::N,быж,尻尾
143,Ei::N,пуз,卵
144,Ei::N,кукей,卵
145,Nest::N,кар,巣
146,Nest::N,пузкар,巣
147,Bau::N,кар,穴
148,Bau::N,гу,穴
149,Tier::N,пӧйшур,動物
150,Herde::N,уллё,群れ
151,Kuh::N,скал,牛
152,Bulle::N,ош,雄牛
153,Bulle::N,пороз,雄牛
154,Pferd::N,вал,馬
155,Schaf::N,ыж,羊
156,Schwein::N,парсь,豚
157,Hund::N,пуны,犬
158,Katze::N,коӵыш,猫
159,Bär::N,гондыр,熊
160,Eichhörnchen::N,коньы,栗鼠
161,Elch::N,койык,ヘラジカ
162,Fuchs::N,ӟичы,狐
163,Hase::N,кеч,兎
164,Maus::N,шыр,鼠
165,Wolf::N,кион,狼
166,Vogel::N,тылобурдо,鳥
167,Schwarm::N,уллё,群れ
168,Huhn::N,курег,鶏
169,Hahn::N,атас,雄鶏
170,Gans::N,ӟазег,ガチョウ
171,Adler::N,ӧрзи,鷲
172,Ente::N,ӵӧж,鴨
173,Eule::N,кучыран,フクロウ
174,Kranich::N,тури,鶴
175,Krähe::N,куака,烏
176,Kuckuck::N,кикы,郭公
177,Schwan::N,юсь,白鳥
178,Fisch::N,чорыг,魚
179,Barsch::N,юш,鱸
180,Hecht::N,чипей,川魳
181,Schlange[Tier]::N,кый,蛇
182,Wurm::N,нумыр,虫
183,Spinne::N,чонари,蜘蛛
184,Ameise::N,кузьыли,蟻
185,Laus::N,тэй,虱
186,Mücke::N,нымы,蚊
187,Mücke::N,чибинь,蚊
188,Fliege::N,кут,蝿
189,Schmetterling::N,бубыли,蝶
190,Beere::N,узы-боры,漿果
191,Apfel::N,яблок,林檎
192,Pilz::N,губи,茸
193,Zwiebel::N,сугон,玉葱
194,Saat::N,кидыс,種
195,Korn::N,тысь,粒
196,Heu::N,турын,干し草
197,Schale::N,кыд,皮
198,Grube::N,гу,穴
199,Grube::N,гоп,穴
200,Falle::N,налик,わな
201,Schlinge::N,гиӟ,輪
202,Schlinge::N,герд,輪
203,Spur::N,пытьы,跡
204,Spur::N,бервыл,跡
205,Asche::N,пень,灰
206,Dreck::N,дэри,泥
207,Eisen::N,корт,鉄
208,Gold::N,зарни,金
209,Silber::N,азвесь,銀
210,Kohle::N,эгыр,炭
211,Glas::N,стекло,ガラス
212,Glas::N,пияла,ガラス
213,Lehm::N,сюй,ローム
214,Sand::N,луо,砂
215,Mensch::N,мурт,人
216,Mensch::N,адями,人
217,Mann::N,воргорон,男
218,Mann::N,воргорон,男性
219,Frau::N,кышномурт,女
220,Frau::N,кышномурт,女性
221,Kind::N,нуны,子
222,Kind::N,нуны,子供
223,Kind::N,пинал,子
224,Kind::N,пинал,子供
225,Junge::N,пи,男の子
226,Mädchen::N,ныл,女の子
227,Familie::N,семья,家族
228,Großvater::N,песятай,祖父
229,Großvater::N,песятай,おじいさん
230,Großvater::N,пересь атай,祖父
231,Großvater::N,пересь атай,おじいさん
232,Großmutter::N,песянай,祖母
233,Großmutter::N,песянай,おばあさん
234,Großmutter::N,пересь анай,祖母
235,Großmutter::N,пересь анай,おばあさん
236,Eltern::N,атай-анай,親
237,Eltern::N,атай-анай,両親
238,Eltern::N,бубы-мумы,親
239,Eltern::N,бубы-мумы,両親
240,Vater::N,айы,父
241,Vater::N,айы,お父さん
242,Vater::N,атай,父
243,Vater::N,атай,お父さん
244,Mutter::N,мумы,母
245,Mutter::N,мумы,お母さん
246,Sohn::N,пи,息子
247,Sohn::N,пи,息子さん
248,Tochter::N,ныл,娘
249,Tochter::N,ныл,お嬢さん
250,Bruder::N,агай,弟
